ngram,chain,chan,chin,chain
1500,2.0784868297596404e-06,0.0,0.0,2.0784868297596404e-06
1501,1.6627894638077124e-06,0.0,0.0,1.6627894638077124e-06
1502,2.9670555932170828e-06,0.0,1.7571085209056037e-07,2.9670555932170828e-06
1503,2.5431905084717854e-06,0.0,1.506093017919089e-07,2.5431905084717854e-06
1504,2.1422075146152305e-06,0.0,1.506093017919089e-07,2.1422075146152305e-06
1505,1.6711475966855817e-06,0.0,1.506093017919089e-07,1.6711475966855817e-06
1506,1.6711475966855817e-06,0.0,1.506093017919089e-07,1.6711475966855817e-06
1507,1.6711475966855817e-06,0.0,1.506093017919089e-07,1.6711475966855817e-06
1508,1.6711475966855817e-06,0.0,1.506093017919089e-07,1.6711475966855817e-06
1509,3.156638480764481e-07,0.0,0.0,3.156638480764481e-07
1510,3.156638480764481e-07,0.0,0.0,3.156638480764481e-07
1511,3.156638480764481e-07,0.0,0.0,3.156638480764481e-07
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1515,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1516,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1517,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1518,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1519,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1520,1.1594043631443388e-05,0.0,2.979113885105887e-07,1.1594043631443388e-05
1521,1.1022721342409828e-05,0.0,2.979113885105887e-07,1.1022721342409828e-05
1522,1.4196478202523264e-05,0.0,2.979113885105887e-07,1.4196478202523264e-05
1523,1.481252320445492e-05,0.0,2.979113885105887e-07,1.481252320445492e-05
1524,1.481252320445492e-05,0.0,2.979113885105887e-07,1.481252320445492e-05
1525,1.481252320445492e-05,0.0,2.979113885105887e-07,1.481252320445492e-05
1526,4.468805004112905e-05,0.0,2.979113885105887e-07,4.468805004112905e-05
1527,3.366532869871922e-05,0.0,0.0,3.366532869871922e-05
1528,3.366532869871922e-05,0.0,0.0,3.366532869871922e-05
1529,3.0491571838605785e-05,0.0,0.0,3.0491571838605785e-05
1530,3.0604475341533544e-05,7.289485048594153e-07,0.0,3.0604475341533544e-05
1531,3.0604475341533544e-05,7.289485048594153e-07,0.0,3.0604475341533544e-05
1532,4.728838959116339e-05,7.289485048594153e-07,0.0,4.728838959116339e-05
1533,1.741286275448926e-05,7.289485048594153e-07,0.0,1.741286275448926e-05
1534,2.022180413925006e-05,7.289485048594153e-07,0.0,2.022180413925006e-05
1535,2.0974823265922688e-05,7.289485048594153e-07,0.0,2.0974823265922688e-05
1536,2.0974823265922688e-05,1.1762128906411817e-06,0.0,2.0974823265922688e-05
1537,2.024587476106327e-05,4.4726438578176643e-07,0.0,2.024587476106327e-05
1538,2.024587476106327e-05,4.4726438578176643e-07,0.0,2.024587476106327e-05
1539,6.882405094594495e-06,1.2773755315720337e-06,0.0,6.882405094594495e-06
1540,6.882405094594495e-06,1.2773755315720337e-06,0.0,6.882405094594495e-06
1541,4.073463709833699e-06,1.2773755315720337e-06,0.0,4.073463709833699e-06
1542,3.320444583161069e-06,1.2773755315720337e-06,0.0,3.320444583161069e-06
1543,3.320444583161069e-06,8.301111457902672e-07,0.0,3.320444583161069e-06
1544,5.407018501760571e-06,9.692160704487054e-07,1.391049246584381e-07,5.407018501760571e-06
1545,5.407018501760571e-06,9.692160704487054e-07,1.391049246584381e-07,5.407018501760571e-06
1546,2.0865739185995025e-06,1.391049246584381e-07,1.391049246584381e-07,2.0865739185995025e-06
1547,2.0865739185995025e-06,1.391049246584381e-07,1.391049246584381e-07,2.0865739185995025e-06
1548,2.383815854045679e-06,1.391049246584381e-07,4.3634686010461466e-07,2.383815854045679e-06
1549,2.383815854045679e-06,1.391049246584381e-07,4.3634686010461466e-07,2.383815854045679e-06
1550,6.166235932271645e-06,1.391049246584381e-07,4.3634686010461466e-07,6.166235932271645e-06
1551,4.079662013672143e-06,0.0,2.972419354461765e-07,4.079662013672143e-06
1552,4.800773012902937e-06,0.0,2.972419354461765e-07,4.800773012902937e-06
1553,4.800773012902937e-06,0.0,2.972419354461765e-07,4.800773012902937e-06
1554,4.800773012902937e-06,0.0,2.972419354461765e-07,4.800773012902937e-06
1555,4.50353107745676e-06,0.0,0.0,4.50353107745676e-06
1556,1.6994046940713554e-05,0.0,0.0,1.6994046940713554e-05
1557,1.3211626862487589e-05,0.0,0.0,1.3211626862487589e-05
1558,1.3211626862487589e-05,0.0,0.0,1.3211626862487589e-05
1559,1.592896244671595e-05,0.0,3.4384465834591538e-06,1.592896244671595e-05
1560,2.4454077252552713e-05,0.0,4.3358270756600954e-06,2.4454077252552713e-05
1561,2.4454077252552713e-05,0.0,4.3358270756600954e-06,2.4454077252552713e-05
1562,2.4454077252552713e-05,0.0,6.1135416607222785e-06,2.4454077252552713e-05
1563,1.1963561389295916e-05,0.0,6.1135416607222785e-06,1.1963561389295916e-05
1564,1.1963561389295916e-05,0.0,6.1135416607222785e-06,1.1963561389295916e-05
1565,1.2975362031803733e-05,0.0,6.1135416607222785e-06,1.2975362031803733e-05
1566,9.53691544834458e-06,0.0,2.6750950772631247e-06,9.53691544834458e-06
1567,1.011800642507816e-06,0.0,1.7777145850621828e-06,1.011800642507816e-06
1568,1.011800642507816e-06,0.0,1.7777145850621828e-06,1.011800642507816e-06
1569,1.011800642507816e-06,0.0,0.0,1.011800642507816e-06
1570,1.011800642507816e-06,0.0,0.0,1.011800642507816e-06
1571,5.915503996740361e-06,0.0,0.0,5.915503996740361e-06
1572,4.9037033542325455e-06,0.0,1.0399215690475622e-06,4.9037033542325455e-06
1573,4.9037033542325455e-06,0.0,1.0399215690475622e-06,4.9037033542325455e-06
1574,4.9037033542325455e-06,1.0894230919283082e-06,1.0399215690475622e-06,4.9037033542325455e-06
1575,6.160982983211787e-06,1.0894230919283082e-06,1.0399215690475622e-06,6.160982983211787e-06
1576,6.160982983211787e-06,2.8921448834548106e-06,1.4906020169291878e-06,6.160982983211787e-06
1577,8.712458890970862e-06,2.8921448834548106e-06,1.4906020169291878e-06,8.712458890970862e-06
1578,4.290581760609971e-06,2.8921448834548106e-06,1.4906020169291878e-06,4.290581760609971e-06
1579,4.9373365657499694e-06,2.8921448834548106e-06,4.5068044788162555e-07,4.9373365657499694e-06
1580,4.9373365657499694e-06,2.8921448834548106e-06,4.5068044788162555e-07,4.9373365657499694e-06
1581,4.9373365657499694e-06,1.8027217915265022e-06,1.043987822413328e-06,4.9373365657499694e-06
1582,3.6800569367707273e-06,1.8027217915265022e-06,1.043987822413328e-06,3.6800569367707273e-06
1583,4.641302146930164e-06,2.403113025398592e-07,5.933073745317026e-07,4.641302146930164e-06
1584,2.9889378246090407e-06,2.403113025398592e-07,5.933073745317026e-07,2.9889378246090407e-06
1585,4.0168563048480014e-06,4.2902939055368604e-07,1.3481797265870097e-06,4.0168563048480014e-06
1586,3.3701014997080037e-06,4.2902939055368604e-07,2.0670735726266036e-06,3.3701014997080037e-06
1587,3.3701014997080037e-06,7.75108950230268e-07,3.1053122516563495e-06,3.3701014997080037e-06
1588,3.3701014997080037e-06,1.4446147653351154e-06,2.512004877124647e-06,3.3701014997080037e-06
1589,3.3701014997080037e-06,1.4446147653351154e-06,2.885457823660025e-06,3.3701014997080037e-06
1590,3.70873457151382e-06,1.2043034627952563e-06,5.485214387590531e-06,3.70873457151382e-06
1591,3.0761564500738004e-06,1.2043034627952563e-06,8.683615955565724e-06,3.0761564500738004e-06
1592,9.924016857049927e-06,1.0155853747814296e-06,8.52571539715947e-06,9.924016857049927e-06
1593,9.924016857049927e-06,1.0155853747814296e-06,1.0039588947360503e-05,9.924016857049927e-06
1594,1.0259280023612e-05,6.695058151048475e-07,9.001350268330757e-06,1.0259280023612e-05
1595,1.0710077114189126e-05,0.0,1.0804538630639269e-05,1.0710077114189126e-05
1596,1.0920495339762835e-05,0.0,1.0431085684103891e-05,1.0920495339762835e-05
1597,1.0104865428469825e-05,0.0,9.163012172004009e-06,1.0104865428469825e-05
1598,1.4394425404264308e-05,0.0,5.9646106040288164e-06,1.4394425404264308e-05
1599,6.5084648862726425e-06,0.0,5.721372255201069e-06,6.5084648862726425e-06
1600,7.040995309840323e-06,4.2602433885414417e-07,3.808123113101049e-06,7.040995309840323e-06
1601,7.877675313596097e-06,4.2602433885414417e-07,4.5894185599796145e-06,7.877675313596097e-06
1602,8.157683266420332e-06,6.348257751856831e-07,3.4126345391476728e-06,8.157683266420332e-06
1603,8.35937515018616e-06,1.0469358845252178e-06,3.4126345391476728e-06,8.35937515018616e-06
1604,1.843188644150879e-05,1.0469358845252178e-06,2.2512218070655114e-06,1.843188644150879e-05
1605,1.488772500124469e-05,1.3842465510346561e-06,2.925843140084388e-06,1.488772500124469e-05
1606,1.6338003043918953e-05,1.704566979502228e-06,3.2928306511946303e-06,1.6338003043918953e-05
1607,1.5805472620351274e-05,1.2785426406480838e-06,2.9733123970540224e-06,1.5805472620351274e-05
1608,1.5232562223640603e-05,1.2785426406480838e-06,2.192016950175457e-06,1.5232562223640603e-05
1609,1.4501757180239241e-05,1.069741204316545e-06,1.9429605637404686e-06,1.4501757180239241e-05
1610,1.4344543598911383e-05,6.576310949770101e-07,2.7076501315345273e-06,1.4344543598911383e-05
1611,4.09502076438782e-06,7.600433735076097e-07,2.639792090316665e-06,4.09502076438782e-06
1612,3.0830887648595047e-06,4.2273270699817136e-07,2.234171485529909e-06,3.0830887648595047e-06
1613,2.439649977402171e-06,1.0241227853059951e-07,1.6732610106373613e-06,2.439649977402171e-06
1614,3.098869472393874e-06,1.4208512685140055e-06,2.6620902856068696e-06,3.098869472393874e-06
1615,3.261723203909891e-06,1.4208512685140055e-06,2.6620902856068696e-06,3.261723203909891e-06
1616,3.622147736288233e-06,1.4208512685140055e-06,2.2847423305652877e-06,3.622147736288233e-06
1617,3.614333877521858e-06,1.667933937759309e-06,2.5083834397524437e-06,3.614333877521858e-06
1618,4.39034558244852e-06,1.5655216592287097e-06,2.405971161221844e-06,4.39034558244852e-06
1619,5.740759547734342e-06,1.5655216592287097e-06,3.037246431501574e-06,5.740759547734342e-06
1620,4.663753527113711e-06,2.1699551423028296e-06,3.2803916058453197e-06,4.663753527113711e-06
1621,4.896623993642736e-06,8.515161523194235e-07,2.648398321980494e-06,4.896623993642736e-06
1622,4.345782713244262e-06,9.218645605609968e-07,2.648398321980494e-06,4.345782713244262e-06
1623,3.9853581808659196e-06,9.218645605609968e-07,2.9178125130004318e-06,3.9853581808659196e-06
1624,8.666237947961366e-06,9.734462764754426e-07,1.9294818360192167e-06,8.666237947961366e-06
1625,8.413636318696912e-06,9.734462764754426e-07,2.3448052875859763e-06,8.413636318696912e-06
1626,7.98170961908389e-06,1.2030680928936427e-06,1.6741511054923258e-06,7.98170961908389e-06
1627,7.780231791392517e-06,7.584059501043936e-07,1.2711954501095794e-06,7.780231791392517e-06
1628,7.346723220637484e-06,1.2169873408700887e-06,9.798710850970695e-07,7.346723220637484e-06
1629,8.043500786568205e-06,1.3942269723494455e-06,9.798710850970695e-07,8.043500786568205e-06
1630,1.6840898557087973e-05,1.8254719732015343e-06,7.967058926234521e-07,1.6840898557087973e-05
1631,1.2026296092569413e-05,1.6968475457750692e-06,9.100658644456416e-07,1.2026296092569413e-05
1632,1.2295162800260836e-05,2.063352082716717e-06,7.696208155851179e-07,1.2295162800260836e-05
1633,1.1513768332146615e-05,2.382101456532837e-06,6.770917967254977e-07,1.1513768332146615e-05
1634,1.3488458941018117e-05,2.4691664423569037e-06,9.239281228344356e-07,1.3488458941018117e-05
1635,1.3441476133786117e-05,1.6992773388275445e-05,1.2700150802759578e-06,1.3441476133786117e-05
1636,1.3836319486212492e-05,1.7179407385421136e-05,1.3568594892733797e-06,1.3836319486212492e-05
1637,5.916843243929699e-06,1.704080289398137e-05,1.7095712548455464e-06,5.916843243929699e-06
1638,6.072823420514137e-06,1.7140103084654713e-05,1.7308813572266705e-06,6.072823420514137e-06
1639,5.674141870518465e-06,1.6773598547713065e-05,1.4560029545204349e-06,5.674141870518465e-06
1640,6.153897418568834e-06,1.6225227357478745e-05,1.5245262667511788e-06,6.153897418568834e-06
1641,4.238928897036333e-06,1.603811311870881e-05,1.2776899406422411e-06,4.238928897036333e-06
1642,4.3670794939641515e-06,1.1638746164927788e-06,1.4058405375700595e-06,4.3670794939641515e-06
1643,3.877315362745191e-06,9.1029747295579e-07,1.3189961285726376e-06,3.877315362745191e-06
1644,3.6410240917510758e-06,7.093184300239435e-07,8.800353644541506e-07,3.6410240917510758e-06
1645,4.1084364324563334e-06,4.3997828161731635e-07,7.45365290250837e-07,4.1084364324563334e-06
1646,5.019418937633548e-06,5.407166919927217e-07,7.45365290250837e-07,5.019418937633548e-06
1647,5.0268439224510075e-06,5.407166919927217e-07,9.559313899184678e-07,5.0268439224510075e-06
1648,6.205051184744141e-06,5.726930761998769e-07,1.231026804556937e-06,6.205051184744141e-06
1649,6.2911242041861574e-06,5.429710167196131e-07,6.912776240954242e-07,6.2911242041861574e-06
1650,7.498548516845663e-06,5.380066698178001e-07,1.174399130832171e-06,7.498548516845663e-06
1651,8.103920598452013e-06,5.323453657573347e-07,1.4323996180922092e-06,8.103920598452013e-06
1652,8.257910459568457e-06,6.436881595358759e-07,1.6550852056492919e-06,8.257910459568457e-06
1653,7.776732543009399e-06,7.690770920427375e-07,1.6550852056492919e-06,7.776732543009399e-06
1654,8.065089332376374e-06,8.935266464504821e-07,1.2803861823483333e-06,8.065089332376374e-06
1655,7.466293482139008e-06,1.0342403535495187e-06,1.6444242671046335e-06,7.466293482139008e-06
1656,7.656003227956326e-06,1.2278565658821857e-06,1.6897315983247348e-06,7.656003227956326e-06
1657,7.44296500800244e-06,1.274611479727485e-06,1.5958721348852123e-06,7.44296500800244e-06
1658,8.018894212520017e-06,1.3494582162820734e-06,1.4451029163150712e-06,8.018894212520017e-06
1659,8.286170538797575e-06,1.3346169761721934e-06,1.8335938705149601e-06,8.286170538797575e-06
1660,7.877107106781165e-06,1.4291888338188334e-06,1.8335938705149601e-06,7.877107106781165e-06
1661,7.501960258845689e-06,1.3047392794110886e-06,2.1952231301319055e-06,7.501960258845689e-06
1662,7.634224110526183e-06,1.1129269604940158e-06,2.0026881039874363e-06,7.634224110526183e-06
1663,7.804116811322664e-06,1.2352528447731207e-06,2.088770729967239e-06,7.804116811322664e-06
1664,7.72615986274364e-06,1.0128173845000025e-06,1.974629567160134e-06,7.72615986274364e-06
1665,6.255961255062305e-06,1.0283369533681253e-06,1.867398298470237e-06,6.255961255062305e-06
1666,5.936858932337989e-06,1.6509065322419962e-06,1.4559637488023976e-06,5.936858932337989e-06
1667,5.4424519281123395e-06,1.427564281389745e-06,1.5533206984790532e-06,5.4424519281123395e-06
1668,5.911292646487709e-06,1.558823929112155e-06,1.5877404280217888e-06,5.911292646487709e-06
1669,6.368013016201855e-06,1.8177649800626178e-06,1.4406828654500714e-06,6.368013016201855e-06
1670,5.846378371643368e-06,1.5395426089526154e-06,1.5025387532270024e-06,5.846378371643368e-06
1671,5.0165816511642854e-06,1.6177629942961045e-06,1.3838586434238614e-06,5.0165816511642854e-06
1672,5.598671545417996e-06,1.5397989321692357e-06,1.4822610491397166e-06,5.598671545417996e-06
