ngram,way,ay,wya,wy
1500,5.339228482625913e-05,7.917585662653437e-07,0.0,0.0
1501,4.27138278610073e-05,6.334068530122749e-07,0.0,0.0
1502,0.00011255621090337324,8.792607483580165e-07,0.0,0.0
1503,0.0001857234154678216,7.53652070021157e-07,0.0,0.0
1504,0.0001957025150269536,4.863300741167873e-07,0.0,0.0
1505,0.00020649354597220996,2.510865605082862e-06,0.0,0.0
1506,0.0002140959695680067,2.510865605082862e-06,0.0,0.0
1507,0.0002140959695680067,2.510865605082862e-06,0.0,0.0
1508,0.0002140959695680067,2.510865605082862e-06,0.0,0.0
1509,0.00014812909440869198,2.209647001499044e-06,0.0,0.0
1510,5.888243114376175e-05,2.209647001499044e-06,0.0,0.0
1511,3.727482440548816e-05,2.209647001499044e-06,0.0,0.0
1512,7.602423595796738e-06,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.485251960544182e-05,2.8566114451678004e-07,0.0,2.8566114451678004e-07
1515,2.485251960544182e-05,2.8566114451678004e-07,0.0,2.8566114451678004e-07
1516,2.485251960544182e-05,2.8566114451678004e-07,0.0,2.8566114451678004e-07
1517,4.875997547060251e-05,2.8566114451678004e-07,0.0,2.8566114451678004e-07
1518,4.875997547060251e-05,2.8566114451678004e-07,0.0,2.8566114451678004e-07
1519,4.875997547060251e-05,2.8566114451678004e-07,0.0,2.8566114451678004e-07
1520,7.795529173953193e-05,5.835725330273687e-07,0.0,2.8566114451678004e-07
1521,5.3102772134090106e-05,2.979113885105887e-07,0.0,0.0
1522,0.0001324466907785141,2.979113885105887e-07,0.0,0.0
1523,0.00018789073926330145,2.979113885105887e-07,0.0,0.0
1524,0.00016811263958516065,2.979113885105887e-07,0.0,0.0
1525,0.0002208274514227274,2.979113885105887e-07,0.0,0.0
1526,0.00024243953391435622,1.569210358606402e-06,0.0,0.0
1527,0.0002712926307140151,1.2712989700958133e-06,0.0,0.0
1528,0.00027651879307606056,1.2712989700958133e-06,0.0,0.0
1529,0.00019717487443163658,1.2712989700958133e-06,0.0,0.0
