ngram,medicine,medicne,medine,medciine
1500,7.522670955495414e-06,0.0,0.0,0.0
1501,6.018136764396331e-06,0.0,0.0,0.0
1502,5.1908248224208364e-06,0.0,0.0,0.0
1503,4.44927841921786e-06,0.0,0.0,0.0
1504,7.402418272509489e-06,0.0,0.0,0.0
1505,6.70971254684056e-06,0.0,0.0,0.0
1506,6.70971254684056e-06,0.0,0.0,0.0
1507,6.70971254684056e-06,0.0,0.0,0.0
1508,6.70971254684056e-06,0.0,0.0,0.0
1509,6.5591032450486504e-06,0.0,0.0,0.0
1510,6.5591032450486504e-06,0.0,0.0,0.0
1511,3.4723023938048366e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,5.352813462065699e-06,0.0,0.0,0.0
1518,5.352813462065699e-06,0.0,0.0,0.0
1519,5.352813462065699e-06,0.0,0.0,0.0
1520,1.5779711832562627e-05,0.0,0.0,0.0
1521,1.5208389543529068e-05,0.0,0.0,0.0
1522,1.5208389543529068e-05,0.0,0.0,0.0
1523,1.7672569551255686e-05,0.0,0.0,0.0
1524,1.2891078378223547e-05,0.0,0.0,0.0
1525,1.2891078378223547e-05,0.0,0.0,0.0
1526,1.2891078378223547e-05,0.0,0.0,0.0
1527,2.4641800077266192e-06,0.0,0.0,0.0
1528,2.4641800077266192e-06,0.0,0.0,0.0
1529,2.4641800077266192e-06,0.0,0.0,0.0
1530,4.373690899228677e-06,0.0,0.0,0.0
1531,1.011853912911777e-05,0.0,0.0,0.0
1532,1.011853912911777e-05,0.0,0.0,0.0
1533,1.011853912911777e-05,0.0,0.0,0.0
1534,1.011853912911777e-05,0.0,0.0,0.0
1535,1.08715582557904e-05,0.0,0.0,0.0
1536,1.08715582557904e-05,0.0,0.0,0.0
1537,6.497867356561723e-06,0.0,0.0,0.0
1538,3.569384313907774e-05,0.0,0.0,0.0
1539,3.569384313907774e-05,0.0,0.0,0.0
1540,3.569384313907774e-05,0.0,0.0,0.0
1541,3.569384313907774e-05,0.0,0.0,0.0
1542,4.2464055565817815e-05,0.0,0.0,0.0
1543,4.2464055565817815e-05,0.0,0.0,0.0
1544,4.274226541513469e-05,0.0,0.0,0.0
1545,9.67688210299197e-06,0.0,0.0,0.0
1546,9.67688210299197e-06,0.0,0.0,0.0
1547,9.67688210299197e-06,0.0,0.0,0.0
1548,1.1757575618633251e-05,0.0,0.0,0.0
1549,4.234344065220544e-06,0.0,0.0,0.0
1550,4.774689776760559e-06,0.0,0.0,0.0
1551,9.21887421359965e-06,0.0,0.0,0.0
1552,8.064544512568059e-06,0.0,0.0,0.0
1553,8.064544512568059e-06,0.0,0.0,0.0
1554,1.7321146677724236e-05,0.0,0.0,0.0
1555,1.5240453162082953e-05,0.0,0.0,0.0
1556,1.5240453162082953e-05,0.0,0.0,0.0
1557,1.4700107450542938e-05,0.0,0.0,0.0
1558,1.679819998961258e-05,0.0,0.0,0.0
1559,1.7796312282111364e-05,0.0,0.0,0.0
1560,1.9591073266513247e-05,0.0,0.0,0.0
1561,1.033447110135707e-05,0.0,0.0,0.0
1562,1.2112185686419252e-05,0.0,0.0,0.0
1563,1.2112185686419252e-05,0.0,0.0,0.0
1564,1.2112185686419252e-05,0.0,0.0,0.0
1565,5.291698861193643e-06,0.0,0.0,0.0
1566,7.379816582085498e-06,0.0,0.0,0.0
1567,7.632247616129462e-06,0.0,0.0,0.0
1568,7.632247616129462e-06,0.0,0.0,0.0
1569,5.854533031067279e-06,0.0,0.0,0.0
1570,5.854533031067279e-06,0.0,0.0,0.0
1571,5.854533031067279e-06,0.0,0.0,0.0
1572,7.414415449602529e-06,0.0,0.0,0.0
1573,8.640711842287732e-06,0.0,0.0,0.0
1574,7.138231369806038e-06,0.0,0.0,0.0
1575,8.39551099878528e-06,0.0,0.0,0.0
1576,9.747552309948202e-06,0.0,0.0,0.0
1577,1.2299028217707278e-05,0.0,0.0,0.0
1578,1.2539941329643106e-05,0.0,0.0,0.0
1579,1.4860587741947842e-05,0.0,0.0,0.0
1580,9.826950336641208e-06,0.0,0.0,0.0
1581,1.1062160979236069e-05,0.0,0.0,0.0
1582,1.1899788189241787e-05,0.0,0.0,0.0
1583,1.1268680785698442e-05,0.0,0.0,0.0
1584,1.051542804881527e-05,0.0,0.0,0.0
1585,1.102938728893475e-05,0.0,0.0,0.0
1586,3.3747930111920664e-05,0.0,0.0,0.0
1587,3.617048696469283e-05,0.0,0.0,0.0
1588,3.4390564776133813e-05,0.0,0.0,0.0
1589,3.3789469723290366e-05,0.0,0.0,0.0
1590,3.436841409763604e-05,0.0,0.0,0.0
1591,3.5235525436811645e-05,0.0,0.0,0.0
1592,3.507762487840539e-05,0.0,0.0,0.0
1593,1.2050980850679999e-05,0.0,0.0,0.0
1594,1.0801845097116061e-05,0.0,0.0,0.0
1595,1.2154236433811352e-05,0.0,0.0,0.0
1596,1.087084287324355e-05,0.0,0.0,0.0
1597,1.5139820918973004e-05,0.0,0.0,0.0
1598,1.3491866476605147e-05,0.0,0.0,0.0
1599,1.4781473055336392e-05,0.0,0.0,0.0
1600,1.2593624562993813e-05,0.0,0.0,0.0
1601,1.3568765942701638e-05,0.0,0.0,0.0
1602,1.848041750106079e-05,0.0,0.0,0.0
1603,2.197899038947071e-05,0.0,0.0,0.0
1604,1.709121534076985e-05,0.0,0.0,0.0
1605,1.674845660610507e-05,0.0,0.0,0.0
1606,1.9826844631357483e-05,0.0,0.0,0.0
1607,1.918876257280187e-05,0.0,0.0,0.0
1608,1.7639232867492994e-05,0.0,0.0,0.0
1609,1.3639277767651947e-05,0.0,0.0,0.0
1610,1.0949872765715035e-05,0.0,0.0,0.0
1611,1.1395326574919246e-05,0.0,0.0,0.0
1612,1.2603710339525215e-05,0.0,0.0,0.0
1613,8.91722779020451e-06,0.0,0.0,0.0
1614,1.0477998979955114e-05,0.0,0.0,0.0
1615,1.1402739216594324e-05,0.0,0.0,0.0
1616,9.859500486137612e-06,0.0,0.0,0.0
1617,1.0940117070796468e-05,0.0,0.0,0.0
1618,1.3161804612796654e-05,0.0,0.0,0.0
1619,1.251667897252316e-05,0.0,0.0,0.0
1620,1.3152234519761155e-05,0.0,0.0,0.0
1621,1.2093892174951698e-05,0.0,0.0,0.0
1622,1.1554996880087337e-05,0.0,0.0,0.0
1623,1.3258875502028136e-05,0.0,0.0,0.0
1624,1.1606669366821215e-05,0.0,0.0,0.0
1625,8.673770188189727e-06,0.0,0.0,0.0
1626,8.354377996511175e-06,0.0,0.0,0.0
1627,8.197823295371823e-06,0.0,0.0,0.0
1628,9.700385719822537e-06,0.0,0.0,0.0
1629,9.4582721236033e-06,0.0,0.0,0.0
1630,9.276018480315023e-06,0.0,0.0,0.0
1631,1.2058781229435616e-05,5.6679985911094784e-08,0.0,0.0
1632,1.4575494073402037e-05,5.6679985911094784e-08,0.0,0.0
1633,1.7358512260606013e-05,5.6679985911094784e-08,0.0,0.0
1634,1.6958627319192082e-05,5.6679985911094784e-08,0.0,0.0
1635,1.4618737558131606e-05,5.6679985911094784e-08,0.0,0.0
1636,2.0041926550870164e-05,5.6679985911094784e-08,0.0,0.0
1637,1.9262655119486487e-05,5.6679985911094784e-08,0.0,0.0
1638,1.865796223553064e-05,0.0,0.0,0.0
1639,1.642675800082673e-05,0.0,0.0,0.0
1640,1.3239292814302774e-05,0.0,0.0,0.0
1641,1.2419191859537801e-05,0.0,0.0,0.0
1642,1.265529226657236e-05,0.0,0.0,0.0
1643,7.211918727989541e-06,0.0,0.0,0.0
1644,6.390346373206869e-06,0.0,0.0,0.0
1645,4.058980916202667e-06,0.0,0.0,0.0
1646,4.164056138376639e-06,0.0,0.0,0.0
1647,5.002608077120385e-06,0.0,0.0,0.0
1648,6.849269604052617e-06,0.0,0.0,0.0
