ngram,truth,truh,trth,turth
1500,1.0437694299980649e-06,0.0,0.0,0.0
1501,8.350155439984519e-07,0.0,0.0,0.0
1502,8.25141288866386e-06,0.0,0.0,0.0
1503,1.599730636111677e-05,0.0,0.0,0.0
1504,1.8950446214408396e-05,0.0,0.0,0.0
1505,1.8803331386152422e-05,0.0,0.0,0.0
1506,1.8803331386152422e-05,0.0,0.0,0.0
1507,1.8803331386152422e-05,0.0,0.0,0.0
1508,1.8803331386152422e-05,0.0,0.0,0.0
1509,1.2327131441582293e-05,0.0,0.0,0.0
1510,3.4024646993202623e-06,0.0,0.0,0.0
1511,3.156638480764481e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,6.570206356367894e-06,0.0,0.0,0.0
1515,6.570206356367894e-06,0.0,0.0,0.0
1516,6.570206356367894e-06,0.0,0.0,0.0
1517,1.5070634877442249e-05,0.0,0.0,0.0
1518,1.5070634877442249e-05,0.0,0.0,0.0
1519,1.5070634877442249e-05,0.0,0.0,0.0
1520,2.6391267186097268e-05,0.0,0.0,0.0
1521,1.9821060829729375e-05,0.0,0.0,0.0
1522,1.9821060829729375e-05,0.0,0.0,0.0
1523,2.043710583166103e-05,0.0,0.0,0.0
1524,2.4324745611790733e-05,0.0,2.064678093509948e-06,0.0
1525,2.4324745611790733e-05,0.0,2.064678093509948e-06,0.0
1526,2.4324745611790733e-05,0.0,2.064678093509948e-06,0.0
1527,1.3004113303135714e-05,0.0,2.064678093509948e-06,0.0
1528,1.3004113303135714e-05,0.0,2.064678093509948e-06,0.0
1529,1.3004113303135714e-05,0.0,2.064678093509948e-06,0.0
1530,1.238806830120406e-05,0.0,2.064678093509948e-06,0.0
1531,1.1489696459778185e-05,0.0,0.0,0.0
1532,1.1489696459778185e-05,0.0,0.0,0.0
1533,1.1489696459778185e-05,0.0,0.0,0.0
1534,1.5703108406991566e-05,0.0,0.0,0.0
1535,3.716415449162014e-05,0.0,0.0,0.0
1536,3.984774074134683e-05,0.0,0.0,0.0
1537,7.541973952486712e-05,0.0,0.0,0.0
1538,6.393004306508894e-05,0.0,0.0,0.0
1539,6.393004306508894e-05,0.0,0.0,0.0
1540,6.393004306508894e-05,0.0,0.0,0.0
1541,5.971663111787555e-05,0.0,0.0,0.0
1542,3.976023136991509e-05,0.0,0.0,0.0
1543,3.707664512018839e-05,0.0,0.0,0.0
1544,1.221572594139226e-05,0.0,0.0,0.0
1545,1.7038287816311432e-05,0.0,0.0,0.0
1546,2.2632411985666424e-05,0.0,0.0,0.0
1547,3.574097679250242e-05,0.0,0.0,0.0
1548,3.811891227607183e-05,0.0,0.0,0.0
1549,4.146489689966464e-05,0.0,0.0,0.0
1550,5.119111951249319e-05,0.0,0.0,0.0
1551,6.645320874148248e-05,0.0,0.0,0.0
1552,7.605286711103483e-05,0.0,0.0,0.0
1553,7.045874294167984e-05,0.0,0.0,0.0
1554,6.660678030000002e-05,0.0,0.0,0.0
1555,6.543081482439967e-05,0.0,0.0,0.0
1556,6.162106014276755e-05,0.0,0.0,0.0
1557,7.05848538668111e-05,0.0,0.0,0.0
1558,4.461168503309766e-05,0.0,0.0,0.0
1559,7.660849444489161e-05,0.0,0.0,0.0
1560,0.0001223748998069953,0.0,0.0,0.0
1561,0.0001131182976418391,0.0,0.0,0.0
1562,0.00020435748553739228,0.0,0.0,0.0
1563,0.0002033166092587635,0.0,0.0,0.0
1564,0.00019098823967007256,0.0,0.0,0.0
1565,0.00020110624661486196,0.0,0.0,0.0
1566,0.00015659088746490722,0.0,0.0,0.0
1567,0.00012106044167532153,0.0,0.0,0.0
1568,0.00012106044167532153,0.0,0.0,0.0
1569,3.97598641939112e-05,0.0,0.0,0.0
1570,7.904618528950127e-05,0.0,0.0,0.0
1571,7.513639021843639e-05,0.0,0.0,0.0
1572,8.113716765884809e-05,0.0,0.0,0.0
1573,9.433440936845727e-05,0.0,0.0,0.0
1574,0.00010806575768843427,0.0,0.0,0.0
1575,0.0001231531127164739,0.0,0.0,0.0
1576,0.00012012478016133952,0.0,0.0,0.0
1577,9.104436269678575e-05,0.0,0.0,0.0
1578,0.00010738373384810984,0.0,0.0,0.0
1579,0.00010743381946148085,0.0,0.0,0.0
1580,0.00014779871292245974,0.0,0.0,0.0
1581,0.00013747747496901347,0.0,0.0,0.0
1582,0.00013621650577988476,0.0,0.0,0.0
1583,0.00015285632148983756,0.0,0.0,0.0
1584,0.00015164153384310857,0.0,0.0,0.0
1585,0.0001721036741011111,0.0,0.0,0.0
1586,0.00016312374230307926,0.0,0.0,0.0
1587,0.00012496191422022612,0.0,0.0,0.0
1588,0.00014010459459054152,0.0,0.0,0.0
1589,0.00014028269444159896,0.0,0.0,0.0
1590,0.00014776761132192666,0.0,0.0,0.0
1591,0.00015983263853870864,0.0,0.0,0.0
1592,0.0001444581471982279,0.0,0.0,0.0
1593,0.00015490806981688365,0.0,0.0,0.0
1594,0.00014682382918960814,0.0,0.0,0.0
1595,0.0001347145714264895,0.0,0.0,0.0
1596,0.0001278643051461716,0.0,0.0,0.0
1597,0.00011269707985255601,0.0,1.2106209266806089e-07,0.0
1598,9.522388375314352e-05,0.0,1.2106209266806089e-07,0.0
1599,8.490479428603846e-05,0.0,1.2106209266806089e-07,0.0
1600,9.623558902863547e-05,0.0,1.2106209266806089e-07,0.0
1601,0.00012276012057554908,0.0,1.2106209266806089e-07,0.0
1602,0.00011735590513645937,0.0,1.2106209266806089e-07,0.0
1603,0.00013822517368160852,0.0,1.2106209266806089e-07,0.0
1604,0.0001368202881297163,0.0,0.0,0.0
1605,0.00016618135123280808,0.0,0.0,0.0
1606,0.0001955445051342914,0.0,0.0,0.0
1607,0.00021285766914453625,0.0,0.0,0.0
1608,0.00020506826383228014,0.0,0.0,0.0
1609,0.00021869795143304924,0.0,0.0,0.0
1610,0.00022980107938305343,0.0,0.0,0.0
1611,0.00022611844594523842,0.0,0.0,0.0
1612,0.0002526235953804904,0.0,0.0,0.0
1613,0.0002317545045765915,1.598104810390006e-07,0.0,0.0
1614,0.00020261139226412133,1.598104810390006e-07,0.0,0.0
1615,0.00020779859291256538,1.598104810390006e-07,0.0,0.0
1616,0.00023731773295107165,1.598104810390006e-07,0.0,0.0
1617,0.00023883621698977158,1.598104810390006e-07,0.0,0.0
1618,0.00025176869738580924,1.598104810390006e-07,0.0,0.0
1619,0.00023485757992602885,2.7234498085298195e-07,0.0,0.0
1620,0.00024262245278805494,1.1253449981398132e-07,0.0,0.0
1621,0.0002763318729453853,1.1253449981398132e-07,0.0,0.0
1622,0.000295458675412062,1.1253449981398132e-07,0.0,0.0
1623,0.00027147837473811317,3.8194869083391883e-07,0.0,0.0
1624,0.00023994253881807839,3.8194869083391883e-07,0.0,0.0
1625,0.00024576175824872086,3.8194869083391883e-07,0.0,0.0
1626,0.00023950396488154574,2.6941419101993755e-07,0.0,0.0
1627,0.00024595334252808243,2.6941419101993755e-07,0.0,0.0
1628,0.00025707821519712785,2.6941419101993755e-07,0.0,0.0
1629,0.00024574390304873565,2.6941419101993755e-07,0.0,8.252934386681382e-08
1630,0.0002527321651411642,0.0,0.0,8.252934386681382e-08
1631,0.0002857928089464882,1.1335997182218957e-07,5.6679985911094784e-08,8.252934386681382e-08
1632,0.000290243308492271,2.0498610605760144e-07,5.6679985911094784e-08,8.252934386681382e-08
1633,0.00028522021810723733,2.0498610605760144e-07,5.6679985911094784e-08,8.252934386681382e-08
1634,0.00027585728093981743,4.518224321665392e-07,5.6679985911094784e-08,8.252934386681382e-08
1635,0.0002663209369140012,5.341421456250828e-07,5.6679985911094784e-08,8.252934386681382e-08
1636,0.00025821357017516026,5.341421456250828e-07,5.6679985911094784e-08,0.0
1637,0.0002902104668984456,5.341421456250828e-07,5.6679985911094784e-08,0.0
1638,0.00028891292666750293,4.207821738028932e-07,0.0,0.0
1639,0.0002884586137952283,3.291560395674813e-07,0.0,0.0
1640,0.00028382874110580554,3.291560395674813e-07,0.0,0.0
1641,0.0002906665613409132,8.231971345854358e-08,0.0,0.0
1642,0.00028659043268167546,0.0,1.0794983446820489e-07,0.0
1643,0.0002916986746380904,0.0,1.0794983446820489e-07,0.0
1644,0.00025160138154335855,0.0,1.0794983446820489e-07,0.0
1645,0.000246633415892055,0.0,1.0794983446820489e-07,0.0
1646,0.00026438800601421723,0.0,1.0794983446820489e-07,0.0
1647,0.00027636162121780217,1.040455523642387e-07,1.0794983446820489e-07,0.0
1648,0.0002803984118924875,1.4989478813731694e-07,1.0794983446820489e-07,0.0
1649,0.0003101082007300907,2.2812256312525798e-07,0.0,0.0
1650,0.00031196441393279074,2.2812256312525798e-07,0.0,0.0
1651,0.00033057783314559074,2.2812256312525798e-07,0.0,4.300008121000636e-08
1652,0.0003282989554073928,2.837939600145286e-07,0.0,4.300008121000636e-08
1653,0.000318703060786772,2.837939600145286e-07,0.0,4.300008121000636e-08
1654,0.000339423117111437,2.6271477996228245e-07,0.0,4.300008121000636e-08
1655,0.0003562602110572958,2.1686554418920423e-07,0.0,4.300008121000636e-08
1656,0.0003245836019881868,1.386377692012632e-07,0.0,4.300008121000636e-08
1657,0.0003296405089453661,1.386377692012632e-07,0.0,4.300008121000636e-08
1658,0.0003112376351574702,1.386377692012632e-07,0.0,0.0
1659,0.00031573022507862855,8.296637231199253e-08,0.0,0.0
1660,0.0003269593975606507,8.296637231199253e-08,0.0,0.0
1661,0.00030217173999907184,0.0,0.0,0.0
1662,0.00027560937866967706,8.119971945624066e-08,0.0,0.0
1663,0.0002453099410299079,8.119971945624066e-08,0.0,0.0
1664,0.00022463272554367513,8.119971945624066e-08,0.0,0.0
1665,0.0002219423050909037,8.119971945624066e-08,4.4091616960681024e-08,0.0
1666,0.0002115084301164773,8.119971945624066e-08,8.404001456645866e-08,0.0
1667,0.00018594847746758854,1.136520353384185e-07,8.404001456645866e-08,0.0
1668,0.00018794911219239502,1.136520353384185e-07,8.404001456645866e-08,0.0
1669,0.00019997318720145683,3.245231588217783e-08,8.404001456645866e-08,0.0
1670,0.0002132899348258174,7.110148406549602e-08,8.404001456645866e-08,0.0
1671,0.00022486531815957278,7.110148406549602e-08,1.2315020723820324e-07,0.0
1672,0.00023471761960536242,7.110148406549602e-08,7.905859027752221e-08,0.0
1673,0.00024610237077078115,9.584435442125791e-08,3.911019267174457e-08,0.0
1674,0.00025329537831047285,9.592256284512197e-08,3.911019267174457e-08,0.0
1675,0.00025008470609983694,1.3024106237935484e-07,3.911019267174457e-08,0.0
1676,0.00024908745503385684,2.1613408307530335e-07,3.911019267174457e-08,0.0
