ngram,border,bordr,border,border
1500,8.098626835817413e-07,0.0,8.098626835817413e-07,8.098626835817413e-07
1501,6.47890146865393e-07,0.0,6.47890146865393e-07,6.47890146865393e-07
1502,7.156193078117212e-07,0.0,7.156193078117212e-07,7.156193078117212e-07
1503,6.133879781243325e-07,0.0,6.133879781243325e-07,6.133879781243325e-07
1504,6.133879781243325e-07,0.0,6.133879781243325e-07,6.133879781243325e-07
1505,7.819369979448052e-07,0.0,7.819369979448052e-07,7.819369979448052e-07
1506,7.819369979448052e-07,0.0,7.819369979448052e-07,7.819369979448052e-07
1507,7.819369979448052e-07,0.0,7.819369979448052e-07,7.819369979448052e-07
1508,7.819369979448052e-07,0.0,7.819369979448052e-07,7.819369979448052e-07
1509,6.313276961528962e-07,0.0,6.313276961528962e-07,6.313276961528962e-07
1510,6.313276961528962e-07,0.0,6.313276961528962e-07,6.313276961528962e-07
1511,6.313276961528962e-07,0.0,6.313276961528962e-07,6.313276961528962e-07
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.999628044099414e-06,0.0,1.999628044099414e-06,1.999628044099414e-06
1515,1.999628044099414e-06,0.0,1.999628044099414e-06,1.999628044099414e-06
1516,1.999628044099414e-06,0.0,1.999628044099414e-06,1.999628044099414e-06
1517,0.00011197392294499358,0.0,0.00011197392294499358,0.00011197392294499358
1518,0.00011197392294499358,0.0,0.00011197392294499358,0.00011197392294499358
1519,0.00011197392294499358,0.0,0.00011197392294499358,0.00011197392294499358
1520,0.00011584677096314928,0.0,0.00011584677096314928,0.00011584677096314928
1521,0.00011384714291904987,0.0,0.00011384714291904987,0.00011384714291904987
1522,0.00012019465663927673,0.0,0.00012019465663927673,0.00012019465663927673
1523,0.00012450697171776222,0.0,0.00012450697171776222,0.00012450697171776222
1524,1.4532676816868064e-05,0.0,1.4532676816868064e-05,1.4532676816868064e-05
1525,1.4532676816868064e-05,0.0,1.4532676816868064e-05,1.4532676816868064e-05
