ngram,trade,trde,trae,tradd
1500,1.3397495877143228e-05,0.0,0.0,0.0
1501,1.0717996701714583e-05,0.0,0.0,0.0
1502,3.124694103462389e-05,0.0,1.7571085209056037e-07,0.0
1503,2.6783092315391904e-05,0.0,1.506093017919089e-07,0.0
1504,2.6795690116289605e-05,0.0,1.506093017919089e-07,0.0
1505,2.852745793851292e-05,0.0,1.506093017919089e-07,0.0
1506,2.852745793851292e-05,0.0,1.506093017919089e-07,0.0
1507,2.852745793851292e-05,0.0,1.506093017919089e-07,0.0
1508,2.852745793851292e-05,0.0,1.506093017919089e-07,0.0
1509,9.400077552917147e-06,0.0,0.0,0.0
1510,9.400077552917147e-06,0.0,0.0,0.0
1511,6.313276701673333e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.4283056901019466e-06,0.0,0.0,0.0
1515,1.4283056901019466e-06,0.0,0.0,0.0
1516,1.4283056901019466e-06,0.0,0.0,0.0
1517,6.209796863134086e-06,0.0,0.0,0.0
1518,6.209796863134086e-06,0.0,0.0,0.0
1519,6.209796863134086e-06,0.0,0.0,0.0
1520,4.5534098457470206e-05,0.0,0.0,0.0
1521,4.410579276736826e-05,0.0,0.0,0.0
1522,9.488590252918325e-05,0.0,0.0,0.0
1523,0.00011706352233886719,0.0,0.0,0.0
1524,0.00011228203116583504,0.0,0.0,0.0
1525,0.00011228203116583504,0.0,0.0,0.0
1526,0.00011228203116583504,0.0,0.0,0.0
1527,7.295772957149893e-05,0.0,0.0,0.0
1528,7.609342693675509e-05,0.0,0.0,0.0
1529,2.5313317174940103e-05,0.0,0.0,0.0
1530,3.1356973652561593e-06,0.0,0.0,0.0
1531,3.185993903441288e-05,0.0,0.0,0.0
1532,3.321268884194849e-05,0.0,0.0,0.0
1533,3.321268884194849e-05,0.0,0.0,0.0
1534,3.321268884194849e-05,0.0,0.0,0.0
1535,3.0830010603364955e-05,0.0,0.0,0.0
1536,3.1724539374928486e-05,0.0,0.0,0.0
1537,3.1724539374928486e-05,0.0,0.0,0.0
1538,6.176736275977289e-06,0.0,0.0,0.0
1539,1.8935875687020598e-05,0.0,0.0,0.0
1540,1.8935875687020598e-05,0.0,0.0,0.0
1541,1.8935875687020598e-05,0.0,0.0,0.0
1542,3.0220027253692804e-05,0.0,1.5046463366681046e-06,0.0
1543,2.932549848212927e-05,0.0,1.5046463366681046e-06,0.0
1544,3.4611485846523594e-05,0.0,1.5046463366681046e-06,0.0
1545,3.2238807567149964e-05,0.0,1.5046463366681046e-06,0.0
1546,2.400074851850929e-05,0.0,1.5046463366681046e-06,0.0
1547,2.400074851850929e-05,0.0,1.5046463366681046e-06,0.0
1548,2.9945587357360637e-05,0.0,1.5046463366681046e-06,0.0
1549,1.7908416664015802e-05,0.0,0.0,0.0
1550,2.7634639276844348e-05,0.0,0.0,0.0
1551,2.707104619860599e-05,0.0,0.0,0.0
1552,5.078505949183766e-05,0.0,0.0,0.0
1553,4.4911229321899426e-05,0.0,0.0,0.0
1554,5.4167831487055605e-05,0.0,0.0,0.0
1555,8.668603290321439e-05,0.0,0.0,0.0
1556,8.772690918184318e-05,0.0,0.0,0.0
1557,9.669070290588675e-05,0.0,0.0,0.0
1558,0.00010356313539107629,0.0,0.0,0.0
1559,8.248380839047189e-05,0.0,0.0,0.0
1560,8.83167814598502e-05,0.0,0.0,0.0
1561,7.906017929469402e-05,0.0,0.0,0.0
1562,4.0597139039683885e-05,0.0,0.0,0.0
1563,3.9556262761055094e-05,0.0,0.0,0.0
