ngram,month,monh,mnth,monht
1500,3.2113893212226685e-05,0.0,0.0,0.0
1501,2.5691114569781347e-05,0.0,0.0,0.0
1502,3.7926082465370804e-05,0.0,0.0,0.0
1503,3.250807068460355e-05,0.0,0.0,0.0
1504,6.540618882614322e-05,0.0,0.0,0.0
1505,7.424234458345122e-05,0.0,0.0,0.0
1506,7.424234458345122e-05,0.0,0.0,0.0
1507,7.424234458345122e-05,0.0,0.0,0.0
1508,7.424234458345122e-05,0.0,0.0,0.0
1509,6.008507002012006e-05,0.0,0.0,0.0
1510,6.008507002012006e-05,0.0,0.0,0.0
1511,2.3043460844616804e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.1995907965382295e-05,0.0,0.0,0.0
1515,2.1995907965382295e-05,0.0,0.0,0.0
1516,2.1995907965382295e-05,0.0,0.0,0.0
1517,2.890250626868302e-05,0.0,0.0,0.0
1518,2.890250626868302e-05,0.0,0.0,0.0
1519,2.890250626868302e-05,0.0,0.0,0.0
1520,3.456282242301053e-05,0.0,0.0,0.0
1521,1.2566914457628237e-05,0.0,0.0,0.0
1522,2.8435699018051048e-05,0.0,0.0,0.0
1523,4.691704920592851e-05,0.0,0.0,0.0
1524,4.4139807089647676e-05,0.0,0.0,0.0
1525,4.4139807089647676e-05,0.0,0.0,0.0
1526,4.4139807089647676e-05,0.0,0.0,0.0
1527,3.847949093532017e-05,0.0,0.0,0.0
1528,7.297216169328229e-05,0.0,0.0,0.0
1529,5.710337713285948e-05,0.0,0.0,0.0
1530,3.862202694498202e-05,0.0,0.0,0.0
1531,4.023751898785122e-05,0.0,0.0,0.0
1532,4.4295768280530213e-05,0.0,0.0,0.0
1533,4.4295768280530213e-05,0.0,0.0,0.0
1534,5.272259217495697e-05,0.0,0.0,0.0
1535,3.0278227443756934e-05,0.0,0.0,0.0
1536,4.6827009490308615e-05,0.0,0.0,0.0
1537,4.6827009490308615e-05,0.0,0.0,0.0
1538,4.1082161260419525e-05,0.0,0.0,0.0
1539,3.702391196774053e-05,0.0,0.0,0.0
1540,3.702391196774053e-05,0.0,0.0,0.0
1541,2.859708807331377e-05,0.0,0.0,0.0
1542,2.858595273989652e-05,0.0,0.0,0.0
1543,1.2037170693344836e-05,0.0,0.0,0.0
1544,2.274825029806899e-05,0.0,0.0,0.0
1545,2.944625261339492e-05,0.0,0.0,0.0
1546,3.0005665004344856e-05,0.0,0.0,0.0
1547,3.0005665004344856e-05,0.0,0.0,0.0
1548,3.476153597148368e-05,0.0,0.0,0.0
1549,2.2724365278138847e-05,0.0,0.0,0.0
1550,3.191024201701761e-05,0.0,0.0,0.0
1551,2.1199162412293454e-05,0.0,0.0,0.0
1552,5.7767820830382076e-05,0.0,0.0,0.0
1553,5.7208408439432136e-05,0.0,0.0,0.0
1554,5.7208408439432136e-05,0.0,0.0,0.0
1555,5.545746249221598e-05,0.0,0.0,0.0
1556,5.649833877084477e-05,0.0,0.0,0.0
1557,5.665747020040206e-05,0.0,0.0,0.0
1558,7.370868622404356e-05,0.0,0.0,0.0
1559,4.247658827288043e-05,0.0,0.0,0.0
1560,5.818074701632473e-05,0.0,0.0,0.0
1561,5.818074701632473e-05,0.0,0.0,0.0
1562,5.517582199640206e-05,0.0,0.0,0.0
1563,6.0045027826812915e-05,0.0,0.0,0.0
1564,5.070001965837686e-05,0.0,0.0,0.0
1565,5.894381995728638e-05,0.0,0.0,0.0
1566,5.0716598187656405e-05,0.0,0.0,0.0
1567,3.501243944421211e-05,0.0,0.0,0.0
1568,3.501243944421211e-05,0.0,0.0,0.0
1569,3.7240555424692244e-05,0.0,0.0,0.0
1570,3.435249787539111e-05,0.0,0.0,0.0
1571,3.680434955250738e-05,0.0,0.0,0.0
1572,1.4109137087611348e-05,0.0,0.0,0.0
1573,1.7852252182949868e-05,0.0,0.0,0.0
1574,1.9486386788360376e-05,0.0,0.0,0.0
1575,1.9486386788360376e-05,0.0,0.0,0.0
1576,2.0863714390933247e-05,0.0,0.0,0.0
1577,1.7841689831194734e-05,0.0,0.0,0.0
1578,2.068992684404033e-05,0.0,0.0,0.0
1579,1.873687779152533e-05,0.0,0.0,0.0
1580,1.2176882527065963e-05,0.0,0.0,0.0
1581,1.0542747921655454e-05,0.0,0.0,0.0
1582,1.2218673418828985e-05,0.0,0.0,0.0
1583,1.3419456146428793e-05,0.0,0.0,0.0
1584,1.70159024881806e-05,0.0,0.0,0.0
1585,1.586761163707706e-05,0.0,0.0,0.0
1586,1.8096432216095438e-05,0.0,0.0,0.0
1587,1.8144210051624604e-05,0.0,0.0,0.0
1588,2.216124494225369e-05,0.0,0.0,0.0
1589,2.68340196661094e-05,0.0,0.0,0.0
1590,2.3067695955043227e-05,0.0,0.0,0.0
1591,2.3469251638224315e-05,0.0,0.0,0.0
1592,2.3496256354909356e-05,0.0,0.0,0.0
1593,2.330000169032636e-05,0.0,0.0,0.0
1594,2.393807881162502e-05,0.0,0.0,0.0
1595,2.3076623619999737e-05,0.0,0.0,0.0
1596,2.2409215619388435e-05,0.0,0.0,0.0
1597,2.705923140768261e-05,0.0,0.0,0.0
1598,3.734878412485289e-05,0.0,0.0,0.0
1599,4.366407340837343e-05,0.0,0.0,0.0
1600,4.822716657924632e-05,0.0,0.0,0.0
1601,5.2801214353946436e-05,0.0,0.0,0.0
1602,6.40529339891925e-05,0.0,0.0,0.0
1603,6.043219231547222e-05,0.0,0.0,0.0
1604,7.330173879641475e-05,0.0,0.0,0.0
1605,6.328678591671633e-05,0.0,0.0,0.0
1606,6.400390949628283e-05,0.0,0.0,0.0
1607,5.750799268103687e-05,0.0,0.0,0.0
1608,7.302248799792974e-05,0.0,0.0,0.0
1609,6.201132035649997e-05,0.0,0.0,0.0
1610,6.071545937759636e-05,0.0,0.0,0.0
1611,4.707178374831399e-05,0.0,0.0,0.0
1612,4.3068182614141346e-05,0.0,0.0,0.0
1613,3.425412445981887e-05,0.0,0.0,0.0
1614,3.713333450962507e-05,0.0,0.0,0.0
1615,2.0701681348457767e-05,0.0,0.0,0.0
1616,2.163064391424996e-05,0.0,0.0,0.0
1617,2.2471991672188907e-05,0.0,0.0,0.0
1618,2.7600870842953945e-05,0.0,0.0,0.0
1619,2.9920163667286814e-05,0.0,0.0,0.0
1620,3.366808011508381e-05,0.0,0.0,0.0
1621,3.11128809958713e-05,0.0,0.0,0.0
1622,2.7327340311395737e-05,0.0,0.0,0.0
1623,3.027642937273153e-05,0.0,0.0,0.0
1624,3.4195683058767046e-05,0.0,0.0,0.0
1625,2.7473602260995123e-05,0.0,0.0,0.0
1626,3.9581104959194947e-05,0.0,0.0,0.0
1627,3.5353287395472375e-05,0.0,0.0,0.0
1628,3.755836067804401e-05,0.0,0.0,0.0
1629,4.0549809585042696e-05,0.0,0.0,0.0
1630,3.396561825346518e-05,0.0,0.0,0.0
1631,3.3258125962934825e-05,0.0,0.0,0.0
1632,3.4608471196406754e-05,0.0,0.0,0.0
1633,3.129137667201576e-05,0.0,0.0,0.0
1634,3.2953247227851534e-05,0.0,0.0,0.0
1635,3.115942081421963e-05,0.0,0.0,0.0
1636,3.2091504765828305e-05,0.0,0.0,0.0
1637,3.3523156421974166e-05,0.0,0.0,0.0
1638,3.112941911760052e-05,0.0,0.0,0.0
1639,2.9727035975416323e-05,0.0,0.0,0.0
1640,2.0198879220905447e-05,0.0,0.0,0.0
1641,1.775447214770663e-05,0.0,0.0,0.0
1642,1.8323764119746295e-05,0.0,0.0,0.0
1643,1.3846113103811928e-05,0.0,0.0,0.0
1644,1.5482589658079504e-05,0.0,0.0,0.0
1645,1.5612603484831717e-05,0.0,0.0,0.0
1646,1.64723285576786e-05,0.0,0.0,0.0
1647,1.7326967996008795e-05,0.0,0.0,0.0
1648,1.7980368608862462e-05,0.0,0.0,0.0
1649,1.7259193880038636e-05,0.0,0.0,0.0
1650,2.228270594579434e-05,0.0,0.0,0.0
1651,2.0502589515152586e-05,0.0,0.0,0.0
1652,2.2179540532566273e-05,0.0,0.0,0.0
1653,2.6717480458111303e-05,0.0,0.0,0.0
1654,2.6252387994775616e-05,0.0,0.0,0.0
1655,2.8240965548320673e-05,0.0,0.0,0.0
1656,2.9176459975133184e-05,0.0,0.0,0.0
1657,2.571740891913318e-05,0.0,0.0,0.0
1658,2.9583509396096425e-05,0.0,0.0,0.0
1659,3.320127637250282e-05,0.0,0.0,0.0
1660,2.9744423695124817e-05,0.0,0.0,0.0
1661,3.3282276750209606e-05,0.0,0.0,0.0
1662,3.888414695601179e-05,0.0,0.0,0.0
1663,4.88380464958027e-05,0.0,0.0,0.0
1664,5.4887391473000336e-05,0.0,0.0,0.0
1665,5.534838835176613e-05,0.0,0.0,0.0
1666,5.125474438370604e-05,0.0,0.0,0.0
1667,5.2761011569860526e-05,0.0,0.0,0.0
1668,5.039581732749606e-05,0.0,0.0,0.0
1669,4.4521878018193615e-05,0.0,0.0,0.0
1670,3.7133757879408745e-05,0.0,0.0,0.0
1671,3.2241873278897924e-05,0.0,0.0,0.0
1672,2.962686240997365e-05,0.0,0.0,0.0
1673,2.9731600859252338e-05,2.4742870355761885e-08,0.0,0.0
1674,2.503086411057406e-05,2.4742870355761885e-08,0.0,0.0
1675,2.4775415373109615e-05,2.4742870355761885e-08,0.0,0.0
1676,2.3804630862806725e-05,2.4742870355761885e-08,0.0,0.0
1677,2.270155281231772e-05,2.4742870355761885e-08,0.0,0.0
1678,2.4403936160004897e-05,2.4742870355761885e-08,0.0,0.0
1679,2.518976920587842e-05,2.4742870355761885e-08,0.0,0.0
1680,2.482355362839631e-05,0.0,0.0,0.0
1681,2.7483213281292202e-05,0.0,0.0,0.0
1682,2.7430710231003885e-05,0.0,0.0,0.0
1683,2.767733686986113e-05,0.0,0.0,0.0
1684,2.6666875783121213e-05,0.0,0.0,0.0
1685,2.737139116756485e-05,0.0,0.0,0.0
1686,2.648726461172503e-05,0.0,0.0,0.0
1687,2.554799799067301e-05,0.0,0.0,0.0
1688,2.2269193193226655e-05,0.0,0.0,0.0
1689,2.109023560998529e-05,0.0,0.0,0.0
1690,2.0241401866119952e-05,0.0,0.0,0.0
1691,2.943876292452582e-05,0.0,0.0,0.0
1692,2.466547448420897e-05,0.0,0.0,0.0
1693,2.2578535078667172e-05,0.0,0.0,0.0
1694,2.502316718684077e-05,0.0,0.0,0.0
1695,2.6525192229850552e-05,0.0,0.0,0.0
1696,2.718168590425713e-05,0.0,0.0,0.0
1697,2.988605306849682e-05,0.0,0.0,0.0
1698,2.2980408955066067e-05,0.0,0.0,0.0
1699,2.3068979836742593e-05,0.0,0.0,0.0
1700,2.6984227068688987e-05,0.0,0.0,0.0
1701,2.314520055993593e-05,0.0,0.0,0.0
1702,2.5614779847923535e-05,0.0,0.0,0.0
1703,2.8961574311584366e-05,0.0,0.0,0.0
1704,2.487126136786953e-05,0.0,0.0,0.0
1705,2.2252124511266758e-05,0.0,0.0,0.0
1706,2.2486857817836737e-05,0.0,0.0,0.0
1707,1.7662223464347854e-05,0.0,1.2152453012147037e-08,0.0
1708,1.8296343699018636e-05,0.0,1.2152453012147037e-08,0.0
1709,1.6450321774235427e-05,1.2025016157427411e-08,1.2152453012147037e-08,0.0
1710,1.3000155701904856e-05,1.2025016157427411e-08,1.2152453012147037e-08,0.0
1711,1.5536625012048588e-05,1.2025016157427411e-08,1.2152453012147037e-08,0.0
1712,1.6622732411113767e-05,1.2025016157427411e-08,1.2152453012147037e-08,0.0
1713,1.715722477716294e-05,1.2025016157427411e-08,1.2152453012147037e-08,0.0
1714,1.797835297371161e-05,1.2025016157427411e-08,0.0,0.0
1715,1.725984520817292e-05,1.2025016157427411e-08,0.0,0.0
1716,1.5179873701397031e-05,0.0,0.0,0.0
1717,1.3847121083797123e-05,0.0,0.0,0.0
1718,1.301781159262256e-05,0.0,0.0,0.0
1719,1.071362430593581e-05,6.584871061120014e-09,0.0,0.0
1720,1.1786877686453018e-05,6.584871061120014e-09,0.0,0.0
1721,1.17981688033199e-05,6.584871061120014e-09,0.0,0.0
1722,1.4756345470751902e-05,6.584871061120014e-09,0.0,0.0
1723,1.7462705727666616e-05,6.584871061120014e-09,0.0,0.0
1724,1.9927110640440204e-05,6.584871061120014e-09,0.0,0.0
1725,2.4968388840664246e-05,6.584871061120014e-09,0.0,0.0
1726,2.6530130916008992e-05,0.0,0.0,0.0
1727,2.6096572193117546e-05,0.0,0.0,0.0
1728,2.6385766042429687e-05,0.0,6.479559999661433e-09,0.0
1729,2.4359138478757814e-05,0.0,6.479559999661433e-09,0.0
1730,2.315538560131764e-05,0.0,6.479559999661433e-09,0.0
1731,2.2052796079411303e-05,0.0,6.479559999661433e-09,0.0
1732,1.8288474166183732e-05,0.0,1.8996607715442744e-08,0.0
1733,2.007155204150227e-05,7.024769591420668e-09,1.8996607715442744e-08,0.0
1734,2.4213966753450222e-05,7.024769591420668e-09,1.8996607715442744e-08,0.0
1735,2.5115988527042127e-05,7.024769591420668e-09,1.251704771578131e-08,0.0
1736,2.93156936095329e-05,7.024769591420668e-09,1.251704771578131e-08,0.0
1737,3.1934717169081394e-05,7.024769591420668e-09,1.251704771578131e-08,0.0
1738,3.3820143861313614e-05,7.024769591420668e-09,1.251704771578131e-08,0.0
1739,3.861963913160642e-05,7.024769591420668e-09,0.0,0.0
1740,3.942616707977972e-05,7.48727860663426e-09,0.0,0.0
1741,3.4469124589772294e-05,7.48727860663426e-09,0.0,0.0
1742,3.838682602820752e-05,7.48727860663426e-09,0.0,0.0
1743,3.696675087537317e-05,7.48727860663426e-09,0.0,0.0
1744,3.596849520753105e-05,1.1951338966095396e-08,4.464060359461135e-09,0.0
1745,3.5563958460573174e-05,1.1951338966095396e-08,4.464060359461135e-09,0.0
1746,3.336752355867897e-05,1.1951338966095396e-08,9.442037501068107e-09,0.0
1747,3.350087575069795e-05,8.623212112622371e-09,9.442037501068107e-09,4.159151753161236e-09
