ngram,occasion,ocasion,ocasion
1500,2.4205359636653156e-06,0.0,0.0
1501,1.9364287709322527e-06,0.0,0.0
1502,1.3210606653046852e-05,0.0,0.0
1503,1.1323377131183016e-05,0.0,0.0
1504,1.4276516984474646e-05,0.0,0.0
1505,1.3974006118847423e-05,0.0,0.0
1506,1.3974006118847423e-05,0.0,0.0
1507,1.3974006118847423e-05,0.0,0.0
1508,1.3974006118847423e-05,0.0,0.0
1509,4.033792395473158e-06,0.0,0.0
1510,4.033792395473158e-06,0.0,0.0
1511,9.469915442293444e-07,0.0,0.0
1512,0.0,0.0,0.0
1513,0.0,0.0,0.0
1514,1.0569462444566722e-05,0.0,0.0
1515,1.0569462444566722e-05,0.0,0.0
1516,1.0569462444566722e-05,0.0,0.0
1517,1.2163292792268163e-05,0.0,0.0
1518,1.2163292792268163e-05,0.0,0.0
1519,1.2163292792268163e-05,0.0,0.0
1520,2.4675571044748983e-05,0.0,0.0
1521,1.410610860018226e-05,0.0,0.0
1522,1.410610860018226e-05,0.0,0.0
1523,1.9034468615635497e-05,0.0,0.0
1524,1.7440638267934056e-05,0.0,0.0
1525,1.7440638267934056e-05,0.0,0.0
1526,1.7440638267934056e-05,0.0,0.0
1527,4.9283600154532385e-06,0.0,0.0
1528,4.9283600154532385e-06,0.0,0.0
1529,4.9283600154532385e-06,0.0,0.0
1530,1.3121073217397289e-05,0.0,0.0
1531,1.3121073217397289e-05,0.0,0.0
1532,1.402290640076639e-05,0.0,0.0
1533,2.2004644376595805e-05,0.0,0.0
1534,2.7622527146117397e-05,0.0,0.0
1535,4.418894819277089e-05,0.0,0.0
1536,4.553074131763424e-05,0.0,0.0
1537,3.2409668100236945e-05,0.0,0.0
1538,6.735049211264206e-05,0.0,0.0
1539,6.644865892927296e-05,0.0,0.0
1540,5.846692095344354e-05,0.0,0.0
1541,5.284903818392195e-05,0.0,0.0
1542,4.531049541713271e-05,0.0,0.0
1543,4.396870229226936e-05,0.0,0.0
1544,5.593172578041309e-05,0.0,0.0
1545,2.768890408333391e-05,0.0,0.0
1546,3.0485966168011407e-05,0.0,0.0
1547,4.03173897731384e-05,0.0,0.0
1548,4.59649865141338e-05,0.0,0.0
1549,4.057508132453742e-05,0.0,0.0
1550,5.1381995685265534e-05,0.0,0.0
1551,4.650256388621139e-05,0.0,0.0
1552,4.845789330179936e-05,0.0,0.0
1553,4.5660831217121866e-05,0.0,0.0
1554,4.508600977715105e-05,0.0,0.0
1555,4.965515784403708e-05,0.0,0.0
1556,4.913981371958341e-05,0.0,0.0
1557,3.83328993588553e-05,0.0,0.0
1558,3.6023648135596886e-05,0.0,0.0
1559,2.908953969641256e-05,0.0,0.0
1560,5.017798191277377e-05,0.0,0.0
1561,4.8579637483011796e-05,0.0,0.0
1562,5.08068943807822e-05,0.0,0.0
1563,4.9048130547037416e-05,0.0,0.0
1564,6.813307131129218e-05,0.0,0.0
1565,6.639413277298445e-05,0.0,0.0
1566,6.467490948125487e-05,0.0,0.0
1567,4.7680851301785356e-05,0.0,0.0
1568,4.002259356639115e-05,0.0,0.0
1569,5.2087867126309515e-05,0.0,0.0
1570,5.827906326365857e-05,0.0,0.0
1571,5.635708371950646e-05,0.0,0.0
1572,5.800132878773313e-05,0.0,0.0
1573,8.442792490573734e-05,0.0,0.0
1574,8.687007929048767e-05,0.0,0.0
1575,9.189919780640463e-05,0.0,0.0
1576,8.54171407159551e-05,0.0,0.0
1577,9.317093541280233e-05,0.0,0.0
1578,9.552193660056219e-05,0.0,0.0
1579,0.00011347870843435106,0.0,0.0
1580,0.00010785179048460642,0.0,0.0
1581,0.00011674124367086083,0.0,0.0
1582,0.00012302462190356373,0.0,0.0
1583,0.00011773390308787514,0.0,0.0
1584,0.00017615220089542812,0.0,0.0
1585,0.00016531927030882798,0.0,0.0
1586,0.00014555842686344737,0.0,0.0
1587,0.0001479460801679774,0.0,0.0
1588,0.0001372066295256705,0.0,0.0
1589,0.00014139242973344932,0.0,0.0
1590,0.00014399449407522167,0.0,0.0
1591,7.932947794740488e-05,0.0,0.0
1592,7.840907918372457e-05,0.0,0.0
1593,8.848355355439708e-05,0.0,0.0
1594,9.111148600433288e-05,1.67631583281036e-07,1.67631583281036e-07
1595,9.499008956481703e-05,1.67631583281036e-07,1.67631583281036e-07
1596,9.590441446302325e-05,1.67631583281036e-07,1.67631583281036e-07
1597,9.799879158630834e-05,1.67631583281036e-07,1.67631583281036e-07
1598,9.68987587839365e-05,1.67631583281036e-07,1.67631583281036e-07
1599,9.114261527949046e-05,1.67631583281036e-07,1.67631583281036e-07
1600,0.00010396703835015484,1.67631583281036e-07,1.67631583281036e-07
1601,9.475430293345457e-05,0.0,0.0
1602,0.0001015360634742787,0.0,0.0
1603,9.130509312983901e-05,0.0,0.0
1604,9.243161717417283e-05,0.0,0.0
1605,0.00010144748336772733,1.1243689154330891e-07,1.1243689154330891e-07
1606,0.00011145500944361888,1.9251699866020188e-07,1.9251699866020188e-07
1607,9.463850126069571e-05,1.9251699866020188e-07,1.9251699866020188e-07
1608,8.143049178345661e-05,1.9251699866020188e-07,1.9251699866020188e-07
1609,7.702667789999396e-05,1.9251699866020188e-07,1.9251699866020188e-07
1610,9.149164543487132e-05,1.9251699866020188e-07,1.9251699866020188e-07
1611,7.80527942489633e-05,1.9251699866020188e-07,1.9251699866020188e-07
1612,8.098087658124444e-05,8.008010711689297e-08,8.008010711689297e-08
1613,9.262081221095286e-05,0.0,0.0
1614,9.355114005822023e-05,0.0,0.0
