ngram,system,sytem,systm,systtem
1500,7.55306182327331e-05,0.0,0.0,0.0
1501,6.042449458618648e-05,0.0,0.0,0.0
1502,5.246227571357546e-05,0.0,0.0,0.0
1503,0.0002056116621003769,0.0,0.0,0.0
1504,0.00021154313760364727,0.0,0.0,0.0
1505,0.000200051619036198,0.0,0.0,0.0
1506,0.000200051619036198,0.0,0.0,0.0
1507,0.000200051619036198,0.0,0.0,0.0
1508,0.000200051619036198,0.0,0.0,0.0
1509,0.00019824430741469508,0.0,0.0,0.0
1510,3.760031021166859e-05,0.0,0.0,0.0
1511,2.5253106806693332e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,6.9065983033007276e-06,0.0,0.0,0.0
1518,6.9065983033007276e-06,0.0,0.0,0.0
1519,6.9065983033007276e-06,0.0,0.0,0.0
1520,3.282488978584297e-05,0.0,0.0,0.0
1521,3.282488978584297e-05,0.0,0.0,0.0
1522,3.599864664595641e-05,0.0,0.0,0.0
1523,0.0001302535303174019,0.0,0.0,0.0
1524,0.00012334693201410118,0.0,0.0,0.0
1525,0.00012334693201410118,0.0,0.0,0.0
1526,0.0002358568939858482,0.0,0.0,0.0
1527,0.00020993860250330596,0.0,0.0,0.0
1528,0.0002381598780110445,0.0,0.0,0.0
1529,0.00023498612115093107,0.0,0.0,0.0
1530,0.00014073123747948557,0.0,0.0,0.0
1531,0.00014073123747948557,0.0,0.0,0.0
1532,0.00045907834802554656,0.0,0.0,0.0
1533,0.0003465683860537995,0.0,0.0,0.0
1534,0.0003465683860537995,0.0,0.0,0.0
1535,0.000318347110546061,0.0,0.0,0.0
1536,0.0003340013645356521,0.0,0.0,0.0
1537,0.0003340013645356521,0.0,0.0,0.0
1538,0.0003340013645356521,0.0,0.0,0.0
1539,0.0003867139229052035,0.0,0.0,0.0
1540,0.0006021847303990009,0.0,0.0,0.0
1541,0.0006021847303990009,0.0,0.0,0.0
1542,0.0006473241186800546,0.0,0.0,0.0
1543,0.0006316698646904635,0.0,0.0,0.0
1544,0.0006405725798686035,0.0,0.0,0.0
1545,0.0006405725798686035,0.0,0.0,0.0
1546,0.0002697926171484661,0.0,0.0,0.0
1547,5.432180965466874e-05,0.0,0.0,0.0
1548,0.00011882331110817696,0.0,0.0,0.0
1549,7.368392282712324e-05,0.0,0.0,0.0
1550,0.00010016086233528248,0.0,0.0,0.0
1551,9.125814715714244e-05,0.0,0.0,0.0
1552,9.774814595532786e-05,0.0,0.0,0.0
1553,9.746843975985289e-05,0.0,0.0,0.0
1554,9.746843975985289e-05,0.0,0.0,0.0
1555,3.5370878322282806e-05,0.0,0.0,0.0
1556,7.908768384368159e-05,0.0,0.0,0.0
1557,5.261074433552234e-05,0.0,0.0,0.0
1558,0.0001269540511462505,0.0,0.0,0.0
1559,0.00012046405234806506,0.0,0.0,0.0
1560,0.00012315619382466787,0.0,0.0,0.0
1561,0.00012315619382466787,0.0,0.0,0.0
1562,0.00012075225380872976,0.0,0.0,0.0
1563,7.839931341940038e-05,0.0,0.0,0.0
1564,7.839931341940038e-05,0.0,0.0,0.0
1565,5.0678072511800565e-06,0.0,0.0,0.0
1566,1.268248927642292e-05,0.0,0.0,0.0
1567,9.990347799820093e-06,0.0,0.0,0.0
1568,9.990347799820093e-06,0.0,0.0,0.0
1569,2.9300685257892057e-05,0.0,0.0,0.0
1570,2.7936820125822643e-05,0.0,0.0,0.0
1571,4.264793018852028e-05,0.0,0.0,0.0
1572,4.267605111506002e-05,0.0,0.0,0.0
1573,3.506136908981716e-05,0.0,0.0,0.0
1574,3.506136908981716e-05,0.0,0.0,0.0
1575,3.506136908981716e-05,0.0,0.0,0.0
1576,1.980715556523397e-05,0.0,0.0,0.0
1577,5.042486749776539e-05,0.0,0.0,0.0
1578,3.6677409882811063e-05,0.0,0.0,0.0
1579,3.951801714460349e-05,0.0,0.0,0.0
1580,3.951801714460349e-05,0.0,0.0,0.0
1581,4.12979393331625e-05,0.0,0.0,0.0
