ngram,fae,fae,fce
1500,0.0,0.0,0.0
1501,0.0,0.0,0.0
1502,0.0,0.0,0.0
1503,0.0,0.0,0.0
1504,0.0,0.0,0.0
1505,0.0,0.0,3.156638480764481e-07
1506,0.0,0.0,3.156638480764481e-07
1507,0.0,0.0,3.156638480764481e-07
1508,0.0,0.0,3.156638480764481e-07
1509,0.0,0.0,3.156638480764481e-07
1510,0.0,0.0,3.156638480764481e-07
1511,0.0,0.0,3.156638480764481e-07
1512,0.0,0.0,0.0
1513,0.0,0.0,0.0
1514,0.0,0.0,0.0
1515,0.0,0.0,0.0
1516,0.0,0.0,0.0
1517,0.0,0.0,0.0
1518,0.0,0.0,0.0
1519,0.0,0.0,0.0
1520,0.0,0.0,0.0
1521,0.0,0.0,0.0
1522,0.0,0.0,0.0
1523,0.0,0.0,0.0
1524,0.0,0.0,0.0
1525,0.0,0.0,0.0
1526,0.0,0.0,0.0
1527,0.0,0.0,0.0
1528,0.0,0.0,0.0
1529,0.0,0.0,0.0
1530,0.0,0.0,7.289485048594153e-07
1531,0.0,0.0,7.289485048594153e-07
1532,0.0,0.0,7.289485048594153e-07
1533,0.0,0.0,7.289485048594153e-07
1534,1.4044706923803979e-06,1.4044706923803979e-06,7.289485048594153e-07
1535,1.4044706923803979e-06,1.4044706923803979e-06,7.289485048594153e-07
1536,1.4044706923803979e-06,1.4044706923803979e-06,7.289485048594153e-07
1537,1.4044706923803979e-06,1.4044706923803979e-06,0.0
1538,1.4044706923803979e-06,1.4044706923803979e-06,0.0
1539,1.4044706923803979e-06,1.4044706923803979e-06,0.0
1540,1.4044706923803979e-06,1.4044706923803979e-06,0.0
1541,0.0,0.0,0.0
1542,0.0,0.0,0.0
1543,0.0,0.0,0.0
1544,0.0,0.0,0.0
1545,0.0,0.0,0.0
1546,0.0,0.0,0.0
1547,0.0,0.0,0.0
1548,0.0,0.0,0.0
1549,0.0,0.0,0.0
1550,0.0,0.0,0.0
1551,0.0,0.0,0.0
1552,0.0,0.0,0.0
1553,0.0,0.0,0.0
1554,0.0,0.0,0.0
1555,0.0,0.0,0.0
1556,0.0,0.0,0.0
1557,0.0,0.0,0.0
1558,0.0,0.0,0.0
1559,0.0,0.0,0.0
1560,0.0,0.0,0.0
1561,0.0,0.0,0.0
1562,0.0,0.0,0.0
1563,0.0,0.0,0.0
1564,0.0,0.0,0.0
1565,0.0,0.0,0.0
1566,0.0,0.0,0.0
1567,0.0,0.0,0.0
1568,0.0,0.0,0.0
1569,0.0,0.0,0.0
1570,0.0,0.0,0.0
1571,0.0,0.0,0.0
1572,0.0,0.0,0.0
1573,0.0,0.0,0.0
1574,0.0,0.0,0.0
1575,1.2572796289792417e-06,1.2572796289792417e-06,0.0
1576,1.2572796289792417e-06,1.2572796289792417e-06,0.0
1577,1.2572796289792417e-06,1.2572796289792417e-06,0.0
1578,1.4981927409150688e-06,1.4981927409150688e-06,1.2045655759201118e-06
1579,2.1449475460550663e-06,2.1449475460550663e-06,1.2045655759201118e-06
1580,2.1449475460550663e-06,2.1449475460550663e-06,1.2045655759201118e-06
1581,2.1449475460550663e-06,2.1449475460550663e-06,1.2045655759201118e-06
1582,1.3066492913692076e-06,1.3066492913692076e-06,1.6235469502134947e-06
1583,1.3066492913692076e-06,1.3066492913692076e-06,1.6235469502134947e-06
1584,1.3066492913692076e-06,1.3066492913692076e-06,1.6235469502134947e-06
1585,1.6318904597158377e-06,1.6318904597158377e-06,4.189813742933828e-07
1586,9.8513565457584e-07,9.8513565457584e-07,4.189813742933828e-07
1587,9.8513565457584e-07,9.8513565457584e-07,4.189813742933828e-07
1588,9.8513565457584e-07,9.8513565457584e-07,4.189813742933828e-07
1589,5.661542802824573e-07,5.661542802824573e-07,0.0
1590,8.261299301791171e-07,8.261299301791171e-07,2.599756498966599e-07
1591,8.261299301791171e-07,8.261299301791171e-07,2.599756498966599e-07
1592,2.599756498966599e-07,2.599756498966599e-07,2.599756498966599e-07
1593,2.599756498966599e-07,2.599756498966599e-07,2.599756498966599e-07
1594,2.599756498966599e-07,2.599756498966599e-07,4.276072331776959e-07
1595,2.599756498966599e-07,2.599756498966599e-07,4.276072331776959e-07
1596,2.599756498966599e-07,2.599756498966599e-07,4.276072331776959e-07
1597,2.4212418533612177e-07,2.4212418533612177e-07,1.67631583281036e-07
1598,2.4212418533612177e-07,2.4212418533612177e-07,1.67631583281036e-07
1599,2.4212418533612177e-07,2.4212418533612177e-07,4.0345387982857315e-07
1600,3.4863027004965783e-07,3.4863027004965783e-07,4.0345387982857315e-07
1601,3.4863027004965783e-07,3.4863027004965783e-07,2.3582229654753713e-07
1602,6.61832440787943e-07,6.61832440787943e-07,2.3582229654753713e-07
1603,6.61832440787943e-07,6.61832440787943e-07,2.3582229654753713e-07
1604,4.197082554518212e-07,4.197082554518212e-07,7.466332395519462e-07
1605,4.197082554518212e-07,4.197082554518212e-07,9.715070226385642e-07
1606,4.197082554518212e-07,4.197082554518212e-07,7.356847260910269e-07
1607,3.1320217073828515e-07,3.1320217073828515e-07,7.356847260910269e-07
1608,3.1320217073828515e-07,3.1320217073828515e-07,1.13503991932313e-06
1609,0.0,0.0,1.5123878743647116e-06
1610,0.0,0.0,1.6398361383705508e-06
1611,2.0482455706119902e-07,2.0482455706119902e-07,1.2314374738967411e-06
1612,7.428260135254407e-07,7.428260135254407e-07,1.0065636908101233e-06
1613,7.428260135254407e-07,7.428260135254407e-07,1.166374171849124e-06
1614,7.428260135254407e-07,7.428260135254407e-07,1.166374171849124e-06
1615,1.123769266087038e-06,1.123769266087038e-06,7.67018978617021e-07
1616,1.123769266087038e-06,1.123769266087038e-06,1.1105200883321231e-06
1617,1.4943932618345052e-06,1.4943932618345052e-06,1.2301544935715874e-06
1618,1.289568704773306e-06,1.289568704773306e-06,1.3246964921823486e-06
1619,7.515672483090643e-07,7.515672483090643e-07,1.3246964921823486e-06
1620,8.52306162154751e-07,8.52306162154751e-07,1.3663638388347214e-06
1621,1.9228141679507516e-06,1.9228141679507516e-06,1.5447818343870625e-06
1622,1.5418709153891541e-06,1.5418709153891541e-06,1.685478650870209e-06
1623,1.5418709153891541e-06,1.5418709153891541e-06,9.646295861135253e-07
1624,1.3205791122215617e-06,1.3205791122215617e-06,7.175469168682216e-07
1625,1.7359025637883211e-06,1.7359025637883211e-06,5.20592639726861e-07
1626,2.1951461966247213e-06,2.1951461966247213e-06,5.20592639726861e-07
1627,2.2541786230639057e-06,2.2541786230639057e-06,6.386574926052293e-07
1628,1.7077636260052844e-06,1.7077636260052844e-06,5.257511231450605e-07
1629,2.120410337218865e-06,2.120410337218865e-06,5.501129943955416e-07
1630,2.2066593357651854e-06,2.2066593357651854e-06,8.088599819140134e-07
1631,2.1706871150075002e-06,2.1706871150075002e-06,9.788999396472979e-07
1632,1.8469897976761525e-06,1.8469897976761525e-06,9.788999396472979e-07
1633,1.5248389623983322e-06,1.5248389623983322e-06,9.788999396472979e-07
1634,2.105576584199298e-06,2.105576584199298e-06,9.061935851864941e-07
1635,2.404680742529308e-06,2.404680742529308e-06,1.005321386011409e-06
1636,2.165722849310571e-06,2.165722849310571e-06,1.1007959333905352e-06
1637,2.2989542328234947e-06,2.2989542328234947e-06,1.0615293279313067e-06
1638,2.522269450569833e-06,2.522269450569833e-06,8.914893701980223e-07
1639,2.430643316334421e-06,2.430643316334421e-06,8.914893701980223e-07
1640,2.293550518775841e-06,2.293550518775841e-06,8.914893701980223e-07
1641,1.7322078227672527e-06,1.7322078227672527e-06,7.043751314280858e-07
1642,1.448759836161376e-06,1.448759836161376e-06,7.556353734474084e-07
1643,1.3653934648313485e-06,1.3653934648313485e-06,5.854245849994706e-07
1644,1.4208974740930508e-06,1.4208974740930508e-06,4.576056694207052e-07
1645,1.673624223842905e-06,1.673624223842905e-06,7.031898324580002e-07
1646,1.975839438728144e-06,1.975839438728144e-06,7.031898324580002e-07
1647,2.1839305434566214e-06,2.1839305434566214e-06,8.072353848222389e-07
1648,2.463256635110156e-06,2.463256635110156e-06,8.392117690293941e-07
1649,2.158190771491978e-06,2.158190771491978e-06,1.0926787337796538e-06
1650,3.12195163587603e-06,3.12195163587603e-06,1.0462764237217925e-06
1651,3.319968154106131e-06,3.319968154106131e-06,1.3416156718903949e-06
1652,3.287280199921432e-06,3.287280199921432e-06,1.1517029057423706e-06
1653,3.6634470136829933e-06,3.6634470136829933e-06,1.3778302486246372e-06
1654,3.870187778634967e-06,3.870187778634967e-06,1.3982342506681431e-06
1655,3.644107599549378e-06,3.644107599549378e-06,1.6551540633307532e-06
1656,3.953112257347259e-06,3.953112257347259e-06,1.3670167545244892e-06
1657,3.2326821448285566e-06,3.2326821448285566e-06,1.823576415712783e-06
1658,3.0277594110624965e-06,3.0277594110624965e-06,1.5438069697535996e-06
1659,2.5675469795974744e-06,2.5675469795974744e-06,1.5524699433301845e-06
1660,1.8891649509506742e-06,1.8891649509506742e-06,1.4065174005801445e-06
1661,1.7430747171991762e-06,1.7430747171991762e-06,1.2820678461723998e-06
1662,1.510662538553983e-06,1.510662538553983e-06,1.014649281419874e-06
1663,1.0326695425127191e-06,1.0326695425127191e-06,8.334199565394686e-07
1664,7.776223063566639e-07,7.776223063566639e-07,4.1154612111833036e-07
1665,9.063686872780506e-07,9.063686872780506e-07,3.9249808634979543e-07
1666,1.0895059290305653e-06,1.0895059290305653e-06,4.0806051109549504e-07
1667,1.3815767699400437e-06,1.3815767699400437e-06,5.550519241686353e-07
1668,1.3753544294559106e-06,1.3753544294559106e-06,5.988051400761054e-07
1669,1.495170798599637e-06,1.495170798599637e-06,5.775136051917278e-07
1670,1.7386691654662303e-06,1.7386691654662303e-06,7.321102779250006e-07
1671,2.1293855313940313e-06,2.1293855313940313e-06,7.317247008943793e-07
1672,1.8801645913819293e-06,1.8801645913819293e-06,7.173432753201528e-07
1673,1.922183116676024e-06,1.922183116676024e-06,6.869322208201214e-07
1674,1.8578259398184725e-06,1.8578259398184725e-06,5.89888104838922e-07
1675,1.698262142976351e-06,1.698262142976351e-06,6.490903875341505e-07
1676,1.879071354388933e-06,1.879071354388933e-06,1.0615938249104926e-06
1677,1.7378089946110516e-06,1.7378089946110516e-06,1.0413419439763466e-06
1678,1.6071023927517153e-06,1.6071023927517153e-06,1.0627144117084493e-06
1679,1.5748576223424088e-06,1.5748576223424088e-06,1.1042714496462786e-06
1680,1.4523215148593799e-06,1.4523215148593799e-06,1.1452953572188562e-06
1681,1.4707421769344364e-06,1.4707421769344364e-06,1.1046766498371393e-06
1682,1.5290749420923281e-06,1.5290749420923281e-06,1.1025263120245654e-06
1683,1.4932561011197061e-06,1.4932561011197061e-06,7.183836032709223e-07
1684,1.5298761744426365e-06,1.5298761744426365e-06,6.717035522082629e-07
1685,1.3327012636312117e-06,1.3327012636312117e-06,6.529340258306807e-07
1686,1.4107468554617038e-06,1.4107468554617038e-06,7.309796176611729e-07
