ngram,pie,pe,pi,piee
1500,4.6781349283264717e-07,2.312393576175964e-06,9.446790443234931e-07,0.0
1501,3.742507942661177e-07,1.849914860940771e-06,7.557432354587945e-07,0.0
1502,1.1904299602368458e-06,1.5415957174506427e-06,8.054968816395558e-07,0.0
1503,1.0203685373458678e-06,1.3213677578148366e-06,6.904258985481906e-07,0.0
1504,7.53046541441498e-07,7.867237660060969e-07,2.8944290469163594e-07,0.0
1505,7.53046541441498e-07,3.156638480764481e-07,1.506093017919089e-07,0.0
1506,7.53046541441498e-07,2.3122934635466663e-05,1.506093017919089e-07,0.0
1507,7.53046541441498e-07,2.3122934635466663e-05,1.506093017919089e-07,0.0
1508,7.53046541441498e-07,2.3122934635466663e-05,1.506093017919089e-07,0.0
1509,0.0,2.3122934635466663e-05,0.0,0.0
1510,0.0,2.3122934635466663e-05,0.0,0.0
1511,0.0,2.3122934635466663e-05,0.0,0.0
1512,0.0,2.2807270787390216e-05,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,5.713222890335601e-07,0.0,0.0
1515,0.0,5.713222890335601e-07,0.0,0.0
1516,0.0,5.713222890335601e-07,0.0,0.0
1517,5.312767825671472e-07,5.713222890335601e-07,2.6563840427635502e-06,0.0
1518,5.312767825671472e-07,5.713222890335601e-07,2.6563840427635502e-06,0.0
1519,5.312767825671472e-07,5.713222890335601e-07,2.6563840427635502e-06,0.0
1520,1.1270995595883245e-06,2.9546133971182698e-06,2.6563840427635502e-06,0.0
1521,1.1270995595883245e-06,2.3832911080847097e-06,2.6563840427635502e-06,0.0
1522,1.1270995595883245e-06,5.557047968198146e-06,2.6563840427635502e-06,0.0
1523,1.1270995595883245e-06,5.557047968198146e-06,2.6563840427635502e-06,0.0
1524,5.958227770211774e-07,7.369142674308802e-05,2.064678093509948e-06,0.0
1525,5.958227770211774e-07,0.00012640623858065477,2.064678093509948e-06,0.0
1526,5.958227770211774e-07,0.00012704188806570267,2.064678093509948e-06,0.0
1527,0.0,0.00012465859695761798,2.064678093509948e-06,0.0
1528,0.0,0.00012570382939104872,2.064678093509948e-06,0.0
1529,0.0,0.00012253007253093529,2.064678093509948e-06,0.0
1530,7.289485178521968e-06,0.00013127745432939264,4.251523543124287e-06,0.0
1531,7.289485178521968e-06,6.314307555450276e-05,2.1868454496143386e-06,0.0
1532,7.289485178521968e-06,1.1330096900305112e-05,2.1868454496143386e-06,0.0
1533,7.289485178521968e-06,5.858487527023369e-05,2.1868454496143386e-06,0.0
1534,7.289485178521968e-06,0.0011077244787104843,2.1868454496143386e-06,0.0
1535,7.289485178521968e-06,0.0011066792462770536,2.1868454496143386e-06,0.0
1536,7.289485178521968e-06,0.0011084683038201806,2.1868454496143386e-06,0.0
1537,0.0,0.0011352929208052437,0.0,0.0
1538,0.0,0.0011543515517067654,0.0,0.0
1539,0.0,0.0011534497185233963,0.0,0.0
1540,0.0,0.00110555929066842,0.0,0.0
1541,0.0,0.0001587773267601733,0.0,0.0
1542,0.0,0.0001587773267601733,0.0,0.0
1543,0.0,0.0001798052544472739,0.0,0.0
1544,0.0,0.00014437236058841205,2.22567879453501e-06,0.0
1545,5.358402047152464e-07,0.0001263854100963207,2.4935988968926333e-06,0.0
1546,1.0952525956651828e-06,0.00012666511629179565,2.4935988968926333e-06,0.0
1547,1.0952525956651828e-06,0.0002085936463345206,2.4935988968926333e-06,0.0
1548,1.0952525956651828e-06,0.00010623600680251652,2.4935988968926333e-06,0.0
1549,1.0952525956651828e-06,0.00010623600680251652,2.4935988968926333e-06,0.0
1550,1.6355983072051977e-06,8.341902157228885e-05,2.4935988968926333e-06,0.0
1551,1.6355983072051977e-06,0.00013994865016034704,2.6291172454356067e-06,0.0
1552,1.0997581024899513e-06,0.00013887696975091655,2.361197143077983e-06,0.0
1553,5.40345711540015e-07,0.0001385972635554416,2.361197143077983e-06,0.0
1554,5.40345711540015e-07,5.666873351271663e-05,2.361197143077983e-06,0.0
1555,5.40345711540015e-07,5.78707035206857e-05,2.9621821470625165e-06,0.0
1556,5.40345711540015e-07,5.8911579799314495e-05,4.003058425691311e-06,0.0
1557,0.0,7.76015961361866e-05,1.3348066594127367e-05,0.0
1558,0.0,2.093286262346997e-05,1.0986869451049383e-05,0.0
1559,3.4384465834591538e-06,2.093286262346997e-05,1.0986869451049383e-05,0.0
1560,3.887136829559625e-06,2.2278933361771385e-05,1.1435559697149853e-05,0.0
1561,3.887136829559625e-06,2.2278933361771385e-05,1.1435559697149853e-05,0.0
1562,3.887136829559625e-06,2.641010723891668e-05,1.083457469316532e-05,0.0
1563,3.887136829559625e-06,2.5369230960287886e-05,1.0248320125226331e-05,0.0
1564,3.887136829559625e-06,1.940250811977811e-05,9.033119567902759e-07,0.0
1565,3.887136829559625e-06,0.0015745401104660622,1.915112599298092e-06,0.0
1566,2.3523607524111867e-06,0.0015802511218550666,3.818783105608807e-06,0.0
1567,1.9036705063107156e-06,0.0015836818321466645,6.09968213081759e-06,0.0
1568,1.9036705063107156e-06,0.0015836818321466645,6.09968213081759e-06,0.0
1569,1.9036705063107156e-06,0.0015798340989152035,6.842387457644301e-06,0.0
1570,1.9036705063107156e-06,0.0015858781480346806,7.898778026823752e-06,0.0
1571,1.9036705063107156e-06,0.0015731548545383184,7.898778026823752e-06,0.0
1572,3.983513644405841e-06,1.8017252192034255e-05,6.886977384315937e-06,0.0
1573,2.0798431380951243e-06,1.230624080302992e-05,6.2417162293318796e-06,0.0
1574,2.6245546840592785e-06,1.6244844508556916e-05,4.05683850398678e-06,0.0
1575,3.881834313038521e-06,1.8759403766515398e-05,4.05683850398678e-06,0.0
1576,3.881834313038521e-06,2.0879436695914982e-05,8.271618331231626e-06,0.0
1577,3.881834313038521e-06,1.4835387576437955e-05,6.760606051362369e-06,0.0
1578,4.845486760781828e-06,2.4230998990658138e-05,7.242432275234023e-06,0.0
1579,2.765643622686704e-06,2.5524508600938134e-05,7.242432275234023e-06,0.0
1580,2.765643622686704e-06,2.8495891196403784e-05,5.984022923907365e-06,0.0
1581,2.2209320767225497e-06,2.037381383550902e-05,6.0326187524749135e-06,0.0
1582,1.382633822036691e-06,2.163008691370903e-05,6.451600126768296e-06,0.0
1583,1.382633822036691e-06,1.922619990831923e-05,1.974737577776458e-06,0.0
1584,2.281745407474643e-06,2.4620869291019127e-05,1.974737577776458e-06,0.0
1585,2.6391195920690995e-06,2.428372636131826e-05,3.7575284750346327e-06,0.0
1586,3.358013438108693e-06,2.2990216751038262e-05,3.7575284750346327e-06,0.0
1587,3.358013438108693e-06,2.0364913715249194e-05,3.7575284750346327e-06,0.0
1588,4.027519253213541e-06,1.977160634071749e-05,3.16422110050293e-06,0.0
1589,3.608537878920158e-06,1.6000774004559e-05,2.9319661994772365e-06,0.0
1590,3.868513528816818e-06,1.4799217426895797e-05,2.451343594397518e-06,0.0
1591,4.302069198404622e-06,1.0204148436189695e-05,3.250943986391316e-06,0.0
1592,4.1749861533649635e-06,1.7426517453194329e-06,4.568157627155804e-06,0.0
1593,4.349199213850495e-06,2.6357586518445586e-06,4.791434353787086e-06,0.0
1594,5.019725546974639e-06,3.1278369923321795e-06,6.8030134181234255e-06,0.0
1595,6.153408094178303e-06,3.5786340829093078e-06,1.8072940617587718e-05,0.0
1596,7.205499222046845e-06,3.9994705340567246e-06,2.7565452780566246e-05,0.0
1597,7.308709850154368e-06,4.483718904728968e-06,2.8170763211424594e-05,0.0
1598,5.976042595128612e-06,3.7283524290744807e-06,2.73711628194308e-05,0.0
1599,4.9000101561042745e-06,1.5158318214097172e-05,2.4025154354084017e-05,0.0
1600,4.645939757860365e-06,1.6075814780184112e-05,2.4121395881593344e-05,0.0
1601,6.3192997653719174e-06,1.6018952326898477e-05,2.3477083849294494e-05,0.0
1602,4.620512121229174e-06,1.682096391927449e-05,1.2207156649830203e-05,0.0
1603,3.980531102700167e-06,2.2169668739024928e-05,4.176358450942124e-06,0.0
1604,3.7876151444444465e-06,2.2877312655314847e-05,4.592669906092592e-06,0.0
1605,4.462236477463323e-06,2.3957447670649606e-05,5.042417472265827e-06,0.0
1606,5.3853667460706286e-06,3.243101751390246e-05,5.287075834660625e-06,0.0
1607,4.746330237789412e-06,3.211340819169501e-05,4.967557580520017e-06,0.0
1608,3.001476670760894e-06,3.272985590488783e-05,3.799968145098579e-06,0.0
1609,3.0857499301159156e-06,3.2797765015857294e-05,5.686707887824534e-06,0.0
1610,2.673639820776381e-06,2.7792913312753497e-05,4.293163978478073e-06,0.0
1611,2.708194058089118e-06,2.8751678850572455e-05,3.681191206591653e-06,0.0
1612,2.5715741815344828e-06,2.8165311375362633e-05,6.997453835668109e-06,0.0
1613,2.009964191529434e-06,8.304045877594035e-06,6.516973176725774e-06,0.0
