ngram,joint,jont,join,jont
1574,5.050664445401967e-06,0.0,3.862470163897212e-06,0.0
1575,5.050664445401967e-06,0.0,3.862470163897212e-06,0.0
1576,2.9812040338583756e-06,0.0,4.021125732833752e-06,0.0
1577,2.9812040338583756e-06,0.0,4.021125732833752e-06,0.0
1578,3.70394335342488e-06,0.0,4.502951956705406e-06,0.0
1579,6.151383981237554e-06,0.0,9.144244781314878e-06,0.0
1580,6.151383981237554e-06,0.0,9.144244781314878e-06,0.0
1581,6.744691355769257e-06,0.0,1.0330859530378283e-05,0.0
1582,6.744691355769257e-06,0.0,1.0330859530378283e-05,0.0
1583,6.8045756701654426e-06,0.0,1.1111677687430138e-05,0.0
1584,6.8045756701654426e-06,0.0,1.3809012378780089e-05,0.0
1585,7.214144911163853e-06,0.0,1.3327186154908435e-05,0.0
1586,4.1246488373352415e-06,0.0,5.566128493228462e-06,0.0
1587,5.855046700682058e-06,0.0,5.912208052905044e-06,0.0
1588,5.2617393261503565e-06,0.0,4.725593303841638e-06,0.0
1589,7.502457005362625e-06,0.0,1.0514113910176093e-05,0.0
1590,6.541211795203188e-06,0.0,9.871837456947624e-06,0.0
1591,7.074278723199054e-06,0.0,7.974103157591475e-06,0.0
1592,5.941970162634139e-06,0.0,9.765018538538633e-06,0.0
1593,4.504182470554952e-06,0.0,1.0658125445063757e-05,0.0
1594,3.4443109403322784e-06,0.0,1.1653098551635463e-05,0.0
1595,4.796702277027569e-06,0.0,1.255469273278972e-05,0.0
1596,5.712258111348742e-06,0.0,6.766172126455265e-06,0.0
1597,6.075444389352924e-06,0.0,6.4526420828769915e-06,0.0
1598,1.036387444790827e-05,0.0,1.1314982982314956e-05,0.0
1599,1.779227688660155e-05,0.0,1.0821090199897299e-05,0.0
1600,1.853781944711435e-05,0.0,1.1951598870447405e-05,0.0
1601,1.7867293113990206e-05,0.0,1.2173137097956247e-05,0.0
1602,1.7036905351882785e-05,0.0,1.3568358748930873e-05,0.0
1603,1.3880631838349342e-05,0.0,1.3568358748930873e-05,0.0
1604,1.726339256232937e-05,0.0,2.578253042884171e-05,0.0
1605,1.2554332467321469e-05,0.0,2.057033670358318e-05,0.0
1606,7.127932763393931e-06,0.0,2.255659855368971e-05,0.0
1607,6.382390202881132e-06,0.0,2.0532982976614482e-05,0.0
1608,6.781745396113235e-06,0.0,2.0368135242928736e-05,0.0
1609,6.259741821525365e-06,0.0,1.8826015320883016e-05,0.0
1610,8.171465773492465e-06,0.0,2.2139670136311906e-05,0.0
1611,8.00994860940461e-06,0.0,9.301538178923302e-06,0.0
1612,7.897511717861302e-06,0.0,8.851790612750068e-06,0.0
