ngram,culture,cultre,culure,clture
1500,2.4291058480230276e-06,0.0,0.0,0.0
1501,1.943284678418422e-06,0.0,0.0,0.0
1502,1.6194038986820185e-06,0.0,0.0,0.0
1503,1.3880604845845873e-06,0.0,0.0,0.0
1504,1.8511147053296944e-07,0.0,0.0,0.0
1505,2.209647001499044e-06,0.0,0.0,0.0
1506,2.209647001499044e-06,0.0,0.0,0.0
1507,2.209647001499044e-06,0.0,0.0,0.0
1508,2.209647001499044e-06,0.0,0.0,0.0
1509,2.209647001499044e-06,0.0,0.0,0.0
1510,2.209647001499044e-06,0.0,0.0,0.0
1511,2.209647001499044e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0,0.0
1517,2.8566114451678004e-07,0.0,0.0,0.0
1518,2.8566114451678004e-07,0.0,0.0,0.0
1519,2.8566114451678004e-07,0.0,0.0,0.0
1520,5.835725330273687e-07,0.0,0.0,0.0
1521,2.979113885105887e-07,0.0,0.0,0.0
1522,2.979113885105887e-07,0.0,0.0,0.0
1523,3.994181530028332e-06,0.0,0.0,0.0
1524,3.994181530028332e-06,0.0,0.0,0.0
1525,3.994181530028332e-06,0.0,0.0,0.0
1526,3.994181530028332e-06,0.0,0.0,0.0
1527,3.6962701415177435e-06,0.0,0.0,0.0
1528,9.967664872030063e-06,0.0,0.0,0.0
1529,9.967664872030063e-06,0.0,0.0,0.0
1530,6.2713947305123185e-06,0.0,0.0,0.0
1531,2.3505938900468338e-05,0.0,0.0,0.0
1532,2.3505938900468338e-05,0.0,0.0,0.0
1533,2.3505938900468338e-05,0.0,0.0,0.0
1534,2.3505938900468338e-05,0.0,0.0,0.0
1535,1.723454416995602e-05,0.0,0.0,0.0
1536,1.723454416995602e-05,0.0,0.0,0.0
1537,1.723454416995602e-05,0.0,0.0,0.0
