ngram,height,heigt
1500,1.3099742318445351e-05,0.0
1501,1.047979385475628e-05,0.0
1502,1.1368824440675477e-05,0.0
1503,9.744706663436123e-06,0.0
1504,5.405440242611803e-05,0.0
1505,7.2166103823942e-05,0.0
1506,7.2166103823942e-05,0.0
1507,7.2166103823942e-05,0.0
1508,7.2166103823942e-05,0.0
1509,6.99069641996175e-05,0.0
1510,6.99069641996175e-05,0.0
1511,2.0518150579716477e-05,0.0
1512,0.0,0.0
1513,0.0,0.0
1514,1.999628044099414e-06,0.0
1515,1.999628044099414e-06,0.0
1516,1.999628044099414e-06,0.0
1517,5.187288739502297e-06,0.0
1518,5.187288739502297e-06,0.0
1519,5.187288739502297e-06,0.0
1520,3.736171882857369e-05,0.0
1521,3.5362090784474276e-05,0.0
1522,3.5362090784474276e-05,0.0
1523,3.6594180788337584e-05,0.0
1524,3.34065200929347e-05,0.0
1525,3.34065200929347e-05,0.0
1526,4.2305612883605394e-05,0.0
1527,1.0131182794534002e-05,0.0
1528,1.7447809893513166e-05,0.0
1529,1.7447809893513166e-05,0.0
1530,1.6215719889649855e-05,0.0
1531,1.6215719889649855e-05,0.0
1532,4.4623465717969725e-05,0.0
1533,3.572437292729903e-05,0.0
1534,3.853331431205983e-05,0.0
1535,3.1593196776416986e-05,0.0
1536,3.1593196776416986e-05,0.0
1537,3.1593196776416986e-05,0.0
1538,3.4769635346622507e-05,0.0
1539,3.0435112486364752e-05,0.0
1540,3.0435112486364752e-05,0.0
1541,2.7626171101603957e-05,0.0
1542,3.025895421160385e-05,0.0
1543,3.025895421160385e-05,0.0
1544,3.234552813020335e-05,0.0
1545,2.916908955999783e-05,0.0
1546,5.6552789828856476e-06,0.0
1547,1.548670258801264e-05,0.0
1548,1.8459122007438316e-05,0.0
1549,1.5449829334102105e-05,0.0
1550,1.5449829334102105e-05,0.0
1551,1.3363255415502603e-05,0.0
1552,1.624769941242578e-05,0.0
1553,1.5688287021475844e-05,0.0
1554,5.85686341634885e-06,0.0
1555,4.086414004892244e-06,0.0
1556,4.086414004892244e-06,0.0
1557,4.086414004892244e-06,0.0
1558,5.45051131796624e-06,0.0
1559,2.5660673210430625e-06,0.0
1560,5.6857587488983495e-05,0.0
1561,5.6857587488983495e-05,0.0
