ngram,word,wrord,ord,wordd
1500,6.315637801890261e-05,0.0,2.429588050745224e-07,0.0
1501,5.052510241512209e-05,0.0,1.9436704405961792e-07,0.0
1502,8.146348166822766e-05,0.0,1.6197253671634826e-07,0.0
1503,6.982584142990942e-05,0.0,1.3883360289972708e-07,0.0
1504,6.006858893670142e-05,0.0,1.3883360289972708e-07,0.0
1505,4.004975926363841e-05,0.0,6.313276961528962e-07,0.0
1506,4.7652182859435144e-05,0.0,6.313276961528962e-07,0.0
1507,4.7652182859435144e-05,0.0,6.313276961528962e-07,0.0
1508,4.7652182859435144e-05,0.0,6.313276961528962e-07,0.0
1509,1.3915700297470071e-05,0.0,6.313276961528962e-07,0.0
1510,1.3915700297470071e-05,0.0,6.313276961528962e-07,0.0
1511,1.3915700297470071e-05,0.0,6.313276961528962e-07,0.0
1512,7.602423595796738e-06,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.685400742904416e-05,0.0,2.8566114451678004e-07,0.0
1515,1.685400742904416e-05,0.0,2.8566114451678004e-07,0.0
1516,1.685400742904416e-05,0.0,2.8566114451678004e-07,0.0
1517,2.4291882125128594e-05,0.0,2.9420451872803303e-06,0.0
1518,2.4291882125128594e-05,0.0,2.9420451872803303e-06,0.0
1519,2.4291882125128594e-05,0.0,2.9420451872803303e-06,0.0
1520,7.821384185392941e-05,0.0,3.239956575790919e-06,0.0
1521,0.00027300004564624814,0.0,2.954295431274139e-06,0.0
1522,0.00027617380250636155,0.0,2.954295431274139e-06,0.0
1523,0.0002786379825140882,0.0,3.570340433205794e-06,0.0
1524,0.00029597624442041185,0.0,9.139563904422435e-07,0.0
1525,0.00029597624442041185,0.0,9.139563904422435e-07,0.0
1526,0.00029661189390545975,0.0,2.185255360538057e-06,0.0
1527,0.00030073834724524725,0.0,1.8873439720274682e-06,0.0
1528,9.014336845731512e-05,0.0,1.8873439720274682e-06,0.0
1529,8.696961159720169e-05,0.0,1.8873439720274682e-06,0.0
1530,0.00011730811359354578,0.0,2.7291959798146437e-06,0.0
1531,0.00023040833035078582,0.0,2.7291959798146437e-06,0.0
