ngram,aside,asid,asid,asid
1500,6.586561653421086e-06,0.0,0.0,0.0
1501,5.269249322736869e-06,0.0,0.0,0.0
1502,2.9341982932843774e-05,0.0,0.0,0.0
1503,2.5150271085294662e-05,0.0,0.0,0.0
1504,2.7435105948825367e-05,0.0,0.0,0.0
1505,2.9523943989521024e-05,0.0,0.0,0.0
1506,2.9523943989521024e-05,0.0,0.0,0.0
1507,2.9523943989521024e-05,0.0,0.0,0.0
1508,2.9523943989521024e-05,0.0,0.0,0.0
1509,8.137422420466983e-06,0.0,0.0,0.0
1510,8.137422420466983e-06,0.0,0.0,0.0
1511,5.05062156922317e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,3.7135949761640016e-06,0.0,0.0,0.0
1515,3.7135949761640016e-06,0.0,0.0,0.0
1516,3.7135949761640016e-06,0.0,0.0,0.0
1517,6.369979018927552e-06,0.0,0.0,0.0
1518,6.369979018927552e-06,0.0,0.0,0.0
1519,6.369979018927552e-06,0.0,0.0,0.0
1520,1.0838649749140522e-05,0.0,0.0,0.0
1521,7.12505477297652e-06,0.0,0.0,0.0
1522,1.0298811633089957e-05,0.0,0.0,0.0
1523,1.7691351916125442e-05,0.0,0.0,0.0
1524,1.5034967873361893e-05,0.0,0.0,0.0
1525,1.5034967873361893e-05,0.0,0.0,0.0
1526,1.5034967873361893e-05,0.0,0.0,0.0
1527,1.0566297143148923e-05,0.0,0.0,0.0
1528,1.1611529576579674e-05,0.0,0.0,0.0
1529,8.437772716466238e-06,0.0,0.0,0.0
1530,1.0452324334307508e-06,0.0,0.0,0.0
1531,1.0452324334307508e-06,0.0,0.0,0.0
1532,1.0452324334307508e-06,0.0,0.0,0.0
1533,1.0452324334307508e-06,0.0,0.0,0.0
1534,1.0452324334307508e-06,0.0,0.0,0.0
1535,1.1295287549728528e-06,0.0,0.0,0.0
1536,3.646341662845641e-05,0.0,0.0,0.0
1537,3.646341662845641e-05,0.0,0.0,0.0
1538,3.646341662845641e-05,0.0,0.0,0.0
1539,3.646341662845641e-05,0.0,0.0,0.0
1540,3.646341662845641e-05,0.0,0.0,0.0
1541,3.646341662845641e-05,0.0,0.0,0.0
1542,3.984782701341568e-05,0.0,0.0,0.0
1543,4.513939139932128e-06,0.0,0.0,0.0
1544,7.852457201806828e-06,0.0,0.0,0.0
1545,8.120377304164452e-06,0.0,0.0,0.0
1546,9.5189083465032e-06,0.0,0.0,0.0
1547,9.5189083465032e-06,0.0,0.0,0.0
1548,1.1599601862144482e-05,0.0,0.0,0.0
1549,8.298320462277583e-06,0.0,0.0,0.0
1550,2.1266617279382315e-05,0.0,0.0,0.0
1551,1.7928099217507615e-05,0.0,0.0,0.0
1552,2.126573417626787e-05,0.0,0.0,0.0
1553,1.9867203133929123e-05,0.0,0.0,0.0
1554,1.9867203133929123e-05,0.0,0.0,0.0
1555,1.778650961828784e-05,0.0,0.0,0.0
1556,1.7614728156851405e-05,0.0,0.0,0.0
1557,4.6464313397466735e-06,0.0,0.0,0.0
1558,1.8969453256951446e-05,0.0,0.0,0.0
1559,1.7083121487563142e-05,0.0,0.0,0.0
1560,2.201871432459614e-05,0.0,0.0,0.0
1561,2.201871432459614e-05,0.0,0.0,0.0
1562,2.201871432459614e-05,0.0,0.0,0.0
1563,2.0977838045967345e-05,0.0,0.0,0.0
1564,3.3701131542329676e-05,0.0,0.0,0.0
1565,2.038991026763272e-05,0.0,0.0,0.0
1566,2.057435748221386e-05,0.0,0.0,0.0
1567,1.632116196300818e-05,0.0,0.0,0.0
1568,1.632116196300818e-05,0.0,0.0,0.0
1569,1.632116196300818e-05,0.0,0.0,0.0
1570,1.632116196300818e-05,0.0,0.0,0.0
1571,3.597868466645845e-06,0.0,0.0,0.0
1572,6.2257933807684045e-06,0.0,0.0,0.0
1573,4.322122874457689e-06,0.0,0.0,0.0
1574,5.273860162040884e-06,0.0,0.0,0.0
1575,6.5311397910201256e-06,0.0,0.0,0.0
1576,8.784542062910208e-06,0.0,0.0,0.0
1577,1.3887493878428359e-05,0.0,0.0,0.0
1578,1.8223929795827383e-05,0.0,0.0,0.0
1579,1.8464733070036994e-05,0.0,0.0,0.0
1580,1.8464733070036994e-05,0.0,0.0,0.0
1581,1.9203827962753295e-05,0.0,0.0,0.0
1582,1.9203492489136158e-05,0.0,0.0,0.0
1583,1.959351448022062e-05,0.0,0.0,0.0
1584,2.3481678649009803e-05,0.0,0.0,0.0
1585,2.310832249869626e-05,0.0,0.0,0.0
1586,2.56978381522848e-05,0.0,0.0,0.0
1587,3.192727035639109e-05,0.0,0.0,0.0
1588,3.1562558303578824e-05,0.0,0.0,0.0
1589,3.347996425873134e-05,0.0,0.0,0.0
1590,3.3436296559687306e-05,0.0,0.0,0.0
1591,2.7910115542389186e-05,0.0,0.0,0.0
1592,5.3795624938045095e-05,0.0,0.0,0.0
1593,5.7149756165537315e-05,0.0,0.0,0.0
1594,5.393769242800772e-05,0.0,0.0,0.0
1595,5.598634873292342e-05,0.0,0.0,0.0
1596,5.723078122952886e-05,0.0,0.0,0.0
1597,5.777863901000403e-05,0.0,0.0,0.0
1598,5.625999632944253e-05,0.0,0.0,0.0
1599,2.9241274725271588e-05,0.0,0.0,0.0
1600,2.3251318192965948e-05,0.0,0.0,0.0
1601,2.2187188343585668e-05,0.0,0.0,0.0
1602,2.0426830425484305e-05,0.0,0.0,0.0
1603,1.724437814638285e-05,0.0,0.0,0.0
1604,2.107784712279681e-05,0.0,0.0,0.0
1605,2.1267855767551475e-05,1.1243689154330891e-07,1.1243689154330891e-07,1.1243689154330891e-07
1606,2.4844396648404654e-05,1.1243689154330891e-07,1.1243689154330891e-07,1.1243689154330891e-07
1607,2.7728651210574234e-05,1.1243689154330891e-07,1.1243689154330891e-07,1.1243689154330891e-07
1608,3.336316110237801e-05,1.1243689154330891e-07,1.1243689154330891e-07,1.1243689154330891e-07
1609,3.2764411116659176e-05,1.1243689154330891e-07,1.1243689154330891e-07,1.1243689154330891e-07
1610,3.458683905981681e-05,1.1243689154330891e-07,1.1243689154330891e-07,1.1243689154330891e-07
1611,2.8015404853119564e-05,1.1243689154330891e-07,1.1243689154330891e-07,1.1243689154330891e-07
1612,2.803110974777415e-05,0.0,0.0,0.0
1613,2.4021858572658467e-05,0.0,0.0,0.0
1614,1.9940262810840587e-05,0.0,0.0,0.0
1615,1.3114400806963594e-05,3.809432525615973e-07,3.809432525615973e-07,3.809432525615973e-07
1616,1.213718402531023e-05,3.809432525615973e-07,3.809432525615973e-07,3.809432525615973e-07
1617,1.550257505706603e-05,3.809432525615973e-07,3.809432525615973e-07,3.809432525615973e-07
1618,1.9130488648702988e-05,3.809432525615973e-07,3.809432525615973e-07,3.809432525615973e-07
1619,1.9904379769286606e-05,3.809432525615973e-07,3.809432525615973e-07,3.809432525615973e-07
1620,2.022717321129416e-05,3.809432525615973e-07,3.809432525615973e-07,3.809432525615973e-07
1621,1.9552893198644078e-05,3.809432525615973e-07,3.809432525615973e-07,3.809432525615973e-07
1622,2.097180738149161e-05,0.0,0.0,0.0
1623,2.5100413690129892e-05,0.0,0.0,0.0
1624,2.076691505083415e-05,0.0,0.0,0.0
