ngram,buyer,byer,buer,buyer
1500,1.1247556699345296e-06,0.0,0.0,1.1247556699345296e-06
1501,8.998045359476237e-07,0.0,0.0,8.998045359476237e-07
1502,5.845451558646649e-06,0.0,0.0,5.845451558646649e-06
1503,5.010387050268557e-06,0.0,0.0,5.010387050268557e-06
1504,7.963526903560186e-06,0.0,0.0,7.963526903560186e-06
1505,1.3136419511283748e-05,0.0,0.0,1.3136419511283748e-05
1506,1.3136419511283748e-05,0.0,0.0,1.3136419511283748e-05
1507,1.3136419511283748e-05,0.0,0.0,1.3136419511283748e-05
1508,1.3136419511283748e-05,0.0,0.0,1.3136419511283748e-05
1509,8.768749986692065e-06,0.0,0.0,8.768749986692065e-06
1510,8.768749986692065e-06,0.0,0.0,8.768749986692065e-06
1511,5.681949135448251e-06,0.0,0.0,5.681949135448251e-06
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,1.0625535651342943e-06,0.0,0.0,1.0625535651342943e-06
1518,1.0625535651342943e-06,0.0,0.0,1.0625535651342943e-06
1519,1.0625535651342943e-06,0.0,0.0,1.0625535651342943e-06
1520,1.956287763148014e-06,0.0,0.0,1.956287763148014e-06
1521,1.956287763148014e-06,0.0,0.0,1.956287763148014e-06
1522,1.956287763148014e-06,0.0,0.0,1.956287763148014e-06
1523,1.956287763148014e-06,0.0,0.0,1.956287763148014e-06
1524,8.937341980137197e-07,0.0,0.0,8.937341980137197e-07
1525,8.937341980137197e-07,0.0,0.0,8.937341980137197e-07
1526,8.937341980137197e-07,0.0,0.0,8.937341980137197e-07
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,3.7650956333631515e-07,0.0,0.0,3.7650956333631515e-07
1536,3.7650956333631515e-07,0.0,0.0,3.7650956333631515e-07
1537,3.7650956333631515e-07,0.0,0.0,3.7650956333631515e-07
