ngram,mark,mrk,mrk,mrk
1500,3.1584645512339193e-06,0.0,0.0,0.0
1501,2.5267716409871353e-06,0.0,0.0,0.0
1502,4.214173259242671e-06,0.0,0.0,0.0
1503,3.6121485079222893e-06,0.0,0.0,0.0
1504,3.6121485079222893e-06,0.0,0.0,0.0
1505,1.5380856893898454e-05,0.0,0.0,0.0
1506,1.5380856893898454e-05,0.0,0.0,0.0
1507,1.5380856893898454e-05,0.0,0.0,0.0
1508,1.5380856893898454e-05,0.0,0.0,0.0
1509,1.3573545272395546e-05,0.0,0.0,0.0
1510,1.3573545272395546e-05,0.0,0.0,0.0
1511,1.3573545272395546e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.4283056901019466e-06,0.0,0.0,0.0
1515,1.4283056901019466e-06,0.0,0.0,0.0
1516,1.4283056901019466e-06,0.0,0.0,0.0
1517,8.962025445466029e-05,0.0,0.0,0.0
1518,8.962025445466029e-05,0.0,0.0,0.0
1519,8.962025445466029e-05,0.0,0.0,0.0
1520,0.00010004715282515722,0.0,0.0,0.0
1521,9.861884713505528e-05,0.0,0.0,0.0
1522,0.00010179260399516872,0.0,0.0,0.0
1523,0.00010179260399516872,0.0,0.0,0.0
1524,1.3600655230610365e-05,0.0,0.0,0.0
1525,1.3600655230610365e-05,0.0,0.0,0.0
1526,1.3600655230610365e-05,0.0,0.0,0.0
1527,3.1737568601134366e-06,0.0,0.0,0.0
1528,4.218989293544187e-06,0.0,0.0,0.0
1529,1.0452324334307508e-06,0.0,0.0,0.0
1530,3.232077883045089e-06,0.0,0.0,0.0
1531,2.046662205300111e-05,0.0,0.0,0.0
1532,2.046662205300111e-05,0.0,0.0,0.0
1533,2.8448360028830522e-05,0.0,0.0,0.0
1534,2.985283072121092e-05,0.0,0.0,0.0
1535,3.257269379121551e-05,0.0,0.0,0.0
1536,3.436175133434257e-05,0.0,0.0,0.0
1537,3.2174905884728234e-05,0.0,0.0,0.0
1538,1.8116800284977736e-05,0.0,0.0,0.0
1539,1.8946911430768004e-05,0.0,0.0,0.0
1540,1.096517345493859e-05,0.0,0.0,0.0
1541,9.56070276255819e-06,0.0,0.0,0.0
1542,1.3318838812535563e-05,0.0,0.0,0.0
1543,1.1529781269408496e-05,0.0,0.0,0.0
1544,1.4172774951605658e-05,0.0,0.0,0.0
1545,1.3139697200261122e-05,0.0,0.0,0.0
1546,1.2589292249945824e-05,0.0,0.0,0.0
1547,1.2589292249945824e-05,0.0,0.0,0.0
1548,1.4669985765587107e-05,0.0,0.0,0.0
1549,8.359411952239628e-06,0.0,0.0,0.0
1550,3.159427829554521e-05,5.40345711540015e-07,5.40345711540015e-07,5.40345711540015e-07
1551,2.8951284613348044e-05,5.40345711540015e-07,5.40345711540015e-07,5.40345711540015e-07
1552,3.113458965994401e-05,5.40345711540015e-07,5.40345711540015e-07,5.40345711540015e-07
1553,3.085488346446904e-05,5.40345711540015e-07,5.40345711540015e-07,5.40345711540015e-07
1554,3.085488346446904e-05,5.40345711540015e-07,5.40345711540015e-07,5.40345711540015e-07
1555,2.877418994882776e-05,5.40345711540015e-07,5.40345711540015e-07,5.40345711540015e-07
1556,3.172503732327771e-05,5.40345711540015e-07,5.40345711540015e-07,5.40345711540015e-07
1557,8.49017097997213e-06,0.0,0.0,0.0
1558,2.213114463042335e-05,0.0,0.0,0.0
1559,6.078506131806145e-05,0.0,0.0,0.0
1560,6.527196351921052e-05,0.0,0.0,0.0
1561,6.527196351921052e-05,0.0,0.0,0.0
1562,6.527196351921052e-05,0.0,0.0,0.0
1563,6.156308011538516e-05,0.0,0.0,0.0
1564,8.064802087963991e-05,0.0,0.0,0.0
1565,7.307785108423559e-05,0.0,0.0,0.0
1566,3.580827992014487e-05,0.0,0.0,0.0
1567,3.3368569737441635e-05,0.0,0.0,0.0
1568,3.3368569737441635e-05,0.0,0.0,0.0
1569,3.633939104474848e-05,0.0,0.0,0.0
1570,3.5884769334058675e-05,0.0,0.0,0.0
1571,9.280723419838719e-05,0.0,0.0,0.0
1572,9.505580289572078e-05,0.0,0.0,0.0
1573,9.437842891202308e-05,0.0,0.0,0.0
1574,0.00010268075649426984,0.0,0.0,0.0
1575,0.00010393803612324908,0.0,0.0,0.0
1576,0.00010322061708783232,0.0,0.0,0.0
1577,0.0001057720929955914,0.0,0.0,0.0
1578,3.145107919928185e-05,0.0,0.0,0.0
1579,2.9599254438445704e-05,0.0,0.0,0.0
1580,2.456561703313907e-05,0.0,0.0,0.0
1581,1.4216097432446467e-05,0.0,0.0,0.0
1582,1.5891687456002857e-05,0.0,0.0,0.0
1583,2.0607312762876973e-05,0.0,0.0,0.0
1584,2.3450506237817797e-05,0.0,0.0,0.0
1585,2.327385910965469e-05,0.0,0.0,0.0
1586,1.8962992856229122e-05,0.0,0.0,0.0
1587,2.4500265811054434e-05,0.0,0.0,0.0
1588,2.7847794886578674e-05,0.0,0.0,0.0
1589,3.089017237860909e-05,0.0,0.0,0.0
1590,2.7560803833434227e-05,0.0,0.0,0.0
1591,2.4564935561751815e-05,0.0,0.0,0.0
1592,3.081582391522326e-05,0.0,0.0,0.0
1593,3.1115186305084664e-05,0.0,0.0,0.0
1594,2.792475554867581e-05,0.0,0.0,0.0
1595,2.8634400223381817e-05,0.0,0.0,0.0
1596,2.329040775553689e-05,0.0,0.0,0.0
1597,2.1950928385194857e-05,0.0,0.0,0.0
1598,2.2206162222054055e-05,0.0,0.0,0.0
1599,1.821868590923259e-05,0.0,0.0,0.0
1600,1.949035491374421e-05,0.0,0.0,0.0
1601,2.0659342226281296e-05,0.0,0.0,0.0
1602,1.942098775283999e-05,0.0,0.0,0.0
1603,2.0438173513477003e-05,0.0,0.0,0.0
1604,2.32461032802738e-05,0.0,0.0,0.0
1605,2.1379126597561742e-05,0.0,0.0,0.0
1606,2.3051417104267913e-05,0.0,0.0,0.0
1607,1.9323704171776107e-05,0.0,0.0,0.0
1608,1.800432827232206e-05,0.0,0.0,0.0
1609,1.744959679074652e-05,0.0,0.0,0.0
1610,1.8987362896690945e-05,0.0,0.0,0.0
1611,1.5517849923136445e-05,0.0,0.0,0.0
1612,1.5268793114436058e-05,0.0,0.0,0.0
1613,1.23803135595933e-05,0.0,0.0,0.0
1614,1.5017191539560112e-05,0.0,0.0,0.0
1615,1.4725454223350556e-05,0.0,0.0,0.0
1616,1.2461366428137158e-05,0.0,0.0,0.0
1617,1.0634114525081323e-05,0.0,0.0,0.0
1618,1.0768106611586908e-05,0.0,0.0,0.0
1619,1.5406692260252646e-05,0.0,0.0,0.0
1620,1.5065980733197648e-05,0.0,0.0,0.0
1621,1.3678028673374293e-05,0.0,0.0,0.0
1622,1.6134913754025808e-05,0.0,0.0,0.0
1623,1.855964144072329e-05,0.0,0.0,0.0
1624,1.7350018993056437e-05,0.0,0.0,0.0
1625,1.6823400772279585e-05,0.0,0.0,0.0
1626,1.2565300932822407e-05,0.0,0.0,0.0
1627,1.1786986809576255e-05,0.0,0.0,0.0
1628,1.1455223670964187e-05,0.0,0.0,0.0
1629,8.496621165120035e-06,0.0,0.0,0.0
1630,7.2793794418300554e-06,0.0,0.0,0.0
1631,8.603726850456691e-06,0.0,0.0,0.0
1632,1.0656297360713194e-05,0.0,0.0,0.0
1633,1.097164528930859e-05,0.0,0.0,0.0
1634,1.0521048547421483e-05,0.0,0.0,0.0
1635,1.3884510930698265e-05,8.231971345854358e-08,8.231971345854358e-08,8.231971345854358e-08
