ngram,score,sore,scre,scre
1500,8.098626835817413e-08,2.3390674641632359e-07,0.0,0.0
1501,6.47890146865393e-08,1.8712539713305886e-07,0.0,0.0
1502,7.568342539343575e-07,1.5593783094421573e-07,0.0,0.0
1503,6.487150748008779e-07,1.336609979521849e-07,0.0,0.0
1504,6.487150748008779e-07,0.0,0.0,0.0
1505,1.54942875139698e-06,0.0,0.0,0.0
1506,1.54942875139698e-06,7.602423595796738e-06,0.0,0.0
1507,1.54942875139698e-06,7.602423595796738e-06,0.0,0.0
1508,1.54942875139698e-06,7.602423595796738e-06,0.0,0.0
1509,9.469915442293444e-07,7.602423595796738e-06,0.0,0.0
1510,9.469915442293444e-07,7.602423595796738e-06,0.0,0.0
1511,9.469915442293444e-07,7.602423595796738e-06,0.0,0.0
1512,0.0,7.602423595796738e-06,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.2852891561342403e-06,2.856611380203893e-06,0.0,0.0
1515,2.2852891561342403e-06,2.856611380203893e-06,0.0,0.0
1516,2.2852891561342403e-06,2.856611380203893e-06,0.0,0.0
1517,2.8165659387013875e-06,2.856611380203893e-06,0.0,0.0
1518,2.8165659387013875e-06,2.856611380203893e-06,0.0,0.0
1519,2.8165659387013875e-06,2.856611380203893e-06,0.0,0.0
1520,4.306122848772377e-06,3.1545227687144817e-06,0.0,0.0
1521,2.020833692638137e-06,2.979113885105887e-07,0.0,0.0
1522,2.020833692638137e-06,2.979113885105887e-07,0.0,0.0
1523,2.636878694569792e-06,2.979113885105887e-07,0.0,0.0
1524,2.105601912002645e-06,2.979113885105887e-07,0.0,0.0
1525,2.105601912002645e-06,2.979113885105887e-07,0.0,0.0
1526,2.105601912002645e-06,2.979113885105887e-07,0.0,0.0
1527,5.8664458070519944e-05,0.0,0.0,0.0
1528,5.8664458070519944e-05,1.0452324334307508e-06,0.0,0.0
1529,5.8664458070519944e-05,1.0452324334307508e-06,0.0,0.0
1530,5.804841306858829e-05,1.774180938290166e-06,0.0,0.0
1531,5.804841306858829e-05,1.774180938290166e-06,0.0,0.0
1532,5.804841306858829e-05,1.774180938290166e-06,0.0,0.0
1533,5.804841306858829e-05,1.774180938290166e-06,0.0,0.0
1534,6.179671202387129e-05,1.774180938290166e-06,0.0,0.0
1535,6.44322790321894e-05,1.2024235534876685e-05,0.0,0.0
1536,6.44322790321894e-05,1.2024235534876685e-05,0.0,0.0
1537,6.44322790321894e-05,1.129528703001727e-05,0.0,0.0
1538,6.44322790321894e-05,1.129528703001727e-05,0.0,0.0
1539,6.44322790321894e-05,1.129528703001727e-05,0.0,0.0
1540,6.44322790321894e-05,1.129528703001727e-05,0.0,0.0
1541,2.6355670083181134e-06,1.129528703001727e-05,0.0,0.0
1542,4.513939139932128e-06,0.0,0.0,0.0
1543,4.513939139932128e-06,0.0,0.0,0.0
1544,5.765883413135141e-06,2.9212034340681773e-06,0.0,0.0
1545,6.301723617850387e-06,1.0155046246446936e-05,0.0,0.0
1546,6.301723617850387e-06,1.3231814331707678e-05,0.0,0.0
1547,6.301723617850387e-06,1.3231814331707678e-05,0.0,0.0
1548,6.8962074887427405e-06,1.4420782073492383e-05,0.0,0.0
1549,2.3822683488106122e-06,1.805875516376026e-05,0.0,0.0
1550,2.922614060350627e-06,1.805875516376026e-05,0.0,0.0
1551,4.031866930225598e-06,1.513755172969208e-05,0.0,0.0
1552,4.217137724741146e-06,7.903708917313321e-06,0.0,0.0
1553,4.217137724741146e-06,4.82694083205258e-06,0.0,0.0
1554,4.217137724741146e-06,1.4083542997208756e-05,0.0,0.0
1555,6.0265938697869255e-06,1.289457525542405e-05,0.0,0.0
1556,6.0265938697869255e-06,9.256602165156177e-06,0.0,0.0
1557,5.486248158246911e-06,9.256602165156177e-06,0.0,0.0
1558,4.489148328242923e-06,9.256602165156177e-06,0.0,0.0
1559,1.2364154047515643e-05,4.364106903917023e-05,0.0,0.0
1560,1.3261534539716585e-05,4.40897592852707e-05,0.0,0.0
1561,1.3261534539716585e-05,0.00014204876645505595,0.0,0.0
1562,1.0857594523778452e-05,0.00014204876645505595,0.0,0.0
1563,1.267608136653767e-05,0.00014204876645505595,0.0,0.0
1564,1.267608136653767e-05,0.00015477205995141828,0.0,0.0
1565,2.1429990998253095e-05,0.0001557838605939261,0.0,0.0
1566,1.283387427974958e-05,0.00012139939371991204,0.0,0.0
1567,1.1936493787548638e-05,0.00012095070347381156,0.0,0.0
1568,1.1936493787548638e-05,1.3735094138870149e-05,0.0,0.0
1569,1.6392725748508902e-05,1.8934031426657123e-05,0.0,0.0
1570,1.4574238905749684e-05,1.8934031426657123e-05,0.0,0.0
1571,1.9477942259982228e-05,6.210737930294792e-06,0.0,0.0
1572,1.2479700152263312e-05,1.559815271840697e-05,0.0,0.0
1573,1.2479700152263312e-05,2.06317901237136e-05,0.0,0.0
1574,1.4658546336119929e-05,2.06317901237136e-05,0.0,0.0
1575,1.4658546336119929e-05,2.566090863963057e-05,0.0,0.0
1576,1.1554355686322587e-05,2.3616734584460835e-05,0.0,0.0
1577,1.1554355686322587e-05,2.3616734584460835e-05,0.0,0.0
1578,6.891565444025868e-06,2.5784952543160345e-05,0.0,0.0
1579,3.7718006069553667e-06,1.7326001527960345e-05,0.0,0.0
1580,6.7431832024210185e-06,1.2292364122653712e-05,0.0,0.0
1581,4.564337018564402e-06,4.017781053075201e-05,0.0,0.0
1582,5.821281173926504e-06,3.6824617512008573e-05,0.0,0.0
1583,5.190173770383158e-06,3.4631099489550774e-05,0.0,0.0
1584,5.190173770383158e-06,3.4631099489550774e-05,0.0,0.0
1585,5.515414938729789e-06,3.3217753882906565e-05,0.0,0.0
1586,6.953202630808976e-06,3.1996383313526167e-05,0.0,0.0
1587,5.02005871437307e-06,3.92640541316983e-05,0.0,0.0
1588,6.359070344582765e-06,1.1378607723599998e-05,0.0,0.0
1589,5.8490320822914195e-06,1.717174115713403e-05,0.0,0.0
1590,5.908025091879868e-06,2.608957083793939e-05,0.0,0.0
1591,1.017256051584679e-05,3.27529073729238e-05,0.0,0.0
1592,1.0203378029213386e-05,3.737078090385434e-05,0.0,0.0
1593,1.0998357733374828e-05,8.934519532236404e-05,0.0,0.0
1594,1.2809855953881716e-05,8.325094560340014e-05,0.0,0.0
1595,1.4626424022675824e-05,8.911130797579452e-05,0.0,0.0
1596,1.5983700385342153e-05,8.606103165220702e-05,0.0,0.0
1597,1.7261829011009206e-05,8.429311687255645e-05,0.0,0.0
1598,1.3528100583114013e-05,7.798365166828651e-05,0.0,0.0
1599,1.3166951086012496e-05,7.331837267494328e-05,0.0,0.0
1600,1.2105750589138811e-05,2.43527773428858e-05,0.0,0.0
1601,1.5115729541191416e-05,2.8453100250252256e-05,0.0,0.0
1602,1.3943763503578208e-05,2.259273787785787e-05,0.0,0.0
1603,1.1839581247841124e-05,1.8586065380077343e-05,0.0,0.0
1604,1.1995039877937025e-05,1.21776084987297e-05,0.0,0.0
1605,1.3375660078703991e-05,1.4747096364382223e-05,0.0,0.0
1606,1.4421119496026741e-05,2.0205797747101834e-05,0.0,0.0
1607,1.6982038037635254e-05,2.8422038017846978e-05,0.0,0.0
1608,1.4916196440546109e-05,3.492927200048663e-05,0.0,0.0
1609,1.6140040315804072e-05,3.624998979440923e-05,0.0,0.0
1610,1.703217815572446e-05,4.029856868977991e-05,0.0,0.0
1611,1.5125900810224785e-05,3.8698277738343935e-05,0.0,0.0
1612,1.4559477254546696e-05,3.631291999844117e-05,0.0,0.0
1613,1.4556679388988414e-05,3.430182426557492e-05,0.0,0.0
1614,1.1813023222982468e-05,2.4994749042304776e-05,0.0,0.0
1615,9.542921978728763e-06,1.3975657558213633e-05,0.0,0.0
1616,6.335464442080203e-06,1.445706245866469e-05,0.0,0.0
1617,6.678739899663404e-06,1.4690943958482552e-05,0.0,0.0
1618,7.1593201807575364e-06,1.4588531679951952e-05,0.0,0.0
1619,7.052195996948285e-06,1.618868574431482e-05,0.0,0.0
1620,6.579623459401773e-06,1.3141741289603357e-05,0.0,0.0
1621,6.126048187330266e-06,1.3716387327024546e-05,0.0,0.0
1622,5.09471403477489e-06,1.3798681720800232e-05,0.0,0.0
1623,6.980613404396406e-06,1.199655902642657e-05,0.0,0.0
1624,6.939857647531815e-06,8.048649501038849e-06,0.0,0.0
1625,6.9826874420998915e-06,1.0540590145475498e-05,0.0,0.0
1626,5.974429801166739e-06,8.632056441066588e-06,0.0,0.0
1627,5.647832527496835e-06,9.60095582870833e-06,0.0,0.0
1628,5.30911341099584e-06,7.568641064738456e-06,0.0,0.0
1629,6.302202791630407e-06,7.054577541306831e-06,0.0,0.0
1630,4.761299416194171e-06,8.089565491380718e-06,0.0,0.0
1631,5.9472013812670155e-06,1.5504822223582388e-05,0.0,0.0
1632,6.124441954723027e-06,1.3196133847616562e-05,0.0,0.0
1633,6.85446970497391e-06,1.3377790407633125e-05,0.0,0.0
1634,7.485919078525123e-06,1.1671017416249794e-05,0.0,0.0
1635,8.441860148065774e-06,1.3126038993505063e-05,0.0,0.0
1636,7.303709545729882e-06,1.3316988088263315e-05,0.0,0.0
1637,8.202435732787958e-06,1.6525287427222274e-05,0.0,0.0
1638,6.36055652388937e-06,1.0383420853291422e-05,0.0,0.0
1639,5.975630886366291e-06,1.2536275367632957e-05,0.0,0.0
1640,5.53002158605003e-06,1.3153077523903839e-05,0.0,0.0
1641,5.195645339231955e-06,1.373837644028494e-05,0.0,0.0
1642,6.094216230069703e-06,1.3479042081598891e-05,0.0,0.0
1643,7.101675302172745e-06,1.2957975611373382e-05,0.0,0.0
1644,6.499583378172247e-06,9.81462588762432e-06,0.0,0.0
1645,6.845006055300473e-06,8.482210367739234e-06,0.0,0.0
1646,6.725736284352024e-06,7.455702936048121e-06,0.0,0.0
1647,7.668333767339521e-06,8.092351241170295e-06,0.0,0.0
1648,7.396288180773679e-06,9.154164152797811e-06,0.0,0.0
1649,6.283974601371613e-06,7.092178780762229e-06,0.0,0.0
1650,6.817703771438184e-06,8.98074465892153e-06,0.0,0.0
1651,6.649074423746372e-06,9.17080956241989e-06,0.0,0.0
1652,7.323770530222516e-06,1.0543015605435357e-05,0.0,0.0
1653,8.327593994701082e-06,1.0288677166110055e-05,0.0,0.0
1654,8.530283724082568e-06,1.0490691660639381e-05,0.0,0.0
1655,8.43266346756926e-06,9.054355781959852e-06,0.0,0.0
1656,8.037618174837138e-06,9.64759127392816e-06,0.0,0.0
1657,7.3724472713365685e-06,9.733140164566326e-06,0.0,0.0
1658,7.435602713355495e-06,9.997991128329886e-06,0.0,0.0
1659,8.836184796174556e-06,1.0222019552332182e-05,0.0,0.0
1660,8.451116432947206e-06,9.72798222522085e-06,0.0,0.0
1661,7.73238467185625e-06,8.801834610494552e-06,0.0,0.0
