ngram,package,packge,packge,packge
1500,1.3496103861143638e-06,0.0,0.0,0.0
1501,1.0796883088914911e-06,0.0,0.0,0.0
1502,6.873909001114953e-06,0.0,0.0,0.0
1503,5.891922000955674e-06,0.0,0.0,0.0
1504,5.490939007099119e-06,0.0,0.0,0.0
1505,5.12071606603318e-06,0.0,0.0,0.0
1506,5.12071606603318e-06,0.0,0.0,0.0
1507,5.12071606603318e-06,0.0,0.0,0.0
1508,5.12071606603318e-06,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,7.079390343278646e-05,0.0,0.0,0.0
1533,7.079390343278646e-05,0.0,0.0,0.0
1534,7.079390343278646e-05,0.0,0.0,0.0
1535,7.079390343278646e-05,0.0,0.0,0.0
1536,7.213569655764982e-05,0.0,0.0,0.0
1537,7.213569655764982e-05,0.0,0.0,0.0
1538,7.213569655764982e-05,0.0,0.0,0.0
1539,7.152571405250845e-06,0.0,0.0,0.0
1540,7.152571405250845e-06,0.0,0.0,0.0
1541,7.152571405250845e-06,0.0,0.0,0.0
1542,7.152571405250845e-06,0.0,0.0,0.0
1543,5.810778280387499e-06,0.0,0.0,0.0
1544,6.088988129704376e-06,0.0,0.0,0.0
1545,6.088988129704376e-06,0.0,0.0,0.0
1546,2.782098493168762e-07,0.0,0.0,0.0
1547,2.782098493168762e-07,0.0,0.0,0.0
1548,1.1699356231734522e-06,0.0,0.0,0.0
1549,1.1699356231734522e-06,0.0,0.0,0.0
1550,1.1699356231734522e-06,0.0,0.0,0.0
1551,8.91725773856576e-07,0.0,0.0,0.0
1552,1.6128367730873703e-06,0.0,0.0,0.0
1553,1.6128367730873703e-06,0.0,0.0,0.0
1554,1.6128367730873703e-06,0.0,0.0,0.0
1555,7.211109992307943e-07,0.0,0.0,0.0
1556,7.211109992307943e-07,0.0,0.0,0.0
1557,7.211109992307943e-07,0.0,0.0,0.0
1558,2.0852083123047904e-06,0.0,0.0,0.0
1559,1.3640973130739958e-06,0.0,0.0,0.0
1560,1.3640973130739958e-06,0.0,0.0,0.0
1561,1.3640973130739958e-06,0.0,0.0,0.0
1562,3.1418118981361786e-06,0.0,0.0,0.0
1563,3.1418118981361786e-06,0.0,0.0,0.0
1564,3.1418118981361786e-06,0.0,0.0,0.0
1565,1.7777145850621828e-06,0.0,0.0,0.0
1566,1.7777145850621828e-06,0.0,0.0,0.0
1567,1.7777145850621828e-06,0.0,0.0,0.0
1568,1.7777145850621828e-06,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,0.0,0.0,0.0,0.0
1584,0.0,0.0,0.0,0.0
1585,0.0,0.0,0.0,0.0
1586,0.0,0.0,0.0,0.0
1587,0.0,0.0,0.0,0.0
1588,0.0,0.0,0.0,0.0
1589,0.0,0.0,0.0,0.0
1590,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0
1592,0.0,0.0,0.0,0.0
1593,0.0,0.0,0.0,0.0
1594,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0
1597,0.0,0.0,0.0,0.0
1598,1.3270174901793196e-07,0.0,0.0,0.0
1599,1.3270174901793196e-07,0.0,0.0,0.0
1600,1.3270174901793196e-07,0.0,0.0,0.0
1601,3.280256107375733e-07,0.0,0.0,0.0
1602,3.280256107375733e-07,0.0,0.0,0.0
1603,3.280256107375733e-07,0.0,0.0,0.0
1604,3.280256107375733e-07,0.0,0.0,0.0
1605,1.953238617196413e-07,0.0,0.0,0.0
1606,1.953238617196413e-07,0.0,0.0,0.0
1607,1.953238617196413e-07,0.0,0.0,0.0
1608,0.0,0.0,0.0,0.0
1609,0.0,0.0,0.0,0.0
1610,0.0,0.0,0.0,0.0
1611,0.0,0.0,0.0,0.0
1612,0.0,0.0,0.0,0.0
1613,0.0,0.0,0.0,0.0
1614,0.0,0.0,0.0,0.0
1615,0.0,0.0,0.0,0.0
1616,0.0,0.0,0.0,0.0
1617,0.0,0.0,0.0,0.0
1618,4.923856847329131e-07,0.0,0.0,0.0
1619,4.923856847329131e-07,0.0,0.0,0.0
1620,4.923856847329131e-07,0.0,0.0,0.0
1621,4.923856847329131e-07,0.0,0.0,0.0
1622,4.923856847329131e-07,0.0,0.0,0.0
1623,4.923856847329131e-07,0.0,0.0,0.0
1624,7.910500698926626e-07,0.0,0.0,0.0
1625,2.986643851597494e-07,0.0,0.0,0.0
1626,2.986643851597494e-07,0.0,0.0,0.0
1627,2.986643851597494e-07,0.0,0.0,0.0
1628,2.986643851597494e-07,0.0,0.0,0.0
1629,2.986643851597494e-07,0.0,0.0,0.0
1630,2.986643851597494e-07,0.0,0.0,0.0
1631,1.1335997182218957e-07,0.0,0.0,0.0
1632,1.1335997182218957e-07,0.0,0.0,0.0
1633,1.1335997182218957e-07,0.0,0.0,0.0
1634,2.3677813487665844e-07,0.0,0.0,0.0
1635,2.3677813487665844e-07,0.0,0.0,0.0
1636,2.3677813487665844e-07,0.0,0.0,0.0
1637,2.3677813487665844e-07,0.0,0.0,0.0
1638,1.2341816305446889e-07,0.0,0.0,0.0
1639,1.2341816305446889e-07,0.0,0.0,0.0
1640,1.2341816305446889e-07,0.0,0.0,0.0
1641,0.0,0.0,0.0,0.0
1642,0.0,0.0,0.0,0.0
1643,0.0,0.0,0.0,0.0
1644,0.0,0.0,0.0,0.0
1645,0.0,0.0,0.0,0.0
1646,0.0,0.0,0.0,0.0
1647,0.0,0.0,0.0,0.0
1648,0.0,0.0,0.0,0.0
1649,0.0,0.0,0.0,0.0
1650,0.0,0.0,0.0,0.0
1651,0.0,0.0,0.0,0.0
1652,0.0,0.0,0.0,0.0
1653,0.0,0.0,0.0,0.0
1654,0.0,0.0,0.0,0.0
1655,5.81030446612983e-08,0.0,0.0,0.0
1656,1.0341037588139962e-07,0.0,0.0,0.0
1657,1.0341037588139962e-07,0.0,0.0,0.0
1658,2.1064164457129664e-07,0.0,0.0,0.0
1659,2.1064164457129664e-07,0.0,0.0,0.0
1660,2.1064164457129664e-07,0.0,0.0,0.0
1661,2.1064164457129664e-07,0.0,0.0,0.0
1662,1.5253859990999835e-07,0.0,0.0,0.0
1663,1.0723126868989701e-07,0.0,0.0,0.0
1664,1.858372310640074e-07,0.0,0.0,0.0
1665,7.860596237411041e-08,0.0,0.0,0.0
1666,7.860596237411041e-08,0.0,0.0,0.0
1667,7.860596237411041e-08,0.0,0.0,0.0
1668,7.860596237411041e-08,0.0,0.0,0.0
1669,7.860596237411041e-08,0.0,0.0,0.0
1670,1.1725513055742859e-07,0.0,0.0,0.0
1671,3.864916818331819e-08,0.0,0.0,0.0
1672,8.785037104124577e-08,0.0,0.0,0.0
