ngram,user,use,usr,use
1500,2.8611933657884947e-06,0.0006479503645095974,0.0,0.0006479503645095974
1501,2.2889546926307956e-06,0.0005183602916076779,0.0,0.0005183602916076779
1502,3.6645708405558253e-06,0.0004968042145871246,0.0,0.0004968042145871246
1503,1.2065727462738454e-05,0.0005597021871445966,0.0,0.0005597021871445966
1504,1.1263761475025344e-05,0.0007935944886412472,0.0,0.0007935944886412472
1505,1.0430759825145028e-05,0.0008128948268547122,0.0,0.0008128948268547122
1506,1.0430759825145028e-05,0.0008128948268547122,0.0,0.0008128948268547122
1507,1.0430759825145028e-05,0.0008128948268547122,0.0,0.0008128948268547122
1508,1.0430759825145028e-05,0.0008128948268547122,0.0,0.0008128948268547122
1509,8.92466674226203e-06,0.0007573199940712325,0.0,0.0007573199940712325
1510,0.0,0.0006234499908584569,0.0,0.0006234499908584569
1511,0.0,0.00013573545064511045,0.0,0.00013573545064511045
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,2.485251960544182e-05,0.0,2.485251960544182e-05
1515,0.0,2.485251960544182e-05,0.0,2.485251960544182e-05
1516,0.0,2.485251960544182e-05,0.0,2.485251960544182e-05
1517,0.0,7.426126103382558e-05,0.0,7.426126103382558e-05
1518,0.0,7.426126103382558e-05,0.0,7.426126103382558e-05
1519,0.0,7.426126103382558e-05,0.0,7.426126103382558e-05
1520,0.0,0.00010673360208914216,0.0,0.00010673360208914216
1521,0.0,0.000505161504926426,0.0,0.000505161504926426
1522,0.0,0.0005210302894868489,0.0,0.0005210302894868489
1523,1.2320900038633096e-06,0.0005924915104904878,0.0,0.0005924915104904878
1524,1.2320900038633096e-06,0.000549276803212706,0.0,0.000549276803212706
1525,1.2320900038633096e-06,0.000549276803212706,0.0,0.000549276803212706
1526,1.8677394889112163e-06,0.0006064852547881726,0.0,0.0006064852547881726
1527,1.8677394889112163e-06,0.0006320613268014443,0.0,0.0006320613268014443
1528,1.2320064213002166e-05,0.0006132858636971962,0.0,0.0006132858636971962
1529,1.2320064213002166e-05,0.0005974170791367735,0.0,0.0005974170791367735
1530,1.1087974209138857e-05,0.0005383479822609973,0.0,0.0005383479822609973
1531,1.1087974209138857e-05,0.000578112733949508,0.0,0.000578112733949508
1532,1.1087974209138857e-05,0.0007115840479465467,0.0,0.0007115840479465467
1533,1.045232472409095e-05,0.0006543755963710802,0.0,0.0006543755963710802
1534,1.045232472409095e-05,0.0006033495368943217,0.0,0.0006033495368943217
1535,0.0,0.00024139015762817247,0.0,0.00024139015762817247
1536,0.0,0.0002794076307119602,0.0,0.0002794076307119602
1537,0.0,0.0002670155065840975,0.0,0.0002670155065840975
1538,0.0,0.000236938913855868,0.0,0.000236938913855868
1539,7.221966682534133e-05,0.0002935630603003249,0.0,0.0002935630603003249
1540,7.221966682534133e-05,0.0005090338677941222,0.0,0.0005090338677941222
1541,7.221966682534133e-05,0.0005020115142022925,0.0,0.0005020115142022925
1542,7.221966682534133e-05,0.0005948841031308153,0.0,0.0005948841031308153
1543,7.221966682534133e-05,0.0005568666300470275,0.0,0.0005568666300470275
1544,7.221966682534133e-05,0.0006527099259463805,0.0,0.0006527099259463805
1545,7.221966682534133e-05,0.0006590651007302638,0.0,0.0006590651007302638
1546,0.0,0.000513163220603019,0.0,0.000513163220603019
1547,0.0,0.0003861752255553646,0.0,0.0003861752255553646
1548,0.0,0.00044294843350404074,0.0,0.00044294843350404074
1549,0.0,0.00034876062584641786,0.0,0.00034876062584641786
1550,0.0,0.00042062660629328875,0.0,0.00042062660629328875
1551,0.0,0.00032478331039393585,0.0,0.00032478331039393585
1552,0.0,0.0003400437126401812,0.0,0.0003400437126401812
1553,0.0,0.0002958501323259303,0.0,0.0002958501323259303
1554,0.0,0.0002073673198797873,0.0,0.0002073673198797873
1555,6.009850039845333e-07,0.00024915565570284216,0.0,0.00024915565570284216
1556,6.009850039845333e-07,0.00026100998262076506,0.0,0.00026100998262076506
1557,6.009850039845333e-07,0.0001891440021738942,0.0,0.0001891440021738942
1558,6.009850039845333e-07,0.0002450719933092062,0.0,0.0002450719933092062
1559,6.009850039845333e-07,0.00022476645660520132,0.0,0.00022476645660520132
1560,6.009850039845333e-07,0.0002400219247127617,0.0,0.0002400219247127617
1561,6.009850039845333e-07,0.0002400219247127617,0.0,0.0002400219247127617
1562,0.0,0.0001414603809410307,0.0,0.0001414603809410307
1563,0.0,9.292190952692181e-05,0.0,9.292190952692181e-05
1564,0.0,0.00011836849651964647,0.0,0.00011836849651964647
