ngram,sport,sprt,sport,spot
1500,3.239450734326965e-07,0.0,3.239450734326965e-07,1.4008212701810407e-05
1501,2.591560587461572e-07,0.0,2.591560587461572e-07,1.1206570161448325e-05
1502,7.430959385601454e-07,0.0,7.430959385601454e-07,1.1271627802974157e-05
1503,6.369393759086961e-07,0.0,6.369393759086961e-07,9.661395259692135e-06
1504,6.369393759086961e-07,0.0,6.369393759086961e-07,3.6466505792174886e-06
1505,1.083155601528623e-06,0.0,1.083155601528623e-06,1.6567022872290442e-06
1506,1.083155601528623e-06,0.0,1.083155601528623e-06,1.6567022872290442e-06
1507,1.083155601528623e-06,0.0,1.083155601528623e-06,1.6567022872290442e-06
1508,1.083155601528623e-06,0.0,1.083155601528623e-06,1.6567022872290442e-06
1509,6.313276961528962e-07,0.0,6.313276961528962e-07,0.0
1510,6.313276961528962e-07,0.0,6.313276961528962e-07,0.0
1511,6.313276961528962e-07,0.0,6.313276961528962e-07,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,2.8566114451678004e-07,2.8566114451678004e-07
1515,2.8566114451678004e-07,0.0,2.8566114451678004e-07,2.8566114451678004e-07
1516,2.8566114451678004e-07,0.0,2.8566114451678004e-07,2.8566114451678004e-07
1517,2.8566114451678004e-07,0.0,2.8566114451678004e-07,2.8566114451678004e-07
1518,2.8566114451678004e-07,0.0,2.8566114451678004e-07,2.8566114451678004e-07
1519,2.8566114451678004e-07,0.0,2.8566114451678004e-07,2.8566114451678004e-07
1520,8.814839215379575e-07,0.0,8.814839215379575e-07,1.7266610127210568e-05
1521,5.958227770211774e-07,0.0,5.958227770211774e-07,1.6980948982693788e-05
1522,5.958227770211774e-07,0.0,5.958227770211774e-07,2.0154705842807224e-05
1523,5.958227770211774e-07,0.0,5.958227770211774e-07,2.5083065858260462e-05
1524,5.958227770211774e-07,0.0,5.958227770211774e-07,2.5083065858260462e-05
1525,5.958227770211774e-07,0.0,5.958227770211774e-07,2.5083065858260462e-05
1526,5.958227770211774e-07,0.0,5.958227770211774e-07,2.5083065858260462e-05
1527,0.0,0.0,0.0,8.102116875566675e-06
1528,1.0452324334307508e-06,0.0,1.0452324334307508e-06,8.102116875566675e-06
1529,1.0452324334307508e-06,0.0,1.0452324334307508e-06,4.9283600154532385e-06
1530,1.0452324334307508e-06,0.0,1.0452324334307508e-06,2.915794019437661e-06
1531,1.0452324334307508e-06,0.0,1.0452324334307508e-06,2.915794019437661e-06
1532,1.496149025115301e-06,0.0,1.496149025115301e-06,3.366710611122211e-06
1533,1.496149025115301e-06,0.0,1.496149025115301e-06,3.366710611122211e-06
1534,1.496149025115301e-06,0.0,1.496149025115301e-06,3.366710611122211e-06
1535,8.274261550208653e-07,0.0,8.274261550208653e-07,3.366710611122211e-06
1536,8.274261550208653e-07,0.0,8.274261550208653e-07,3.366710611122211e-06
1537,8.274261550208653e-07,0.0,8.274261550208653e-07,4.509165916845502e-07
1538,8.274261550208653e-07,0.0,8.274261550208653e-07,4.509165916845502e-07
1539,3.7650956333631515e-07,0.0,3.7650956333631515e-07,1.6602222915805344e-06
1540,3.7650956333631515e-07,0.0,3.7650956333631515e-07,1.6602222915805344e-06
1541,3.7650956333631515e-07,0.0,3.7650956333631515e-07,1.6602222915805344e-06
1542,0.0,0.0,0.0,3.164868628248639e-06
1543,0.0,0.0,0.0,3.164868628248639e-06
1544,6.955246395331674e-07,0.0,6.955246395331674e-07,3.999498143717314e-06
1545,6.955246395331674e-07,0.0,6.955246395331674e-07,4.803258434549207e-06
1546,1.81434942143304e-06,0.0,1.81434942143304e-06,4.261860924868545e-06
1547,1.81434942143304e-06,0.0,1.81434942143304e-06,4.261860924868545e-06
1548,1.81434942143304e-06,0.0,1.81434942143304e-06,5.450828666653251e-06
1549,1.81434942143304e-06,0.0,1.81434942143304e-06,7.58415542025302e-06
1550,2.354695132973055e-06,0.0,2.354695132973055e-06,1.0826229624529202e-05
1551,1.6591704934398877e-06,0.0,1.6591704934398877e-06,9.991600109060528e-06
1552,3.1013924919014765e-06,0.0,3.1013924919014765e-06,1.5677838616414063e-05
1553,1.9825677100016037e-06,0.0,1.9825677100016037e-06,1.455901383451419e-05
1554,1.9825677100016037e-06,0.0,1.9825677100016037e-06,1.455901383451419e-05
1555,2.583552713986137e-06,0.0,2.583552713986137e-06,1.3370046092729484e-05
1556,2.583552713986137e-06,0.0,2.583552713986137e-06,9.73207300246161e-06
1557,2.043207002446122e-06,0.0,2.043207002446122e-06,6.489998798185427e-06
1558,3.4073043155201177e-06,0.0,3.4073043155201177e-06,8.536144767796422e-06
1559,5.403528900517683e-06,0.0,5.403528900517683e-06,3.765369261340571e-06
1560,7.198289884919566e-06,0.0,7.198289884919566e-06,1.3636554935406561e-05
1561,7.198289884919566e-06,0.0,7.198289884919566e-06,1.3636554935406561e-05
1562,6.597304880935033e-06,0.0,6.597304880935033e-06,1.3636554935406561e-05
1563,6.597304880935033e-06,0.0,6.597304880935033e-06,1.3636554935406561e-05
1564,6.597304880935033e-06,0.0,6.597304880935033e-06,1.3636554935406561e-05
1565,5.233207567861038e-06,0.0,5.233207567861038e-06,1.2602209608303383e-05
1566,1.7947609844018838e-06,0.0,1.7947609844018838e-06,1.0882986316573806e-05
1567,0.0,0.0,0.0,3.0589926609536633e-06
1568,0.0,0.0,0.0,3.0589926609536633e-06
1569,0.0,0.0,0.0,3.0589926609536633e-06
1570,0.0,0.0,0.0,4.5700049408229205e-06
1571,0.0,0.0,0.0,7.021856617939193e-06
1572,7.27945111326075e-06,0.0,7.27945111326075e-06,7.049977544478939e-06
1573,8.537860464587408e-06,0.0,8.537860464587408e-06,7.049977544478939e-06
1574,9.082572010551562e-06,0.0,9.082572010551562e-06,6.0922086179614e-06
1575,1.4111690526468529e-05,0.0,1.4111690526468529e-05,7.3494882469406416e-06
1576,1.636509279835861e-05,0.0,1.636509279835861e-05,8.250849142703892e-06
1577,1.636509279835861e-05,0.0,1.636509279835861e-05,6.739836862834636e-06
1578,1.636509279835861e-05,0.0,1.636509279835861e-05,6.697116337558587e-06
1579,1.0379151295377856e-05,0.0,1.0379151295377856e-05,8.8909686642832e-06
1580,1.1101663631052361e-05,0.0,1.1101663631052361e-05,8.8909686642832e-06
1581,1.0556952085088206e-05,0.0,1.0556952085088206e-05,7.80154557235489e-06
1582,5.5278335691712395e-06,0.0,5.5278335691712395e-06,6.544265943375649e-06
1583,4.235676507440596e-06,0.0,4.235676507440596e-06,6.123527652692116e-06
1584,6.933011198790544e-06,0.0,6.933011198790544e-06,6.123527652692116e-06
1585,1.0518654822330323e-05,0.0,1.0518654822330323e-05,5.035423133189657e-06
1586,9.225145212050328e-06,0.0,9.225145212050328e-06,2.5205430834570767e-06
1587,1.3473655729155456e-05,0.0,1.3473655729155456e-05,4.597020441516568e-06
1588,2.2177231065662844e-05,0.0,2.2177231065662844e-05,4.597020441516568e-06
1589,2.4791401561482678e-05,0.0,2.4791401561482678e-05,5.157199861319636e-06
1590,3.3449255040198166e-05,0.0,3.3449255040198166e-05,5.1965285560332375e-06
1591,3.3417254858899727e-05,0.0,3.3417254858899727e-05,6.262662412024968e-06
1592,3.580132917185048e-05,0.0,3.580132917185048e-05,5.538607573336256e-06
1593,4.339273800724186e-05,0.0,4.339273800724186e-05,7.27575765527685e-06
1594,3.9174884867471906e-05,0.0,3.9174884867471906e-05,7.043227664585824e-06
1595,3.993804862797593e-05,0.0,3.993804862797593e-05,7.494024755162952e-06
1596,3.8375969260024636e-05,0.0,3.8375969260024636e-05,7.144263560933593e-06
1597,3.250979547634155e-05,0.0,3.250979547634155e-05,7.59280900248476e-06
1598,2.9977162715307975e-05,0.0,2.9977162715307975e-05,8.64990313077994e-06
1599,2.5776111970442018e-05,0.0,2.5776111970442018e-05,8.406664781952194e-06
1600,2.0421330946516848e-05,0.0,2.0421330946516848e-05,8.293754652705892e-06
1601,1.9777018914217998e-05,0.0,1.9777018914217998e-05,8.40304590253384e-06
1602,1.0727882689869667e-05,0.0,1.0727882689869667e-05,8.89185525920766e-06
1603,9.675791562001126e-06,0.0,9.675791562001126e-06,8.681437033633951e-06
1604,7.79584015780139e-06,0.0,7.79584015780139e-06,8.56429190727275e-06
1605,1.0811371469441968e-05,0.0,1.0811371469441968e-05,7.003248388822872e-06
1606,1.2005668330467805e-05,0.0,1.2005668330467805e-05,1.0173039559698996e-05
1607,1.2755028819810832e-05,0.0,1.2755028819810832e-05,7.829905760965111e-06
1608,1.2985182560701755e-05,0.0,1.2985182560701755e-05,6.2760223370008e-06
1609,1.4265645534448725e-05,0.0,1.4265645534448725e-05,5.336415889749853e-06
1610,1.732440380562496e-05,0.0,1.732440380562496e-05,6.738346753211642e-06
1611,1.5861079418755253e-05,0.0,1.5861079418755253e-05,6.091819695289555e-06
1612,1.513385291218583e-05,0.0,1.513385291218583e-05,6.336637414148884e-06
1613,1.4887666988475498e-05,0.0,1.4887666988475498e-05,3.771975652203504e-06
1614,1.5197776097660867e-05,0.0,1.5197776097660867e-05,4.4311951471952075e-06
1615,1.6266958190109498e-05,0.0,1.6266958190109498e-05,4.793726459086299e-06
1616,1.7091864167793703e-05,0.0,1.7091864167793703e-05,5.154150991464641e-06
1617,1.5762684565093616e-05,0.0,1.5762684565093616e-05,4.122844123750318e-06
1618,1.6140852559536662e-05,0.0,1.6140852559536662e-05,4.607359512322416e-06
1619,2.2159933450893732e-05,0.0,2.2159933450893732e-05,5.600909324649754e-06
1620,2.3170495101762105e-05,0.0,2.3170495101762105e-05,5.548696663026931e-06
1621,2.1480159700461498e-05,0.0,2.1480159700461498e-05,5.24631315913991e-06
1622,1.8813556835084455e-05,0.0,1.8813556835084455e-05,6.4541820847807685e-06
1623,1.7907070222073734e-05,0.0,1.7907070222073734e-05,8.51848523909991e-06
1624,1.6625488115096232e-05,0.0,1.6625488115096232e-05,9.491850927848386e-06
1625,1.7498964812797828e-05,0.0,1.7498964812797828e-05,8.802510982215089e-06
1626,1.020698644944267e-05,0.0,1.020698644944267e-05,7.4612026180277875e-06
1627,6.79918935020396e-06,0.0,6.79918935020396e-06,7.353409111081939e-06
1628,5.914055204162391e-06,0.0,5.914055204162391e-06,9.682549781635836e-06
1629,6.90440736304611e-06,0.0,6.90440736304611e-06,9.528439932182664e-06
1630,6.581657187000799e-06,0.0,6.581657187000799e-06,9.087439203930054e-06
1631,7.437300317698308e-06,0.0,7.437300317698308e-06,1.0690808721847134e-05
1632,7.150398524962449e-06,0.0,7.150398524962449e-06,1.243170527231996e-05
1633,6.413567819306211e-06,0.0,6.413567819306211e-06,1.2109554437042139e-05
1634,7.575043062908142e-06,0.0,7.575043062908142e-06,1.1804370404076638e-05
1635,9.241686776866637e-06,8.231971345854358e-08,9.241686776866637e-06,9.529992325951753e-06
1636,8.946089889962292e-06,8.231971345854358e-08,8.946089889962292e-06,7.974879979753626e-06
1637,1.0139799217410785e-05,8.231971345854358e-08,1.0139799217410785e-05,6.356953674315134e-06
1638,9.778850068999287e-06,8.231971345854358e-08,9.778850068999287e-06,4.015609826118245e-06
1639,9.650381733601015e-06,8.231971345854358e-08,9.650381733601015e-06,3.2091560667270514e-06
1640,1.1089648329029192e-05,8.231971345854358e-08,1.1089648329029192e-05,3.9973357550999415e-06
1641,9.847518754213525e-06,8.231971345854358e-08,9.847518754213525e-06,4.10088396815159e-06
1642,1.6096234064986804e-05,0.0,1.6096234064986804e-05,5.7403322313933e-06
1643,1.5762768579666693e-05,0.0,1.5762768579666693e-05,6.02173369251042e-06
