ngram,dream,drem,drm,dreamm
1500,2.3390674641632359e-07,0.0,0.0,0.0
1501,1.8712539713305886e-07,0.0,0.0,0.0
1502,1.5593783094421573e-07,0.0,0.0,0.0
1503,1.336609979521849e-07,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,1.6338758541678544e-06,0.0,0.0,0.0
1518,1.6338758541678544e-06,0.0,0.0,0.0
1519,1.6338758541678544e-06,0.0,0.0,0.0
1520,3.123432764238844e-06,0.0,0.0,0.0
1521,2.552110475205284e-06,0.0,0.0,0.0
1522,2.552110475205284e-06,0.0,0.0,0.0
1523,2.552110475205284e-06,0.0,0.0,0.0
1524,1.48955691007099e-06,0.0,0.0,0.0
1525,1.48955691007099e-06,0.0,0.0,0.0
1526,1.48955691007099e-06,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,7.289485048594153e-07,0.0,0.0,0.0
1531,2.9453190174016136e-05,0.0,0.0,0.0
1532,2.9453190174016136e-05,0.0,0.0,0.0
1533,2.9453190174016136e-05,0.0,0.0,0.0
1534,2.9453190174016136e-05,0.0,0.0,0.0
1535,3.0206209300688768e-05,0.0,0.0,0.0
1536,3.0206209300688768e-05,0.0,0.0,0.0
1537,2.9477260795829352e-05,0.0,0.0,0.0
1538,7.530191266726303e-07,0.0,0.0,0.0
1539,7.530191266726303e-07,0.0,0.0,0.0
1540,7.530191266726303e-07,0.0,0.0,0.0
1541,7.530191266726303e-07,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,8.346295154686751e-07,0.0,0.0,0.0
1545,8.346295154686751e-07,0.0,0.0,0.0
1546,8.346295154686751e-07,0.0,0.0,0.0
1547,8.346295154686751e-07,0.0,0.0,0.0
1548,1.4291133863610282e-06,0.0,0.0,0.0
1549,1.4291133863610282e-06,0.0,0.0,0.0
1550,1.4291133863610282e-06,0.0,0.0,0.0
1551,5.94483870892353e-07,0.0,0.0,0.0
1552,3.4789278678155303e-06,0.0,0.0,0.0
1553,3.4789278678155303e-06,0.0,0.0,0.0
1554,3.4789278678155303e-06,0.0,0.0,0.0
1555,2.884443996923177e-06,0.0,0.0,0.0
1556,2.884443996923177e-06,0.0,0.0,0.0
1557,2.884443996923177e-06,0.0,0.0,0.0
