ngram,east,est,est,east
1500,1.0167579148401273e-05,2.4472098516525875e-06,2.4472098516525875e-06,1.0167579148401273e-05
1501,8.134063318721018e-06,1.95776788132207e-06,1.95776788132207e-06,8.134063318721018e-06
1502,2.7863689259296127e-05,3.915714349507955e-06,3.915714349507955e-06,2.7863689259296127e-05
1503,2.3883162222253823e-05,3.3563265852925336e-06,3.3563265852925336e-06,2.3883162222253823e-05
1504,2.5232370067637282e-05,2.4206996321091926e-06,2.4206996321091926e-06,2.5232370067637282e-05
1505,2.5894875631950397e-05,2.9049125000061134e-06,2.9049125000061134e-06,2.5894875631950397e-05
1506,2.5894875631950397e-05,7.89291484579735e-05,7.89291484579735e-05,2.5894875631950397e-05
1507,2.5894875631950397e-05,7.89291484579735e-05,7.89291484579735e-05,2.5894875631950397e-05
1508,2.5894875631950397e-05,7.89291484579735e-05,7.89291484579735e-05,2.5894875631950397e-05
1509,7.821758637354443e-06,7.697122750219673e-05,7.697122750219673e-05,7.821758637354443e-06
1510,7.821758637354443e-06,7.697122750219673e-05,7.697122750219673e-05,7.821758637354443e-06
1511,4.734957786110629e-06,7.697122750219673e-05,7.697122750219673e-05,4.734957786110629e-06
1512,0.0,7.602423595796739e-05,7.602423595796739e-05,0.0
1513,0.0,0.0,0.0,0.0
1514,1.4283056901019466e-06,9.426817996427417e-06,9.426817996427417e-06,1.4283056901019466e-06
1515,1.4283056901019466e-06,9.426817996427417e-06,9.426817996427417e-06,1.4283056901019466e-06
1516,1.4283056901019466e-06,9.426817996427417e-06,9.426817996427417e-06,1.4283056901019466e-06
1517,1.4283056901019466e-06,3.174044208468071e-05,3.174044208468071e-05,1.4283056901019466e-06
1518,1.4283056901019466e-06,3.174044208468071e-05,3.174044208468071e-05,1.4283056901019466e-06
1519,1.4283056901019466e-06,3.174044208468071e-05,3.174044208468071e-05,1.4283056901019466e-06
1520,7.352285930599984e-05,3.32299989947517e-05,3.32299989947517e-05,7.352285930599984e-05
1521,7.20945536158979e-05,2.3803180998324285e-05,2.3803180998324285e-05,7.20945536158979e-05
1522,0.00013556969185758914,2.3803180998324285e-05,2.3803180998324285e-05,0.00013556969185758914
1523,0.00014973872644726986,2.3803180998324285e-05,2.3803180998324285e-05,0.00014973872644726986
1524,0.00014973872644726986,1.48955691007099e-06,1.48955691007099e-06,0.00014973872644726986
1525,0.00014973872644726986,1.48955691007099e-06,1.48955691007099e-06,0.00014973872644726986
1526,0.00014973872644726986,1.48955691007099e-06,1.48955691007099e-06,0.00014973872644726986
1527,7.764417283137195e-05,0.0,0.0,7.764417283137195e-05
1528,9.01869622923966e-05,0.0,0.0,9.01869622923966e-05
1529,2.6711824050705347e-05,0.0,0.0,2.6711824050705347e-05
1530,1.4000686470743468e-05,0.00010642647976055741,0.00010642647976055741,1.4000686470743468e-05
1531,1.4000686470743468e-05,0.00011791617622033559,0.00011791617622033559,1.4000686470743468e-05
1532,1.535343627827907e-05,0.00011791617622033559,0.00011791617622033559,1.535343627827907e-05
1533,1.535343627827907e-05,0.00011791617622033559,0.00011791617622033559,1.535343627827907e-05
1534,1.816237766303987e-05,0.00012915194175937877,0.00012915194175937877,1.816237766303987e-05
1535,7.878645711960936e-06,0.00013517609477275982,0.00013517609477275982,7.878645711960936e-06
1536,8.325910097742703e-06,0.00013562335915854158,0.00013562335915854158,8.325910097742703e-06
1537,6.868013088023872e-06,2.9196879397984177e-05,2.9196879397984177e-05,6.868013088023872e-06
1538,6.868013088023872e-06,2.4060060078617035e-05,2.4060060078617035e-05,6.868013088023872e-06
1539,5.515263280488268e-06,2.4060060078617035e-05,2.4060060078617035e-05,5.515263280488268e-06
1540,5.515263280488268e-06,2.4060060078617035e-05,2.4060060078617035e-05,5.515263280488268e-06
1541,2.706321895727472e-06,1.2824294539573852e-05,1.2824294539573852e-05,2.706321895727472e-06
1542,3.4565570591179754e-06,9.809434199529018e-06,9.809434199529018e-06,3.4565570591179754e-06
1543,3.009292673336209e-06,9.362169813747251e-06,9.362169813747251e-06,3.009292673336209e-06
