ngram,energy,enrgy,enegy,eneregy
1500,9.627831900616002e-07,0.0,0.0,0.0
1501,7.702265520492802e-07,0.0,0.0,0.0
1502,6.418554600410668e-07,0.0,0.0,0.0
1503,5.50161822892343e-07,0.0,0.0,0.0
1504,4.1650082494015805e-07,0.0,0.0,0.0
1505,5.3662853523357105e-06,0.0,0.0,0.0
1506,5.3662853523357105e-06,0.0,0.0,0.0
1507,5.3662853523357105e-06,0.0,0.0,0.0
1508,5.3662853523357105e-06,0.0,0.0,0.0
1509,5.3662853523357105e-06,0.0,0.0,0.0
1510,5.3662853523357105e-06,0.0,0.0,0.0
1511,5.3662853523357105e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0,0.0
1517,2.4107682747853687e-06,0.0,0.0,0.0
1518,2.4107682747853687e-06,0.0,0.0,0.0
1519,2.4107682747853687e-06,0.0,0.0,0.0
1520,8.071084429112879e-06,0.0,0.0,0.0
1521,7.785423284596099e-06,0.0,0.0,0.0
1522,7.785423284596099e-06,0.0,0.0,0.0
1523,9.017513288459408e-06,0.0,0.0,0.0
1524,6.8924061581908195e-06,0.0,0.0,0.0
1525,6.8924061581908195e-06,0.0,0.0,0.0
1526,0.00041625068700211287,0.0,0.0,0.0
1527,0.0004105903708477854,0.0,0.0,0.0
1528,0.00041581653320983084,0.0,0.0,0.0
1529,0.00041581653320983084,0.0,0.0,0.0
1530,0.00041458444320596755,0.0,0.0,0.0
1531,0.00041458444320596755,0.0,0.0,0.0
1532,0.000513786096624764,0.0,0.0,0.0
1533,0.00010442781578084188,0.0,0.0,0.0
1534,0.00010583228647322227,0.0,0.0,0.0
1535,0.00010098263367451312,0.0,0.0,0.0
1536,0.00010098263367451312,0.0,0.0,0.0
1537,0.00010098263367451312,0.0,0.0,0.0
1538,0.00010098263367451312,0.0,0.0,0.0
1539,4.66069826481024e-05,0.0,0.0,0.0
1540,4.66069826481024e-05,0.0,0.0,0.0
1541,4.5202511955722e-05,0.0,0.0,0.0
1542,4.633064872905379e-05,0.0,0.0,0.0
1543,4.633064872905379e-05,0.0,0.0,0.0
1544,4.841722264765329e-05,0.0,0.0,0.0
1545,4.841722264765329e-05,0.0,0.0,0.0
1546,3.870926450742575e-06,0.0,0.0,0.0
1547,3.870926450742575e-06,0.0,0.0,0.0
1548,4.762652224599151e-06,0.0,0.0,0.0
1549,4.470663627996276e-06,0.0,0.0,0.0
1550,7.712737832272459e-06,0.0,0.0,0.0
1551,5.626163913672956e-06,0.0,0.0,0.0
1552,9.952829779129907e-06,0.0,0.0,0.0
1553,9.673123583654939e-06,0.0,0.0,0.0
1554,9.673123583654939e-06,0.0,0.0,0.0
1555,1.178632282972103e-05,0.0,0.0,0.0
1556,8.551676026919657e-05,0.0,0.0,0.0
1557,8.227468606492039e-05,0.0,0.0,0.0
1558,8.227468606492039e-05,0.0,0.0,0.0
1559,7.794802019946343e-05,0.0,0.0,0.0
1560,8.064016167606627e-05,0.0,0.0,0.0
1561,8.064016167606627e-05,0.0,0.0,0.0
1562,7.76352366561436e-05,0.0,0.0,0.0
1563,2.692141476602826e-06,0.0,0.0,0.0
1564,2.692141476602826e-06,0.0,0.0,0.0
1565,2.692141476602826e-06,0.0,0.0,0.0
1566,2.692141476602826e-06,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,2.40913111935827e-07,0.0,0.0,0.0
1579,8.876679170758248e-07,0.0,0.0,0.0
1580,8.876679170758248e-07,0.0,0.0,0.0
1581,8.876679170758248e-07,0.0,0.0,0.0
1582,8.876679170758248e-07,0.0,0.0,0.0
1583,8.57762959835132e-06,0.0,0.0,0.0
1584,1.127496428970127e-05,0.0,0.0,0.0
1585,1.1034051177765442e-05,0.0,0.0,0.0
1586,1.0387296372625445e-05,0.0,0.0,0.0
1587,1.0387296372625445e-05,0.0,0.0,0.0
1588,1.0387296372625445e-05,0.0,0.0,0.0
1589,1.0574022845893133e-05,0.0,0.0,0.0
1590,3.404012464410958e-06,0.0,0.0,0.0
1591,7.066777730610088e-07,0.0,0.0,0.0
1592,7.066777730610088e-07,0.0,0.0,0.0
1593,1.376507952954853e-06,0.0,0.0,0.0
1594,1.711771119516925e-06,0.0,0.0,0.0
1595,1.711771119516925e-06,0.0,0.0,0.0
1596,3.2246106359577554e-05,0.0,0.0,0.0
1597,3.196827924512036e-05,0.0,0.0,0.0
1598,5.421793935056485e-05,0.0,0.0,0.0
1599,5.4453761647112386e-05,0.0,0.0,0.0
1600,5.442296797549976e-05,0.0,0.0,0.0
1601,5.565029570269482e-05,0.0,0.0,0.0
1602,5.7425107960235824e-05,0.0,0.0,0.0
1603,2.670404624690751e-05,0.0,0.0,0.0
1604,2.6632192381319847e-05,0.0,0.0,0.0
1605,4.382532275875357e-06,0.0,0.0,0.0
1606,7.109674031978232e-06,0.0,0.0,0.0
1607,6.470637523697016e-06,0.0,0.0,0.0
1608,4.9080466299398855e-06,0.0,0.0,0.0
1609,3.321908349919665e-06,0.0,0.0,0.0
1610,3.321908349919665e-06,0.0,0.0,0.0
1611,7.657778382963443e-06,0.0,0.0,0.0
1612,7.657778382963443e-06,0.0,0.0,0.0
1613,5.014435292391031e-06,0.0,0.0,0.0
1614,5.014435292391031e-06,0.0,0.0,0.0
1615,5.014435292391031e-06,0.0,0.0,0.0
1616,5.9070348795233126e-06,0.0,0.0,0.0
1617,5.9070348795233126e-06,0.0,0.0,0.0
1618,1.6963259505636025e-06,0.0,0.0,0.0
1619,1.8088604503775838e-06,0.0,0.0,0.0
1620,2.194411917701343e-06,0.0,0.0,0.0
1621,2.194411917701343e-06,0.0,0.0,0.0
1622,2.475805550667636e-06,0.0,0.0,0.0
1623,3.0110171970980967e-06,0.0,0.0,0.0
1624,0.0003033180435961315,0.0,0.0,0.0
1625,0.000303022612172299,0.0,0.0,0.0
1626,0.0003049766740202488,0.0,0.0,0.0
1627,0.00030427150159084704,0.0,0.0,0.0
1628,0.00030473008298161276,0.0,0.0,0.0
