ngram,sea,se,saa,sse
1500,4.237959842612327e-06,3.0050616715016076e-06,5.487997611908213e-07,2.3390674641632359e-07
1501,3.390367874089861e-06,2.4040493372012863e-06,4.3903980895265704e-07,1.8712539713305886e-07
1502,1.5476488215426798e-05,4.463326301144359e-06,3.6586650746054755e-07,1.5593783094421573e-07
1503,1.3265561327508684e-05,1.2750375000385767e-05,3.1359986353761216e-07,1.336609979521849e-07
1504,1.2463595339795575e-05,1.7854688719255917e-05,4.627786763324236e-08,0.0
1505,1.4316172382677905e-05,1.846945399717827e-05,0.0,0.0
1506,1.4316172382677905e-05,7.168641916775544e-05,0.0,0.0
1507,1.4316172382677905e-05,7.168641916775544e-05,0.0,0.0
1508,1.4316172382677905e-05,7.168641916775544e-05,0.0,0.0
1509,3.4723023938048366e-06,6.957788900763262e-05,0.0,0.0
1510,3.4723023938048366e-06,6.065322226537059e-05,0.0,0.0
1511,3.4723023938048366e-06,5.447962056288296e-05,0.0,0.0
1512,0.0,5.321696517057717e-05,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.685400742904416e-05,6.284544984477439e-06,0.0,2.8566114451678004e-07
1515,1.685400742904416e-05,6.284544984477439e-06,0.0,2.8566114451678004e-07
1516,1.685400742904416e-05,6.284544984477439e-06,0.0,2.8566114451678004e-07
1517,1.7916560994178455e-05,1.159731307000454e-05,0.0,2.8566114451678004e-07
1518,1.7916560994178455e-05,1.159731307000454e-05,0.0,2.8566114451678004e-07
1519,1.7916560994178455e-05,1.159731307000454e-05,0.0,2.8566114451678004e-07
1520,8.166959923983086e-05,2.0236743564185288e-05,0.0,2.8566114451678004e-07
1521,6.481559181078669e-05,1.3952198579707848e-05,0.0,0.0
1522,0.00014733326653575723,1.3952198579707848e-05,0.0,0.0
1523,0.0001491814016065161,1.3952198579707848e-05,0.0,0.0
1524,0.0001481188480413818,1.2768786681200644e-05,0.0,0.0
1525,0.0001481188480413818,1.2768786681200644e-05,0.0,0.0
1526,0.0001481188480413818,1.2768786681200644e-05,0.0,0.0
1527,8.436580979572941e-05,4.129356187019896e-06,0.0,0.0
1528,9.377290163164227e-05,4.129356187019896e-06,0.0,0.0
1529,1.125522690667172e-05,4.129356187019896e-06,0.0,0.0
1530,1.232288585535051e-05,1.0689892795718542e-05,0.0,0.0
1531,4.679197419526255e-05,1.2305384838587738e-05,0.0,0.0
1532,4.859564056200075e-05,1.3207218021956838e-05,0.0,0.0
1533,5.657737853783017e-05,1.3207218021956838e-05,0.0,0.0
1534,5.657737853783017e-05,1.4611688714337237e-05,0.0,0.0
1535,8.218567472795257e-05,2.2894899237663985e-05,0.0,0.0
1536,8.263293911373435e-05,2.334216362344575e-05,0.0,0.0
1537,7.971714509429668e-05,1.6781627014747107e-05,0.0,0.0
1538,4.524805675438464e-05,1.4213217355063534e-05,0.0,0.0
1539,5.838639049215999e-05,1.3311384171694434e-05,0.0,0.0
1540,5.0404652516330574e-05,1.3311384171694434e-05,0.0,0.0
1541,5.0404652516330574e-05,1.1906913479314036e-05,0.0,0.0
1542,1.9903203630227445e-05,5.128349292655392e-06,0.0,0.0
1543,1.945593924444568e-05,4.681084906873626e-06,0.0,0.0
1544,3.7539579352596775e-05,5.654819363241716e-06,0.0,0.0
1545,5.093558398324863e-05,4.88966173049578e-06,0.0,0.0
1546,5.1097718304455543e-05,1.272143494393926e-05,0.0,2.7970619547496814e-07
1547,5.437485950616454e-05,1.5998576145648258e-05,0.0,2.7970619547496814e-07
1548,7.577627807872236e-05,1.807926966128954e-05,0.0,2.7970619547496814e-07
1549,9.309017851982e-05,4.689106695617998e-05,0.0,2.7970619547496814e-07
1550,9.687259859804596e-05,4.689106695617998e-05,0.0,2.7970619547496814e-07
1551,8.115015563297285e-05,4.827852964288988e-05,0.0,2.7970619547496814e-07
1552,0.0001369808048496322,4.6588359704661085e-05,0.0,2.7970619547496814e-07
1553,0.00012187667042391175,3.8756586491217604e-05,0.0,0.0
1554,0.0001741391422131398,0.00013730207326391662,0.0,0.0
1555,0.00017737810958351474,0.00015144797511571336,0.0,0.0
1556,0.00015555027000248498,0.00012113153148415481,0.0,0.0
1557,0.000151767849924259,0.00012113153148415481,0.0,0.0
1558,0.00015281689619379385,0.00011877033434107684,0.0,0.0
1559,8.702868892994178e-05,0.00011804922334184604,0.0,0.0
1560,9.465642298372196e-05,0.00013509945295351957,0.0,0.0
1561,3.91168099927849e-05,0.0001634672059611018,0.0,0.0
1562,1.9809567934966515e-05,0.00015079603976378815,0.0,1.7777145850621828e-06
1563,2.0264189645656317e-05,0.00015261452660654738,0.0,1.7777145850621828e-06
1564,2.0264189645656317e-05,0.00015897617335472854,0.0,1.7777145850621828e-06
