ngram,mission,mision,msion,mision
1500,8.628840078017674e-06,0.0,0.0,0.0
1501,6.9030720624141395e-06,0.0,0.0,0.0
1502,5.752560052011783e-06,0.0,0.0,0.0
1503,4.930765758867242e-06,0.0,0.0,0.0
1504,6.279973604250699e-06,0.0,0.0,0.0
1505,4.665120026662148e-06,0.0,0.0,0.0
1506,4.665120026662148e-06,0.0,0.0,0.0
1507,4.665120026662148e-06,0.0,0.0,0.0
1508,4.665120026662148e-06,0.0,0.0,0.0
1509,4.665120026662148e-06,0.0,0.0,0.0
1510,4.665120026662148e-06,0.0,0.0,0.0
1511,1.5783191754183333e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,4.284917200233654e-06,0.0,0.0,0.0
1515,4.284917200233654e-06,0.0,0.0,0.0
1516,4.284917200233654e-06,0.0,0.0,0.0
1517,4.284917200233654e-06,0.0,0.0,0.0
1518,4.284917200233654e-06,0.0,0.0,0.0
1519,4.284917200233654e-06,0.0,0.0,0.0
1520,1.2328524722501502e-05,0.0,0.0,0.0
1521,8.043607522267848e-06,0.0,0.0,0.0
1522,8.043607522267848e-06,0.0,0.0,0.0
1523,3.0221227331951794e-05,0.0,0.0,0.0
1524,3.0221227331951794e-05,0.0,0.0,0.0
1525,3.0221227331951794e-05,0.0,0.0,0.0
1526,3.0221227331951794e-05,0.0,0.0,0.0
1527,2.2177619809683945e-05,0.0,0.0,0.0
1528,2.2177619809683945e-05,0.0,0.0,0.0
1529,2.2177619809683945e-05,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,5.744848229889092e-06,0.0,0.0,0.0
1532,5.744848229889092e-06,0.0,0.0,0.0
1533,5.744848229889092e-06,0.0,0.0,0.0
1534,5.744848229889092e-06,0.0,0.0,0.0
1535,6.874376984861945e-06,0.0,0.0,0.0
1536,7.321641370643712e-06,0.0,0.0,0.0
1537,7.321641370643712e-06,0.0,0.0,0.0
1538,1.5767931407546193e-06,0.0,0.0,0.0
1539,1.4858571473398894e-05,0.0,0.0,0.0
1540,1.4858571473398894e-05,0.0,0.0,0.0
1541,1.4858571473398894e-05,0.0,0.0,0.0
1542,1.5233689055094146e-05,0.0,0.0,0.0
1543,1.4786424669312379e-05,0.0,0.0,0.0
1544,1.92377822583824e-05,0.0,0.0,0.0
1545,1.9505702360740023e-05,0.0,0.0,0.0
1546,6.5036302235707155e-06,0.0,0.0,0.0
1547,6.5036302235707155e-06,0.0,0.0,0.0
1548,1.244846906242206e-05,0.0,0.0,0.0
1549,1.0943822725753957e-05,0.0,0.0,0.0
1550,2.0670045338582505e-05,0.0,0.0,0.0
1551,1.6218687749512484e-05,0.0,0.0,0.0
