ngram,net,nett,nett,nnett
1600,2.7580828243247068e-05,1.169081217865044e-06,1.169081217865044e-06,0.0
1601,2.900200193575334e-05,3.309233177008407e-07,3.309233177008407e-07,0.0
1602,3.105682221108249e-05,4.353240358666101e-07,4.353240358666101e-07,0.0
1603,3.037320935358626e-05,4.353240358666101e-07,4.353240358666101e-07,0.0
1604,2.621572379471867e-05,6.055943556150721e-07,6.055943556150721e-07,0.0
1605,2.471743508587159e-05,8.304681387016899e-07,8.304681387016899e-07,0.0
1606,1.6327516147742115e-05,7.125569904279214e-07,7.125569904279214e-07,0.0
1607,1.5903400708339177e-05,1.2460418962031587e-06,1.2460418962031587e-06,0.0
1608,1.736645000554355e-05,1.2460418962031587e-06,1.2460418962031587e-06,0.0
1609,1.655889848604732e-05,1.1416411780373892e-06,1.1416411780373892e-06,0.0
1610,1.587051350985088e-05,1.1416411780373892e-06,1.1416411780373892e-06,0.0
1611,2.1097290950170384e-05,9.713708582889273e-07,9.713708582889273e-07,0.0
1612,2.6673757539746085e-05,7.464970752023094e-07,7.464970752023094e-07,0.0
1613,2.546800936085804e-05,7.464970752023094e-07,7.464970752023094e-07,0.0
1614,2.5952673760392437e-05,0.0,0.0,0.0
1615,2.270259626259628e-05,0.0,0.0,0.0
1616,2.8573445628613365e-05,0.0,0.0,0.0
1617,3.3583943539789675e-05,0.0,0.0,0.0
1618,2.9582093052990137e-05,9.847713857068032e-08,9.847713857068032e-08,0.0
1619,2.3894556112022008e-05,2.1101163838466164e-07,2.1101163838466164e-07,0.0
1620,2.564509863337402e-05,3.117505522303483e-07,3.117505522303483e-07,0.0
1621,3.151783195270192e-05,3.117505522303483e-07,3.117505522303483e-07,0.0
1622,3.100813786919129e-05,3.117505522303483e-07,3.117505522303483e-07,0.0
1623,2.6941607237469206e-05,3.117505522303483e-07,3.117505522303483e-07,0.0
1624,2.686678232878746e-05,3.117505522303483e-07,3.117505522303483e-07,0.0
1625,2.9508627449104097e-05,2.1327341365966796e-07,2.1327341365966796e-07,0.0
1626,3.252558079631334e-05,1.0073891384568664e-07,1.0073891384568664e-07,0.0
1627,3.556766958873985e-05,1.5977134028487073e-07,1.5977134028487073e-07,0.0
1628,3.191002178937197e-05,1.5977134028487073e-07,1.5977134028487073e-07,0.0
1629,3.8456938844839374e-05,3.248300280184984e-07,3.248300280184984e-07,0.0
1630,3.866326109605974e-05,4.110790265648185e-07,4.110790265648185e-07,0.0
1631,3.59675912997253e-05,5.244389983870081e-07,5.244389983870081e-07,0.0
1632,3.4783188571704417e-05,6.1606513262242e-07,6.1606513262242e-07,0.0
1633,3.594864990321055e-05,6.1606513262242e-07,6.1606513262242e-07,0.0
1634,3.48791361050514e-05,5.797119553920181e-07,5.797119553920181e-07,0.0
1635,3.7683567695369546e-05,5.797119553920181e-07,5.797119553920181e-07,0.0
1636,3.55404905089277e-05,4.146532676583904e-07,4.146532676583904e-07,0.0
1637,3.797723417976938e-05,4.015643964651515e-07,4.015643964651515e-07,0.0
1638,4.034978389557052e-05,2.882044246429619e-07,2.882044246429619e-07,0.0
1639,4.0651454972768466e-05,4.301889881779581e-07,4.301889881779581e-07,0.0
1640,4.178169703144314e-05,4.301889881779581e-07,4.301889881779581e-07,0.0
1641,4.159491956150825e-05,4.262149998014918e-07,4.262149998014918e-07,0.0
1642,4.398937952438635e-05,4.262149998014918e-07,4.262149998014918e-07,0.0
1643,4.121046523713241e-05,4.262149998014918e-07,4.262149998014918e-07,0.0
1644,3.900645788235124e-05,3.530548724484106e-07,3.530548724484106e-07,0.0
1645,3.825806483551527e-05,3.530548724484106e-07,3.530548724484106e-07,0.0
1646,3.736817442196687e-05,2.2018258505340782e-07,2.2018258505340782e-07,0.0
1647,3.797131440868335e-05,2.2018258505340782e-07,2.2018258505340782e-07,0.0
1648,4.010595876025036e-05,1.007384103754053e-07,1.007384103754053e-07,0.0
1649,3.931937836958761e-05,1.007384103754053e-07,1.007384103754053e-07,0.0
1650,4.738254886303496e-05,1.007384103754053e-07,1.007384103754053e-07,0.0
