ngram,crew,cre,crow,crw
1500,7.126791388145648e-06,0.0,2.429588050745224e-07,0.0
1501,5.701433110516518e-06,0.0,1.9436704405961792e-07,0.0
1502,6.508302855460594e-06,1.7571085209056037e-07,1.6197253671634826e-07,0.0
1503,5.578545304680509e-06,1.506093017919089e-07,1.3883360289972708e-07,0.0
1504,5.578545304680509e-06,1.506093017919089e-07,1.3883360289972708e-07,0.0
1505,2.7687484751887884e-06,1.506093017919089e-07,0.0,0.0
1506,2.7687484751887884e-06,1.506093017919089e-07,0.0,0.0
1507,2.7687484751887884e-06,1.506093017919089e-07,0.0,0.0
1508,2.7687484751887884e-06,1.506093017919089e-07,0.0,0.0
1509,1.2626553923057924e-06,0.0,0.0,0.0
1510,1.2626553923057924e-06,0.0,0.0,0.0
1511,1.2626553923057924e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0,0.0
1517,2.8566114451678004e-07,0.0,0.0,0.0
1518,2.8566114451678004e-07,0.0,0.0,0.0
1519,2.8566114451678004e-07,0.0,0.0,0.0
1520,3.5626864506152093e-06,0.0,2.979113885105887e-07,0.0
1521,3.2770253060984293e-06,0.0,2.979113885105887e-07,0.0
1522,1.914580986652124e-05,0.0,6.6454251087374616e-06,0.0
1523,1.914580986652124e-05,0.0,6.6454251087374616e-06,0.0
1524,1.914580986652124e-05,0.0,6.6454251087374616e-06,0.0
1525,1.914580986652124e-05,0.0,6.6454251087374616e-06,0.0
1526,1.914580986652124e-05,0.0,6.6454251087374616e-06,0.0
1527,1.586878456042281e-05,0.0,6.347513720226873e-06,0.0
1528,1.586878456042281e-05,0.0,6.347513720226873e-06,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,7.289485048594153e-07,0.0,0.0
1531,0.0,7.289485048594153e-07,0.0,0.0
1532,9.018331833691004e-07,7.289485048594153e-07,0.0,0.0
1533,9.018331833691004e-07,7.289485048594153e-07,0.0,0.0
1534,9.018331833691004e-07,7.289485048594153e-07,0.0,0.0
1535,1.6548523100417306e-06,7.289485048594153e-07,0.0,0.0
1536,1.6548523100417306e-06,7.289485048594153e-07,0.0,0.0
1537,1.6548523100417306e-06,0.0,0.0,0.0
1538,1.6548523100417306e-06,0.0,0.0,0.0
1539,2.3166020322865472e-05,0.0,0.0,0.0
1540,2.3166020322865472e-05,0.0,0.0,0.0
1541,2.3166020322865472e-05,0.0,0.0,0.0
1542,2.2413001196192844e-05,0.0,0.0,0.0
1543,2.2413001196192844e-05,0.0,0.0,0.0
1544,2.3386735652560935e-05,0.0,2.782098493168762e-07,0.0
1545,2.3386735652560935e-05,0.0,2.782098493168762e-07,0.0
1546,9.7373445636809e-07,0.0,5.579160447918444e-07,0.0
1547,9.7373445636809e-07,0.0,5.579160447918444e-07,0.0
1548,1.2709763918142665e-06,0.0,5.579160447918444e-07,0.0
1549,2.483634131879496e-06,0.0,1.7705737848570737e-06,0.0
1550,3.5643255549595258e-06,0.0,1.7705737848570737e-06,0.0
1551,2.590591098591436e-06,0.0,1.4923639355401974e-06,0.0
1552,4.753924031319912e-06,0.0,1.4923639355401974e-06,0.0
1553,4.753924031319912e-06,0.0,1.2126577400652292e-06,0.0
1554,4.753924031319912e-06,0.0,1.2126577400652292e-06,0.0
1555,4.456682095873735e-06,0.0,1.2126577400652292e-06,0.0
1556,3.244024355808506e-06,0.0,0.0,0.0
1557,2.1633329327284756e-06,9.345008168436055e-06,0.0,0.0
1558,2.8453815892654736e-06,9.345008168436055e-06,0.0,0.0
1559,6.820486565369979e-07,9.345008168436055e-06,3.0946019770843645e-05,0.0
1560,1.1307389026374689e-06,9.345008168436055e-06,3.0946019770843645e-05,0.0
1561,1.1307389026374689e-06,9.345008168436055e-06,3.0946019770843645e-05,0.0
1562,1.1307389026374689e-06,1.1122722753498238e-05,3.272373435590582e-05,0.0
1563,1.1307389026374689e-06,1.1122722753498238e-05,3.272373435590582e-05,0.0
1564,1.1307389026374689e-06,1.7777145850621828e-06,3.272373435590582e-05,0.0
