ngram,line,lne,lien,liine
1500,0.0001002099561446812,8.098626835817413e-08,1.0302878081347444e-05,0.0
1501,8.016796491574495e-05,6.47890146865393e-08,8.242302465077956e-06,0.0
1502,0.00012654832729216045,5.3990845572116086e-08,2.654820021537792e-05,0.0
1503,0.00017094266409653107,4.627786763324236e-08,2.2755600184609648e-05,0.0
1504,0.00015892577227662384,4.627786763324236e-08,2.181997323142631e-05,0.0
1505,0.00015433063085116113,0.0,2.2234526633318247e-05,0.0
1506,0.00015433063085116113,0.0,2.2234526633318247e-05,0.0
1507,0.00015433063085116113,0.0,2.2234526633318247e-05,0.0
1508,0.00015433063085116113,0.0,2.2234526633318247e-05,0.0
1509,0.0001031234681119843,0.0,5.3662853523357105e-06,0.0
1510,4.065079883730505e-05,0.0,5.3662853523357105e-06,0.0
1511,3.7563997986061235e-05,0.0,5.3662853523357105e-06,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.1426445780671202e-06,0.0,0.0,0.0
1515,1.1426445780671202e-06,0.0,0.0,0.0
1516,1.1426445780671202e-06,0.0,0.0,0.0
1517,3.5675634535436984e-05,0.0,0.0,0.0
1518,3.5675634535436984e-05,0.0,0.0,0.0
1519,3.5675634535436984e-05,0.0,0.0,0.0
1520,5.861481219783725e-05,0.0,0.0,0.0
1521,0.00048075259006249586,0.0,0.0,0.0
1522,0.0005600965087069198,0.0,0.0,0.0
1523,0.0005736494983596328,0.0,0.0,0.0
1524,0.0005411811864957729,0.0,0.0,0.0
1525,0.0005411811864957729,0.0,0.0,0.0
1526,0.0005971183411799887,0.0,0.0,0.0
1527,0.0008063728157919416,0.0,0.0,0.0
1528,0.0003924994851851287,0.0,0.0,0.0
1529,0.0003131555665407047,0.0,0.0,0.0
1530,0.0003025183709074294,0.0,0.0,0.0
1531,0.0003349227811538315,0.0,0.0,0.0
1532,0.00035386127767976305,0.0,0.0,0.0
1533,0.00029792412299554726,0.0,0.0,0.0
1534,6.573047072119412e-05,0.0,0.0,0.0
1535,5.6699888448617586e-05,0.0,3.7650956333631515e-07,0.0
1536,0.00011171340812714854,0.0,5.743682062789698e-06,0.0
1537,0.00010879761410771087,0.0,5.743682062789698e-06,0.0
1538,7.750496433800436e-05,0.0,5.743682062789698e-06,0.0
1539,0.00011169358114264989,0.0,5.743682062789698e-06,0.0
1540,0.0007581060202548022,0.0,5.743682062789698e-06,0.0
1541,0.0007581060202548022,0.0,5.743682062789698e-06,0.0
1542,0.000759234157028134,0.0,5.367172499453383e-06,0.0
1543,0.0007042206373496031,0.0,0.0,0.0
1544,0.0007085328900627376,0.0,1.391049246584381e-07,0.0
1545,0.0007074998123113931,0.0,1.391049246584381e-07,0.0
1546,0.0006563306422841768,0.0,1.391049246584381e-07,0.0
1547,9.918203172024473e-06,0.0,1.391049246584381e-07,0.0
1548,6.401623691739847e-05,0.0,1.6253146343712745e-06,0.0
1549,6.251159058073037e-05,0.0,1.6253146343712745e-06,0.0
1550,7.493954152388531e-05,0.0,1.6253146343712745e-06,0.0
1551,7.534968309690677e-05,0.0,1.4862097097128363e-06,0.0
1552,8.113854320462062e-05,0.0,1.4862097097128363e-06,0.0
1553,7.918059990125974e-05,0.0,1.4862097097128363e-06,0.0
1554,7.918059990125974e-05,0.0,1.4862097097128363e-06,0.0
1555,2.808749117580841e-05,0.0,0.0,0.0
1556,8.845831507642288e-05,0.0,0.0,0.0
1557,7.603036413326793e-05,0.0,0.0,0.0
1558,8.290279661845748e-05,0.0,0.0,0.0
1559,8.012824530721576e-05,0.0,0.0,0.0
1560,8.955074034539783e-05,0.0,0.0,0.0
1561,8.955074034539783e-05,0.0,0.0,0.0
1562,9.72121030957039e-05,0.0,0.0,0.0
1563,3.820514432715884e-05,0.0,0.0,0.0
1564,4.4566791075340007e-05,0.0,0.0,0.0
1565,3.39837649465023e-05,0.0,0.0,0.0
1566,6.689950597709477e-05,0.0,0.0,0.0
1567,6.293618948153121e-05,0.0,0.0,0.0
