ngram,health,heath,helt,helath
1500,5.014763792132726e-05,0.0,0.0,0.0
1501,4.0118110337061805e-05,0.0,0.0,0.0
1502,4.485296388641776e-05,0.0,0.0,0.0
1503,3.844539761692951e-05,0.0,0.0,0.0
1504,3.630682164969455e-05,0.0,0.0,0.0
1505,3.314872966646882e-05,0.0,0.0,0.0
1506,3.314872966646882e-05,0.0,0.0,0.0
1507,3.314872966646882e-05,0.0,0.0,0.0
1508,3.314872966646882e-05,0.0,0.0,0.0
1509,2.3359125147440602e-05,0.0,0.0,0.0
1510,2.3359125147440602e-05,0.0,0.0,0.0
1511,2.3359125147440602e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,8.855495252646506e-06,0.0,0.0,0.0
1515,8.855495252646506e-06,0.0,0.0,0.0
1516,8.855495252646506e-06,0.0,0.0,0.0
1517,9.386772035213653e-06,0.0,5.312767825671472e-07,0.0
1518,9.386772035213653e-06,0.0,5.312767825671472e-07,0.0
1519,9.386772035213653e-06,0.0,5.312767825671472e-07,0.0
1520,1.623873413336696e-05,5.958227770211774e-07,5.312767825671472e-07,0.0
1521,7.383238880720455e-06,5.958227770211774e-07,5.312767825671472e-07,0.0
1522,1.0556995740833891e-05,5.958227770211774e-07,5.312767825671472e-07,0.0
1523,0.00010974023890802138,5.958227770211774e-07,5.312767825671472e-07,0.0
1524,0.00011127364021896418,5.958227770211774e-07,0.0,0.0
1525,0.00011127364021896418,5.958227770211774e-07,0.0,0.0
1526,0.00011127364021896418,5.958227770211774e-07,0.0,0.0
1527,0.00016247009118939917,0.0,0.0,0.0
1528,0.00016456055605626067,0.0,0.0,0.0
1529,0.00016138679919614724,0.0,0.0,0.0
1530,6.220355602895975e-05,0.0,0.0,0.0
1531,6.0138877935449795e-05,0.0,0.0,0.0
1532,0.0001043287038555718,0.0,0.0,0.0
1533,0.0001043287038555718,0.0,0.0,0.0
1534,4.628029078698351e-05,0.0,0.0,0.0
1535,5.661464196496776e-05,0.0,0.0,0.0
1536,6.153455043594087e-05,4.4726438578176643e-07,0.0,0.0
1537,6.153455043594087e-05,4.4726438578176643e-07,0.0,0.0
1538,6.153455043594087e-05,4.4726438578176643e-07,0.0,0.0
1539,2.232539139056046e-05,4.4726438578176643e-07,0.0,0.0
1540,2.232539139056046e-05,4.4726438578176643e-07,0.0,0.0
1541,2.232539139056046e-05,4.4726438578176643e-07,0.0,0.0
1542,1.1405221682382813e-05,4.4726438578176643e-07,0.0,0.0
1543,6.4853132114097074e-06,0.0,0.0,0.0
1544,1.2327720079546062e-05,4.1731475773433756e-07,0.0,0.0
1545,1.4471080898407049e-05,6.311557107047909e-06,0.0,0.0
1546,1.5364244193603683e-05,1.666068588487438e-05,0.0,0.0
1547,3.830423260556667e-05,1.666068588487438e-05,0.0,0.0
1548,6.475876424311926e-05,1.6957927820320557e-05,0.0,0.0
1549,8.386929857806535e-05,1.6957927820320557e-05,0.0,0.0
1550,0.00011250762158202374,1.6957927820320557e-05,0.0,0.0
1551,0.00011138760900004334,1.654061306258622e-05,0.0,0.0
1552,0.00012078202416887507,1.0646370713272648e-05,0.0,0.0
1553,0.00011490819399893683,2.972419354461765e-07,0.0,0.0
1554,0.00011973801208244237,2.972419354461765e-07,0.0,0.0
1555,9.388446544887432e-05,0.0,0.0,0.0
1556,7.431016105588892e-05,0.0,0.0,0.0
1557,6.436185438880264e-05,0.0,0.0,0.0
1558,7.80547736992178e-05,0.0,0.0,0.0
1559,7.511311443002861e-05,0.0,0.0,0.0
1560,8.049739738323427e-05,4.4869024610047094e-07,0.0,0.0
1561,5.272759088776573e-05,4.4869024610047094e-07,0.0,0.0
1562,8.057003924477613e-05,4.4869024610047094e-07,1.7777145850621828e-06,0.0
1563,7.952916296614734e-05,4.4869024610047094e-07,1.7777145850621828e-06,0.0
1564,6.083914662927522e-05,1.3171983742462804e-05,1.7777145850621828e-06,0.0
1565,4.2423833032704093e-05,1.4183784384970619e-05,1.7777145850621828e-06,0.0
1566,4.144239833944344e-05,1.4183784384970619e-05,1.7777145850621828e-06,0.0
1567,4.083489641613726e-05,1.3735094138870149e-05,1.7777145850621828e-06,0.0
1568,4.965814046694764e-05,1.3735094138870149e-05,1.7777145850621828e-06,0.0
1569,2.492823374008627e-05,1.3735094138870149e-05,0.0,0.0
1570,2.946127070962185e-05,1.5246106418739405e-05,0.0,0.0
1571,2.946127070962185e-05,2.5228129223770727e-06,0.0,0.0
1572,3.6740721822882604e-05,1.5110122798692567e-06,0.0,0.0
1573,5.3035817732701874e-05,1.5110122798692567e-06,0.0,0.0
1574,5.5884998541192287e-05,2.055723825833411e-06,0.0,0.0
1575,5.711999152221584e-05,2.055723825833411e-06,0.0,0.0
1576,5.701190847113529e-05,2.9570847215966623e-06,0.0,0.0
1577,5.503034740935878e-05,1.4460724417274053e-06,0.0,0.0
1578,5.9607696519898514e-05,1.6869855536632322e-06,0.0,0.0
1579,6.461658631451428e-05,1.6869855536632322e-06,0.0,0.0
1580,4.466865175345447e-05,1.6869855536632322e-06,0.0,0.0
1581,3.88226121036236e-05,1.1422740076990782e-06,0.0,0.0
1582,4.510464896156918e-05,1.1422740076990782e-06,0.0,0.0
1583,4.438294100899449e-05,2.40913111935827e-07,0.0,0.0
1584,5.531813855798516e-05,2.40913111935827e-07,0.0,0.0
1585,5.847823090984353e-05,1.887180880138268e-07,0.0,0.0
1586,5.050325307820458e-05,1.887180880138268e-07,0.0,0.0
1587,5.415515988715924e-05,1.887180880138268e-07,0.0,0.0
1588,6.241782518502857e-05,8.582239031186743e-07,0.0,0.0
1589,6.531037901627965e-05,8.582239031186743e-07,0.0,0.0
1590,6.632627810176928e-05,8.582239031186743e-07,0.0,0.0
1591,5.896987438193589e-05,8.582239031186743e-07,2.6653346399793267e-07,0.0
1592,5.7799122909532995e-05,6.695058151048475e-07,2.6653346399793267e-07,0.0
1593,6.241682941825795e-05,1.1160592683674103e-06,4.89810190629214e-07,0.0
1594,6.134071112943016e-05,1.1160592683674103e-06,6.5744177391025e-07,0.0
1595,7.87967468828096e-05,1.3481476344168186e-06,6.5744177391025e-07,0.0
1596,6.692855718678661e-05,1.3481476344168186e-06,8.678599994839585e-07,0.0
1597,8.167248493659176e-05,1.7113339124210012e-06,8.678599994839585e-07,0.0
1598,9.036057703529618e-05,1.755567828760312e-06,6.013265354860258e-07,0.0
1599,0.00010525371700558546,1.9913901253078492e-06,6.013265354860258e-07,0.0
1600,0.00011240506656966838,2.503391466949064e-06,3.7804980885474446e-07,0.0
1601,0.00011309441781902154,2.503391466949064e-06,2.1041822557370843e-07,0.0
1602,9.760187718451821e-05,1.6017972857948086e-06,2.1041822557370843e-07,0.0
1603,0.00010507320361544512,1.6017972857948086e-06,0.0,0.0
1604,9.647559012851811e-05,2.6007735657783215e-06,0.0,0.0
1605,8.952781094454363e-05,3.2311609824578876e-06,0.0,0.0
1606,8.736728601174295e-05,3.1554989001441366e-06,0.0,0.0
1607,8.472181434626691e-05,2.196944105240358e-06,0.0,0.0
1608,8.16880606829987e-05,2.39662170185641e-06,0.0,0.0
1609,7.458750146075285e-05,2.585295679377201e-06,0.0,0.0
1610,6.48494673701602e-05,2.71274394338304e-06,0.0,0.0
1611,7.436426312779076e-05,1.4529936639259437e-06,0.0,0.0
1612,8.344072661462374e-05,7.78372330907067e-07,0.0,0.0
1613,7.165251424469586e-05,7.780225977122817e-07,0.0,0.0
1614,8.22770775162748e-05,1.1076323452081333e-06,0.0,0.0
1615,8.646459952745187e-05,2.05078447379492e-06,0.0,0.0
1616,9.597605769938258e-05,1.8621104962741292e-06,0.0,0.0
1617,0.0001061972527947676,1.9817449015135935e-06,0.0,0.0
1618,9.490858792560175e-05,1.879332622982994e-06,0.0,0.0
1619,8.955259545473382e-05,2.2169361143044497e-06,0.0,0.0
1620,9.050357143028773e-05,2.1578645471111358e-06,0.0,0.0
1621,7.411403463005886e-05,1.828254799615284e-06,0.0,0.0
1622,7.255707896547392e-05,6.854250744124459e-07,0.0,0.0
1623,6.70307656816606e-05,6.854250744124459e-07,0.0,0.0
1624,5.932758202626636e-05,1.931664363447843e-06,0.0,0.0
1625,5.936197132021854e-05,1.931664363447843e-06,0.0,0.0
1626,5.902238678702686e-05,2.512548137799188e-06,0.0,0.0
1627,6.0945455645976055e-05,2.4118092239535016e-06,0.0,0.0
1628,5.96936209019207e-05,2.608344110350507e-06,6.55116260921724e-08,0.0
1629,6.26908170358677e-05,2.9384614858177623e-06,6.55116260921724e-08,0.0
1630,5.8802590501727536e-05,3.1109594829104026e-06,6.55116260921724e-08,0.0
1631,6.053884655037629e-05,2.0143974422483424e-06,6.55116260921724e-08,0.0
1632,6.579304525595424e-05,2.0143974422483424e-06,6.55116260921724e-08,0.0
1633,6.221877265488729e-05,1.3700957716927015e-06,6.55116260921724e-08,0.0
1634,5.763428894819559e-05,1.6169320978016394e-06,6.55116260921724e-08,0.0
1635,5.862292372122673e-05,1.5027169248631772e-06,0.0,0.0
1636,5.583632914099975e-05,1.606821586262543e-06,0.0,0.0
1637,6.458799180109054e-05,1.653803971229146e-06,0.0,0.0
1638,6.0959272169774135e-05,1.3243790907121626e-06,6.733503710165678e-08,0.0
1639,5.29273903729128e-05,1.4801195504787756e-06,6.733503710165678e-08,0.0
1640,4.833443537271316e-05,1.4115500651509398e-06,6.733503710165678e-08,0.0
1641,4.372822331788484e-05,1.164713739042002e-06,6.733503710165678e-08,0.0
1642,4.052949277268324e-05,1.0823940255834584e-06,6.733503710165678e-08,0.0
1643,3.746928294796297e-05,6.481719887168375e-07,6.733503710165678e-08,0.0
1644,2.7289975800418427e-05,6.120145396185503e-07,6.733503710165678e-08,0.0
1645,2.5937895510911142e-05,8.393804721760847e-07,0.0,0.0
