ngram,direction,diretion,direcion,directon
1500,2.3530795033366303e-05,0.0,0.0,0.0
1501,1.882463602669304e-05,0.0,0.0,0.0
1502,3.923245018692493e-05,0.0,0.0,0.0
1503,6.932648141498378e-05,0.0,0.0,0.0
1504,7.187863827441885e-05,0.0,0.0,0.0
1505,7.506597025245096e-05,0.0,0.0,0.0
1506,7.506597025245096e-05,0.0,0.0,0.0
1507,7.506597025245096e-05,0.0,0.0,0.0
1508,7.506597025245096e-05,0.0,0.0,0.0
1509,5.488432439701033e-05,0.0,0.0,0.0
1510,1.9185657427962205e-05,0.0,0.0,0.0
1511,1.609885657671839e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.4283056901019466e-06,0.0,0.0,0.0
1515,1.4283056901019466e-06,0.0,0.0,0.0
1516,1.4283056901019466e-06,0.0,0.0,0.0
1517,6.0931303258777394e-05,0.0,0.0,0.0
1518,6.0931303258777394e-05,0.0,0.0,0.0
1519,6.0931303258777394e-05,0.0,0.0,0.0
1520,7.582687235948729e-05,0.0,0.0,0.0
1521,7.439856666938535e-05,0.0,0.0,0.0
1522,9.344110731035471e-05,0.0,0.0,0.0
1523,0.00010144969253035794,0.0,0.0,0.0
1524,4.1946694961682495e-05,0.0,0.0,0.0
1525,4.1946694961682495e-05,0.0,0.0,0.0
1526,8.326391045037391e-05,0.0,0.0,0.0
1527,6.836834134966401e-05,0.0,0.0,0.0
1528,7.882066607375496e-05,0.0,0.0,0.0
1529,5.97781254327856e-05,0.0,0.0,0.0
1530,5.176954021278236e-05,0.0,0.0,0.0
1531,5.176954021278236e-05,0.0,0.0,0.0
1532,6.980620465973126e-05,0.0,0.0,0.0
1533,2.8488989171039846e-05,0.0,0.0,0.0
1534,2.8488989171039846e-05,0.0,0.0,0.0
1535,1.8789683573621524e-05,0.0,0.0,0.0
1536,2.4156856073074907e-05,0.0,0.0,0.0
1537,2.4156856073074907e-05,0.0,0.0,0.0
1538,2.4156856073074907e-05,0.0,0.0,0.0
1539,2.8533192822318858e-05,0.0,0.0,0.0
