ngram,red,rd,redd
1539,3.1461646455811986e-05,1.5060382533452606e-06,3.7650956333631515e-07
1540,3.1461646455811986e-05,1.5060382533452606e-06,3.7650956333631515e-07
1541,2.7248234508598606e-05,1.5060382533452606e-06,3.7650956333631515e-07
1542,1.9338750170001212e-05,0.0,0.0
1543,3.0299978399333277e-05,0.0,0.0
1544,3.363849646120798e-05,0.0,0.0
1545,1.963174405058713e-05,0.0,2.679201023576232e-07
1546,3.2218522911924606e-05,0.0,8.273324933075596e-07
1547,3.54956641136336e-05,0.0,8.273324933075596e-07
1548,3.6684631855418305e-05,5.94483870892353e-07,8.273324933075596e-07
1549,7.248038686416944e-05,5.94483870892353e-07,8.273324933075596e-07
1550,6.431396845333179e-05,5.94483870892353e-07,8.273324933075596e-07
1551,7.042023896376901e-05,5.94483870892353e-07,8.273324933075596e-07
1552,7.79192407987596e-05,5.94483870892353e-07,5.594123909499363e-07
1553,6.533246193742213e-05,5.94483870892353e-07,0.0
1554,9.908172939633784e-05,5.94483870892353e-07,0.0
1555,9.969571666650674e-05,0.0,0.0
1556,6.921767921344976e-05,0.0,0.0
1557,0.0001033556376829178,0.0,0.0
1558,9.527494642367986e-05,0.0,0.0
1559,0.0001099696294529297,0.0,0.0
1560,0.00013823711560689844,0.0,0.0
1561,0.00010121070694627374,0.0,0.0
1562,0.00012429575534562382,0.0,0.0
1563,0.00012687966617314878,0.0,0.0
1564,0.0001085845742636593,0.0,0.0
1565,0.00011531488209064784,0.0,0.0
1566,0.00016929625105279098,1.9036705063107156e-06,0.0
1567,0.0001587710960718271,1.9036705063107156e-06,0.0
1568,0.0001587710960718271,1.9036705063107156e-06,0.0
1569,0.0001338830926605234,1.9036705063107156e-06,0.0
1570,0.0001456373554122235,1.9036705063107156e-06,0.0
1571,0.0001314561180022013,1.9036705063107156e-06,0.0
1572,0.00012492159528067402,1.9036705063107156e-06,0.0
1573,5.316314725080572e-05,0.0,0.0
1574,3.97785084455141e-05,0.0,0.0
1575,4.2293067703472585e-05,0.0,5.029118515916967e-06
1576,5.0855996180741515e-05,0.0,5.029118515916967e-06
1577,6.135999891349846e-05,0.0,5.029118515916967e-06
1578,6.416551514121238e-05,0.0,5.029118515916967e-06
1579,0.00011499277284851164,0.0,5.029118515916967e-06
1580,0.00011761487413813094,0.0,5.029118515916967e-06
1581,0.00013224301775543218,0.0,5.029118515916967e-06
1582,0.00013727012316979068,0.0,4.189813742933828e-07
1583,0.0001301490625077609,0.0,8.996039793731012e-07
1584,0.00010237454534944845,8.991115854379521e-07,8.996039793731012e-07
1585,0.0001016478949428087,8.991115854379521e-07,1.2770401554007549e-06
1586,0.00022323305906216513,1.6180054314775459e-06,1.2770401554007549e-06
1587,0.0002510033457708362,1.6180054314775459e-06,1.2770401554007549e-06
1588,0.00024406861393799772,1.6180054314775459e-06,1.2770401554007549e-06
1589,0.0002411951111623369,1.804731904745235e-06,1.2315117276427503e-06
1590,0.00025483183084621226,1.804731904745235e-06,1.0108647724596916e-06
1591,0.00027529090688663667,1.1721537833052155e-06,1.0108647724596916e-06
1592,0.00028084474511810446,1.1721537833052155e-06,3.0213157710282497e-06
1593,0.000122948365710077,6.765366638969031e-07,3.0213157710282497e-06
1594,9.146051005310645e-05,8.441682471779391e-07,3.6918421041523937e-06
1595,8.97777390491683e-05,1.294965337755067e-06,4.142639194729522e-06
1596,8.574083182923329e-05,2.581166443503337e-06,3.7691862481941437e-06
1597,8.010508710348014e-05,3.186476874361688e-06,4.356645279455863e-06
1598,5.597646447443237e-05,3.0968790757209978e-06,4.489347028473796e-06
1599,4.992517006030539e-05,3.332701372268535e-06,2.101459853877584e-06
1600,3.928105577090589e-05,3.4289428997778615e-06,2.4209781080181917e-06
1601,4.521793731068361e-05,3.6519590399361083e-06,5.656929009286874e-06
1602,9.550642308957842e-05,3.5143641200972653e-06,5.206131918709746e-06
1603,0.0001142443434218876,2.041436541081306e-06,5.206131918709746e-06
1604,0.00010854744765051041,1.7766667497198796e-06,4.358697237551366e-06
1605,0.00011278148018131365,1.7121679759059459e-06,4.225995488533434e-06
1606,0.00011798806294141937,1.6365058935921946e-06,4.225995488533434e-06
1607,0.0001177817318551076,1.3169876394515865e-06,3.906477234392826e-06
