ngram,name,nme,nmae,namee
1500,7.574497794848867e-05,0.0,0.0,0.0
1501,6.059598235879094e-05,0.0,0.0,0.0
1502,9.301867733787124e-05,0.0,0.0,0.0
1503,7.973029486103249e-05,0.0,0.0,0.0
1504,7.856513963945742e-05,0.0,0.0,0.0
1505,9.05321170908532e-05,0.0,0.0,0.0
1506,0.00012094181147404015,0.0,0.0,0.0
1507,0.00012094181147404015,0.0,0.0,0.0
1508,0.00012094181147404015,0.0,0.0,0.0
1509,8.449436115500118e-05,0.0,0.0,0.0
1510,8.449436115500118e-05,0.0,0.0,0.0
1511,7.523395886112536e-05,0.0,0.0,0.0
1512,3.0409694383186953e-05,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.0567602145352532e-05,0.0,0.0,0.0
1515,2.0567602145352532e-05,0.0,0.0,0.0
1516,2.0567602145352532e-05,0.0,0.0,0.0
1517,5.935080532383706e-05,0.0,0.0,0.0
1518,5.935080532383706e-05,0.0,0.0,0.0
1519,5.935080532383706e-05,0.0,0.0,0.0
1520,0.00025418485165573657,0.0,0.0,0.0
1521,0.00023361724951038404,0.0,0.0,0.0
1522,0.0002970923877520753,0.0,0.0,0.0
1523,0.0003137256031290495,0.0,0.0,0.0
1524,0.00030591257174299765,0.0,0.0,0.0
1525,0.00030591257174299765,0.0,0.0,0.0
1526,0.00030591257174299765,0.0,0.0,0.0
1527,0.00011107852541109813,0.0,0.0,0.0
1528,0.00011107852541109813,0.0,0.0,0.0
1529,4.7603387169406884e-05,0.0,0.0,0.0
1530,0.00019425463480209664,0.0,0.0,0.0
1531,0.00019775355134957602,0.0,0.0,0.0
1532,0.00019865538453294512,0.0,0.0,0.0
1533,0.0002385640744120922,0.0,0.0,0.0
1534,0.0002778892532790321,0.0,0.0,0.0
1535,0.00030575096135570287,0.0,0.0,0.0
1536,0.00034376843443949056,0.0,0.0,0.0
1537,0.00021605597021334688,0.0,0.0,0.0
1538,0.00020064551277495672,0.0,0.0,0.0
1539,0.00020472434646632922,0.0,0.0,0.0
1540,0.00016481565658718215,0.0,0.0,0.0
1541,0.00012549047772024226,0.0,0.0,0.0
1542,0.00016985179588248554,0.0,0.0,0.0
1543,0.00013183432279869782,0.0,0.0,0.0
1544,0.00012199673541804909,0.0,0.0,0.0
1545,0.00014419779836316593,0.0,0.0,0.0
1546,0.00020774514788562165,0.0,0.0,0.0
1547,0.0002896736779283466,0.0,0.0,0.0
1548,0.000321181322630894,0.0,0.0,0.0
1549,0.00040417848712032925,0.0,0.0,0.0
1550,0.0005192721208524225,0.0,0.0,0.0
1551,0.0005242332720497091,0.0,0.0,0.0
1552,0.0005341724588236373,0.0,0.0,0.0
1553,0.0004656444424264399,0.0,0.0,0.0
1554,0.0004114857188791835,0.0,0.0,0.0
1555,0.00040942634015144516,0.0,0.0,0.0
1556,0.0002666966652863526,0.0,0.0,0.0
1557,0.00017963805709899004,0.0,0.0,0.0
1558,0.0002662548629034843,6.820486565369979e-07,0.0,0.0
1559,0.00024084433139900545,6.820486565369979e-07,0.0,0.0
1560,0.0002848159742175734,6.820486565369979e-07,0.0,0.0
1561,0.00032597048682094155,6.820486565369979e-07,0.0,0.0
1562,0.00036229765932408294,6.820486565369979e-07,0.0,0.0
1563,0.0003602634429366195,6.820486565369979e-07,0.0,4.5462171068980493e-07
1564,0.00037039829892039834,6.820486565369979e-07,0.0,4.5462171068980493e-07
1565,0.000303675963160848,0.0,0.0,4.5462171068980493e-07
1566,0.00030263533075672707,0.0,0.0,4.5462171068980493e-07
1567,0.0003132554723249216,0.0,0.0,4.5462171068980493e-07
1568,0.000244331153226085,0.0,0.0,4.5462171068980493e-07
1569,0.00022980238385831138,0.0,0.0,4.5462171068980493e-07
1570,0.0003100068196155397,0.0,0.0,0.0
1571,0.0004312073017769892,0.0,0.0,0.0
1572,0.0004274137380499659,0.0,0.0,0.0
1573,0.0005498999214198973,0.0,0.0,0.0
1574,0.0005584946775343269,0.0,0.0,0.0
1575,0.0006201013789645263,0.0,0.0,0.0
1576,0.0006296965709355261,0.0,0.0,0.0
1577,0.0005671020709477099,0.0,0.0,0.0
1578,0.0004482051112323201,7.227393195665042e-07,0.0,0.0
1579,0.00043374638231138566,7.227393195665042e-07,0.0,0.0
1580,0.0004222056159051135,7.227393195665042e-07,0.0,0.0
1581,0.00042072304183550714,7.227393195665042e-07,0.0,0.0
1582,0.000436627898514936,7.227393195665042e-07,0.0,0.0
1583,0.0004358638647577858,7.227393195665042e-07,0.0,0.0
1584,0.0004383674240671098,1.6218509050044564e-06,0.0,0.0
1585,0.00045620790998717505,8.991115854379521e-07,0.0,0.0
1586,0.0004619715452593352,8.991115854379521e-07,0.0,0.0
1587,0.0003823432988221092,8.991115854379521e-07,0.0,0.0
1588,0.00037687781981990805,8.991115854379521e-07,0.0,0.0
1589,0.0003531434880902192,8.991115854379521e-07,0.0,0.0
1590,0.00035675969307443926,8.991115854379521e-07,0.0,0.0
1591,0.0004133463413121977,0.0,0.0,0.0
1592,0.00046129343016738337,0.0,0.0,0.0
1593,0.0005040182316276644,0.0,0.0,0.0
1594,0.0004943872918374836,1.67631583281036e-07,0.0,0.0
1595,0.0004999080057522016,1.67631583281036e-07,0.0,0.0
1596,0.00048063936784663904,1.67631583281036e-07,0.0,0.0
1597,0.00047093902789388916,1.67631583281036e-07,0.0,0.0
1598,0.00041160571812984666,1.67631583281036e-07,0.0,0.0
1599,0.00035392413389802514,1.67631583281036e-07,0.0,0.0
1600,0.00032645750616211444,2.7413766799457206e-07,0.0,0.0
1601,0.00034213654622102955,1.0650608471353604e-07,0.0,0.0
1602,0.00033518772397655994,1.0650608471353604e-07,0.0,0.0
1603,0.00034848390662643524,1.0650608471353604e-07,0.0,0.0
1604,0.0003402929287403822,2.7677640446199803e-07,0.0,0.0
1605,0.00038015680287831595,2.7677640446199803e-07,0.0,0.0
1606,0.00038731316453777254,2.7677640446199803e-07,0.0,0.0
1607,0.00041980077678869875,1.7027031974846197e-07,0.0,0.0
1608,0.0004790917654255671,1.7027031974846197e-07,0.0,0.0
1609,0.0004991849585037146,1.7027031974846197e-07,0.0,0.0
1610,0.0005117906631702292,1.7027031974846197e-07,0.0,0.0
1611,0.0005703460608076837,0.0,0.0,0.0
1612,0.0005408571575701769,0.0,0.0,0.0
1613,0.0005568763049918094,0.0,0.0,0.0
1614,0.0005095934861206583,0.0,0.0,0.0
1615,0.0004639972134360245,0.0,0.0,0.0
1616,0.0004528887844311872,0.0,0.0,0.0
1617,0.0004460952477529645,0.0,0.0,0.0
1618,0.00038555946334132126,0.0,0.0,0.0
1619,0.00041904583174203126,0.0,0.0,0.0
1620,0.00039766038701470407,0.0,0.0,0.0
1621,0.00040477105150265355,1.7841799555234112e-07,0.0,0.0
1622,0.000390307158730658,1.7841799555234112e-07,0.0,0.0
1623,0.0004073362714344902,1.7841799555234112e-07,0.0,0.0
1624,0.0003825404460907781,1.7841799555234112e-07,0.0,0.0
1625,0.00039437146084050516,1.7841799555234112e-07,0.0,0.0
1626,0.00037320378760341555,1.7841799555234112e-07,0.0,0.0
1627,0.0003661323633943019,1.7841799555234112e-07,0.0,0.0
1628,0.00040555695678839195,0.0,0.0,0.0
1629,0.0003905121099835794,8.252934386681382e-08,0.0,0.0
1630,0.0003582460402477799,8.252934386681382e-08,0.0,0.0
1631,0.0004316756219070937,1.3920932977790862e-07,0.0,0.0
1632,0.0004308147056560431,1.3920932977790862e-07,0.0,0.0
1633,0.0004315706111291157,1.3920932977790862e-07,0.0,0.0
1634,0.0004254214415725853,1.3920932977790862e-07,0.0,0.0
1635,0.0004144095832348934,1.3920932977790862e-07,0.0,0.0
1636,0.00040389051511218507,5.6679985911094784e-08,0.0,0.0
1637,0.00042293228658049235,5.6679985911094784e-08,0.0,0.0
1638,0.0003785223899675267,0.0,0.0,0.0
1639,0.0003667921992018819,0.0,0.0,0.0
1640,0.00035253039511319784,0.0,0.0,0.0
1641,0.0003470342365160052,5.972208733900125e-08,0.0,0.0
1642,0.00033329045150562057,5.972208733900125e-08,0.0,0.0
1643,0.0003313814730583025,1.5004453400381733e-07,0.0,0.0
1644,0.0003122704303158181,1.5004453400381733e-07,0.0,0.0
1645,0.0003164641883423818,1.5004453400381733e-07,0.0,0.0
1646,0.0003214541731202709,1.5004453400381733e-07,0.0,0.0
1647,0.00034229259888109354,1.5004453400381733e-07,0.0,0.0
1648,0.0003641918010544032,1.361716824378943e-07,0.0,0.0
1649,0.000358607287385634,2.926272324137764e-07,0.0,0.0
1650,0.0003671193013100752,2.0230478574896032e-07,0.0,0.0
1651,0.00037336949026212096,3.313050293789794e-07,0.0,0.0
1652,0.0003582102487728532,3.313050293789794e-07,0.0,0.0
1653,0.00035138858116364906,3.313050293789794e-07,0.0,0.0
1654,0.000355266234172242,3.313050293789794e-07,0.0,0.0
1655,0.00035214776705418317,3.4355883826719946e-07,0.0,0.0
1656,0.00035397717978672257,2.3241061951141872e-07,0.0,0.0
1657,0.0003589173928568406,2.3241061951141872e-07,0.0,0.0
1658,0.00035409444327732284,1.5702601022634814e-07,0.0,0.0
1659,0.0003657955717894116,1.8919319545927594e-07,0.0,0.0
1660,0.0003803666789151196,1.8919319545927594e-07,0.0,0.0
1661,0.0003523667754572151,1.8919319545927594e-07,0.0,0.0
1662,0.0003375394091043355,2.122898702542183e-07,0.0,0.0
1663,0.00032936775200401565,1.6698253903411698e-07,0.0,0.0
1664,0.0003147446883044073,1.6698253903411698e-07,0.0,0.0
1665,0.0003053928209867861,1.1336690468916849e-07,0.0,0.0
1666,0.00030106629960105887,1.211481170620183e-07,0.0,0.0
1667,0.00028784208032967787,1.5360043294419613e-07,0.0,0.0
1668,0.0002978682189547856,1.5360043294419613e-07,0.0,0.0
1669,0.0003052462644908311,7.240071348795546e-08,0.0,0.0
1670,0.0003027829245963533,7.240071348795546e-08,0.0,0.0
1671,0.00031329960828380924,7.240071348795546e-08,0.0,0.0
1672,0.0003086522005365363,7.240071348795546e-08,0.0,0.0
1673,0.0002973064173212541,5.719518623793972e-08,0.0,0.0
1674,0.00029958856924037846,2.4742870355761885e-08,0.0,0.0
1675,0.00031232360301406255,5.906136988999476e-08,0.0,0.0
1676,0.00030661705282649824,5.906136988999476e-08,0.0,0.0
1677,0.0002990522189065814,5.906136988999476e-08,0.0,0.0
1678,0.0002867490776614951,5.906136988999476e-08,0.0,0.0
1679,0.0002921768089955939,5.906136988999476e-08,0.0,0.0
1680,0.00027977441953096004,3.431849953423287e-08,0.0,0.0
1681,0.000275817874353379,5.6694346994845546e-08,0.0,0.0
1682,0.00024916795415005514,4.2536880430686456e-08,0.0,0.0
1683,0.00024728621688804457,8.66713370279675e-08,0.0,0.0
1684,0.00024536572163924575,1.1589291659674927e-07,0.0,0.0
1685,0.00023708263012979711,1.1589291659674927e-07,0.0,0.0
1686,0.00022903121342616423,1.1589291659674927e-07,0.0,0.0
1687,0.0002212719139476706,1.1589291659674927e-07,0.0,0.0
1688,0.0002006827957562304,9.35170691361366e-08,0.0,0.0
1689,0.00019534369598009756,7.335603616606282e-08,0.0,0.0
1690,0.0001869077012608094,2.9221579568781764e-08,0.0,0.0
1691,0.00017713163522005613,2.446605305652026e-08,0.0,0.0
1692,0.0001766070573856788,4.8134097596630454e-08,0.0,0.0
1693,0.00016729752782599201,4.8134097596630454e-08,0.0,0.0
1694,0.00016189320428696061,4.8134097596630454e-08,0.0,0.0
1695,0.00016400211357644627,9.465450797766347e-08,0.0,0.0
1696,0.00015978366302858506,1.4189234726862715e-07,0.0,0.0
1697,0.00016379909149171517,1.7128064655480557e-07,0.0,0.0
1698,0.00015681204136594066,1.779284052158151e-07,0.0,0.0
1699,0.00014886039986907105,2.1960806252861532e-07,0.0,0.0
1700,0.00014108505794346065,2.5860162062534595e-07,0.0,0.0
1701,0.00013697105792484114,2.682683799548613e-07,0.0,0.0
1702,0.00012894239625893533,2.337331293590848e-07,0.0,0.0
1703,0.00012549946404760703,2.085777097704522e-07,0.0,0.0
1704,0.000106486096878403,1.8785117715326904e-07,0.0,0.0
1705,0.00010498639936226286,1.6589517010905703e-07,0.0,0.0
1706,0.00010452126090448084,1.1162285115265799e-07,0.0,0.0
1707,0.00010172924625554256,8.478174606807443e-08,0.0,0.0
1708,9.641473090076553e-05,8.476085408152098e-08,0.0,0.0
1709,9.412974551586168e-05,8.480071045369186e-08,0.0,0.0
1710,9.189024006315907e-05,6.271829075136079e-08,0.0,0.0
1711,9.508714200429884e-05,6.374885279975778e-08,0.0,0.0
1712,9.317655557034803e-05,6.545446800438575e-08,0.0,0.0
1713,9.475160082469561e-05,8.683313065408324e-08,0.0,0.0
1714,9.479297711680244e-05,7.46806776419362e-08,0.0,0.0
1715,9.929266525432467e-05,6.503481029897427e-08,0.0,0.0
1716,9.73755304585211e-05,6.186475230509001e-08,0.0,0.0
1717,0.00010796326283265703,6.950615778172115e-08,0.0,0.0
1718,0.00011507749357925994,6.755558550659252e-08,0.0,0.0
1719,0.00011052977372725894,8.961652144177736e-08,0.0,0.0
1720,0.00011780964164894872,6.622360412425873e-08,0.0,0.0
1721,0.0001238080471271782,6.622360412425873e-08,0.0,0.0
1722,0.0001321936839043961,7.395119082177968e-08,0.0,0.0
1723,0.0001503333353736837,7.744658501808641e-08,0.0,0.0
1724,0.00014177370758261532,8.741793828497585e-08,0.0,0.0
1725,0.00014791248499282768,8.70291348828037e-08,0.0,0.0
