ngram,instruction,instruction,instructon,instrucion
1500,1.3119293498675688e-05,1.3119293498675688e-05,0.0,0.0
1501,1.049543479894055e-05,1.049543479894055e-05,0.0,0.0
1502,9.097617369964913e-06,9.097617369964913e-06,0.0,0.0
1503,7.797957745684211e-06,7.797957745684211e-06,0.0,0.0
1504,9.681809582876408e-06,9.681809582876408e-06,0.0,0.0
1505,7.49164941485755e-06,7.49164941485755e-06,0.0,0.0
1506,7.49164941485755e-06,7.49164941485755e-06,0.0,0.0
1507,7.49164941485755e-06,7.49164941485755e-06,0.0,0.0
1508,7.49164941485755e-06,7.49164941485755e-06,0.0,0.0
1509,7.190430811273732e-06,7.190430811273732e-06,0.0,0.0
1510,7.190430811273732e-06,7.190430811273732e-06,0.0,0.0
1511,4.103629960029918e-06,4.103629960029918e-06,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.4283056901019466e-06,1.4283056901019466e-06,0.0,0.0
1515,1.4283056901019466e-06,1.4283056901019466e-06,0.0,0.0
1516,1.4283056901019466e-06,1.4283056901019466e-06,0.0,0.0
1517,5.1472430381441626e-06,5.1472430381441626e-06,0.0,0.0
1518,5.1472430381441626e-06,5.1472430381441626e-06,0.0,0.0
1519,5.1472430381441626e-06,5.1472430381441626e-06,0.0,0.0
1520,1.1701293650341021e-05,1.1701293650341021e-05,0.0,0.0
1521,1.0272987960239074e-05,1.0272987960239074e-05,0.0,0.0
1522,1.0272987960239074e-05,1.0272987960239074e-05,0.0,0.0
1523,1.7049482786595555e-05,1.7049482786595555e-05,0.0,0.0
1524,1.333054543855334e-05,1.333054543855334e-05,0.0,0.0
1525,1.333054543855334e-05,1.333054543855334e-05,0.0,0.0
1526,1.333054543855334e-05,1.333054543855334e-05,0.0,0.0
1527,6.776494826356481e-06,6.776494826356481e-06,0.0,0.0
1528,6.776494826356481e-06,6.776494826356481e-06,0.0,0.0
1529,6.776494826356481e-06,6.776494826356481e-06,0.0,0.0
1530,1.4578970357043935e-05,1.4578970357043935e-05,0.0,0.0
1531,2.032381858693303e-05,2.032381858693303e-05,0.0,0.0
1532,2.032381858693303e-05,2.032381858693303e-05,0.0,0.0
1533,2.032381858693303e-05,2.032381858693303e-05,0.0,0.0
1534,2.032381858693303e-05,2.032381858693303e-05,0.0,0.0
1535,2.3712404591995956e-05,2.3712404591995956e-05,0.0,0.0
1536,2.9526841639640873e-05,2.9526841639640873e-05,0.0,0.0
1537,1.4947871282596939e-05,1.4947871282596939e-05,0.0,0.0
1538,1.2379461622913368e-05,1.2379461622913368e-05,0.0,0.0
1539,1.4039683914493903e-05,1.4039683914493903e-05,0.0,0.0
1540,1.4039683914493903e-05,1.4039683914493903e-05,0.0,0.0
1541,1.4039683914493903e-05,1.4039683914493903e-05,0.0,0.0
1542,8.287412414834503e-05,8.287412414834503e-05,0.0,0.0
1543,7.70596871007001e-05,7.70596871007001e-05,0.0,0.0
1544,7.845073637976643e-05,7.845073637976643e-05,0.0,0.0
1545,7.634597821899141e-05,7.634597821899141e-05,0.0,0.0
1546,7.832193653354937e-05,7.832193653354937e-05,0.0,0.0
1547,7.832193653354937e-05,7.832193653354937e-05,0.0,0.0
1548,8.159159779097536e-05,8.159159779097536e-05,0.0,0.0
1549,1.3006544642329182e-05,1.3006544642329182e-05,0.0,0.0
1550,2.975726153765988e-05,2.975726153765988e-05,0.0,0.0
1551,2.8366212258593544e-05,2.8366212258593544e-05,0.0,0.0
1552,3.5947863580076955e-05,3.5947863580076955e-05,0.0,0.0
1553,3.231168297393846e-05,3.231168297393846e-05,0.0,0.0
1554,3.231168297393846e-05,3.231168297393846e-05,0.0,0.0
1555,3.0844976728466076e-05,3.0844976728466076e-05,0.0,0.0
1556,2.72070036381982e-05,2.72070036381982e-05,0.0,0.0
1557,1.0456286742867502e-05,1.0456286742867502e-05,0.0,0.0
1558,2.955364860619219e-05,2.955364860619219e-05,0.0,0.0
1559,2.2619540167007862e-05,2.2619540167007862e-05,0.0,0.0
1560,2.3516920659208802e-05,2.3516920659208802e-05,0.0,0.0
1561,2.3516920659208802e-05,2.3516920659208802e-05,0.0,0.0
1562,2.1713965647255202e-05,2.1713965647255202e-05,0.0,0.0
1563,2.1713965647255202e-05,2.1713965647255202e-05,0.0,0.0
1564,2.1713965647255202e-05,2.1713965647255202e-05,0.0,0.0
1565,3.628404426438335e-06,3.628404426438335e-06,0.0,0.0
1566,1.909181134708758e-06,1.909181134708758e-06,0.0,0.0
1567,4.423787166680475e-06,4.423787166680475e-06,0.0,0.0
1568,4.423787166680475e-06,4.423787166680475e-06,0.0,0.0
1569,4.423787166680475e-06,4.423787166680475e-06,0.0,0.0
1570,5.934799446549732e-06,5.934799446549732e-06,0.0,0.0
1571,8.386651123666005e-06,8.386651123666005e-06,0.0,0.0
1572,7.374850481158189e-06,7.374850481158189e-06,0.0,0.0
1573,7.374850481158189e-06,7.374850481158189e-06,0.0,0.0
1574,7.775844876180469e-06,7.775844876180469e-06,0.0,0.0
1575,7.775844876180469e-06,7.775844876180469e-06,0.0,0.0
1576,1.0479927498506316e-05,1.0479927498506316e-05,0.0,0.0
1577,8.968915218637058e-06,8.968915218637058e-06,0.0,0.0
1578,7.23980286108729e-06,7.23980286108729e-06,0.0,0.0
1579,8.533312471367285e-06,8.533312471367285e-06,0.0,0.0
1580,1.0514234158368449e-05,1.0514234158368449e-05,0.0,0.0
1581,7.2945606137052114e-06,7.2945606137052114e-06,0.0,0.0
1582,1.3160299918776478e-05,1.3160299918776478e-05,0.0,0.0
1583,1.3580264294432709e-05,1.3580264294432709e-05,0.0,0.0
1584,1.627759898578266e-05,1.627759898578266e-05,0.0,0.0
1585,1.706460437032677e-05,1.706460437032677e-05,0.0,0.0
1586,1.720888245212596e-05,1.720888245212596e-05,0.0,0.0
1587,1.557404032480138e-05,1.557404032480138e-05,0.0,0.0
1588,1.8328262025793913e-05,1.8328262025793913e-05,0.0,0.0
1589,1.6197052186076428e-05,1.6197052186076428e-05,0.0,0.0
1590,1.3592956487887672e-05,1.3592956487887672e-05,0.0,0.0
1591,1.276135610948716e-05,1.276135610948716e-05,0.0,0.0
1592,1.1848583199025597e-05,1.1848583199025597e-05,0.0,0.0
1593,1.1973732528401473e-05,1.1973732528401473e-05,0.0,0.0
1594,1.4477389868261525e-05,1.4477389868261525e-05,0.0,0.0
1595,1.338384618065902e-05,1.338384618065902e-05,0.0,0.0
1596,1.0280571392026364e-05,1.0280571392026364e-05,0.0,0.0
1597,1.1576551514735911e-05,1.1576551514735911e-05,0.0,0.0
1598,1.2187916451823963e-05,1.2187916451823963e-05,0.0,0.0
1599,1.2887967256704411e-05,1.2887967256704411e-05,0.0,0.0
1600,1.6330816314231405e-05,1.6330816314231405e-05,0.0,0.0
1601,1.8559499819405444e-05,1.8559499819405444e-05,0.0,0.0
1602,2.5910380307842778e-05,2.5910380307842778e-05,0.0,0.0
1603,2.6515455959140256e-05,2.6515455959140256e-05,0.0,0.0
1604,2.5721146422646208e-05,2.5721146422646208e-05,0.0,0.0
1605,2.493060050515591e-05,2.493060050515591e-05,0.0,0.0
1606,2.859854430425912e-05,2.859854430425912e-05,0.0,0.0
1607,2.5085752375681686e-05,2.5085752375681686e-05,0.0,0.0
1608,2.5797982354041388e-05,2.5797982354041388e-05,0.0,0.0
1609,1.8268530246651998e-05,1.8268530246651998e-05,0.0,0.0
1610,1.9708613373430645e-05,1.9708613373430645e-05,0.0,0.0
1611,2.0735237090515773e-05,2.0735237090515773e-05,0.0,0.0
1612,2.9270711950500428e-05,2.9270711950500428e-05,0.0,0.0
1613,2.7661765670927707e-05,2.7661765670927707e-05,0.0,0.0
1614,2.7816820225520394e-05,2.7816820225520394e-05,0.0,0.0
1615,2.240711309501161e-05,2.240711309501161e-05,0.0,0.0
1616,2.1773397455555304e-05,2.1773397455555304e-05,0.0,0.0
1617,2.1073645354720482e-05,2.1073645354720482e-05,0.0,0.0
1618,2.010864828402451e-05,2.010864828402451e-05,0.0,0.0
1619,1.2137309990326425e-05,1.2137309990326425e-05,0.0,0.0
1620,1.0594590256524888e-05,1.0594590256524888e-05,0.0,0.0
1621,1.0730721474569041e-05,1.0730721474569041e-05,0.0,0.0
1622,1.428928908353555e-05,1.428928908353555e-05,0.0,0.0
1623,1.47334903236437e-05,1.47334903236437e-05,0.0,0.0
1624,1.3951486510320268e-05,1.3951486510320268e-05,0.0,0.0
1625,1.411420830014062e-05,1.411420830014062e-05,0.0,0.0
1626,1.6226332783324843e-05,1.6226332783324843e-05,0.0,0.0
1627,1.5052117760205874e-05,1.5052117760205874e-05,0.0,0.0
1628,1.5036751717291605e-05,1.5036751717291605e-05,0.0,0.0
1629,1.3573121123044984e-05,1.3573121123044984e-05,0.0,0.0
1630,1.3325952685201109e-05,1.3325952685201109e-05,0.0,0.0
1631,1.377501478470679e-05,1.377501478470679e-05,0.0,0.0
