ngram,force,fore,forc,forse
1500,3.7657167922588997e-05,3.842080559479655e-06,0.0,0.0
1501,3.0125734338071197e-05,3.0736644475837236e-06,0.0,0.0
1502,4.6365791301165395e-05,2.7370978917436637e-06,0.0,0.0
1503,4.866677357183237e-05,2.3460839072088546e-06,0.0,0.0
1504,5.4318328953481144e-05,1.6777788849659764e-06,0.0,0.0
1505,4.871968433560271e-05,7.819369979448052e-07,0.0,0.0
1506,4.871968433560271e-05,8.384360593741544e-06,0.0,0.0
1507,4.871968433560271e-05,8.384360593741544e-06,0.0,0.0
1508,4.871968433560271e-05,8.384360593741544e-06,0.0,0.0
1509,3.0495959176083227e-05,8.233751291949634e-06,0.0,0.0
1510,2.1571292433821198e-05,8.233751291949634e-06,0.0,0.0
1511,1.2310890139945383e-05,8.233751291949634e-06,0.0,0.0
1512,0.0,7.602423595796738e-06,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,4.284917200233654e-06,0.0,0.0,0.0
1515,4.284917200233654e-06,0.0,0.0,0.0
1516,4.284917200233654e-06,0.0,0.0,0.0
1517,1.1722791896318085e-05,1.0625535651342943e-06,0.0,0.0
1518,1.1722791896318085e-05,1.0625535651342943e-06,0.0,0.0
1519,1.1722791896318085e-05,1.0625535651342943e-06,0.0,0.0
1520,3.644943743503453e-05,2.552110475205284e-06,0.0,0.0
1521,3.2164520234800875e-05,2.552110475205284e-06,0.0,0.0
1522,4.168579055528555e-05,5.725867335318721e-06,0.0,0.0
1523,8.29608054898147e-05,5.725867335318721e-06,0.0,0.0
1524,7.552293079373027e-05,2.9439450372592546e-05,0.0,0.0
1525,7.552293079373027e-05,2.9439450372592546e-05,0.0,0.0
1526,0.00010476280710593398,2.9439450372592546e-05,0.0,0.0
1527,8.003616156721754e-05,2.7949893462521557e-05,0.0,0.0
1528,8.003616156721754e-05,2.7949893462521557e-05,0.0,0.0
1529,7.051489124673285e-05,2.477613660240812e-05,0.0,0.0
1530,2.9239876312203705e-05,3.789720981980541e-05,0.0,0.0
1531,2.9239876312203705e-05,1.3121073217397289e-05,0.0,0.0
1532,4.366920724610931e-05,1.3121073217397289e-05,0.0,0.0
1533,1.4429330933905606e-05,1.3121073217397289e-05,0.0,0.0
1534,2.2856154828332365e-05,1.4525543909777688e-05,0.0,0.0
1535,2.5868231335022885e-05,1.4902053473114002e-05,0.0,0.0
1536,4.1969748833383035e-05,1.5796582244677537e-05,0.0,0.0
1537,4.1969748833383035e-05,2.6755090272802462e-06,0.0,0.0
1538,4.1969748833383035e-05,5.851947597485767e-06,0.0,0.0
1539,3.999208534618707e-05,8.342281034856569e-06,0.0,0.0
1540,3.999208534618707e-05,8.342281034856569e-06,0.0,0.0
1541,6.568447393614665e-05,4.105702282686252e-05,0.0,0.0
1542,7.019562898286884e-05,4.068051326352621e-05,0.0,0.0
1543,5.40941114845087e-05,3.9785984491962676e-05,0.0,0.0
1544,7.468163935949892e-05,4.048150913149584e-05,0.0,0.0
1545,7.73608402856293e-05,3.89125911429541e-05,0.0,0.0
1546,6.714682240271941e-05,3.810049487843311e-05,0.0,0.0
1547,6.714682240271941e-05,4.465477728185111e-05,0.0,0.0
1548,5.561799688231466e-05,1.291350028103417e-05,0.0,0.0
1549,4.8094765328901955e-05,1.291350028103417e-05,0.0,0.0
1550,6.700686468060926e-05,1.291350028103417e-05,0.0,0.0
1551,5.5864125377930964e-05,1.930156733059058e-05,0.0,0.0
1552,0.00012745935496890785,1.7694046748926796e-05,0.0,0.0
1553,0.0001252217054051081,1.601580957607699e-05,0.0,0.0
1554,0.00014373490973542045,7.425774232875224e-05,0.0,0.0
1555,0.00012775535807512433,7.428374686112096e-05,0.0,0.0
1556,0.00035987076262244955,7.428374686112096e-05,0.0,0.0
1557,0.00034095866327074224,0.00010231877240585163,0.0,0.0
1558,0.00034447279904270545,9.523518071676205e-05,0.0,0.0
1559,0.0002805137077562644,0.00010039285033209515,0.0,0.0
1560,0.00030474298130554544,0.00010712320415353003,0.0,0.0
1561,0.000309204550701127,6.530176272333068e-05,0.0,0.0
1562,0.00030437142998250365,7.711953938789e-05,0.0,0.0
1563,7.361989056724789e-05,7.848340451995941e-05,0.0,0.0
1564,9.270483133150265e-05,5.6810025723409906e-05,0.0,0.0
1565,8.784031212729002e-05,6.28808295784568e-05,0.0,0.0
1566,8.513965492186668e-05,5.962683046943441e-05,0.0,0.0
1567,6.159277869041293e-05,5.494366866644539e-05,0.0,0.0
1568,3.861800496451906e-05,3.1968894940551505e-05,0.0,0.0
1569,5.689333472348933e-05,1.9975294240534174e-05,0.0,0.0
1570,6.157351871089694e-05,2.6166490377883228e-05,0.0,0.0
1571,5.965153916674483e-05,2.2256695306818335e-05,0.0,0.0
1572,7.703521344280619e-05,1.618589145177144e-05,0.0,0.0
1573,9.333030935262545e-05,1.4282220945460722e-05,0.0,0.0
1574,0.00010245272018697246,2.095041366244134e-05,0.0,0.0
1575,0.0001477147852710914,4.232416696530501e-05,0.0,5.029118515916967e-06
1576,0.00014613964023218223,4.4602855528605036e-05,4.5068044788162555e-07,5.9304794116802185e-06
1577,0.00014775001909583807,3.9599270166945644e-05,4.5068044788162555e-07,5.9304794116802185e-06
1578,0.00015395562929500426,4.3652072625783535e-05,6.915935598174526e-07,5.9304794116802185e-06
1579,0.00017310362974447862,4.623909184634353e-05,6.915935598174526e-07,5.9304794116802185e-06
1580,0.0001590984601144945,6.901969105196517e-05,6.915935598174526e-07,5.9304794116802185e-06
1581,0.0001831121719858077,6.505076531279233e-05,6.915935598174526e-07,5.9304794116802185e-06
1582,0.0001495815855118313,5.457052793644834e-05,6.915935598174526e-07,9.013608957632511e-07
1583,0.00014504174136423638,5.3428081498298396e-05,2.40913111935827e-07,0.0
1584,0.00021920647122897208,6.346416817645409e-05,2.40913111935827e-07,8.991115854379521e-07
1585,0.00020810457603407225,6.922619026486895e-05,0.0,8.991115854379521e-07
