ngram,light,ligt,ligh,ligt
1500,1.8949340301332995e-05,0.0,0.0,0.0
1501,1.5159472241066396e-05,0.0,0.0,0.0
1502,2.001274939781676e-05,0.0,0.0,0.0
1503,4.3927785424914744e-05,0.0,0.0,0.0
1504,4.6492540215175336e-05,0.0,0.0,0.0
1505,4.400815045560843e-05,0.0,0.0,0.0
1506,4.400815045560843e-05,0.0,0.0,0.0
1507,4.400815045560843e-05,0.0,0.0,0.0
1508,4.400815045560843e-05,0.0,0.0,0.0
1509,3.7682559715384354e-05,0.0,0.0,0.0
1510,1.0908559488598257e-05,0.0,0.0,0.0
1511,4.734957786110629e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,4.856239684158936e-06,0.0,0.0,0.0
1515,4.856239684158936e-06,0.0,0.0,0.0
1516,4.856239684158936e-06,0.0,0.0,0.0
1517,1.070028416246974e-05,0.0,0.0,0.0
1518,1.070028416246974e-05,0.0,0.0,0.0
1519,1.070028416246974e-05,0.0,0.0,0.0
1520,3.334154877977978e-05,0.0,0.0,0.0
1521,2.8485309095620842e-05,0.0,0.0,0.0
1522,3.165906595573428e-05,0.0,0.0,0.0
1523,4.644414652180525e-05,0.0,0.0,0.0
1524,4.8858814417534245e-05,0.0,0.0,0.0
1525,4.8858814417534245e-05,0.0,0.0,0.0
1526,7.746304020526753e-05,0.0,0.0,0.0
1527,5.482177558795749e-05,0.0,0.0,0.0
1528,5.6912240454818986e-05,0.0,0.0,0.0
1529,5.373848359470555e-05,0.0,0.0,0.0
1530,3.895340302863458e-05,0.0,0.0,0.0
1531,5.9418932323751505e-05,1.1489696459778185e-05,0.0,1.1489696459778185e-05
1532,7.114276390244154e-05,1.1489696459778185e-05,0.0,1.1489696459778185e-05
1533,5.0520276090537664e-05,1.1489696459778185e-05,0.0,1.1489696459778185e-05
1534,5.613815886005925e-05,1.1489696459778185e-05,0.0,1.1489696459778185e-05
1535,6.157788500006842e-05,1.1489696459778185e-05,0.0,1.1489696459778185e-05
1536,6.649779347104154e-05,1.1489696459778185e-05,0.0,1.1489696459778185e-05
1537,6.649779347104154e-05,1.1489696459778185e-05,0.0,1.1489696459778185e-05
1538,4.730286725264575e-05,0.0,0.0,0.0
1539,5.633181509827929e-05,0.0,0.0,0.0
1540,4.8350077122449875e-05,0.0,0.0,0.0
1541,4.2732194352928286e-05,0.0,0.0,0.0
1542,4.122058869273003e-05,0.0,0.0,0.0
1543,3.630068022175692e-05,0.0,0.0,0.0
1544,4.5342500275832466e-05,0.0,0.0,0.0
1545,7.278615885297768e-05,0.0,0.0,0.0
1546,8.252135480038955e-05,0.0,0.0,0.0
1547,8.907563720380754e-05,0.0,0.0,0.0
1548,9.85873791380852e-05,0.0,0.0,0.0
1549,0.00012652320999352793,0.0,0.0,0.0
1550,0.0001438142727628084,0.0,0.0,0.0
1551,0.00014657843816426715,0.0,0.0,0.0
1552,0.00012835434920686697,0.0,0.0,0.0
1553,9.786637383513153e-05,0.0,0.0,0.0
1554,0.0001468517044226506,0.0,0.0,0.0
1555,0.00014515276728031625,0.0,0.0,0.0
1556,0.00014450639199432253,0.0,0.0,0.0
1557,0.00012721532922504202,0.0,0.0,0.0
1558,0.00012768621984702934,0.0,0.0,0.0
1559,0.00018974082714911283,0.0,0.0,0.0
1560,0.00021127795896193544,0.0,0.0,0.0
1561,0.00016339660370639258,0.0,0.0,0.0
1562,0.00018047180232575296,0.0,0.0,0.0
1563,0.00014898224825239076,0.0,0.0,0.0
1564,0.0001680671890166455,0.0,0.0,0.0
