ngram,table,tabl,tble,tablle
1500,1.5692267879785504e-05,0.0,0.0,0.0
1501,1.2553814303828404e-05,0.0,0.0,0.0
1502,1.1515777032400365e-05,0.0,0.0,0.0
1503,1.8795332770033773e-05,0.0,0.0,0.0
1504,7.168452644431714e-05,0.0,0.0,0.0
1505,6.760038331776741e-05,0.0,0.0,0.0
1506,7.520280691356415e-05,0.0,0.0,0.0
1507,7.520280691356415e-05,0.0,0.0,0.0
1508,7.520280691356415e-05,0.0,0.0,0.0
1509,7.429915110281269e-05,0.0,0.0,0.0
1510,6.537448436055067e-05,0.0,0.0,0.0
1511,9.812070597295783e-06,0.0,0.0,0.0
1512,7.602423595796738e-06,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.856611380203893e-06,0.0,0.0,0.0
1515,2.856611380203893e-06,0.0,0.0,0.0
1516,2.856611380203893e-06,0.0,0.0,0.0
1517,0.00010964324688497331,0.0,0.0,0.0
1518,0.00010964324688497331,0.0,0.0,0.0
1519,0.00010964324688497331,0.0,0.0,0.0
1520,0.00012007014525547024,0.0,0.0,0.0
1521,0.00011721353387526636,0.0,0.0,0.0
1522,0.00012356104759549323,0.0,0.0,0.0
1523,0.00014820284715304815,0.0,0.0,0.0
1524,4.554556783529863e-05,0.0,0.0,0.0
1525,4.554556783529863e-05,0.0,0.0,0.0
1526,0.00020127969894799338,0.0,0.0,0.0
1527,0.00019085280057749645,0.0,0.0,0.0
1528,0.0001960789629395419,0.0,0.0,0.0
1529,0.00018973144921931504,0.0,0.0,0.0
1530,0.00016654754667147893,0.0,0.0,0.0
1531,0.00017390788694423724,0.0,0.0,0.0
1532,0.00018833721787814284,0.0,0.0,0.0
1533,3.26030867654481e-05,0.0,0.0,0.0
1534,3.4007557457828496e-05,0.0,0.0,0.0
1535,4.948942114424426e-05,0.0,0.0,0.0
1536,5.038394991580779e-05,0.0,0.0,0.0
1537,4.8926052906088966e-05,0.0,0.0,0.0
1538,5.3318549557194016e-05,0.0,0.0,0.0
1539,4.3039774352239745e-05,0.0,0.0,0.0
1540,4.3039774352239745e-05,0.0,0.0,0.0
1541,7.575451614424569e-05,0.0,0.0,0.0
1542,5.8055782769120666e-05,0.0,0.0,0.0
1543,6.856974661267097e-05,0.0,0.0,0.0
1544,7.316020907767649e-05,0.0,0.0,0.0
1545,5.9421376785654244e-05,0.0,0.0,0.0
1546,6.142435722722439e-05,0.0,0.0,0.0
1547,7.781006323576938e-05,0.0,0.0,0.0
1548,7.163159235850409e-05,0.0,0.0,0.0
1549,9.045013926619763e-05,0.0,0.0,0.0
1550,9.200994346818854e-05,0.0,0.0,0.0
1551,9.214187528933897e-05,0.0,0.0,0.0
1552,0.00014480295223100775,0.0,0.0,0.0
1553,0.00013864941606048627,0.0,0.0,0.0
1554,0.00013152031221709746,0.0,0.0,0.0
1555,0.00010658449562989907,0.0,0.0,0.0
1556,9.932892420952808e-05,0.0,0.0,0.0
1557,8.636062739242334e-05,0.0,0.0,0.0
1558,0.00011301247208653617,0.0,0.0,0.0
1559,6.50849274929247e-05,0.0,0.0,0.0
1560,7.450742253110678e-05,0.0,0.0,0.0
1561,0.00011120036781773836,0.0,0.0,0.0
1562,0.00010997315738287787,0.0,0.0,0.0
1563,9.676475435428853e-05,0.0,0.0,0.0
1564,0.00013493463588279804,0.0,0.0,0.0
1565,0.00010457219754503708,0.0,0.0,0.0
1566,0.00010530998640336162,0.0,0.0,0.0
1567,0.0001095354374618702,0.0,0.0,0.0
1568,6.358589001008243e-05,0.0,0.0,0.0
1569,6.774981803963393e-05,0.0,0.0,0.0
1570,7.09189898771001e-05,0.0,0.0,0.0
1571,3.520096002570686e-05,0.0,0.0,0.0
1572,3.470912016772283e-05,0.0,0.0,0.0
1573,4.345375944987089e-05,0.0,0.0,0.0
1574,4.832600676049229e-05,0.0,0.0,0.0
1575,4.832600676049229e-05,0.0,0.0,0.0
1576,5.0496612012856144e-05,0.0,0.0,0.0
1577,0.00013271375330857284,0.0,0.0,0.0
1578,0.0001324301195901561,0.0,0.0,0.0
1579,0.0001370841972467523,0.0,0.0,0.0
1580,0.0001454863961823451,0.0,0.0,0.0
1581,0.00013705242833696372,0.0,0.0,0.0
1582,0.00014375613032565786,0.0,0.0,0.0
1583,0.00014237259866994073,0.0,0.0,0.0
1584,6.011797839684212e-05,0.0,0.0,0.0
1585,6.210155827700094e-05,0.0,0.0,0.0
1586,6.124088291211851e-05,0.0,0.0,0.0
1587,4.201663562396009e-05,0.0,0.0,0.0
1588,4.063398539853681e-05,0.0,0.0,0.0
1589,4.046571016910353e-05,0.0,0.0,0.0
1590,3.919648276808273e-05,0.0,0.0,0.0
1591,3.630012555991665e-05,0.0,0.0,0.0
1592,4.169987641944317e-05,0.0,0.0,0.0
1593,4.2745154782356364e-05,0.0,0.0,0.0
1594,3.854893449377934e-05,0.0,0.0,0.0
1595,4.02136923055098e-05,0.0,0.0,0.0
1596,3.978039395795869e-05,0.0,0.0,0.0
1597,4.921154218858906e-05,0.0,0.0,0.0
1598,6.685409568620213e-05,0.0,0.0,0.0
1599,6.579214992338425e-05,0.0,0.0,0.0
1600,7.204267201034651e-05,0.0,0.0,0.0
1601,7.773327836600532e-05,0.0,0.0,0.0
1602,7.300258377134534e-05,0.0,0.0,0.0
1603,7.184577667171002e-05,0.0,0.0,0.0
1604,6.172270877868868e-05,0.0,0.0,0.0
1605,5.147590595048054e-05,0.0,0.0,0.0
1606,4.9873192308171254e-05,0.0,0.0,0.0
1607,4.050351994270126e-05,0.0,0.0,0.0
1608,4.365541800715229e-05,0.0,0.0,0.0
1609,4.0659215041419626e-05,0.0,0.0,0.0
1610,4.616465100428156e-05,0.0,0.0,0.0
1611,4.385497647620339e-05,0.0,0.0,0.0
1612,4.1854043956846e-05,0.0,0.0,0.0
1613,3.96016585000325e-05,0.0,0.0,0.0
1614,4.395436215937869e-05,0.0,0.0,0.0
1615,3.681835109351336e-05,0.0,0.0,0.0
1616,4.859389706065745e-05,0.0,0.0,0.0
1617,4.370249994930678e-05,0.0,0.0,0.0
1618,4.882734486143038e-05,0.0,0.0,0.0
1619,4.8022723214152006e-05,0.0,0.0,0.0
1620,4.9432554338376834e-05,0.0,0.0,0.0
1621,4.9084989119104906e-05,0.0,0.0,0.0
1622,5.1946709260976475e-05,7.034840824157332e-08,0.0,0.0
1623,4.1840354762306174e-05,7.034840824157332e-08,0.0,0.0
1624,4.3000943281055826e-05,7.034840824157332e-08,0.0,0.0
1625,4.6216613554861397e-05,7.034840824157332e-08,0.0,0.0
1626,4.1404947166613836e-05,7.034840824157332e-08,0.0,0.0
1627,4.0313523900944605e-05,7.034840824157332e-08,0.0,0.0
1628,3.93098242576733e-05,7.034840824157332e-08,0.0,0.0
1629,3.818725989341536e-05,0.0,0.0,0.0
1630,3.913782165909652e-05,0.0,0.0,0.0
1631,3.655551206195794e-05,0.0,0.0,0.0
1632,2.9788652162616408e-05,0.0,0.0,0.0
1633,3.23866123445831e-05,0.0,0.0,0.0
