ngram,nation,naton,natin,naiton
1500,4.813915893464582e-06,0.0,0.0,0.0
1501,3.851132714771666e-06,0.0,0.0,0.0
1502,3.3849881144002816e-06,0.0,0.0,0.0
1503,2.90141838377167e-06,0.0,0.0,0.0
1504,8.40671506401642e-06,0.0,0.0,0.0
1505,7.90253017969787e-06,0.0,0.0,0.0
1506,7.90253017969787e-06,0.0,0.0,0.0
1507,7.90253017969787e-06,0.0,0.0,0.0
1508,7.90253017969787e-06,0.0,0.0,0.0
1509,7.751920877905962e-06,0.0,0.0,0.0
1510,7.751920877905962e-06,0.0,0.0,0.0
1511,1.5783191754183333e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.4283056901019466e-06,0.0,0.0,0.0
1515,1.4283056901019466e-06,0.0,0.0,0.0
1516,1.4283056901019466e-06,0.0,0.0,0.0
1517,1.5241502296703402e-05,0.0,0.0,0.0
1518,1.5241502296703402e-05,0.0,0.0,0.0
1519,1.5241502296703402e-05,0.0,0.0,0.0
1520,3.460574212762627e-05,0.0,0.0,0.0
1521,3.317743643752432e-05,0.0,0.0,0.0
1522,3.9524950157751194e-05,0.0,0.0,0.0
1523,4.1373085228510066e-05,0.0,0.0,0.0
1524,2.7559888621908613e-05,0.0,0.0,0.0
1525,2.7559888621908613e-05,0.0,0.0,0.0
1526,2.7559888621908613e-05,0.0,0.0,0.0
1527,8.195648790985746e-06,0.0,0.0,0.0
1528,8.195648790985746e-06,0.0,0.0,0.0
1529,1.8481350707588717e-06,0.0,0.0,0.0
1530,1.3121073217397289e-05,0.0,0.0,0.0
1531,1.3121073217397289e-05,0.0,0.0,0.0
1532,1.492473958413549e-05,0.0,0.0,0.0
1533,1.492473958413549e-05,0.0,0.0,0.0
1534,1.913815153134887e-05,0.0,0.0,0.0
1535,2.2903247034784207e-05,0.0,0.0,0.0
1536,2.2903247034784207e-05,0.0,0.0,0.0
1537,9.782173817386917e-06,0.0,0.0,0.0
1538,9.782173817386917e-06,0.0,0.0,0.0
1539,7.978507450648717e-06,0.0,0.0,0.0
1540,7.978507450648717e-06,0.0,0.0,0.0
1541,3.7650955034353373e-06,0.0,0.0,0.0
1542,1.6551109313565705e-05,0.0,0.0,0.0
1543,1.6551109313565705e-05,0.0,0.0,0.0
1544,2.587113911951227e-05,0.0,0.0,0.0
1545,2.8818260294169056e-05,0.0,0.0,0.0
1546,2.9097966489644023e-05,0.0,0.0,0.0
1547,3.237510769135302e-05,0.0,0.0,0.0
1548,4.010339807791752e-05,0.0,0.0,0.0
1549,2.3552288764351814e-05,0.0,0.0,0.0
1550,2.895574594471587e-05,0.0,0.0,0.0
1551,2.199691328184729e-05,0.0,0.0,0.0
1552,3.779867717769646e-05,0.0,0.0,0.0
1553,3.751897098222149e-05,0.0,0.0,0.0
1554,3.424182978051249e-05,0.0,0.0,0.0
1555,2.6513539393947993e-05,0.0,0.0,0.0
1556,2.6513539393947993e-05,0.0,0.0,0.0
1557,2.1110082213583935e-05,0.0,0.0,0.0
1558,4.3302637225549135e-05,0.0,0.0,0.0
1559,2.4553752155043185e-05,0.0,0.0,0.0
1560,3.173279609265072e-05,0.0,0.0,0.0
1561,3.173279609265072e-05,0.0,0.0,0.0
1562,3.5288225262775086e-05,0.0,0.0,0.0
1563,3.5288225262775086e-05,0.0,0.0,0.0
1564,4.1649872010956255e-05,0.0,0.0,0.0
1565,1.8107920498420883e-05,0.0,0.0,0.0
1566,2.1915261511042316e-05,0.0,0.0,0.0
1567,1.814820409760744e-05,0.0,0.0,0.0
1568,1.814820409760744e-05,0.0,0.0,0.0
1569,2.127712286892347e-05,0.0,0.0,0.0
1570,2.5810159838459056e-05,0.0,0.0,0.0
1571,2.190036476739416e-05,0.0,0.0,0.0
1572,2.1928485693933908e-05,0.0,0.0,0.0
1573,2.315478208661911e-05,0.0,0.0,0.0
1574,2.2466353324749173e-05,0.0,0.0,0.0
1575,2.2466353324749173e-05,0.0,0.0,0.0
1576,2.028880992708894e-05,0.0,0.0,0.0
1577,1.5755772957553355e-05,0.0,0.0,0.0
1578,1.764035719783611e-05,0.0,0.0,0.0
1579,2.1127719394696343e-05,0.0,0.0,0.0
1580,2.1046386141928713e-05,0.0,0.0,0.0
1581,3.137559074925126e-05,0.0,0.0,0.0
1582,3.556540442722118e-05,0.0,0.0,0.0
1583,3.826793882970898e-05,0.0,0.0,0.0
1584,4.096527352105893e-05,0.0,0.0,0.0
1585,4.021448122719968e-05,0.0,0.0,0.0
1586,3.5687197461291884e-05,0.0,0.0,0.0
1587,3.177313198778263e-05,0.0,0.0,0.0
1588,3.47885091806737e-05,0.0,0.0,0.0
1589,3.302613972014764e-05,0.0,0.0,0.0
1590,2.91964841250904e-05,0.0,0.0,0.0
1591,3.5561287079742344e-05,0.0,0.0,0.0
1592,3.675141780539499e-05,5.969717936490529e-07,0.0,0.0
1593,4.1886782452950554e-05,5.969717936490529e-07,0.0,0.0
1594,4.2860122838257144e-05,5.969717936490529e-07,0.0,0.0
1595,3.129995405158427e-05,5.969717936490529e-07,0.0,0.0
1596,3.0555855638730077e-05,5.969717936490529e-07,0.0,0.0
1597,3.637689094050854e-05,5.969717936490529e-07,0.0,0.0
1598,3.249012167673625e-05,5.969717936490529e-07,0.0,0.0
1599,3.25487045691781e-05,0.0,0.0,0.0
1600,4.189816770251907e-05,0.0,0.0,0.0
1601,5.004342944760408e-05,0.0,0.0,0.0
1602,4.866748011928783e-05,0.0,0.0,0.0
1603,5.2753675585596026e-05,0.0,0.0,0.0
1604,5.393944671335963e-05,0.0,0.0,0.0
1605,5.584760245775604e-05,0.0,0.0,0.0
1606,5.717941348848399e-05,0.0,0.0,0.0
1607,5.538503553127937e-05,0.0,0.0,0.0
1608,6.020401451678481e-05,0.0,0.0,0.0
1609,7.103386763316979e-05,0.0,1.886739775207908e-07,0.0
1610,6.70486020421127e-05,0.0,1.886739775207908e-07,0.0
1611,6.096342791092216e-05,0.0,1.886739775207908e-07,0.0
1612,5.7914914707777954e-05,0.0,1.886739775207908e-07,0.0
1613,5.702249252083545e-05,0.0,1.886739775207908e-07,0.0
1614,4.663931096209646e-05,0.0,1.886739775207908e-07,0.0
1615,3.661575322309675e-05,0.0,1.886739775207908e-07,0.0
1616,2.625812404793188e-05,0.0,0.0,0.0
1617,3.0897997671023146e-05,0.0,0.0,0.0
1618,4.5208862242621505e-05,0.0,0.0,0.0
1619,4.657550718028298e-05,0.0,0.0,0.0
1620,4.3417278253140724e-05,0.0,0.0,0.0
1621,4.6640967931515274e-05,0.0,0.0,0.0
1622,4.422124844235701e-05,0.0,0.0,0.0
1623,5.354888474227794e-05,0.0,0.0,0.0
1624,5.1903365601901896e-05,0.0,0.0,0.0
1625,3.952103699183291e-05,0.0,0.0,0.0
1626,4.1237657309726016e-05,0.0,0.0,0.0
1627,4.167848159600648e-05,0.0,0.0,0.0
1628,4.191254655389847e-05,0.0,0.0,0.0
1629,4.911846683951028e-05,0.0,8.252934386681382e-08,0.0
1630,4.015403906773177e-05,0.0,8.252934386681382e-08,0.0
1631,4.7448246342745346e-05,0.0,8.252934386681382e-08,0.0
1632,4.433368329565772e-05,0.0,8.252934386681382e-08,0.0
1633,3.982017031895728e-05,0.0,8.252934386681382e-08,0.0
1634,3.812775600766015e-05,0.0,8.252934386681382e-08,0.0
1635,3.573784143944587e-05,0.0,1.6484905732535742e-07,0.0
1636,3.3554842112997516e-05,0.0,8.231971345854358e-08,0.0
1637,3.7269201324566635e-05,0.0,8.231971345854358e-08,0.0
1638,2.9909816540956463e-05,0.0,8.231971345854358e-08,0.0
1639,2.8585543272388998e-05,0.0,8.231971345854358e-08,0.0
1640,2.7214476761270945e-05,0.0,8.231971345854358e-08,0.0
1641,3.190470384392289e-05,0.0,8.231971345854358e-08,0.0
1642,3.1552190973473315e-05,0.0,0.0,0.0
1643,2.6977368179359473e-05,0.0,0.0,0.0
1644,2.397028973583864e-05,0.0,0.0,0.0
1645,3.664419507133841e-05,0.0,0.0,0.0
1646,3.77745936930296e-05,0.0,0.0,0.0
1647,4.351194885592642e-05,0.0,0.0,0.0
1648,4.235932127422919e-05,0.0,0.0,0.0
1649,4.270052003058871e-05,0.0,0.0,0.0
1650,4.27942889343415e-05,0.0,0.0,0.0
1651,4.48705671130613e-05,0.0,0.0,0.0
