ngram,establishment,establishent,estblishment,establishent
1500,2.735380849117064e-05,0.0,0.0,0.0
1501,2.188304679293651e-05,0.0,0.0,0.0
1502,2.0871535222492337e-05,0.0,0.0,0.0
1503,1.788988733356486e-05,0.0,0.0,0.0
1504,2.327412065434536e-05,0.0,0.0,0.0
1505,1.9095474272035062e-05,0.0,0.0,0.0
1506,1.9095474272035062e-05,0.0,0.0,0.0
1507,1.9095474272035062e-05,0.0,0.0,0.0
1508,1.9095474272035062e-05,0.0,0.0,0.0
1509,1.6836334647710567e-05,0.0,0.0,0.0
1510,1.6836334647710567e-05,0.0,0.0,0.0
1511,7.575932353834755e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0,0.0
1517,8.169379270839272e-07,0.0,0.0,0.0
1518,8.169379270839272e-07,0.0,0.0,0.0
1519,8.169379270839272e-07,0.0,0.0,0.0
1520,5.881431629209796e-06,0.0,0.0,0.0
1521,5.595770484693016e-06,0.0,0.0,0.0
1522,5.595770484693016e-06,0.0,0.0,0.0
1523,6.103981896948036e-05,0.0,0.0,0.0
1524,6.0508542186913215e-05,0.0,0.0,0.0
1525,6.0508542186913215e-05,0.0,0.0,0.0
1526,6.114419167196112e-05,0.0,0.0,0.0
1527,5.607969796983525e-05,0.0,0.0,0.0
1528,5.7124930403266004e-05,0.0,0.0,0.0
1529,5.7124930403266004e-05,0.0,0.0,0.0
1530,1.6808819184786574e-06,0.0,0.0,0.0
1531,1.6808819184786574e-06,0.0,0.0,0.0
1532,3.484548285216858e-06,0.0,0.0,0.0
1533,2.8488988001689516e-06,0.0,0.0,0.0
1534,4.25336949254935e-06,0.0,0.0,0.0
1535,3.961156185791229e-06,0.0,0.0,0.0
1536,2.0062673684151378e-05,0.0,0.0,0.0
1537,2.0062673684151378e-05,0.0,0.0,0.0
1538,2.0062673684151378e-05,0.0,0.0,0.0
1539,1.8259007317413178e-05,0.0,0.0,0.0
1540,1.8259007317413178e-05,0.0,0.0,0.0
1541,1.685453662503278e-05,0.0,0.0,0.0
1542,4.7699090958173785e-05,0.0,0.0,0.0
1543,3.1597573459813634e-05,0.0,0.0,0.0
1544,3.396235713028416e-05,0.0,0.0,0.0
1545,3.423027723264178e-05,0.0,0.0,0.0
1546,3.4509983428116744e-05,0.0,0.0,0.0
1547,3.4509983428116744e-05,0.0,0.0,0.0
1548,4.699414426210881e-05,0.0,0.0,0.0
1549,1.5396570802295173e-05,0.0,0.0,0.0
1550,3.2687633571575656e-05,0.0,0.0,0.0
1551,3.0322849901105136e-05,0.0,0.0,0.0
1552,4.2313816590779296e-05,0.0,0.0,0.0
1553,4.2034110395304326e-05,0.0,0.0,0.0
1554,4.2034110395304326e-05,0.0,0.0,0.0
1555,3.0150934565296795e-05,0.0,0.0,0.0
1556,3.119181084392559e-05,0.0,0.0,0.0
1557,1.390074807464511e-05,0.0,0.0,0.0
