ngram,attention,atention,attentoin,attntion
1500,1.903986049001105e-05,0.0,0.0,0.0
1501,1.5231888392008841e-05,0.0,0.0,0.0
1502,2.0073096190268796e-05,0.0,0.0,0.0
1503,2.6130177762492428e-05,0.0,0.0,0.0
1504,3.9291945410825845e-05,0.0,0.0,0.0
1505,3.3840900349397475e-05,0.0,0.0,0.0
1506,3.3840900349397475e-05,0.0,0.0,0.0
1507,3.3840900349397475e-05,0.0,0.0,0.0
1508,3.3840900349397475e-05,0.0,0.0,0.0
1509,2.75153096091734e-05,0.0,0.0,0.0
1510,1.8590642866911367e-05,0.0,0.0,0.0
1511,3.1566383508366665e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.856611380203893e-06,0.0,0.0,0.0
1515,2.856611380203893e-06,0.0,0.0,0.0
1516,2.856611380203893e-06,0.0,0.0,0.0
1517,4.9817185104724814e-06,0.0,0.0,0.0
1518,4.9817185104724814e-06,0.0,0.0,0.0
1519,4.9817185104724814e-06,0.0,0.0,0.0
1520,1.6302350819127503e-05,0.0,0.0,0.0
1521,1.3445739438923607e-05,0.0,0.0,0.0
1522,1.3445739438923607e-05,0.0,0.0,0.0
1523,5.2872619562549517e-05,0.0,0.0,0.0
1524,5.074751243228093e-05,0.0,0.0,0.0
1525,5.074751243228093e-05,0.0,0.0,0.0
1526,5.583270831266418e-05,0.0,0.0,0.0
1527,4.451207600400916e-05,0.0,0.0,0.0
1528,4.451207600400916e-05,0.0,0.0,0.0
1529,4.451207600400916e-05,0.0,0.0,0.0
1530,7.272041329997592e-06,0.0,0.0,0.0
1531,1.3016889559886685e-05,0.0,0.0,0.0
1532,2.248613782285247e-05,0.0,0.0,0.0
1533,1.7400941942469217e-05,0.0,0.0,0.0
1534,2.1614353889682597e-05,0.0,0.0,0.0
1535,2.3873411399628302e-05,0.0,0.0,0.0
1536,2.9240583899081685e-05,0.0,0.0,0.0
1537,2.7053738449467346e-05,0.0,0.0,0.0
1538,2.1308890219578253e-05,0.0,0.0,0.0
1539,2.3461198517387466e-05,0.0,0.0,0.0
1540,0.00023893200601118484,0.0,0.0,0.0
