ngram,conclusion,conclsion
1500,1.5089637372511788e-05,0.0
1501,1.2071709898009431e-05,0.0
1502,3.922776022591279e-05,0.0
1503,3.362379447935382e-05,0.0
1504,4.0879281836428815e-05,0.0
1505,3.5208538390309385e-05,0.0
1506,3.5208538390309385e-05,0.0
1507,3.5208538390309385e-05,0.0
1508,3.5208538390309385e-05,0.0
1509,1.0207393838105158e-05,0.0
1510,1.0207393838105158e-05,0.0
1511,9.469915442293444e-07,0.0
1512,0.0,0.0
1513,0.0,0.0
1514,8.855495252646506e-06,0.0
1515,8.855495252646506e-06,0.0
1516,8.855495252646506e-06,0.0
1517,1.4168263338173606e-05,0.0
1518,1.4168263338173606e-05,0.0
1519,1.4168263338173606e-05,0.0
1520,1.625364309022968e-05,0.0
1521,0.0004306785702803089,0.0
1522,0.0004306785702803089,0.0
1523,0.00044176738018515086,0.0
1524,0.0004364546120996238,0.0
1525,0.0004364546120996238,0.0
1526,0.00045298149871086935,0.0
1527,0.0004508961189588133,0.0
1528,3.493232361506671e-05,0.0
1529,3.493232361506671e-05,0.0
1530,2.5301410719943567e-05,0.0
1531,2.5301410719943567e-05,0.0
1532,3.8377991456530124e-05,0.0
1533,2.1851104845284552e-05,0.0
1534,2.4660046230045346e-05,0.0
1535,2.6756158149510156e-05,0.0
1536,4.017408939814361e-05,0.0
1537,3.8716192388424785e-05,0.0
1538,3.8716192388424785e-05,0.0
1539,2.979016738078956e-05,0.0
1540,2.979016738078956e-05,0.0
1541,2.6981225996028764e-05,0.0
1542,1.90731333142529e-05,0.0
1543,5.65520206561944e-06,0.0
1544,9.967454778753953e-06,0.0
1545,1.4254176416475925e-05,0.0
1546,1.0663033078474524e-05,0.0
1547,1.0663033078474524e-05,0.0
1548,1.2446484626187676e-05,0.0
1549,1.2154496029584802e-05,0.0
1550,2.8905212924915497e-05,0.0
1551,2.695415735485897e-05,0.0
1552,2.3388546716367792e-05,0.0
1553,2.2829134325417855e-05,0.0
1554,2.2829134325417855e-05,0.0
1555,2.3449622793642838e-05,0.0
1556,3.576835654582412e-05,0.0
1557,1.901763965049343e-05,0.0
1558,2.8251269278760966e-05,0.0
1559,2.9249381571259748e-05,0.0
1560,3.508235464063806e-05,0.0
1561,4.274061237603226e-05,0.0
1562,5.8113817950860334e-05,0.0
1563,4.503704816930362e-05,0.0
1564,4.503704816930362e-05,0.0
1565,3.85012248703528e-05,0.0
1566,4.249301296762756e-05,0.0
1567,4.0072026422421914e-05,0.0
1568,3.241376868702771e-05,0.0
1569,1.835014973039506e-05,0.0
1570,2.091755257944377e-05,0.0
1571,2.336940425656004e-05,0.0
1572,1.8830361568689113e-05,0.0
1573,2.318662499029805e-05,0.0
1574,2.1953484649982003e-05,0.0
1575,2.1953484649982003e-05,0.0
1576,2.3197443169920007e-05,0.0
1577,2.782984659331435e-05,0.0
1578,2.97144308335971e-05,0.0
1579,3.178148926963331e-05,0.0
1580,2.567605783302237e-05,0.0
1581,2.9430285264554967e-05,0.0
1582,3.362009894252489e-05,0.0
1583,3.443008504940995e-05,0.0
1584,3.2170326448976994e-05,0.0
1585,3.1985688370436295e-05,0.0
1586,3.946318325428625e-05,0.0
1587,4.449940856180287e-05,0.0
1588,4.526139309746213e-05,0.0
1589,4.405920299177524e-05,0.0
1590,4.4011196223436855e-05,0.0
1591,4.128186135078847e-05,0.0
1592,3.89209788928773e-05,0.0
1593,3.0196125148255044e-05,0.0
1594,2.2706740700024447e-05,0.0
1595,2.232284194698358e-05,0.0
1596,2.2070655177230947e-05,0.0
1597,1.7682873736443332e-05,0.0
1598,2.7579971694129718e-05,0.0
1599,3.050550250398893e-05,0.0
1600,3.662126800918486e-05,0.0
1601,4.4292805016864024e-05,0.0
1602,4.1948872941637614e-05,0.0
