ngram,shape,shpe,sape,shapee
1500,1.5025308357508038e-06,0.0,0.0,0.0
1501,1.2020246686006431e-06,0.0,0.0,0.0
1502,3.461639077310489e-06,0.0,0.0,0.0
1503,2.081645269364734e-05,0.0,0.0,0.0
1504,2.3368609553082414e-05,0.0,0.0,0.0
1505,2.3044664495890694e-05,0.0,0.0,0.0
1506,2.3044664495890694e-05,0.0,0.0,0.0
1507,2.3044664495890694e-05,0.0,0.0,0.0
1508,2.3044664495890694e-05,0.0,0.0,0.0
1509,2.0936134335767876e-05,0.0,0.0,0.0
1510,3.0868008512438142e-06,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,5.713222890335601e-07,0.0
1515,5.713222890335601e-07,0.0,5.713222890335601e-07,0.0
1516,5.713222890335601e-07,0.0,5.713222890335601e-07,0.0
1517,4.290259637075776e-06,0.0,5.713222890335601e-07,0.0
1518,4.290259637075776e-06,0.0,5.713222890335601e-07,0.0
1519,4.290259637075776e-06,0.0,5.713222890335601e-07,0.0
1520,1.4121335035659805e-05,0.0,5.713222890335601e-07,0.0
1521,0.0002251902239679891,0.0,0.0,0.0
1522,0.0002251902239679891,0.0,0.0,0.0
1523,0.00022580626896992077,0.0,0.0,0.0
1524,0.00022208733162187855,0.0,0.0,0.0
1525,0.00022208733162187855,0.0,0.0,0.0
1526,0.0002545054563987443,0.0,0.0,0.0
1527,0.00024467438100016025,0.0,0.0,0.0
1528,3.303416977879741e-05,0.0,0.0,0.0
1529,3.303416977879741e-05,0.0,0.0,0.0
1530,4.3352352804504335e-05,0.0,7.289485048594153e-07,0.0
1531,4.9097201034393425e-05,0.0,7.289485048594153e-07,0.0
1532,5.090086740113163e-05,0.0,7.289485048594153e-07,0.0
1533,1.8482742624265874e-05,0.0,1.6692424456518245e-05,0.0
1534,1.8482742624265874e-05,0.0,1.6692424456518245e-05,0.0
1535,1.8859252187602188e-05,0.0,1.6692424456518245e-05,0.0
1536,1.8859252187602188e-05,0.0,1.6692424456518245e-05,0.0
1537,7.925024159963609e-06,0.0,1.596347595165883e-05,0.0
1538,2.180175930074516e-06,0.0,2.5492791402419762e-05,0.0
1539,5.357176438077918e-06,0.0,2.5492791402419762e-05,0.0
1540,5.357176438077918e-06,0.0,9.529315450760936e-06,0.0
1541,5.357176438077918e-06,0.0,9.529315450760936e-06,0.0
1542,4.980666874741603e-06,0.0,9.529315450760936e-06,0.0
1543,4.980666874741603e-06,0.0,9.529315450760936e-06,0.0
1544,6.2326111479446155e-06,0.0,9.529315450760936e-06,0.0
1545,6.5005312503022395e-06,0.0,1.3396004630651857e-06,0.0
1546,2.918395417899384e-06,0.0,1.3396004630651857e-06,0.0
1547,2.918395417899384e-06,0.0,1.3396004630651857e-06,0.0
1548,4.40460512761222e-06,0.0,1.3396004630651857e-06,0.0
1549,8.042578217880094e-06,0.0,1.3396004630651857e-06,0.0
1550,9.123269640960124e-06,0.0,1.3396004630651857e-06,0.0
1551,7.871325367757112e-06,0.0,8.423192152154765e-06,0.0
1552,1.1208960326517367e-05,0.0,7.083591689089579e-06,0.0
1553,9.810429284178618e-06,0.0,7.083591689089579e-06,0.0
1554,9.810429284178618e-06,0.0,7.083591689089579e-06,0.0
1555,8.324219574465782e-06,0.0,7.083591689089579e-06,0.0
1556,4.686246484197909e-06,0.0,7.083591689089579e-06,0.0
1557,3.605555061117879e-06,0.0,7.083591689089579e-06,0.0
1558,4.287603717654877e-06,0.0,0.0,0.0
1559,2.401271948266575e-06,0.0,0.0,0.0
1560,3.747342686567988e-06,0.0,0.0,0.0
1561,1.1405600421962195e-05,0.0,0.0,0.0
1562,1.1405600421962195e-05,0.0,1.7777145850621828e-06,0.0
1563,1.1405600421962195e-05,0.0,1.7777145850621828e-06,0.0
1564,1.1405600421962195e-05,0.0,1.7777145850621828e-06,0.0
1565,1.9829757807851172e-05,0.0,1.7777145850621828e-06,0.0
1566,1.8110534516121595e-05,0.0,1.7777145850621828e-06,0.0
1567,2.7682820863057194e-05,0.0,3.1425092207168096e-06,0.0
1568,2.0024563127662987e-05,0.0,3.1425092207168096e-06,0.0
1569,2.4480795088623252e-05,0.0,1.3647946356546266e-06,0.0
1570,3.052484420810028e-05,0.0,1.3647946356546266e-06,0.0
1571,5.5043362018685525e-05,0.0,1.3647946356546266e-06,0.0
1572,5.00968422524498e-05,0.0,1.3647946356546266e-06,0.0
1573,5.638888874922746e-05,0.0,1.3647946356546266e-06,0.0
1574,5.690947416171964e-05,0.0,3.81298091919494e-06,0.0
1575,6.445315167573946e-05,0.0,6.3275401771534234e-06,0.0
1576,6.720780688088521e-05,0.0,6.778220625035049e-06,0.0
1577,6.626670957692633e-05,0.0,6.778220625035049e-06,0.0
1578,4.2952757342261195e-05,0.0,7.019133736970876e-06,0.0
1579,4.202684496184312e-05,0.0,7.019133736970876e-06,0.0
1580,3.969664183906778e-05,0.0,7.019133736970876e-06,0.0
1581,3.181754371845662e-05,0.0,3.206152817775936e-06,0.0
1582,2.930164282588521e-05,0.0,2.367519056990984e-06,0.0
1583,2.4493868815105608e-05,0.0,1.916838609109358e-06,0.0
1584,2.5684698292544844e-05,0.0,1.916838609109358e-06,0.0
1585,3.202885610724999e-05,0.0,2.053361673201185e-06,0.0
1586,3.0232869903557003e-05,0.0,2.053361673201185e-06,0.0
1587,3.6307333825139464e-05,0.0,2.053361673201185e-06,0.0
1588,3.609501852354567e-05,0.0,2.053361673201185e-06,0.0
1589,3.4241592012611886e-05,0.0,5.641626492953427e-07,0.0
1590,4.197752891091763e-05,0.0,5.641626492953427e-07,0.0
1591,3.808254872897773e-05,0.0,5.641626492953427e-07,0.0
1592,3.232474071929963e-05,0.0,1.867264732676891e-07,0.0
1593,3.959474530087651e-05,0.0,1.867264732676891e-07,0.0
1594,3.073185910449995e-05,0.0,1.867264732676891e-07,0.0
1595,3.32446924013701e-05,0.0,1.867264732676891e-07,0.0
1596,3.0701596967576605e-05,0.0,0.0,0.0
1597,2.5889279121266945e-05,0.0,0.0,0.0
1598,2.525983472878579e-05,0.0,0.0,0.0
1599,2.476594194636813e-05,0.0,1.1791114827376856e-07,0.0
1600,2.0637911282912163e-05,0.0,1.1791114827376856e-07,0.0
1601,2.3566291279816403e-05,0.0,1.1791114827376856e-07,0.0
1602,1.906313822733604e-05,0.0,1.1791114827376856e-07,0.0
1603,2.0080323987973054e-05,0.0,1.1791114827376856e-07,0.0
1604,1.662656528164267e-05,0.0,1.1791114827376856e-07,0.0
1605,1.8230315228200717e-05,0.0,1.1791114827376856e-07,0.0
1606,2.5421783902856987e-05,0.0,0.0,0.0
1607,2.084202229265689e-05,0.0,0.0,0.0
1608,1.7339253970151602e-05,0.0,0.0,0.0
1609,1.7114088547844274e-05,0.0,0.0,0.0
1610,2.1710612924964933e-05,0.0,0.0,0.0
1611,2.0554525365566534e-05,0.0,0.0,0.0
1612,1.7988420885168515e-05,0.0,0.0,0.0
1613,1.3495191719162644e-05,0.0,0.0,0.0
1614,1.6132069699129454e-05,0.0,0.0,0.0
1615,1.6675866650725118e-05,0.0,0.0,0.0
1616,1.8427219012145152e-05,0.0,0.0,0.0
1617,1.4900163478159811e-05,0.0,0.0,0.0
1618,1.48726174821994e-05,0.0,0.0,0.0
1619,1.93547370404953e-05,0.0,0.0,0.0
1620,1.8986075701832306e-05,0.0,0.0,0.0
1621,1.813337764490695e-05,0.0,0.0,0.0
1622,2.0015529376645907e-05,0.0,0.0,0.0
1623,1.8479204040236903e-05,0.0,0.0,0.0
1624,3.666780269538451e-05,0.0,0.0,0.0
1625,3.847040339418787e-05,0.0,0.0,0.0
1626,3.4329390733286603e-05,0.0,0.0,0.0
1627,3.118210400186529e-05,0.0,0.0,0.0
1628,3.149429611377335e-05,0.0,0.0,0.0
1629,3.020243086991416e-05,0.0,0.0,0.0
1630,3.09253358474442e-05,0.0,0.0,0.0
1631,1.3136227023226508e-05,0.0,0.0,0.0
1632,1.2843313600439745e-05,0.0,0.0,0.0
1633,1.2654854085017827e-05,0.0,0.0,0.0
1634,1.5137575896265584e-05,0.0,0.0,0.0
1635,2.0449977845211314e-05,0.0,0.0,0.0
1636,2.1930104854358694e-05,0.0,0.0,0.0
1637,2.278653417826198e-05,0.0,0.0,0.0
1638,2.0679160635544186e-05,0.0,0.0,0.0
1639,2.0349018996057566e-05,0.0,0.0,0.0
1640,2.082868221415473e-05,0.0,0.0,0.0
1641,1.8105534715167388e-05,0.0,0.0,0.0
1642,1.3287556693545152e-05,0.0,0.0,0.0
1643,1.0796893044633699e-05,0.0,0.0,0.0
1644,9.520394233472221e-06,0.0,0.0,0.0
1645,1.0671509195552581e-05,0.0,0.0,0.0
1646,1.0918130247513805e-05,0.0,0.0,0.0
1647,1.124759184481913e-05,0.0,1.040455523642387e-07,0.0
1648,1.2475879040201627e-05,0.0,1.040455523642387e-07,0.0
1649,1.0980271911518815e-05,0.0,1.040455523642387e-07,0.0
1650,1.662611196349774e-05,0.0,1.479656889711935e-07,0.0
1651,1.669620879900841e-05,0.0,1.479656889711935e-07,0.0
1652,1.7708337899031384e-05,0.0,1.479656889711935e-07,0.0
1653,1.6874219519585104e-05,0.0,1.479656889711935e-07,0.0
1654,1.6308457556338647e-05,0.0,4.392013660695479e-08,0.0
1655,1.751402214722475e-05,0.0,1.0202318126825308e-07,0.0
1656,1.8593585212199416e-05,0.0,1.0202318126825308e-07,0.0
1657,1.4032453691470437e-05,0.0,5.81030446612983e-08,0.0
1658,1.4188997608601181e-05,0.0,5.81030446612983e-08,0.0
1659,1.3749938781464671e-05,0.0,5.81030446612983e-08,0.0
1660,1.575571721852092e-05,0.0,5.81030446612983e-08,0.0
1661,1.5762042104532676e-05,0.0,5.81030446612983e-08,0.0
1662,1.8854481822927482e-05,0.0,0.0,0.0
1663,1.8847664250642993e-05,0.0,6.569497859995213e-08,0.0
1664,2.6433788142250186e-05,0.0,6.569497859995213e-08,0.0
1665,2.614453920354468e-05,0.0,6.569497859995213e-08,0.0
1666,2.5647438763241682e-05,0.0,6.569497859995213e-08,0.0
1667,2.4404767957873575e-05,0.0,6.569497859995213e-08,0.0
1668,2.5076818928937428e-05,0.0,6.569497859995213e-08,0.0
1669,2.0989068226689206e-05,0.0,6.569497859995213e-08,0.0
1670,2.17971198383436e-05,0.0,0.0,0.0
1671,1.3459683032124303e-05,0.0,3.911019267174457e-08,0.0
1672,1.3422222634419865e-05,0.0,3.911019267174457e-08,0.0
1673,1.2867627447121777e-05,0.0,3.911019267174457e-08,0.0
1674,1.4954508125291405e-05,0.0,3.911019267174457e-08,0.0
1675,1.6607925317657646e-05,0.0,3.911019267174457e-08,0.0
1676,1.617594495785722e-05,0.0,3.911019267174457e-08,0.0
1677,1.4476234485170738e-05,0.0,3.911019267174457e-08,0.0
1678,2.1646629517947857e-05,0.0,0.0,0.0
1679,2.120423661316246e-05,0.0,0.0,0.0
1680,2.0879366145111688e-05,0.0,0.0,0.0
1681,1.8717064189591577e-05,0.0,0.0,0.0
1682,1.9093499109398442e-05,0.0,0.0,0.0
1683,2.001063863385103e-05,0.0,0.0,0.0
1684,2.1218197356834674e-05,0.0,0.0,0.0
1685,1.4608293635579425e-05,0.0,0.0,0.0
1686,1.5186230354759442e-05,0.0,0.0,0.0
1687,1.5682589686808308e-05,0.0,0.0,0.0
1688,1.4785121363404738e-05,0.0,0.0,0.0
1689,1.166316022655727e-05,0.0,0.0,0.0
1690,1.0871411047576527e-05,0.0,0.0,0.0
1691,9.880006083611598e-06,0.0,0.0,0.0
1692,9.754626392220547e-06,0.0,0.0,0.0
1693,1.0013018774251187e-05,0.0,3.135119389493671e-08,0.0
1694,9.3051356608547e-06,0.0,3.135119389493671e-08,0.0
1695,9.877250574520855e-06,0.0,4.685799735528105e-08,0.0
1696,1.162306853075279e-05,0.0,4.685799735528105e-08,0.0
1697,1.268411116533181e-05,0.0,4.685799735528105e-08,0.0
1698,1.2249551543521062e-05,0.0,5.722926792779097e-08,0.0
1699,1.160798488594342e-05,0.0,5.722926792779097e-08,0.0
1700,1.1652882351752072e-05,0.0,3.887592673176446e-08,0.0
1701,1.3648458077243828e-05,0.0,3.887592673176446e-08,0.0
1702,1.3430970869064498e-05,0.0,2.3369123271420123e-08,0.0
1703,1.243060179539108e-05,0.0,2.3369123271420123e-08,0.0
1704,1.1090102621632728e-05,0.0,2.3369123271420123e-08,0.0
1705,1.1323483444617263e-05,0.0,1.29978526989102e-08,0.0
1706,1.2334627561878214e-05,0.0,3.514861849193299e-08,0.0
1707,1.1196627773253048e-05,0.0,2.215076579302279e-08,0.0
1708,8.672266631037928e-06,0.0,3.1796633135984716e-08,0.0
1709,8.087783758777992e-06,0.0,4.382164929341213e-08,0.0
1710,8.377848124447545e-06,0.0,6.103667260504153e-08,0.0
1711,7.9358515644604e-06,0.0,7.072900132243376e-08,0.0
1712,7.372450259676303e-06,0.0,8.159242120037951e-08,0.0
1713,6.734221707509798e-06,0.0,8.107768577149597e-08,0.0
1714,7.032143327835781e-06,0.0,8.107768577149597e-08,0.0
1715,7.2413395823137506e-06,0.0,7.143181842853405e-08,0.0
1716,7.5418780787523635e-06,0.0,5.940680227110663e-08,0.0
1717,7.176594083700495e-06,0.0,7.275740086600178e-08,0.0
1718,9.012311888259969e-06,0.0,8.629034096786978e-08,0.0
1719,9.160250621269889e-06,0.0,1.1493614644158307e-07,0.0
1720,8.988905782254214e-06,0.0,1.1142237253482432e-07,0.0
1721,8.506076872955809e-06,0.0,1.2018243061057937e-07,0.0
1722,1.0747397027444094e-05,0.0,1.2018243061057937e-07,0.0
1723,1.1223003509387905e-05,0.0,1.2018243061057937e-07,0.0
1724,1.0908324319253942e-05,0.0,1.0722956744757539e-07,0.0
1725,9.607045935159217e-06,0.0,9.871020470849804e-08,0.0
1726,9.593570341946491e-06,0.0,5.9200979356839005e-08,0.0
1727,9.7810110284107e-06,0.0,4.7921438753714285e-08,0.0
1728,1.0501872501273673e-05,0.0,6.507962067660498e-08,0.0
1729,8.682928052751646e-06,0.0,7.145159740064497e-08,0.0
1730,9.110841412101373e-06,0.0,7.145159740064497e-08,0.0
1731,8.976189357261838e-06,0.0,5.38388386571244e-08,0.0
1732,9.256858512734262e-06,0.0,4.539145643483218e-08,0.0
1733,9.420162639019378e-06,0.0,6.646576419403313e-08,0.0
