ngram,condition,conditon,condtion,condiion
1500,4.441427063284209e-05,0.0,0.0,0.0
1501,3.553141650627367e-05,0.0,0.0,0.0
1502,6.861732193404653e-05,0.0,0.0,0.0
1503,8.558884759882599e-05,0.0,0.0,0.0
1504,0.00011406355562420296,0.0,0.0,0.0
1505,0.00011120992089023016,0.0,0.0,0.0
1506,0.00011120992089023016,0.0,0.0,0.0
1507,0.00011120992089023016,0.0,0.0,0.0
1508,0.00011120992089023016,0.0,0.0,0.0
1509,7.777465673695718e-05,0.0,0.0,0.0
1510,5.100065651017108e-05,0.0,0.0,0.0
1511,1.7045847406344755e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,8.569834400467308e-06,0.0,0.0,0.0
1515,8.569834400467308e-06,0.0,0.0,0.0
1516,8.569834400467308e-06,0.0,0.0,0.0
1517,6.647900227108039e-05,0.0,0.0,0.0
1518,6.647900227108039e-05,0.0,0.0,0.0
1519,6.647900227108039e-05,0.0,0.0,0.0
1520,7.899128052356121e-05,0.0,0.0,0.0
1521,7.042144612309389e-05,0.0,0.0,0.0
1522,7.042144612309389e-05,0.0,0.0,0.0
1523,7.596585107551488e-05,0.0,0.0,0.0
1524,1.8056683204901803e-05,0.0,0.0,0.0
1525,1.8056683204901803e-05,0.0,0.0,0.0
1526,2.6955775995572496e-05,0.0,0.0,0.0
1527,1.444349774309168e-05,0.0,0.0,0.0
1528,5.102663427741001e-05,0.0,0.0,0.0
1529,5.102663427741001e-05,0.0,0.0,0.0
1530,4.839802334442668e-05,0.0,0.0,0.0
1531,4.839802334442668e-05,0.0,0.0,0.0
1532,7.364935273861712e-05,0.0,0.0,0.0
1533,6.475025994794643e-05,0.0,0.0,0.0
1534,6.615473064032682e-05,0.0,0.0,0.0
1535,3.634876611613436e-05,0.0,0.0,0.0
1536,5.692292701756482e-05,0.0,0.0,0.0
1537,5.400713299812716e-05,0.0,0.0,0.0
1538,5.718357156833268e-05,0.0,0.0,0.0
1539,0.00011494335987143651,0.0,0.0,0.0
1540,0.00011494335987143651,0.0,0.0,0.0
1541,0.0001135388891790561,0.0,0.0,0.0
1542,0.00012030353406901537,0.0,0.0,0.0
1543,9.972937316758492e-05,0.0,0.0,0.0
1544,0.00011113597715198662,0.0,0.0,0.0
1545,0.00011010289940064208,0.0,0.0,0.0
1546,2.793090028977271e-05,0.0,0.0,0.0
1547,2.793090028977271e-05,0.0,0.0,0.0
1548,5.379094877103593e-05,0.0,0.0,0.0
1549,4.0249131870950805e-05,0.0,0.0,0.0
1550,4.6733280279503174e-05,0.0,0.0,0.0
1551,4.004907058125744e-05,0.0,0.0,0.0
1552,6.60290384075779e-05,0.0,0.0,0.0
1553,6.518991982115299e-05,0.0,0.0,0.0
1554,6.518991982115299e-05,0.0,0.0,0.0
1555,5.435449617964748e-05,0.0,0.0,0.0
1556,5.643624873690507e-05,0.0,0.0,0.0
1557,6.864211666522481e-05,0.0,0.0,0.0
1558,6.732996579168165e-05,0.0,0.0,0.0
1559,5.639887058350723e-05,0.0,0.0,0.0
1560,7.883338366809767e-05,0.0,0.0,0.0
1561,8.649164140349188e-05,0.0,0.0,0.0
1562,8.391101826938601e-05,0.0,0.0,0.0
1563,8.228388742281822e-05,0.0,0.0,0.0
1564,7.631716458230844e-05,0.0,0.0,0.0
1565,7.290692116969564e-05,0.0,0.0,0.0
1566,6.904038166664707e-05,0.0,0.0,0.0
1567,4.933545785336589e-05,0.0,0.0,0.0
1568,4.167720011797168e-05,0.0,0.0,0.0
1569,4.185918844866267e-05,0.0,0.0,0.0
1570,4.140456673797287e-05,0.0,0.0,0.0
1571,2.8681273241610533e-05,0.0,0.0,0.0
1572,3.544076363531141e-05,0.0,0.0,0.0
1573,3.218234451196622e-05,0.0,0.0,0.0
1574,3.326573615985191e-05,0.0,0.0,0.0
1575,8.229964104040326e-05,0.0,0.0,0.0
1576,7.778589887103797e-05,0.0,0.0,0.0
1577,9.054327814997773e-05,0.0,0.0,0.0
1578,9.96979763710572e-05,0.0,0.0,0.0
1579,0.00011169437467677718,0.0,0.0,0.0
1580,0.00010657940401870292,0.0,0.0,0.0
1581,0.000117599107137981,0.0,0.0,0.0
1582,7.526890424612378e-05,0.0,0.0,0.0
1583,9.046685175105398e-05,0.0,0.0,0.0
1584,9.56917044407289e-05,0.0,0.0,0.0
1585,9.389701153850183e-05,0.0,0.0,0.0
1586,8.16111673235095e-05,0.0,0.0,0.0
1587,8.461869323842361e-05,0.0,0.0,0.0
1588,7.246403246036997e-05,0.0,0.0,0.0
1589,7.36028424788466e-05,0.0,0.0,0.0
1590,5.3412354775770966e-05,0.0,0.0,0.0
1591,4.609146084736234e-05,0.0,0.0,0.0
1592,4.0522370909457095e-05,0.0,0.0,0.0
1593,4.2090288843610324e-05,0.0,0.0,0.0
1594,4.133861693844665e-05,0.0,0.0,0.0
1595,4.3168564453870726e-05,0.0,0.0,0.0
1596,3.785107115358447e-05,0.0,0.0,0.0
1597,4.502164119912777e-05,0.0,0.0,0.0
1598,5.4265564488429974e-05,0.0,0.0,0.0
1599,6.402994144342042e-05,0.0,0.0,0.0
1600,7.154186771783446e-05,0.0,0.0,0.0
1601,7.507652169026966e-05,0.0,0.0,0.0
1602,9.061348984167645e-05,0.0,0.0,0.0
1603,9.633067332158265e-05,0.0,0.0,0.0
1604,0.00010255661670401293,0.0,0.0,0.0
1605,9.693084107961372e-05,0.0,0.0,0.0
1606,0.0001010712497061052,0.0,0.0,0.0
1607,9.671881759589138e-05,0.0,0.0,0.0
1608,9.615956254752486e-05,0.0,0.0,0.0
1609,0.00010177428391346308,0.0,0.0,0.0
1610,0.00010309070161643572,0.0,0.0,0.0
1611,0.0001011170243145898,0.0,0.0,0.0
1612,0.00010835759686805042,0.0,0.0,0.0
1613,0.00010528692343671407,0.0,0.0,0.0
1614,0.00010298892967901858,0.0,0.0,0.0
1615,0.00010461461351951584,0.0,0.0,0.0
1616,9.91387278190814e-05,0.0,0.0,0.0
1617,0.0001131765020545572,0.0,0.0,0.0
1618,0.00011448877713909107,0.0,0.0,0.0
1619,0.00010309682381505678,0.0,0.0,0.0
1620,0.00010235898766300775,0.0,0.0,0.0
1621,0.00010808980005094782,0.0,0.0,0.0
1622,0.0001086618794943206,0.0,0.0,0.0
1623,0.00010140998659023483,0.0,0.0,0.0
1624,9.259747977401795e-05,0.0,0.0,0.0
1625,8.463380644181078e-05,0.0,0.0,0.0
1626,0.00010917859565649581,0.0,0.0,0.0
1627,0.0001249318463253855,0.0,0.0,0.0
1628,0.00012825175768479573,0.0,0.0,0.0
1629,0.00013873106581741013,0.0,0.0,0.0
1630,0.00013683905594267083,8.624899854632012e-08,0.0,0.0
1631,0.00013866240468425012,8.624899854632012e-08,0.0,0.0
1632,0.000147538841702044,8.624899854632012e-08,0.0,0.0
1633,0.00013425242338728691,8.624899854632012e-08,1.3709279755858006e-07,0.0
1634,0.00014240324838153486,8.624899854632012e-08,1.3709279755858006e-07,0.0
1635,0.00014157556246833077,8.624899854632012e-08,1.3709279755858006e-07,0.0
1636,0.0001491104776505381,8.624899854632012e-08,1.3709279755858006e-07,0.0
1637,0.0001593602033348621,0.0,1.3709279755858006e-07,0.0
1638,0.00016679157540368448,0.0,1.3709279755858006e-07,0.0
1639,0.00016715544292570224,0.0,1.3709279755858006e-07,0.0
1640,0.00016643338520745083,0.0,0.0,0.0
1641,0.0001419893149951739,0.0,0.0,0.0
1642,0.00014472958407298262,0.0,0.0,0.0
1643,0.0001333920767397753,0.0,0.0,0.0
1644,0.00013804267343532826,0.0,0.0,0.0
1645,0.0001417550748945879,0.0,0.0,0.0
1646,0.0001462823836066361,0.0,0.0,0.0
1647,0.00015017271549108306,1.040455523642387e-07,0.0,0.0
1648,0.0001924691251978012,1.040455523642387e-07,0.0,0.0
1649,0.00019411899432140802,1.040455523642387e-07,0.0,0.0
1650,0.00019394661649130285,1.9188582557814827e-07,0.0,0.0
1651,0.0002070074967507805,1.9188582557814827e-07,0.0,0.0
1652,0.00020915202704990015,2.4755722246741894e-07,0.0,0.0
1653,0.00020648796427329735,2.4755722246741894e-07,0.0,0.0
1654,0.00021549311142215238,1.4351167010318022e-07,0.0,0.0
1655,0.00019781529096819992,1.4351167010318022e-07,0.0,0.0
1656,0.00019478804357017258,1.4351167010318022e-07,0.0,0.0
1657,0.00019961956630660488,5.567139688927065e-08,0.0,0.0
1658,0.00018163582093880644,5.567139688927065e-08,0.0,0.0
1659,0.00017071892008451478,0.0,0.0,0.0
1660,0.00017321107069229974,0.0,0.0,0.0
1661,0.00016612222368296768,0.0,0.0,0.0
1662,0.00015508475189562887,4.059985972812033e-08,0.0,0.0
1663,0.0001638627769092896,4.059985972812033e-08,0.0,0.0
1664,0.00016278411203529686,4.059985972812033e-08,0.0,0.0
1665,0.00016359213415333734,4.059985972812033e-08,0.0,0.0
1666,0.00017269721761944571,4.059985972812033e-08,3.9948397605777634e-08,0.0
1667,0.0001777239127217659,4.059985972812033e-08,3.9948397605777634e-08,0.0
1668,0.00017264818598050624,4.059985972812033e-08,3.9948397605777634e-08,0.0
1669,0.00017084443035335944,0.0,3.9948397605777634e-08,0.0
1670,0.0001665386205006923,0.0,3.9948397605777634e-08,0.0
1671,0.00016724888908876373,0.0,3.9948397605777634e-08,0.0
1672,0.00016840050063495125,0.0,3.9948397605777634e-08,0.0
1673,0.0001660493643222643,0.0,2.4742870355761885e-08,0.0
1674,0.0001670241160484563,3.2530524306041893e-08,2.4742870355761885e-08,0.0
1675,0.00016529329254158905,3.2530524306041893e-08,2.4742870355761885e-08,0.0
1676,0.00016553163628226945,3.2530524306041893e-08,2.4742870355761885e-08,0.0
1677,0.00016474092054912553,3.2530524306041893e-08,2.4742870355761885e-08,0.0
1678,0.00015951803652569652,3.2530524306041893e-08,2.4742870355761885e-08,0.0
1679,0.00014844610684251945,3.2530524306041893e-08,4.781463961275481e-08,0.0
1680,0.00014061632828088477,3.2530524306041893e-08,4.1173698101764396e-08,0.0
1681,0.00013698068817445477,0.0,4.1173698101764396e-08,0.0
1682,0.00013251760745853453,0.0,6.133473107183818e-08,0.0
1683,0.00012619060518253327,0.0,6.133473107183818e-08,0.0
1684,0.00012097223017398002,0.0,6.133473107183818e-08,0.0
1685,0.0001142020067033757,0.0,6.133473107183818e-08,0.0
1686,0.00011774169979617,0.0,3.8262961814845246e-08,0.0
1687,0.00011475332472140767,0.0,2.016103297007378e-08,0.0
1688,0.00010543724368160059,0.0,2.016103297007378e-08,0.0
1689,0.00010324314644094557,0.0,0.0,0.0
1690,9.707010862517304e-05,0.0,0.0,0.0
1691,9.333326098775225e-05,0.0,2.446605305652026e-08,0.0
