ngram,literature,literatue,litrature,litearture
1500,1.4772333202017762e-05,0.0,0.0,0.0
1501,1.1817866561614209e-05,0.0,0.0,0.0
1502,9.848222134678508e-06,0.0,0.0,0.0
1503,8.441333258295864e-06,0.0,0.0,0.0
1504,3.451014351542524e-05,0.0,0.0,0.0
1505,3.4586136799979226e-05,0.0,0.0,0.0
1506,3.4586136799979226e-05,0.0,0.0,0.0
1507,3.4586136799979226e-05,0.0,0.0,0.0
1508,3.4586136799979226e-05,0.0,0.0,0.0
1509,3.4586136799979226e-05,0.0,0.0,0.0
1510,3.4586136799979226e-05,0.0,0.0,0.0
1511,6.313276961528962e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0,0.0
1517,4.004598492558996e-06,0.0,0.0,0.0
1518,4.004598492558996e-06,0.0,0.0,0.0
1519,4.004598492558996e-06,0.0,0.0,0.0
1520,1.4431496863055924e-05,0.0,0.0,0.0
1521,1.4145835718539144e-05,0.0,0.0,0.0
1522,1.4145835718539144e-05,0.0,0.0,0.0
1523,1.6610015726265764e-05,0.0,0.0,0.0
1524,1.7020434565243443e-05,0.0,0.0,0.0
1525,1.7020434565243443e-05,0.0,0.0,0.0
1526,3.481862014658483e-05,0.0,0.0,0.0
1527,2.43917217760879e-05,0.0,0.0,0.0
1528,2.43917217760879e-05,0.0,0.0,0.0
1529,2.43917217760879e-05,0.0,0.0,0.0
1530,2.192754176836128e-05,0.0,0.0,0.0
1531,8.673636226116546e-05,0.0,0.0,0.0
1532,8.899094531703408e-05,0.0,0.0,0.0
1533,7.11927597356927e-05,0.0,0.0,0.0
1534,7.11927597356927e-05,0.0,0.0,0.0
1535,7.194577886236533e-05,0.0,0.0,0.0
1536,7.194577886236533e-05,0.0,0.0,0.0
1537,7.194577886236533e-05,0.0,0.0,0.0
1538,3.007602182541242e-06,0.0,0.0,0.0
1539,1.5831302724628976e-06,0.0,0.0,0.0
1540,1.5831302724628976e-06,0.0,0.0,0.0
1541,1.5831302724628976e-06,0.0,0.0,0.0
1542,2.7913744945960518e-05,0.0,0.0,0.0
1543,2.7913744945960518e-05,0.0,0.0,0.0
1544,3.0974053255964206e-05,0.0,0.0,0.0
1545,3.0974053255964206e-05,0.0,0.0,0.0
1546,3.0423648305648904e-05,0.0,0.0,0.0
1547,3.0423648305648904e-05,0.0,0.0,0.0
1548,3.309882562721863e-05,0.0,0.0,0.0
1549,6.015191827048381e-06,0.0,0.0,0.0
1550,7.095883250128411e-06,0.0,0.0,0.0
1551,4.0355749401247266e-06,0.0,0.0,0.0
1552,4.7566859393555205e-06,0.0,0.0,0.0
