ngram,meal,mel,meal,meel
1500,3.293280826710543e-06,5.487997611908213e-07,3.293280826710543e-06,0.0
1501,2.6346246613684345e-06,4.3903980895265704e-07,2.6346246613684345e-06,0.0
1502,2.3712314032309223e-06,3.6586650746054755e-07,2.3712314032309223e-06,0.0
1503,2.0324840599122192e-06,3.1359986353761216e-07,2.0324840599122192e-06,0.0
1504,1.6315010660556645e-06,4.627786763324236e-08,1.6315010660556645e-06,0.0
1505,1.506093017919089e-07,0.0,1.506093017919089e-07,0.0
1506,1.506093017919089e-07,0.0,1.506093017919089e-07,0.0
1507,1.506093017919089e-07,0.0,1.506093017919089e-07,0.0
1508,1.506093017919089e-07,0.0,1.506093017919089e-07,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,2.8566114451678004e-07,0.0,0.0
1515,0.0,2.8566114451678004e-07,0.0,0.0
1516,0.0,2.8566114451678004e-07,0.0,0.0
1517,0.0,2.8566114451678004e-07,0.0,0.0
1518,0.0,2.8566114451678004e-07,0.0,0.0
1519,0.0,2.8566114451678004e-07,0.0,0.0
1520,3.2770253060984293e-06,2.8566114451678004e-07,3.2770253060984293e-06,0.0
1521,3.2770253060984293e-06,0.0,3.2770253060984293e-06,0.0
1522,1.5972052746552174e-05,0.0,1.5972052746552174e-05,0.0
1523,1.7204142750415485e-05,0.0,1.7204142750415485e-05,0.0
1524,1.7204142750415485e-05,0.0,1.7204142750415485e-05,0.0
1525,1.7204142750415485e-05,0.0,1.7204142750415485e-05,0.0
1526,1.7204142750415485e-05,0.0,1.7204142750415485e-05,0.0
1527,1.3927117444317056e-05,0.0,1.3927117444317056e-05,0.0
1528,1.3927117444317056e-05,0.0,1.3927117444317056e-05,0.0
1529,1.2320900038633096e-06,0.0,1.2320900038633096e-06,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,2.8089413847607958e-06,0.0,2.8089413847607958e-06,0.0
1535,3.1854509480971112e-06,0.0,3.1854509480971112e-06,0.0
1536,3.1854509480971112e-06,0.0,3.1854509480971112e-06,0.0
1537,3.1854509480971112e-06,0.0,3.1854509480971112e-06,0.0
1538,3.1854509480971112e-06,3.1764385702055212e-06,3.1854509480971112e-06,0.0
1539,3.1854509480971112e-06,3.1764385702055212e-06,3.1854509480971112e-06,0.0
1540,3.1854509480971112e-06,3.1764385702055212e-06,3.1854509480971112e-06,0.0
1541,3.7650956333631515e-07,3.1764385702055212e-06,3.7650956333631515e-07,0.0
1542,0.0,3.1764385702055212e-06,0.0,0.0
1543,0.0,3.1764385702055212e-06,0.0,0.0
1544,1.391049246584381e-07,3.1764385702055212e-06,1.391049246584381e-07,0.0
1545,1.391049246584381e-07,0.0,1.391049246584381e-07,0.0
1546,1.391049246584381e-07,0.0,1.391049246584381e-07,0.0
1547,1.391049246584381e-07,3.277141201708998e-06,1.391049246584381e-07,0.0
1548,4.3634686010461466e-07,3.277141201708998e-06,4.3634686010461466e-07,0.0
1549,4.3634686010461466e-07,3.277141201708998e-06,4.3634686010461466e-07,0.0
1550,4.3634686010461466e-07,3.277141201708998e-06,4.3634686010461466e-07,0.0
1551,2.972419354461765e-07,3.277141201708998e-06,2.972419354461765e-07,0.0
1552,1.7394639339077652e-06,3.277141201708998e-06,1.7394639339077652e-06,0.0
1553,1.7394639339077652e-06,3.277141201708998e-06,1.7394639339077652e-06,0.0
