ngram,path,pah,pth,paath
1500,9.53731102981692e-07,0.0,2.3390674641632359e-07,0.0
1501,7.629848823853536e-07,0.0,1.8712539713305886e-07,0.0
1502,2.0415075520456107e-06,0.0,3.3164868303477607e-07,0.0
1503,1.0674530358301126e-05,0.0,2.842702997440938e-07,0.0
1504,1.0407208362396756e-05,0.0,1.506093017919089e-07,0.0
1505,1.0129541156597302e-05,0.0,1.506093017919089e-07,0.0
1506,1.0129541156597302e-05,0.0,1.506093017919089e-07,0.0
1507,1.0129541156597302e-05,0.0,1.506093017919089e-07,0.0
1508,1.0129541156597302e-05,0.0,1.506093017919089e-07,0.0
1509,8.92466674226203e-06,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0,0.0
1517,8.169379270839272e-07,0.0,0.0,0.0
1518,8.169379270839272e-07,0.0,0.0,0.0
1519,8.169379270839272e-07,0.0,0.0,0.0
1520,3.4981405211250864e-06,0.0,0.0,0.0
1521,3.2124793766083063e-06,0.0,0.0,0.0
1522,3.2124793766083063e-06,0.0,0.0,0.0
1523,3.8285243785399615e-06,0.0,0.0,0.0
1524,3.297247595972814e-06,0.0,2.064678093509948e-06,0.0
1525,3.297247595972814e-06,0.0,2.064678093509948e-06,0.0
1526,3.952926720428097e-05,0.0,2.064678093509948e-06,0.0
1527,3.684806461023982e-05,0.0,2.064678093509948e-06,0.0
1528,3.684806461023982e-05,0.0,2.064678093509948e-06,0.0
1529,3.684806461023982e-05,0.0,2.064678093509948e-06,0.0
1530,3.623201960830816e-05,0.0,2.7936265983693635e-06,0.0
1531,4.197686783819725e-05,0.0,7.289485048594153e-07,0.0
1532,4.738786706833967e-05,0.0,7.289485048594153e-07,0.0
1533,1.115584746003151e-05,0.0,7.289485048594153e-07,0.0
1534,1.115584746003151e-05,0.0,7.289485048594153e-07,0.0
1535,1.1532357023367825e-05,0.0,7.289485048594153e-07,0.0
1536,1.1532357023367825e-05,0.0,7.289485048594153e-07,0.0
1537,1.1532357023367825e-05,0.0,0.0,0.0
1538,5.787508793478732e-06,0.0,0.0,0.0
1539,1.78088433650763e-05,0.0,0.0,0.0
1540,1.78088433650763e-05,0.0,0.0,0.0
1541,1.78088433650763e-05,0.0,0.0,0.0
1542,1.8936980138408088e-05,0.0,0.0,0.0
1543,1.8936980138408088e-05,0.0,0.0,0.0
1544,1.9632504777941256e-05,0.0,0.0,0.0
1545,1.9900424880298878e-05,0.0,2.679201023576232e-07,0.0
1546,3.866622120897643e-06,0.0,2.679201023576232e-07,0.0
1547,3.866622120897643e-06,0.0,3.5450613040666212e-06,0.0
1548,4.7583478947542194e-06,0.0,3.5450613040666212e-06,0.0
1549,4.466359298151344e-06,0.0,3.5450613040666212e-06,0.0
1550,5.006705009691359e-06,0.0,3.5450613040666212e-06,0.0
1551,4.311180370158192e-06,0.0,3.5450613040666212e-06,0.0
1552,1.0533259065985995e-05,0.0,3.277141201708998e-06,0.0
1553,9.134728023647248e-06,0.0,3.277141201708998e-06,0.0
1554,9.134728023647248e-06,0.0,0.0,0.0
1555,8.243002249790671e-06,0.0,0.0,0.0
1556,2.264348829937392e-05,0.0,1.0408762786287947e-06,0.0
1557,2.2103142587833906e-05,0.0,1.0408762786287947e-06,0.0
1558,2.2103142587833906e-05,0.0,1.0408762786287947e-06,0.0
1559,1.5613143789648477e-05,0.0,1.0408762786287947e-06,0.0
1560,1.695921452794989e-05,0.0,1.0408762786287947e-06,0.0
1561,1.695921452794989e-05,0.0,1.0408762786287947e-06,0.0
1562,1.695921452794989e-05,0.0,2.8185908636909777e-06,0.0
1563,1.346070738301413e-06,0.0,1.7777145850621828e-06,0.0
1564,1.346070738301413e-06,0.0,1.7777145850621828e-06,0.0
1565,1.346070738301413e-06,0.0,1.7777145850621828e-06,0.0
1566,1.346070738301413e-06,0.0,1.7777145850621828e-06,0.0
1567,6.823973178273133e-07,0.0,1.7777145850621828e-06,0.0
1568,6.823973178273133e-07,0.0,1.7777145850621828e-06,0.0
1569,2.167807971480735e-06,0.0,0.0,0.0
1570,2.167807971480735e-06,0.0,0.0,0.0
1571,2.167807971480735e-06,0.0,0.0,0.0
1572,2.687768756004516e-06,0.0,0.0,0.0
1573,2.687768756004516e-06,0.0,0.0,0.0
1574,3.094794530105511e-06,0.0,5.447115459641541e-07,0.0
1575,6.8666332871154216e-06,0.0,5.447115459641541e-07,0.0
1576,6.733263944624923e-06,0.0,5.447115459641541e-07,0.0
1577,9.284739852384e-06,0.0,5.447115459641541e-07,0.0
1578,1.0007479171950503e-05,0.0,5.447115459641541e-07,0.0
1579,1.2074537607986713e-05,0.0,5.447115459641541e-07,0.0
1580,1.603638098198904e-05,0.0,5.447115459641541e-07,0.0
1581,1.6133572639124134e-05,0.0,0.0,0.0
1582,1.319969663070099e-05,0.0,0.0,0.0
1583,1.4250768474864475e-05,0.0,0.0,0.0
1584,1.259840415254335e-05,0.0,0.0,0.0
1585,1.2819255256805004e-05,0.0,1.887180880138268e-07,0.0
1586,1.2388917574363794e-05,0.0,1.887180880138268e-07,0.0
1587,9.465312879391214e-06,0.0,1.887180880138268e-07,0.0
1588,8.278698130327808e-06,0.0,1.887180880138268e-07,0.0
1589,8.934547167882556e-06,0.0,1.887180880138268e-07,0.0
1590,1.2250898505174388e-05,0.0,1.887180880138268e-07,0.0
1591,1.2417920775728167e-05,0.0,1.887180880138268e-07,0.0
1592,1.3862217526496221e-05,0.0,0.0,0.0
1593,1.550124040607313e-05,2.2327672663128135e-07,0.0,0.0
1594,1.5133528060167528e-05,2.2327672663128135e-07,0.0,0.0
1595,1.6035122241321786e-05,2.2327672663128135e-07,0.0,0.0
1596,1.5382983357475105e-05,2.2327672663128135e-07,0.0,0.0
1597,1.1600512347545841e-05,2.2327672663128135e-07,0.0,0.0
1598,1.1728694192113056e-05,2.2327672663128135e-07,0.0,0.0
1599,1.0755740796802066e-05,2.2327672663128135e-07,0.0,0.0
1600,8.451121500131973e-06,0.0,0.0,0.0
1601,8.366566752166754e-06,0.0,0.0,0.0
1602,8.300178316338653e-06,0.0,0.0,0.0
1603,7.870615523383354e-06,0.0,0.0,0.0
1604,6.444432983698789e-06,1.7027031974846197e-07,0.0,0.0
1605,7.1615444799785366e-06,1.7027031974846197e-07,0.0,0.0
1606,1.1832698744131318e-05,1.7027031974846197e-07,0.0,0.0
1607,1.1088110698308031e-05,1.7027031974846197e-07,0.0,0.0
1608,1.5094724078932944e-05,1.7027031974846197e-07,1.996775966160515e-07,0.0
1609,1.5014214243689952e-05,1.7027031974846197e-07,1.996775966160515e-07,0.0
1610,1.6131483269938534e-05,1.7027031974846197e-07,1.996775966160515e-07,0.0
1611,1.654238284183001e-05,0.0,3.02089875146651e-07,0.0
1612,1.5437957829687677e-05,0.0,3.02089875146651e-07,0.0
1613,1.0949974629121633e-05,0.0,3.02089875146651e-07,0.0
1614,1.0862697048911027e-05,0.0,3.02089875146651e-07,0.0
1615,7.793885093373579e-06,0.0,1.0241227853059951e-07,0.0
1616,8.120462747943488e-06,0.0,1.0241227853059951e-07,0.0
1617,8.197120938088379e-06,0.0,1.0241227853059951e-07,0.0
1618,8.65409031445909e-06,0.0,0.0,0.0
1619,1.313620987275499e-05,0.0,1.1253449981398132e-07,0.0
1620,1.2344016340648523e-05,2.0147782769137329e-07,1.1253449981398132e-07,0.0
1621,1.3468976768698277e-05,2.0147782769137329e-07,1.1253449981398132e-07,0.0
1622,1.2930081473833915e-05,2.0147782769137329e-07,1.1253449981398132e-07,0.0
1623,1.4004121437340342e-05,7.403062097312483e-07,1.1253449981398132e-07,0.0
1624,1.4936731466670089e-05,7.403062097312483e-07,1.1253449981398132e-07,0.0
1625,1.4388698478537013e-05,7.403062097312483e-07,1.1253449981398132e-07,0.0
1626,1.0477307634053951e-05,7.403062097312483e-07,0.0,0.0
1627,1.3346137166081462e-05,5.388283820398751e-07,0.0,0.0
1628,1.2610143260514764e-05,5.388283820398751e-07,0.0,0.0
1629,1.3523440494671896e-05,5.388283820398751e-07,0.0,0.0
1630,1.4473090946661874e-05,0.0,0.0,0.0
1631,1.3634843201413918e-05,0.0,0.0,0.0
1632,1.637761553346146e-05,0.0,0.0,0.0
1633,1.5685348638986136e-05,0.0,0.0,0.0
1634,1.818151583522974e-05,0.0,0.0,0.0
1635,1.99321999778996e-05,1.6463942691708716e-07,0.0,0.0
1636,1.9510379973196124e-05,1.6463942691708716e-07,0.0,0.0
1637,1.8819700082011487e-05,1.6463942691708716e-07,0.0,0.0
1638,1.8600671280312652e-05,1.6463942691708716e-07,0.0,0.0
1639,1.572808410596086e-05,1.6463942691708716e-07,0.0,0.0
1640,1.7304397260886617e-05,1.6463942691708716e-07,1.028080548946621e-07,0.0
1641,1.1790432186639269e-05,2.840836015950897e-07,1.6253014223366336e-07,0.0
1642,9.207461695431058e-06,2.273940091462074e-07,1.6253014223366336e-07,0.0
1643,8.182718975798967e-06,2.273940091462074e-07,1.6253014223366336e-07,0.0
1644,6.86837245211791e-06,2.273940091462074e-07,1.6253014223366336e-07,0.0
1645,7.007857107055315e-06,2.273940091462074e-07,1.6253014223366336e-07,0.0
1646,7.918839612232529e-06,2.273940091462074e-07,1.6253014223366336e-07,0.0
1647,7.009654658369462e-06,3.314395615104461e-07,5.972208733900125e-08,0.0
1648,7.177997969977566e-06,2.119953868324436e-07,4.584923577307823e-08,0.0
1649,7.979059351522924e-06,1.040455523642387e-07,4.584923577307823e-08,0.0
1650,8.888971348954198e-06,1.040455523642387e-07,8.976937238003302e-08,0.0
1651,9.251036512328678e-06,2.330457959942578e-07,8.976937238003302e-08,0.0
1652,8.298237779464606e-06,2.330457959942578e-07,1.4544076926930366e-07,0.0
1653,7.440180979756406e-06,3.0842157424818393e-07,1.4544076926930366e-07,0.0
1654,7.207634748088562e-06,2.8734239419593776e-07,1.4544076926930366e-07,0.0
1655,7.370100255294736e-06,2.8734239419593776e-07,9.959153349622543e-08,0.0
1656,7.621744511457759e-06,4.2326438785624176e-07,9.959153349622543e-08,0.0
1657,7.455810841098095e-06,4.788732529245213e-07,8.347582942341042e-08,0.0
1658,7.119736437743995e-06,3.4987300929450224e-07,8.347582942341042e-08,0.0
1659,8.15654051880951e-06,3.4987300929450224e-07,2.7804432534139778e-08,0.0
1660,8.845929187373258e-06,3.5467203117280276e-07,2.7804432534139778e-08,0.0
1661,1.027892864970324e-05,2.717056588608102e-07,2.7804432534139778e-08,0.0
1662,9.818975026324292e-06,2.717056588608102e-07,2.7804432534139778e-08,0.0
1663,9.010234569879166e-06,1.3578366520050622e-07,9.349941113409191e-08,0.0
1664,9.386763297568126e-06,1.1947778131928188e-07,1.0499795978700734e-07,0.0
1665,9.23085056976041e-06,2.076610152406439e-07,1.4908957674768836e-07,0.0
1666,8.764390096465441e-06,2.4760941284642156e-07,1.4908957674768836e-07,0.0
1667,7.775576088014141e-06,1.9988692859637274e-07,1.4908957674768836e-07,0.0
1668,6.272607834034716e-06,1.9988692859637274e-07,2.365960085626284e-07,0.0
1669,7.122697914902736e-06,2.298410208823043e-07,2.365960085626284e-07,0.0
1670,7.783658994802473e-06,2.298410208823043e-07,2.0955019814599446e-07,0.0
1671,6.7981925764927705e-06,1.9053803969524908e-07,1.7024721695893925e-07,0.0
1672,6.541594432617005e-06,1.2695540720285082e-07,1.2615559999825825e-07,0.0
1673,6.664051917531262e-06,1.1174987995283508e-07,1.508984703540201e-07,0.0
1674,7.771184690292493e-06,7.929756407065724e-08,1.508984703540201e-07,0.0
1675,8.67726196572351e-06,7.929756407065724e-08,6.339203853908007e-08,0.0
1676,8.330089972982283e-06,4.9343471784725675e-08,6.339203853908007e-08,0.0
1677,7.847401775507024e-06,4.9343471784725675e-08,2.4742870355761885e-08,0.0
1678,8.356270362647983e-06,6.926204321189289e-08,8.449858463726351e-08,0.0
1679,7.896642370854221e-06,6.773321103992203e-08,1.0757035389425645e-07,0.0
1680,7.115046271012813e-06,4.2990340684160144e-08,1.1903134122803749e-07,0.0
1681,6.515742532948414e-06,6.536618814477282e-08,2.3091057447085665e-07,0.0
1682,5.204741130780478e-06,1.2584928705499416e-07,2.7123264041100423e-07,0.0
1683,4.747772793832285e-06,1.699837436522752e-07,2.7123264041100423e-07,0.0
1684,4.60640191184731e-06,1.699837436522752e-07,2.7123264041100423e-07,0.0
1685,3.995820439480927e-06,1.50065172225108e-07,2.3168275780400499e-07,0.0
1686,4.405131936177245e-06,2.9276864259892524e-07,2.638694017572821e-07,0.0
1687,4.443871538179727e-06,3.339687322880179e-07,2.688656337568318e-07,0.0
1688,4.133992141370462e-06,3.58184463168852e-07,2.5016955719690615e-07,0.0
1689,4.278118337554458e-06,3.292725340640702e-07,2.7298983086763785e-07,0.0
1690,4.265168302351542e-06,3.2667865923485806e-07,2.7298983086763785e-07,0.0
1691,4.673645435104845e-06,4.245428714609391e-07,3.219219369806784e-07,0.0
1692,4.898746802999605e-06,4.482109160010493e-07,3.4905219438639635e-07,0.0
1693,5.019425706060636e-06,2.824356763702391e-07,2.937937811761263e-07,0.0
1694,5.1086053645121865e-06,2.412355866811465e-07,2.769792420817144e-07,0.0
1695,4.859500190182839e-06,1.9464400833969974e-07,2.3031649577985392e-07,0.0
1696,5.062215515343789e-06,1.9456473004148783e-07,3.246336096448691e-07,0.0
1697,5.530008138521225e-06,1.6037122309496355e-07,4.127985075034043e-07,0.0
1698,5.029243701366275e-06,6.250701086888252e-08,4.157227522227913e-07,0.0
1699,4.580593164454123e-06,5.1908506699354414e-08,4.5987344979688973e-07,0.0
1700,4.225742437873643e-06,5.1908506699354414e-08,5.248627132914407e-07,0.0
1701,3.6538960850001397e-06,1.389093406649928e-07,5.681444780033676e-07,0.0
1702,3.6102739906190048e-06,1.6287966023550586e-07,6.894163066460481e-07,0.0
1703,2.883268458780159e-06,1.4242897857944366e-07,6.092453231433735e-07,0.0
1704,2.0625603513378465e-06,1.437436704268943e-07,5.817127909527439e-07,0.0
1705,2.2716537354686546e-06,1.7121708546190867e-07,5.939610738486018e-07,0.0
1706,2.6858612532773156e-06,2.2459984044027286e-07,6.686050255666487e-07,0.0
1707,2.512133635588855e-06,2.2459984044027286e-07,7.494451982178621e-07,0.0
1708,2.743341968068437e-06,1.472448738175964e-07,7.396530869690261e-07,0.0
1709,2.672387576499854e-06,1.5934960474948768e-07,7.041360277071362e-07,0.0
1710,3.4402999062876916e-06,1.6552341820995154e-07,7.129226722619413e-07,0.0
1711,3.5619566785628976e-06,1.9563096641052523e-07,6.716749640288202e-07,0.0
1712,3.4155108161420296e-06,2.0074781202440916e-07,8.791558262341173e-07,0.0
1713,3.269995236873261e-06,1.5593154703960215e-07,7.88751192106117e-07,0.0
1714,3.924096712840505e-06,1.750747681431416e-07,7.86495921342326e-07,0.0
