ngram,unit,unt,uni,unitt
1500,3.968991222791374e-05,0.0,7.107722979071696e-07,0.0
1501,3.175192978233099e-05,0.0,5.686178383257357e-07,0.0
1502,2.6459941485275824e-05,0.0,4.738481986047797e-07,0.0
1503,2.2679949844522135e-05,0.0,4.061555988040969e-07,0.0
1504,1.6798866064553814e-05,0.0,1.3883360289972708e-07,0.0
1505,6.53424150576549e-05,3.156638480764481e-07,0.0,0.0
1506,6.53424150576549e-05,3.156638480764481e-07,0.0,0.0
1507,6.53424150576549e-05,3.156638480764481e-07,0.0,0.0
1508,6.53424150576549e-05,3.156638480764481e-07,0.0,0.0
1509,6.53424150576549e-05,3.156638480764481e-07,0.0,0.0
1510,6.53424150576549e-05,3.156638480764481e-07,0.0,0.0
1511,6.53424150576549e-05,3.156638480764481e-07,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,7.4378746960844315e-06,0.0,0.0,0.0
1518,7.4378746960844315e-06,0.0,0.0,0.0
1519,7.4378746960844315e-06,0.0,0.0,0.0
1520,7.73578608459502e-06,0.0,1.1916455540423548e-06,0.0
1521,7.73578608459502e-06,0.0,1.1916455540423548e-06,0.0
1522,7.73578608459502e-06,0.0,1.1916455540423548e-06,0.0
1523,1.75925061155015e-05,0.0,3.0397806248012264e-06,0.0
1524,1.0154631419417065e-05,2.064678093509948e-06,3.0397806248012264e-06,0.0
1525,1.0154631419417065e-05,2.064678093509948e-06,3.0397806248012264e-06,0.0
1526,4.19371056718124e-05,2.064678093509948e-06,3.0397806248012264e-06,0.0
1527,4.163919428330181e-05,2.064678093509948e-06,1.8481350707588717e-06,0.0
1528,4.163919428330181e-05,2.064678093509948e-06,1.8481350707588717e-06,0.0
1529,4.163919428330181e-05,2.064678093509948e-06,1.8481350707588717e-06,0.0
1530,3.178247425239533e-05,2.7936265983693635e-06,0.0,0.0
1531,3.178247425239533e-05,7.289485048594153e-07,0.0,0.0
1532,4.936822058100786e-05,7.289485048594153e-07,0.0,0.0
1533,1.7585746328612523e-05,7.289485048594153e-07,0.0,0.0
1534,1.7585746328612523e-05,7.289485048594153e-07,1.4044706923803979e-06,0.0
1535,1.7585746328612523e-05,1.1054580681957304e-06,1.7809802557167131e-06,0.0
1536,2.0269332578339216e-05,1.1054580681957304e-06,1.7809802557167131e-06,0.0
1537,2.0269332578339216e-05,3.7650956333631515e-07,1.7809802557167131e-06,0.0
1538,2.0269332578339216e-05,3.7650956333631515e-07,1.7809802557167131e-06,0.0
1539,0.0003280871616360465,3.7650956333631515e-07,1.7809802557167131e-06,0.0
1540,0.0003280871616360465,3.7650956333631515e-07,1.7809802557167131e-06,0.0
1541,0.0003280871616360465,3.4495722047722666e-05,3.7650956333631515e-07,0.0
1542,0.0003280871616360465,3.411921248438635e-05,0.0,0.0
1543,0.00032540357538631985,3.411921248438635e-05,0.0,0.0
1544,0.00032540357538631985,3.425831740904479e-05,0.0,0.0
1545,0.00032540357538631985,3.425831740904479e-05,0.0,0.0
1546,0.0,3.425831740904479e-05,0.0,0.0
1547,0.0,3.425831740904479e-05,0.0,0.0
1548,1.4267612381705216e-05,4.3634686010461466e-07,2.972419354461765e-07,0.0
1549,1.4267612381705216e-05,4.3634686010461466e-07,2.972419354461765e-07,0.0
1550,2.8856946820659296e-05,4.3634686010461466e-07,2.972419354461765e-07,0.0
1551,2.8856946820659296e-05,2.972419354461765e-07,2.972419354461765e-07,0.0
1552,4.255805626079174e-05,2.972419354461765e-07,2.972419354461765e-07,0.0
1553,4.255805626079174e-05,2.972419354461765e-07,2.972419354461765e-07,0.0
1554,4.255805626079174e-05,2.972419354461765e-07,2.972419354461765e-07,0.0
1555,2.8290443879086524e-05,0.0,0.0,0.0
1556,6.888462043467111e-05,0.0,0.0,0.0
1557,6.364029416415309e-05,0.0,0.0,0.0
1558,6.500439147722708e-05,0.0,0.0,0.0
1559,5.1303282037094634e-05,0.0,0.0,0.0
1560,5.264935277539605e-05,0.0,0.0,0.0
1561,5.264935277539605e-05,0.0,0.0,0.0
1562,5.264935277539605e-05,0.0,0.0,0.0
1563,1.2055176219811464e-05,0.0,0.0,0.0
1564,2.710168051375409e-06,0.0,0.0,0.0
1565,2.357871380809229e-06,0.0,0.0,0.0
1566,2.357871380809229e-06,0.0,0.0,0.0
1567,1.011800642507816e-06,0.0,0.0,0.0
1568,1.011800642507816e-06,0.0,0.0,0.0
1569,1.7545059693345268e-06,0.0,0.0,0.0
1570,1.7545059693345268e-06,1.5110122798692567e-06,1.5110122798692567e-06,0.0
1571,1.7545059693345268e-06,1.5110122798692567e-06,1.5110122798692567e-06,0.0
1572,7.427053268267108e-07,2.030973064393038e-06,1.5110122798692567e-06,0.0
1573,7.427053268267108e-07,2.030973064393038e-06,1.5110122798692567e-06,0.0
1574,7.427053268267108e-07,2.575684610357192e-06,1.5110122798692567e-06,0.0
1575,7.427053268267108e-07,2.575684610357192e-06,1.5110122798692567e-06,0.0
1576,0.0,2.575684610357192e-06,1.5110122798692567e-06,0.0
1577,0.0,1.0646723304879352e-06,5.1029518155181516e-06,0.0
1578,0.0,1.3055854424237623e-06,5.1029518155181516e-06,0.0
1579,0.0,7.856246578999812e-07,5.1029518155181516e-06,0.0
1580,0.0,1.7760855014005626e-06,5.1029518155181516e-06,0.0
1581,0.0,1.2313739554364084e-06,5.1029518155181516e-06,0.0
1582,0.0,1.2313739554364084e-06,5.1029518155181516e-06,0.0
1583,1.4418678152391555e-06,1.4716852579762677e-06,5.1029518155181516e-06,0.0
1584,1.4418678152391555e-06,1.4716852579762677e-06,0.0,0.0
1585,1.4418678152391555e-06,1.4194902340542676e-06,1.887180880138268e-07,0.0
1586,1.4418678152391555e-06,1.4194902340542676e-06,1.887180880138268e-07,0.0
1587,1.4418678152391555e-06,7.75108950230268e-07,1.887180880138268e-07,0.0
1588,1.4418678152391555e-06,2.1141205804399632e-06,1.887180880138268e-07,0.0
1589,7.043661883342013e-06,2.1141205804399632e-06,1.887180880138268e-07,0.0
1590,5.601794068102858e-06,2.65373619510813e-06,1.887180880138268e-07,0.0
1591,5.601794068102858e-06,2.9202696591060625e-06,1.887180880138268e-07,0.0
1592,5.601794068102858e-06,3.3285233647412885e-06,0.0,0.0
1593,5.601794068102858e-06,3.3285233647412885e-06,2.2327672663128135e-07,0.0
1594,5.601794068102858e-06,3.1500753883457425e-06,2.2327672663128135e-07,0.0
1595,5.601794068102858e-06,1.8110637581360476e-06,2.2327672663128135e-07,0.0
1596,2.5250187068845013e-06,1.8110637581360476e-06,2.2327672663128135e-07,0.0
1597,4.946260430317904e-06,1.0311368409280216e-06,2.2327672663128135e-07,0.0
1598,1.4545020738816155e-05,7.646033769300889e-07,8.867854636004527e-07,0.0
1599,2.5864490973097937e-05,2.855427315548046e-07,8.867854636004527e-07,0.0
1600,2.5970997057811473e-05,6.050609856954127e-07,8.765209063962434e-07,0.0
1601,2.5970997057811473e-05,4.374294024143767e-07,8.765209063962434e-07,0.0
1602,2.628419922854976e-05,5.418301205801461e-07,8.765209063962434e-07,0.0
1603,2.3759180521665257e-05,1.7781604485987503e-06,8.765209063962434e-07,0.0
1604,2.1337938798231854e-05,1.9484307683472124e-06,8.765209063962434e-07,0.0
1605,1.1739178489733604e-05,1.9484307683472124e-06,2.1301216942707209e-07,0.0
1606,1.7009899693221087e-06,2.070759949544611e-06,2.1301216942707209e-07,0.0
1607,1.5944838846085726e-06,1.7512416954040028e-06,0.0,0.0
1608,1.5944838846085726e-06,1.9509192920200543e-06,0.0,0.0
1609,1.2812817138702876e-06,1.846518573854285e-06,1.886739775207908e-07,0.0
1610,1.2812817138702876e-06,8.650847738473593e-07,4.4357050553246934e-07,0.0
1611,1.080562352789067e-05,1.7189372556458693e-06,6.483950625936683e-07,0.0
1612,1.080562352789067e-05,2.525939440342232e-06,6.483950625936683e-07,0.0
1613,9.524341814020382e-06,2.445509591910065e-06,8.08205543632669e-07,0.0
1614,9.524341814020382e-06,3.104729086901768e-06,8.08205543632669e-07,0.0
1615,9.524341814020382e-06,2.9050514902857164e-06,1.1891487961942663e-06,0.0
1616,9.524341814020382e-06,2.9050514902857164e-06,1.0004748186734754e-06,0.0
1617,9.524341814020382e-06,2.7736962968966897e-06,8.691196252844488e-07,0.0
1618,1.9695427714136064e-07,1.749573495349718e-06,7.6277220679393e-07,0.0
1619,1.9695427714136064e-07,1.0551058104673366e-06,7.6277220679393e-07,0.0
1620,9.021267065431207e-07,9.960342432740227e-07,6.029617257549294e-07,0.0
1621,9.021267065431207e-07,3.368147482823198e-07,1.3166337079642939e-06,0.0
1622,2.871882137307174e-06,4.071631565238931e-07,1.3577809048521367e-06,0.0
1623,3.949538901386924e-06,4.071631565238931e-07,1.3577809048521367e-06,0.0
1624,8.280172502444267e-06,4.32954014481116e-07,1.2342395702294847e-06,0.0
1625,8.498541676869667e-06,8.482774660478754e-07,1.1357624316588044e-06,0.0
1626,8.728163493287866e-06,7.357429662338941e-07,1.1357624316588044e-06,0.0
1627,8.022991063886106e-06,6.350040523882074e-07,1.6150764687543934e-06,0.0
1628,8.743618926538537e-06,1.3556319150406386e-06,1.6875440321330513e-06,0.0
1629,6.856392839641298e-06,1.780459586240925e-06,1.678100293897192e-06,0.0
1630,1.0694929130750097e-05,1.866708584787245e-06,2.109345294749281e-06,0.0
1631,6.477655501514944e-06,2.1708162794961287e-06,2.222705266571471e-06,0.0
1632,6.245584318419008e-06,2.1219973648710166e-06,2.4059575350422946e-06,0.0
1633,6.0159625020008074e-06,2.2590901624295967e-06,2.8172359114770577e-06,0.0
1634,8.731162007994239e-06,2.5059264885385346e-06,2.5847582004904065e-06,0.0
1635,8.339812999175983e-06,1.9499380528031907e-06,2.6218158219697737e-06,0.0
1636,8.604661291298856e-06,1.7152952084740849e-06,2.4697023458689467e-06,0.0
1637,3.834788490816468e-06,1.9948468629341472e-06,2.2579377270761014e-06,0.0
1638,3.856098593197592e-06,1.9454171901348412e-06,2.615923027146242e-06,0.0
1639,4.062197466022813e-06,2.2018744922596464e-06,2.7441516782086443e-06,0.0
1640,4.2678135758121376e-06,2.5788219610538884e-06,2.7441055213525293e-06,0.0
1641,1.6123361571577074e-06,2.5111519010221983e-06,3.0944900605131157e-06,0.0
1642,1.6069067986076594e-06,2.6703619693892378e-06,2.487192562382136e-06,0.0
1643,1.4401740559476041e-06,2.5904736276061158e-06,2.226659327269382e-06,0.0
1644,1.38551526772192e-06,2.4079959075606894e-06,2.7404706770539633e-06,0.0
1645,1.2999620245019678e-06,2.4460371800419774e-06,2.4655927290950785e-06,0.0
1646,4.738670444989371e-06,2.226028982477146e-06,2.6578038776798555e-06,0.0
1647,4.637099887564286e-06,2.128170925581279e-06,2.350617210465446e-06,0.0
1648,5.265116320580481e-06,2.315798545688657e-06,2.2118887029267043e-06,4.584923577307823e-08
1649,4.941266825296355e-06,2.4613156840912e-06,2.230672350833629e-06,4.584923577307823e-08
1650,4.804542068573678e-06,2.544191618523785e-06,2.53811329490158e-06,4.584923577307823e-08
1651,5.142881414193263e-06,2.7478694002119094e-06,2.3208225375778317e-06,4.584923577307823e-08
1652,5.2051073769884426e-06,2.639846278335816e-06,2.180026610533657e-06,1.0152063266234888e-07
1653,1.7539266983541374e-06,2.4630199797164617e-06,1.8270860989235059e-06,1.0152063266234888e-07
1654,1.8158138906138838e-06,2.4201864497237172e-06,2.137872416239718e-06,1.4300381881834516e-07
1655,1.41859058544469e-06,2.0533925635390915e-06,2.609028773089709e-06,9.715458304526692e-08
1656,2.913732572551453e-06,2.0370992258124587e-06,3.235184725066834e-06,9.715458304526692e-08
1657,2.981030166081057e-06,1.9960138583233596e-06,3.094570380263966e-06,9.715458304526692e-08
1658,7.054742655197645e-06,2.1987851174084686e-06,2.793031943123684e-06,9.715458304526692e-08
1659,7.136402968756426e-06,2.1864285924623672e-06,3.1555339644130853e-06,4.1483186155996266e-08
1660,6.919873685871737e-06,2.20082564997678e-06,3.165132008169686e-06,4.1483186155996266e-08
1661,6.753940941247752e-06,2.096218606441523e-06,3.0190417744181886e-06,0.0
1662,6.50402558578987e-06,2.1774183258977634e-06,2.5359915330877162e-06,0.0
1663,5.271663513082915e-06,1.9871249443375357e-06,1.8722372000671124e-06,0.0
1664,5.396263661948199e-06,2.3935371830573004e-06,1.9412284798038726e-06,0.0
1665,1.2011916753960707e-06,2.0242232981867607e-06,1.9031324102668025e-06,0.0
1666,1.2079305601478803e-06,1.8623450484613256e-06,1.9243913616914403e-06,0.0
1667,5.33128671317432e-06,2.1735099997905697e-06,2.0236602884844094e-06,0.0
1668,5.37503992908179e-06,2.429806954751257e-06,2.061191155787258e-06,0.0
1669,5.394348253925532e-06,2.4983776906343077e-06,1.85422542082441e-06,0.0
1670,5.170217507709042e-06,2.3128961126011357e-06,1.8503863300013888e-06,0.0
1671,5.325501547304157e-06,2.3098114963561656e-06,2.357662132063914e-06,0.0
1672,5.238265641440064e-06,2.5813654198308152e-06,2.697908306410162e-06,0.0
1673,5.1622379990996185e-06,2.7184862817973354e-06,2.5306475046298667e-06,0.0
1674,1.6917953270681859e-06,2.296919027295579e-06,2.758986852313683e-06,0.0
1675,1.8539531083661132e-06,2.2180209141099894e-06,2.8302178601994195e-06,0.0
1676,1.8799379444901985e-06,2.3259295208585433e-06,2.934157204695761e-06,0.0
1677,1.9420473742164698e-06,2.5173207680901603e-06,3.2111181391363582e-06,0.0
1678,1.9293983167959335e-06,1.951313399623749e-06,2.8066401845145653e-06,0.0
1679,1.91563883130844e-06,1.6669473105983862e-06,2.5668887734095084e-06,0.0
1680,1.9729437781279557e-06,1.7320714513451613e-06,2.6567557987229e-06,0.0
1681,1.271559930111315e-06,1.9599629134907966e-06,2.526811483351464e-06,0.0
1682,1.1261320318161388e-06,1.6146275965768706e-06,2.552528615394424e-06,0.0
1683,1.0843734677174716e-06,1.5776208255959188e-06,2.4296288237175238e-06,0.0
1684,8.026015803709794e-06,1.630368627404875e-06,2.193194680850346e-06,0.0
1685,8.172914562010192e-06,1.893906219915412e-06,2.076843104857419e-06,0.0
1686,8.020527051907525e-06,1.9349231641691792e-06,2.1315323530351245e-06,0.0
1687,8.004308114095693e-06,1.8612852110371542e-06,2.0166942899127856e-06,0.0
1688,8.125386772560108e-06,1.7362295433745852e-06,1.84504704390877e-06,0.0
1689,8.096474843455326e-06,1.8879937410279775e-06,1.725966935087594e-06,0.0
1690,8.65467884888663e-06,2.082727275722261e-06,1.7337678497954454e-06,0.0
1691,1.7835402823201157e-06,2.079348567869082e-06,1.671257580580589e-06,0.0
1692,1.471201059644045e-06,2.0400718117993425e-06,1.7330099808532395e-06,0.0
1693,1.6981034056990602e-06,1.7914089442326388e-06,1.6209178608862982e-06,0.0
1694,1.582074148132051e-06,1.7224782595803845e-06,1.7395005735514651e-06,0.0
1695,2.0779360028200244e-06,1.6135747955559054e-06,1.770229508630499e-06,0.0
1696,2.2038242864904793e-06,1.5499567942762432e-06,1.7065322189020144e-06,0.0
1697,2.4904818798989126e-06,1.2961866104888031e-06,1.6617358856560064e-06,0.0
1698,4.7668394407602525e-06,1.31000859125509e-06,1.8223541766409262e-06,1.0371270572509924e-08
1699,4.6322442861829975e-06,1.1305483634974474e-06,1.6821025740552744e-06,1.0371270572509924e-08
