ngram,election,electin,electon,election
1500,7.726609510427807e-05,0.0,0.0,7.726609510427807e-05
1501,6.181287608342245e-05,0.0,0.0,6.181287608342245e-05
1502,7.048750194371678e-05,0.0,0.0,7.048750194371678e-05
1503,6.0417858808900095e-05,0.0,0.0,6.0417858808900095e-05
1504,6.018833041058055e-05,0.0,0.0,6.018833041058055e-05
1505,7.571676022572709e-05,0.0,0.0,7.571676022572709e-05
1506,7.571676022572709e-05,0.0,0.0,7.571676022572709e-05
1507,7.571676022572709e-05,0.0,0.0,7.571676022572709e-05
1508,7.571676022572709e-05,0.0,0.0,7.571676022572709e-05
1509,5.9450955762128744e-05,0.0,0.0,5.9450955762128744e-05
1510,5.9450955762128744e-05,0.0,0.0,5.9450955762128744e-05
1511,5.019055346825293e-05,0.0,0.0,5.019055346825293e-05
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.37117354565167e-05,0.0,0.0,1.37117354565167e-05
1515,1.37117354565167e-05,0.0,0.0,1.37117354565167e-05
1516,1.37117354565167e-05,0.0,0.0,1.37117354565167e-05
1517,1.8493226629548838e-05,0.0,0.0,1.8493226629548838e-05
1518,1.8493226629548838e-05,0.0,0.0,1.8493226629548838e-05
1519,1.8493226629548838e-05,0.0,0.0,1.8493226629548838e-05
1520,2.1770251935647267e-05,0.0,0.0,2.1770251935647267e-05
1521,8.058516479130568e-06,0.0,0.0,8.058516479130568e-06
1522,8.058516479130568e-06,0.0,0.0,8.058516479130568e-06
1523,2.777195654094352e-05,0.0,0.0,2.777195654094352e-05
1524,2.2990465367911384e-05,0.0,0.0,2.2990465367911384e-05
1525,2.2990465367911384e-05,0.0,0.0,2.2990465367911384e-05
1526,2.2990465367911384e-05,0.0,0.0,2.2990465367911384e-05
1527,1.9713440061812954e-05,0.0,0.0,1.9713440061812954e-05
1528,1.9713440061812954e-05,0.0,0.0,1.9713440061812954e-05
1529,1.9713440061812954e-05,0.0,0.0,1.9713440061812954e-05
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,4.894624518263819e-06,0.0,0.0,4.894624518263819e-06
1536,0.0001480192300472741,0.0,0.0,0.0001480192300472741
1537,0.0002191632276143147,0.0,0.0,0.0002191632276143147
1538,0.0002191632276143147,0.0,0.0,0.0002191632276143147
1539,0.0002191632276143147,0.0,0.0,0.0002191632276143147
1540,0.0002191632276143147,0.0,0.0,0.0002191632276143147
1541,0.0002191632276143147,0.0,0.0,0.0002191632276143147
1542,0.0002172778957693871,0.0,0.0,0.0002172778957693871
1543,7.415329024037678e-05,0.0,0.0,7.415329024037678e-05
1544,5.095866591935712e-06,0.0,0.0,5.095866591935712e-06
1545,7.239227410796697e-06,0.0,0.0,7.239227410796697e-06
1546,7.239227410796697e-06,0.0,0.0,7.239227410796697e-06
1547,7.239227410796697e-06,0.0,0.0,7.239227410796697e-06
1548,4.261101678691505e-05,0.0,0.0,4.261101678691505e-05
1549,3.960172411357884e-05,0.0,0.0,3.960172411357884e-05
1550,5.635244100890954e-05,0.0,0.0,5.635244100890954e-05
1551,6.607185254584433e-05,0.0,0.0,6.607185254584433e-05
1552,6.464960272621414e-05,0.0,0.0,6.464960272621414e-05
