ngram,suit,sut,suit,suit
1500,1.0887403732340317e-05,0.0,1.0887403732340317e-05,1.0887403732340317e-05
1501,8.709922985872253e-06,0.0,8.709922985872253e-06,8.709922985872253e-06
1502,4.15218861841519e-05,0.0,4.15218861841519e-05,4.15218861841519e-05
1503,3.559018815784449e-05,0.0,3.559018815784449e-05,3.559018815784449e-05
1504,3.6805735102721625e-05,0.0,3.6805735102721625e-05,3.6805735102721625e-05
1505,3.3718270840056774e-05,0.0,3.3718270840056774e-05,3.3718270840056774e-05
1506,3.3718270840056774e-05,0.0,3.3718270840056774e-05,3.3718270840056774e-05
1507,3.3718270840056774e-05,0.0,3.3718270840056774e-05,3.3718270840056774e-05
1508,3.3718270840056774e-05,0.0,3.3718270840056774e-05,3.3718270840056774e-05
1509,4.349456243549607e-06,0.0,4.349456243549607e-06,4.349456243549607e-06
1510,4.349456243549607e-06,0.0,4.349456243549607e-06,4.349456243549607e-06
1511,1.2626553923057924e-06,0.0,1.2626553923057924e-06,1.2626553923057924e-06
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,7.427189952328003e-06,0.0,7.427189952328003e-06,7.427189952328003e-06
1515,7.427189952328003e-06,0.0,7.427189952328003e-06,7.427189952328003e-06
1516,7.427189952328003e-06,0.0,7.427189952328003e-06,7.427189952328003e-06
1517,7.427189952328003e-06,0.0,7.427189952328003e-06,7.427189952328003e-06
1518,7.427189952328003e-06,0.0,7.427189952328003e-06,7.427189952328003e-06
1519,7.427189952328003e-06,0.0,7.427189952328003e-06,7.427189952328003e-06
1520,9.810481060412712e-06,0.0,9.810481060412712e-06,9.810481060412712e-06
1521,2.3832911080847097e-06,0.0,2.3832911080847097e-06,2.3832911080847097e-06
1522,1.5078318548538456e-05,0.0,1.5078318548538456e-05,1.5078318548538456e-05
1523,1.569436355047011e-05,0.0,1.569436355047011e-05,1.569436355047011e-05
1524,1.569436355047011e-05,0.0,1.569436355047011e-05,1.569436355047011e-05
1525,1.569436355047011e-05,0.0,1.569436355047011e-05,1.569436355047011e-05
1526,1.569436355047011e-05,0.0,1.569436355047011e-05,1.569436355047011e-05
1527,1.3311072442385402e-05,0.0,1.3311072442385402e-05,1.3311072442385402e-05
1528,1.5401537309246904e-05,0.0,1.5401537309246904e-05,1.5401537309246904e-05
1529,2.706509868793156e-06,0.0,2.706509868793156e-06,2.706509868793156e-06
1530,2.0904648668615015e-06,0.0,2.0904648668615015e-06,2.0904648668615015e-06
1531,2.0904648668615015e-06,0.0,2.0904648668615015e-06,2.0904648668615015e-06
1532,2.0904648668615015e-06,0.0,2.0904648668615015e-06,2.0904648668615015e-06
1533,2.0904648668615015e-06,0.0,2.0904648668615015e-06,2.0904648668615015e-06
1534,1.8944112655715018e-05,0.0,1.8944112655715018e-05,1.8944112655715018e-05
1535,5.789319194653737e-05,0.0,5.789319194653737e-05,5.789319194653737e-05
1536,0.00018044363449527218,0.0,0.00018044363449527218,0.00018044363449527218
1537,0.00018044363449527218,0.0,0.00018044363449527218,0.00018044363449527218
