ngram,bone,bne,bon,bonee
1500,7.198243565653684e-07,0.0,3.9587928313267184e-07,0.0
1501,5.758594852522946e-07,0.0,3.1670342650613745e-07,0.0
1502,4.798829043769123e-07,0.0,6.153412262695687e-07,0.0
1503,4.1132820375163905e-07,0.0,5.274353368024874e-07,0.0
1504,2.7766720579945415e-07,0.0,3.9377433885030247e-07,0.0
1505,0.0,0.0,3.012186035838178e-07,0.0
1506,7.602423595796738e-06,0.0,3.012186035838178e-07,0.0
1507,7.602423595796738e-06,0.0,3.012186035838178e-07,0.0
1508,7.602423595796738e-06,0.0,3.012186035838178e-07,0.0
1509,7.602423595796738e-06,0.0,0.0,0.0
1510,7.602423595796738e-06,0.0,0.0,0.0
1511,7.602423595796738e-06,0.0,0.0,0.0
1512,7.602423595796738e-06,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,5.713222890335601e-07,0.0
1515,2.8566114451678004e-07,0.0,5.713222890335601e-07,0.0
1516,2.8566114451678004e-07,0.0,5.713222890335601e-07,0.0
1517,8.169379270839272e-07,0.0,5.713222890335601e-07,0.0
1518,8.169379270839272e-07,0.0,5.713222890335601e-07,0.0
1519,8.169379270839272e-07,0.0,5.713222890335601e-07,0.0
1520,6.775165567367887e-06,0.0,1.762967843075915e-06,0.0
1521,6.489504422851107e-06,0.0,1.1916455540423548e-06,0.0
1522,1.6010774743335787e-05,0.0,1.1916455540423548e-06,0.0
1523,1.6010774743335787e-05,0.0,1.1916455540423548e-06,0.0
1524,1.7544176054278588e-05,0.0,7.385679704644385e-06,0.0
1525,1.7544176054278588e-05,0.0,7.385679704644385e-06,0.0
1526,1.7544176054278588e-05,0.0,7.385679704644385e-06,0.0
1527,1.1585948413994629e-05,0.0,6.19403415060203e-06,0.0
1528,1.1585948413994629e-05,0.0,6.19403415060203e-06,0.0
1529,2.064678093509948e-06,0.0,6.19403415060203e-06,0.0
1530,3.522575103228779e-06,0.0,6.19403415060203e-06,0.0
1531,1.4578970097188306e-06,0.0,0.0,0.0
1532,4.113855837723739e-05,0.0,0.0,0.0
1533,6.508377230472564e-05,0.0,0.0,0.0
1534,6.508377230472564e-05,1.4044706923803979e-06,0.0,0.0
1535,6.508377230472564e-05,1.4044706923803979e-06,2.6355670083181134e-06,0.0
1536,6.508377230472564e-05,1.4044706923803979e-06,2.6355670083181134e-06,0.0
1537,6.36258752950068e-05,1.4044706923803979e-06,2.6355670083181134e-06,0.0
1538,6.680231386521232e-05,1.4044706923803979e-06,2.6355670083181134e-06,0.0
1539,2.7121652497693765e-05,1.4044706923803979e-06,2.6355670083181134e-06,0.0
1540,3.1764385702055212e-06,1.4044706923803979e-06,2.6355670083181134e-06,0.0
1541,3.1764385702055212e-06,0.0,2.6355670083181134e-06,0.0
1542,4.681084906873626e-06,0.0,0.0,0.0
1543,4.681084906873626e-06,0.0,0.0,0.0
