ngram,paper,pper,papr,papper
1765,8.281592766122361e-05,3.663266211008574e-08,2.9474084125727782e-09,2.810679688991513e-09
1766,8.927199087338522e-05,3.3153867207147414e-08,2.9474084125727782e-09,2.810679688991513e-09
1767,9.232252757231305e-05,3.3720137793125105e-08,2.9474084125727782e-09,2.810679688991513e-09
1768,8.70911410727006e-05,2.5206725341929215e-08,2.9474084125727782e-09,2.810679688991513e-09
1769,8.59649631560647e-05,2.861666256340608e-08,2.9474084125727782e-09,2.810679688991513e-09
1770,8.841192383053047e-05,4.0192595918142615e-08,2.9474084125727782e-09,2.810679688991513e-09
1771,8.87446159530165e-05,3.1760556851168076e-08,2.9474084125727782e-09,0.0
1772,9.331834111695311e-05,3.966880208443919e-08,2.6360818290121254e-09,0.0
1773,9.750854743677857e-05,4.485918379616903e-08,2.6360818290121254e-09,0.0
1774,9.588556089771114e-05,4.164264235027661e-08,2.6360818290121254e-09,0.0
1775,9.589485333500696e-05,5.0721663060114356e-08,2.6360818290121254e-09,0.0
1776,9.459829535834225e-05,5.276625231991667e-08,2.6360818290121254e-09,2.712369503602271e-09
1777,9.301425702038355e-05,4.41877450185757e-08,2.6360818290121254e-09,2.712369503602271e-09
1778,8.513274328184448e-05,4.975003241116026e-08,2.6360818290121254e-09,2.712369503602271e-09
1779,8.152588374546863e-05,4.184178717788914e-08,0.0,2.712369503602271e-09
1780,7.277479380718432e-05,5.779366750248625e-08,0.0,2.712369503602271e-09
1781,7.676157266749735e-05,6.659630510544698e-08,0.0,2.712369503602271e-09
1782,7.52603191358503e-05,6.078539322678417e-08,0.0,2.712369503602271e-09
1783,7.838622436143592e-05,6.569587946663497e-08,0.0,0.0
1784,8.033195990719832e-05,7.317555577352713e-08,0.0,0.0
1785,8.310002418251575e-05,7.732200251504245e-08,1.6181223979775235e-09,0.0
1786,8.089233025592486e-05,8.536259242321518e-08,2.9582207160063133e-09,0.0
1787,8.385558716586925e-05,6.937689686229273e-08,2.9582207160063133e-09,0.0
1788,8.01761364397992e-05,6.835421270271322e-08,2.9582207160063133e-09,0.0
1789,8.035272600994046e-05,6.321183322808923e-08,2.9582207160063133e-09,0.0
1790,8.06922949517944e-05,5.7898177427010266e-08,2.9582207160063133e-09,0.0
1791,8.178302752120154e-05,6.195786030259245e-08,2.9582207160063133e-09,0.0
