ngram,season,seasn,seaon,seaon
1500,3.1584645512339193e-06,0.0,0.0,0.0
1501,2.5267716409871353e-06,0.0,0.0,0.0
1502,4.214173259242671e-06,0.0,0.0,0.0
1503,3.6121485079222893e-06,0.0,0.0,0.0
1504,1.2872550801798102e-05,0.0,0.0,0.0
1505,1.7696654919875853e-05,0.0,0.0,0.0
1506,1.7696654919875853e-05,0.0,0.0,0.0
1507,1.7696654919875853e-05,0.0,0.0,0.0
1508,1.7696654919875853e-05,0.0,0.0,0.0
1509,1.5889343298372944e-05,0.0,0.0,0.0
1510,1.5889343298372944e-05,0.0,0.0,0.0
1511,6.628941004497132e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.856611380203893e-06,0.0,0.0,0.0
1515,2.856611380203893e-06,0.0,0.0,0.0
1516,2.856611380203893e-06,0.0,0.0,0.0
1517,2.856611380203893e-06,0.0,0.0,0.0
1518,2.856611380203893e-06,0.0,0.0,0.0
1519,2.856611380203893e-06,0.0,0.0,0.0
1520,9.708573478357202e-06,0.0,0.0,0.0
1521,6.851962098153308e-06,0.0,0.0,0.0
1522,1.0025718958266744e-05,0.0,0.0,0.0
1523,1.8650349115237725e-05,0.0,0.0,0.0
1524,2.4844383265839758e-05,0.0,0.0,0.0
1525,2.4844383265839758e-05,0.0,0.0,0.0
1526,2.4844383265839758e-05,0.0,0.0,0.0
1527,1.799242116768645e-05,0.0,0.0,0.0
1528,0.0003148384200488051,0.0,0.0,0.0
1529,0.00031166466318869164,0.0,0.0,0.0
1530,0.00032126374571816996,0.0,0.0,0.0
1531,0.0003150697115675679,0.0,0.0,0.0
1532,0.00031912796086024694,0.0,0.0,0.0
1533,0.0003271096988360763,0.0,0.0,0.0
1534,0.0003271096988360763,0.0,0.0,0.0
1535,3.365228596002063e-05,0.0,0.0,0.0
1536,3.40995503458024e-05,0.0,0.0,0.0
1537,1.587583765935311e-05,0.0,0.0,0.0
1538,2.222871479976415e-05,0.0,0.0,0.0
1539,1.8170465507085153e-05,0.0,0.0,0.0
1540,1.0188727531255739e-05,0.0,0.0,0.0
1541,1.0188727531255739e-05,0.0,0.0,0.0
1542,9.809434199529018e-06,0.0,0.0,0.0
1543,9.362169813747251e-06,0.0,0.0,0.0
1544,1.882130449562932e-05,0.0,0.0,0.0
1545,1.2736347457575903e-05,0.0,0.0,0.0
1546,1.861017762751414e-05,0.0,0.0,0.0
1547,1.861017762751414e-05,0.0,0.0,0.0
1548,2.3068806496797022e-05,0.0,0.0,0.0
1549,2.4910144783721728e-05,0.0,0.0,0.0
1550,3.5717059144449846e-05,0.0,0.0,0.0
1551,2.8619121605645758e-05,0.0,0.0,0.0
1552,4.998453186999541e-05,0.0,0.0,0.0
1553,4.4110701700057166e-05,0.0,0.0,0.0
1554,4.4110701700057166e-05,0.0,0.0,0.0
1555,7.811511308578442e-05,0.0,0.0,0.0
1556,7.32644821255235e-05,0.0,0.0,0.0
1557,6.245756776479539e-05,0.0,0.0,0.0
1558,6.07784192782544e-05,0.0,0.0,0.0
1559,4.602198207846543e-05,0.0,0.0,0.0
1560,5.006019416344186e-05,0.0,0.0,0.0
1561,5.006019416344186e-05,0.0,0.0,0.0
1562,1.1597153908431729e-05,0.0,0.0,0.0
1563,1.1597153908431729e-05,0.0,0.0,0.0
1564,1.7958800656612895e-05,0.0,0.0,0.0
1565,1.930035328509153e-05,0.0,0.0,0.0
1566,7.714825863201571e-05,0.0,0.0,0.0
1567,7.515723856548513e-05,0.0,0.0,0.0
1568,7.515723856548513e-05,0.0,0.0,0.0
1569,8.481240729452111e-05,0.0,0.0,0.0
1570,9.538949286382246e-05,0.0,0.0,0.0
1571,8.90278461156413e-05,0.0,0.0,0.0
1572,8.908408796872078e-05,0.0,0.0,0.0
1573,4.449383907610484e-05,0.0,0.0,0.0
1574,4.6259627976853934e-05,0.0,0.0,0.0
1575,4.6259627976853934e-05,0.0,0.0,0.0
1576,3.7956500558980876e-05,0.0,0.0,0.0
1577,2.737941498967952e-05,0.0,0.0,0.0
1578,2.9547632948379032e-05,0.0,0.0,0.0
1579,3.00548090308439e-05,0.0,0.0,0.0
1580,1.3882102783619693e-05,0.0,0.0,0.0
1581,1.0069121864424752e-05,0.0,0.0,0.0
1582,1.1745047361598284e-05,0.0,0.0,0.0
1583,5.0524992989916685e-05,0.0,0.0,0.0
1584,5.77178856734203e-05,0.0,0.0,0.0
1585,5.781428483585062e-05,0.0,0.0,0.0
1586,5.738394715340941e-05,0.0,0.0,0.0
1587,5.51525016427539e-05,0.0,0.0,0.0
1588,5.9169536533382984e-05,0.0,0.0,0.0
1589,6.38423112572387e-05,0.0,0.0,0.0
1590,2.709000766896809e-05,0.0,0.0,0.0
1591,2.176284929841391e-05,0.0,0.0,0.0
1592,2.128914755823124e-05,0.0,0.0,0.0
1593,2.270489364621296e-05,0.0,0.0,0.0
1594,3.0361864576531972e-05,0.0,0.0,0.0
1595,2.995120641051991e-05,0.0,0.0,0.0
1596,3.517550820626119e-05,0.0,0.0,0.0
1597,4.196504102895103e-05,0.0,0.0,0.0
1598,4.208983292690911e-05,0.0,0.0,0.0
1599,4.218549591834224e-05,0.0,0.0,0.0
1600,4.436439680180878e-05,0.0,0.0,0.0
1601,4.357127792380717e-05,0.0,0.0,0.0
1602,4.3723326988193935e-05,0.0,0.0,0.0
1603,3.3386655299442024e-05,0.0,0.0,0.0
1604,2.61120346424702e-05,0.0,0.0,0.0
1605,2.547075109760044e-05,0.0,0.0,0.0
1606,3.0471062018477824e-05,0.0,0.0,0.0
1607,2.4719733508910785e-05,0.0,0.0,0.0
1608,2.0917745782103987e-05,0.0,0.0,0.0
1609,1.84800377870228e-05,0.0,0.0,0.0
1610,2.0047569185927777e-05,0.0,0.0,0.0
1611,1.7562622783121435e-05,0.0,0.0,0.0
1612,1.836538594294065e-05,0.0,0.0,0.0
1613,1.51541376323751e-05,0.0,0.0,0.0
1614,2.240555188239211e-05,0.0,0.0,0.0
1615,1.8756119418737527e-05,0.0,0.0,0.0
1616,2.103964701356225e-05,0.0,0.0,0.0
1617,2.1942025309077246e-05,0.0,0.0,0.0
1618,2.468364462921662e-05,0.0,0.0,0.0
1619,2.7820760546351915e-05,0.0,0.0,0.0
1620,3.270792746791683e-05,0.0,0.0,0.0
1621,2.848961906108473e-05,0.0,0.0,0.0
1622,2.9035151133679653e-05,0.0,0.0,0.0
1623,2.8125047590167795e-05,0.0,0.0,0.0
1624,2.7405451484290616e-05,0.0,0.0,0.0
1625,2.7161447308442022e-05,0.0,0.0,0.0
1626,2.8072114478813353e-05,0.0,0.0,0.0
1627,2.8456501760436887e-05,0.0,0.0,0.0
1628,3.328479111327657e-05,0.0,0.0,0.0
1629,3.489760300518745e-05,0.0,0.0,0.0
1630,3.3583445136693104e-05,0.0,0.0,0.0
1631,3.496116018400893e-05,0.0,0.0,0.0
1632,3.47110538184227e-05,0.0,0.0,0.0
1633,3.139021373499418e-05,0.0,0.0,0.0
1634,2.898418136153071e-05,0.0,0.0,0.0
1635,2.466253382798251e-05,0.0,0.0,0.0
1636,2.5269358567519313e-05,0.0,0.0,0.0
1637,2.6084178378888672e-05,0.0,0.0,0.0
1638,2.414388083187597e-05,0.0,0.0,0.0
1639,2.561384514722574e-05,0.0,0.0,0.0
1640,2.5921946092109594e-05,0.0,0.0,0.0
1641,2.218772143740872e-05,0.0,0.0,0.0
1642,2.469316470004352e-05,0.0,0.0,0.0
1643,2.3404517248439204e-05,0.0,0.0,0.0
