ngram,detail,detil,dtail,detal
1500,6.19973457105516e-06,0.0,0.0,0.0
1501,4.959787656844128e-06,0.0,0.0,0.0
1502,5.538843197427923e-06,0.0,0.0,0.0
1503,2.259691336803371e-05,0.0,0.0,0.0
1504,2.5149070227468784e-05,0.0,0.0,0.0
1505,2.5297647100939814e-05,0.0,0.0,0.0
1506,2.5297647100939814e-05,0.0,0.0,0.0
1507,2.5297647100939814e-05,0.0,0.0,0.0
1508,2.5297647100939814e-05,0.0,0.0,0.0
1509,2.4092772686604542e-05,0.0,0.0,0.0
1510,6.243439202080481e-06,0.0,0.0,0.0
1511,3.1566383508366665e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,1.1025990716007072e-06,0.0,0.0,0.0
1518,1.1025990716007072e-06,0.0,0.0,0.0
1519,1.1025990716007072e-06,0.0,0.0,0.0
1520,2.890067467628147e-06,0.0,0.0,0.0
1521,2.3187451785945868e-06,0.0,0.0,0.0
1522,5.492502038708023e-06,0.0,0.0,0.0
1523,1.6581311943549997e-05,0.0,0.0,0.0
1524,1.605003516098285e-05,0.0,0.0,0.0
1525,1.605003516098285e-05,0.0,0.0,0.0
1526,2.939867434698889e-05,0.0,0.0,0.0
1527,2.7611205950961448e-05,0.0,0.0,0.0
1528,3.074690331621761e-05,0.0,0.0,0.0
1529,2.757314645610417e-05,0.0,0.0,0.0
1530,1.6484336551262197e-05,0.0,0.0,0.0
1531,2.222918478115129e-05,0.0,0.0,0.0
1532,2.8992933688901496e-05,0.0,0.0,0.0
1533,1.5644294502895457e-05,0.0,0.0,0.0
1534,1.9857706450108837e-05,0.0,0.0,0.0
1535,1.785153783982553e-05,0.0,0.0,0.0
1536,1.9640595382952597e-05,0.0,0.0,0.0
1537,1.9640595382952597e-05,0.0,0.0,0.0
1538,1.3895747153063504e-05,0.0,0.0,0.0
1539,6.606989089570041e-05,0.0,0.0,0.0
1540,6.606989089570041e-05,0.0,0.0,0.0
1541,6.185647894848703e-05,0.0,0.0,0.0
1542,6.223159653018229e-05,0.0,0.0,0.0
1543,6.044253898705522e-05,0.0,0.0,0.0
1544,6.155537838432272e-05,0.0,0.0,0.0
1545,6.155537838432272e-05,0.0,0.0,0.0
1546,2.8971919294105774e-06,0.0,0.0,0.0
1547,2.8971919294105774e-06,0.0,0.0,0.0
1548,6.4640950248368815e-06,0.0,0.0,0.0
1549,6.172106428234006e-06,0.0,0.0,0.0
1550,1.4277291938924463e-05,0.0,0.0,0.0
1551,1.316445254165696e-05,0.0,0.0,0.0
1552,1.4606674540118547e-05,0.0,0.0,0.0
1553,1.4326968344643579e-05,0.0,0.0,0.0
1554,1.4326968344643579e-05,0.0,0.0,0.0
1555,1.1361050253201808e-05,0.0,0.0,0.0
1556,2.0557155039568897e-05,0.0,0.0,0.0
1557,1.245196952887844e-05,0.0,0.0,0.0
1558,2.3364748033470407e-05,0.0,0.0,0.0
1559,2.192252603500882e-05,0.0,0.0,0.0
1560,2.506335788763993e-05,0.0,0.0,0.0
1561,2.506335788763993e-05,0.0,0.0,0.0
1562,2.4462372883655397e-05,0.0,0.0,0.0
1563,1.5417475489292493e-05,0.0,0.0,0.0
1564,1.5417475489292493e-05,0.0,0.0,0.0
1565,4.504696984700526e-06,0.0,0.0,0.0
1566,6.408367491011242e-06,0.0,0.0,0.0
1567,7.361919675271825e-06,0.0,0.0,0.0
1568,7.361919675271825e-06,0.0,0.0,0.0
1569,1.181815163623209e-05,0.0,0.0,0.0
1570,1.0454286504162675e-05,0.0,0.0,0.0
1571,1.2906138181278948e-05,0.0,0.0,0.0
1572,1.342609896580273e-05,0.0,0.0,0.0
1573,1.2780837810818671e-05,0.0,0.0,0.0
1574,8.686453773926977e-06,0.0,0.0,0.0
1575,8.686453773926977e-06,0.0,0.0,0.0
1576,8.286345746455481e-06,0.0,0.0,0.0
1577,1.3389297561973632e-05,0.0,0.0,0.0
1578,1.1660185204423864e-05,0.0,0.0,0.0
1579,1.1786979225040081e-05,0.0,0.0,0.0
1580,1.0528569873713423e-05,0.0,0.0,0.0
1581,1.1121877248245124e-05,0.0,0.0,0.0
1582,1.1121877248245124e-05,0.0,0.0,0.0
1583,8.98824373507523e-06,0.0,0.0,0.0
1584,3.885291919557078e-06,0.0,0.0,0.0
1585,3.3512706880044007e-06,0.0,0.0,0.0
1586,5.580091267022778e-06,0.0,0.0,0.0
1587,8.002648119794945e-06,0.0,0.0,0.0
1588,7.409340745263242e-06,0.0,0.0,0.0
1589,8.156246638334e-06,0.0,0.0,0.0
1590,6.753707517808445e-06,0.0,0.0,0.0
1591,7.553307909802243e-06,0.0,0.0,0.0
1592,7.961561615437468e-06,0.0,0.0,0.0
1593,5.532539684541657e-06,0.0,0.0,0.0
1594,4.283403930977718e-06,0.0,0.0,0.0
1595,4.283403930977718e-06,0.0,0.0,0.0
1596,4.588589165775504e-06,0.0,0.0,0.0
1597,4.3107620513183065e-06,0.0,0.0,0.0
1598,7.669149778978732e-06,0.0,0.0,0.0
1599,7.0721779853296795e-06,0.0,0.0,0.0
1600,9.181770565191982e-06,0.0,0.0,0.0
1601,9.180292636301601e-06,0.0,0.0,0.0
1602,1.1372707831469597e-05,0.0,0.0,0.0
1603,1.0320616703601055e-05,0.0,0.0,0.0
1604,1.1270384805227098e-05,0.0,0.0,0.0
