ngram,tradition,tradtion,tradtion,trdition
1500,6.388380882071942e-07,0.0,0.0,0.0
1501,5.110704705657554e-07,0.0,0.0,0.0
1502,4.2589205880479614e-07,0.0,0.0,0.0
1503,9.289717078380428e-06,0.0,0.0,0.0
1504,9.156056080428243e-06,0.0,0.0,0.0
1505,9.871658286491375e-06,0.0,0.0,0.0
1506,9.871658286491375e-06,0.0,0.0,0.0
1507,9.871658286491375e-06,0.0,0.0,0.0
1508,9.871658286491375e-06,0.0,0.0,0.0
1509,9.871658286491375e-06,0.0,0.0,0.0
1510,9.469915442293444e-07,0.0,0.0,0.0
1511,9.469915442293444e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,7.447784550354949e-06,0.0,0.0,0.0
1521,7.447784550354949e-06,0.0,0.0,0.0
1522,7.447784550354949e-06,0.0,0.0,0.0
1523,1.2376144565808187e-05,0.0,0.0,0.0
1524,1.2376144565808187e-05,0.0,0.0,0.0
1525,1.2376144565808187e-05,0.0,0.0,0.0
1526,1.2376144565808187e-05,0.0,0.0,0.0
1527,4.9283600154532385e-06,0.0,0.0,0.0
1528,4.9283600154532385e-06,0.0,0.0,0.0
1529,4.9283600154532385e-06,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,1.723454416995602e-05,0.0,0.0,0.0
1532,1.723454416995602e-05,0.0,0.0,0.0
1533,1.723454416995602e-05,0.0,0.0,0.0
1534,1.723454416995602e-05,0.0,0.0,0.0
1535,1.723454416995602e-05,0.0,0.0,0.0
1536,1.723454416995602e-05,0.0,0.0,0.0
1537,1.723454416995602e-05,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,1.5046463366681046e-06,0.0,0.0,0.0
1543,1.5046463366681046e-06,0.0,0.0,0.0
1544,2.8956956157344393e-06,0.0,0.0,0.0
1545,3.1636157180920625e-06,0.0,0.0,0.0
1546,3.1636157180920625e-06,0.0,0.0,0.0
1547,3.1636157180920625e-06,0.0,0.0,0.0
1548,4.055341491948639e-06,0.0,0.0,0.0
1549,2.5506951552805342e-06,0.0,0.0,0.0
1550,3.091040866820549e-06,0.0,0.0,0.0
1551,1.5867174965933373e-05,0.0,0.0,0.0
1552,1.7041476862037337e-05,0.0,0.0,0.0
1553,1.7041476862037337e-05,0.0,0.0,0.0
1554,1.7041476862037337e-05,0.0,0.0,0.0
1555,1.6750736092165296e-05,0.0,0.0,0.0
1556,1.6750736092165296e-05,0.0,0.0,0.0
1557,1.621039038062528e-05,0.0,0.0,0.0
1558,3.4073043155201177e-06,0.0,0.0,0.0
1559,3.684305608788106e-06,0.0,0.0,0.0
1560,4.132995854888577e-06,0.0,0.0,0.0
1561,4.132995854888577e-06,0.0,0.0,0.0
1562,3.5320108509040438e-06,0.0,0.0,0.0
1563,3.5320108509040438e-06,0.0,0.0,0.0
1564,9.89365759908521e-06,0.0,0.0,0.0
1565,1.0553161571026846e-05,0.0,0.0,0.0
1566,8.833938279297269e-06,0.0,0.0,0.0
1567,1.1797234557369457e-05,0.0,0.0,0.0
1568,1.1797234557369457e-05,0.0,0.0,0.0
1569,2.516593044025025e-05,0.0,0.0,0.0
1570,2.6676942720119507e-05,0.0,0.0,0.0
1571,2.2767147649054615e-05,0.0,0.0,0.0
1572,2.0743546364038984e-05,0.0,0.0,0.0
1573,2.0743546364038984e-05,0.0,0.0,0.0
1574,1.7331559839866323e-05,0.0,0.0,0.0
1575,1.7331559839866323e-05,0.0,0.0,0.0
1576,4.413544404867155e-06,0.0,0.0,0.0
1577,2.902532124997898e-06,0.0,0.0,0.0
1578,9.325066717532796e-07,0.0,0.0,0.0
1579,2.226016282033275e-06,0.0,0.0,0.0
1580,4.679675313517302e-05,0.0,0.0,0.0
1581,4.679675313517302e-05,0.0,0.0,0.0
1582,5.140554841481e-05,0.0,0.0,0.0
1583,5.119517926946823e-05,0.0,0.0,0.0
1584,5.928718334351808e-05,0.0,0.0,0.0
1585,6.012638375198419e-05,0.0,0.0,0.0
1586,5.9551767987743786e-05,0.0,0.0,0.0
1587,1.5327110694280626e-05,0.0,0.0,0.0
1588,1.5996616509385474e-05,0.0,0.0,0.0
1589,1.1574547703016183e-05,0.0,0.0,0.0
1590,1.2634114682441577e-05,0.0,0.0,0.0
1591,5.0751775363875955e-06,0.0,0.0,0.0
1592,4.351122697698884e-06,0.0,0.0,0.0
1593,3.8555055782905716e-06,0.0,0.0,0.0
1594,3.8446891851760616e-06,0.0,0.0,0.0
1595,4.978371732379726e-06,0.0,0.0,0.0
1596,4.791645259112036e-06,0.0,0.0,0.0
1597,5.670884580207972e-06,0.0,0.0,0.0
1598,6.553302975070048e-06,0.0,0.0,0.0
1599,6.427975774516069e-06,0.0,0.0,0.0
1600,6.311205132598323e-06,0.0,0.0,0.0
1601,9.491771476989794e-06,0.0,0.0,0.0
1602,8.314987456157854e-06,0.0,0.0,0.0
1603,9.963427893515992e-06,0.0,0.0,0.0
1604,8.124850929951727e-06,0.0,0.0,0.0
1605,8.171045205277291e-06,0.0,0.0,0.0
1606,1.04221242379156e-05,0.0,0.0,0.0
1607,1.1808612303606683e-05,0.0,0.0,0.0
1608,8.692137985885243e-06,0.0,0.0,0.0
1609,9.76379949081872e-06,0.0,0.0,0.0
1610,9.772186461175028e-06,0.0,0.0,0.0
1611,1.1172654499854876e-05,0.0,0.0,0.0
1612,9.979975629903493e-06,0.0,0.0,0.0
1613,8.375925420166044e-06,0.0,0.0,0.0
1614,7.542150764753128e-06,0.0,0.0,0.0
1615,9.047511866810964e-06,0.0,0.0,0.0
1616,8.791144149914284e-06,0.0,0.0,0.0
1617,7.875564733694773e-06,0.0,0.0,0.0
1618,7.611713174680647e-06,0.0,0.0,0.0
1619,8.242988444960378e-06,0.0,0.0,0.0
1620,8.433920876476414e-06,0.0,0.0,0.0
1621,1.544667533640417e-05,0.0,0.0,0.0
1622,2.3953523850650527e-05,0.0,0.0,0.0
1623,2.9516594882547258e-05,0.0,0.0,0.0
1624,2.9522007870192673e-05,0.0,0.0,0.0
1625,2.9706144557297064e-05,0.0,0.0,0.0
1626,2.9035490375203415e-05,0.0,0.0,0.0
1627,2.91638265740143e-05,0.0,0.0,0.0
1628,2.5815620054865057e-05,0.0,0.0,0.0
1629,1.63118780359842e-05,0.0,0.0,0.0
1630,1.1204586891316077e-05,0.0,0.0,0.0
1631,1.2101645552320406e-05,0.0,0.0,0.0
1632,1.1631491491113724e-05,0.0,0.0,0.0
1633,1.5788839196570086e-05,0.0,0.0,0.0
1634,1.5214824283508019e-05,0.0,0.0,0.0
1635,1.3278328424348729e-05,0.0,0.0,0.0
1636,1.323894970742653e-05,0.0,0.0,0.0
1637,1.2073072996697323e-05,0.0,0.0,0.0
1638,1.1843389074783772e-05,0.0,0.0,0.0
1639,1.1508821834078325e-05,0.0,0.0,0.0
1640,7.430276485008237e-06,0.0,0.0,0.0
1641,7.820513181806226e-06,0.0,0.0,0.0
1642,7.376338576900057e-06,0.0,0.0,0.0
1643,7.320796515029672e-06,0.0,0.0,0.0
1644,8.330763096507456e-06,0.0,0.0,0.0
1645,8.341115484914294e-06,0.0,0.0,0.0
1646,7.887496622061008e-06,0.0,0.0,0.0
1647,9.451892375571852e-06,0.0,0.0,0.0
1648,8.747919374790009e-06,0.0,0.0,0.0
1649,1.3375955404626438e-05,0.0,0.0,0.0
1650,1.5198261540457939e-05,0.0,0.0,0.0
