ngram,poem,poem,pome,peom
1500,0.0,0.0,0.0,0.0
1501,0.0,0.0,0.0,0.0
1502,0.0,0.0,0.0,0.0
1503,0.0,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,1.5783191754183333e-06,1.5783191754183333e-06,0.0,0.0
1506,1.5783191754183333e-06,1.5783191754183333e-06,0.0,0.0
1507,1.5783191754183333e-06,1.5783191754183333e-06,0.0,0.0
1508,1.5783191754183333e-06,1.5783191754183333e-06,0.0,0.0
1509,1.5783191754183333e-06,1.5783191754183333e-06,0.0,0.0
1510,1.5783191754183333e-06,1.5783191754183333e-06,0.0,0.0
1511,1.5783191754183333e-06,1.5783191754183333e-06,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,1.0625536171054201e-05,1.0625536171054201e-05,0.0,0.0
1518,1.0625536171054201e-05,1.0625536171054201e-05,0.0,0.0
1519,1.0625536171054201e-05,1.0625536171054201e-05,0.0,0.0
1520,1.539211838722362e-05,1.539211838722362e-05,0.0,0.0
1521,1.539211838722362e-05,1.539211838722362e-05,0.0,0.0
1522,1.539211838722362e-05,1.539211838722362e-05,0.0,0.0
1523,1.539211838722362e-05,1.539211838722362e-05,0.0,0.0
1524,4.766582216169419e-06,4.766582216169419e-06,0.0,0.0
1525,4.766582216169419e-06,4.766582216169419e-06,0.0,0.0
1526,4.766582216169419e-06,4.766582216169419e-06,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,1.1489696459778185e-05,1.1489696459778185e-05,0.0,0.0
1532,1.1489696459778185e-05,1.1489696459778185e-05,0.0,0.0
1533,1.1489696459778185e-05,1.1489696459778185e-05,0.0,0.0
1534,1.1489696459778185e-05,1.1489696459778185e-05,0.0,0.0
1535,1.1489696459778185e-05,1.1489696459778185e-05,0.0,0.0
1536,1.1489696459778185e-05,1.1489696459778185e-05,0.0,0.0
1537,1.1489696459778185e-05,1.1489696459778185e-05,0.0,0.0
1538,0.0,0.0,3.1764385702055212e-06,0.0
1539,0.0,0.0,3.1764385702055212e-06,0.0
1540,0.0,0.0,3.1764385702055212e-06,0.0
1541,0.0,0.0,3.1764385702055212e-06,0.0
1542,3.009292673336209e-06,3.009292673336209e-06,3.1764385702055212e-06,0.0
1543,3.009292673336209e-06,3.009292673336209e-06,3.1764385702055212e-06,0.0
1544,4.261236946539222e-06,4.261236946539222e-06,3.1764385702055212e-06,0.0
1545,4.261236946539222e-06,4.261236946539222e-06,0.0,0.0
1546,4.5409431420141895e-06,4.5409431420141895e-06,0.0,0.0
1547,4.5409431420141895e-06,4.5409431420141895e-06,0.0,0.0
1548,6.027152851727026e-06,6.027152851727026e-06,0.0,0.0
1549,3.0178601783908173e-06,3.0178601783908173e-06,0.0,0.0
1550,3.0178601783908173e-06,3.0178601783908173e-06,0.0,0.0
1551,1.7659159051878045e-06,1.7659159051878045e-06,0.0,0.0
1552,1.7659159051878045e-06,1.7659159051878045e-06,0.0,0.0
1553,1.4862097097128363e-06,1.4862097097128363e-06,0.0,0.0
1554,1.4862097097128363e-06,1.4862097097128363e-06,0.0,0.0
1555,1.2019700079690665e-06,1.2019700079690665e-06,0.0,0.0
1556,1.2019700079690665e-06,1.2019700079690665e-06,0.0,0.0
1557,1.2019700079690665e-06,1.2019700079690665e-06,0.0,0.0
1558,1.2019700079690665e-06,1.2019700079690665e-06,0.0,0.0
1559,1.2019700079690665e-06,1.2019700079690665e-06,0.0,0.0
1560,1.6506602540695375e-06,1.6506602540695375e-06,0.0,0.0
1561,1.6506602540695375e-06,1.6506602540695375e-06,0.0,0.0
1562,4.4869024610047094e-07,4.4869024610047094e-07,0.0,0.0
1563,9.033119567902759e-07,9.033119567902759e-07,0.0,0.0
1564,7.264958704971443e-06,7.264958704971443e-06,0.0,0.0
1565,8.276759347479259e-06,8.276759347479259e-06,0.0,0.0
1566,8.276759347479259e-06,8.276759347479259e-06,1.9036705063107156e-06,0.0
1567,9.875261119824635e-06,9.875261119824635e-06,1.9036705063107156e-06,0.0
1568,9.875261119824635e-06,9.875261119824635e-06,1.9036705063107156e-06,0.0
1569,2.8442893770781147e-05,2.8442893770781147e-05,1.9036705063107156e-06,0.0
1570,2.798827206009134e-05,2.798827206009134e-05,1.9036705063107156e-06,0.0
1571,2.1626625311910175e-05,2.1626625311910175e-05,1.9036705063107156e-06,0.0
1572,2.061482466940236e-05,2.061482466940236e-05,1.9036705063107156e-06,0.0
1573,2.061482466940236e-05,2.061482466940236e-05,0.0,0.0
1574,2.0746478834813127e-05,2.0746478834813127e-05,0.0,0.0
1575,2.0746478834813127e-05,2.0746478834813127e-05,0.0,0.0
1576,4.432248455746698e-06,4.432248455746698e-06,0.0,0.0
1577,1.2086676438879554e-05,1.2086676438879554e-05,0.0,0.0
1578,3.9068945755259066e-05,3.9068945755259066e-05,0.0,0.0
1579,4.100921017067906e-05,4.100921017067906e-05,0.0,0.0
1580,4.100921017067906e-05,4.100921017067906e-05,0.0,0.0
1581,4.061028617538146e-05,4.061028617538146e-05,0.0,0.0
1582,4.354315582791709e-05,4.354315582791709e-05,0.0,0.0
1583,4.3212243976345886e-05,4.3212243976345886e-05,0.0,0.0
1584,4.364982006726288e-05,4.364982006726288e-05,0.0,0.0
