ngram,comparison,comparson,compaison,comparson
1500,6.874298378534149e-06,0.0,0.0,0.0
1501,5.499438702827319e-06,0.0,0.0,0.0
1502,5.461419884037848e-06,0.0,0.0,0.0
1503,1.3605883785723044e-05,0.0,0.0,0.0
1504,1.8442875443724915e-05,0.0,0.0,0.0
1505,1.80609619876902e-05,0.0,0.0,0.0
1506,1.80609619876902e-05,0.0,0.0,0.0
1507,1.80609619876902e-05,0.0,0.0,0.0
1508,1.80609619876902e-05,0.0,0.0,0.0
1509,1.7307915446248705e-05,0.0,0.0,0.0
1510,8.383248703986673e-06,0.0,0.0,0.0
1511,2.209647001499044e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,2.2884946377286853e-05,0.0,0.0,0.0
1518,2.2884946377286853e-05,0.0,0.0,0.0
1519,2.2884946377286853e-05,0.0,0.0,0.0
1520,2.4374503287357845e-05,0.0,0.0,0.0
1521,0.00044708360344105003,0.0,0.0,0.0
1522,0.00044708360344105003,0.0,0.0,0.0
1523,0.0004513959185195355,0.0,0.0,0.0
1524,0.0004290822944312822,0.0,0.0,0.0
1525,0.0004290822944312822,0.0,0.0,0.0
1526,0.0004735777604634807,0.0,0.0,0.0
1527,0.0004720882035534097,0.0,0.0,0.0
1528,5.194347847594015e-05,0.0,0.0,0.0
1529,5.194347847594015e-05,0.0,0.0,0.0
1530,5.2733802866506653e-05,0.0,0.0,0.0
1531,5.847865109639575e-05,0.0,0.0,0.0
1532,7.33588991092152e-05,0.0,0.0,0.0
1533,3.6845171052846126e-05,0.0,0.0,0.0
1534,3.6845171052846126e-05,0.0,0.0,0.0
1535,3.44624928142626e-05,0.0,0.0,0.0
1536,3.4909757200044366e-05,0.0,0.0,0.0
1537,2.9807117730992365e-05,0.0,0.0,0.0
1538,2.7238708071308793e-05,0.0,0.0,0.0
1539,2.3149904693907176e-05,0.0,0.0,0.0
1540,0.00023063897421187512,0.0,0.0,0.0
1541,0.00023063897421187512,0.0,0.0,0.0
1542,0.00023439989422513463,0.0,0.0,0.0
1543,0.00023395262983935287,0.0,0.0,0.0
1544,0.00023492636429572094,0.0,0.0,0.0
1545,0.0002322857659302307,0.0,0.0,0.0
1546,0.00022233343988123773,0.0,0.0,0.0
1547,6.862632387440369e-06,0.0,0.0,0.0
1548,1.0726777580722618e-05,0.0,0.0,0.0
1549,6.21283844079049e-06,0.0,0.0,0.0
1550,6.753184152330505e-06,0.0,0.0,0.0
1551,5.7794496959624146e-06,0.0,0.0,0.0
1552,1.1012497485093523e-05,0.0,0.0,0.0
1553,1.017337889866862e-05,0.0,0.0,0.0
1554,1.017337889866862e-05,0.0,0.0,0.0
1555,6.30923370538637e-06,0.0,0.0,0.0
1556,5.2107790484764595e-05,0.0,0.0,0.0
1557,5.156744477322458e-05,0.0,0.0,0.0
1558,6.589046669042935e-05,0.0,0.0,0.0
1559,6.184080198831257e-05,0.0,0.0,0.0
1560,6.318687272661399e-05,0.0,0.0,0.0
1561,6.318687272661399e-05,0.0,0.0,0.0
1562,6.674230189673835e-05,0.0,0.0,0.0
1563,2.2307610249429543e-05,0.0,0.0,0.0
1564,2.2307610249429543e-05,0.0,0.0,0.0
1565,1.0008189617240402e-05,0.0,0.0,0.0
1566,8.288966325510825e-06,0.0,0.0,0.0
1567,1.240207412982792e-05,0.0,0.0,0.0
1568,1.240207412982792e-05,0.0,0.0,0.0
1569,1.478828757431724e-05,0.0,0.0,0.0
1570,1.9468471561724853e-05,0.0,0.0,0.0
1571,3.4179581624422486e-05,0.0,0.0,0.0
1572,3.2155980339406855e-05,0.0,0.0,0.0
1573,3.2155980339406855e-05,0.0,0.0,0.0
1574,2.9965071007609367e-05,0.0,0.0,0.0
1575,3.122235063658861e-05,0.0,0.0,0.0
1576,2.9336831955463693e-05,0.0,0.0,0.0
1577,4.370459009805927e-05,0.0,0.0,0.0
1578,3.0438958674494643e-05,0.0,0.0,0.0
1579,3.173246828477464e-05,0.0,0.0,0.0
1580,4.2627537108533685e-05,0.0,0.0,0.0
1581,3.995257527224437e-05,0.0,0.0,0.0
1582,3.911427701755851e-05,0.0,0.0,0.0
1583,3.625970966173294e-05,0.0,0.0,0.0
1584,2.3939906473710187e-05,0.0,0.0,0.0
1585,2.6834943745208356e-05,0.0,0.0,0.0
1586,2.697922182700755e-05,0.0,0.0,0.0
1587,1.9544948729942136e-05,0.0,0.0,0.0
1588,2.2299170430934672e-05,0.0,0.0,0.0
1589,2.3934180197621962e-05,0.0,0.0,0.0
1590,2.5072404501510652e-05,0.0,0.0,0.0
1591,1.991226859640197e-05,0.0,0.0,0.0
1592,2.0944498568756637e-05,0.0,0.0,0.0
1593,2.2632584919587577e-05,0.0,0.0,0.0
1594,1.9674683958978028e-05,0.0,0.0,0.0
1595,1.81303432457623e-05,0.0,0.0,0.0
1596,1.986388016510838e-05,0.0,0.0,0.0
1597,2.0671713627962163e-05,0.0,0.0,0.0
1598,2.3711423961815725e-05,0.0,0.0,0.0
1599,1.97536118581151e-05,0.0,0.0,0.0
1600,2.365713921140663e-05,0.0,0.0,0.0
1601,2.8623312573472504e-05,0.0,0.0,0.0
1602,2.775973065841494e-05,0.0,0.0,0.0
1603,2.6032753144785863e-05,0.0,0.0,0.0
1604,2.509865297335117e-05,0.0,0.0,0.0
1605,2.2050433666923448e-05,0.0,0.0,0.0
1606,2.503990572222392e-05,0.0,0.0,0.0
1607,1.8010504326022264e-05,0.0,0.0,0.0
