ngram,block,blok,bloc,blck
1500,3.914014882866468e-06,0.0,0.0,0.0
1501,3.131211906293174e-06,0.0,0.0,0.0
1502,2.609343255244312e-06,0.0,0.0,0.0
1503,2.236579933066553e-06,0.0,0.0,0.0
1504,1.0695016239229257e-05,0.0,0.0,0.0
1505,9.576066141952261e-06,0.0,0.0,0.0
1506,9.576066141952261e-06,0.0,0.0,0.0
1507,9.576066141952261e-06,0.0,0.0,0.0
1508,9.576066141952261e-06,0.0,0.0,0.0
1509,9.576066141952261e-06,0.0,0.0,0.0
1510,9.576066141952261e-06,0.0,0.0,0.0
1511,3.156638480764481e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0,0.0
1517,2.3661839057759998e-05,0.0,0.0,0.0
1518,2.3661839057759998e-05,0.0,0.0,0.0
1519,2.3661839057759998e-05,0.0,0.0,0.0
1520,2.4257661834781175e-05,0.0,0.0,0.0
1521,0.00023561221191162725,0.0,0.0,0.0
1522,0.00023878596877174068,0.0,0.0,0.0
1523,0.00024433037372416166,0.0,0.0,0.0
1524,0.00022095419581091846,0.0,0.0,0.0
1525,0.00022095419581091846,0.0,0.0,0.0
1526,0.00022095419581091846,0.0,0.0,0.0
1527,0.0002203583730338973,0.0,0.0,0.0
1528,8.718161812534423e-06,0.0,0.0,0.0
1529,5.544404952420986e-06,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,2.872424166915672e-05,0.0,0.0,0.0
1532,3.503707401770433e-05,0.0,0.0,0.0
1533,3.503707401770433e-05,0.0,0.0,0.0
1534,3.503707401770433e-05,0.0,0.0,0.0
1535,3.503707401770433e-05,0.0,0.0,0.0
1536,3.68261315608314e-05,0.0,0.0,0.0
1537,3.68261315608314e-05,0.0,0.0,0.0
1538,8.101889891674676e-06,0.0,0.0,0.0
1539,1.258050217854491e-05,0.0,0.0,0.0
1540,1.258050217854491e-05,0.0,0.0,0.0
1541,1.258050217854491e-05,0.0,0.0,0.0
1542,1.258050217854491e-05,0.0,0.0,0.0
1543,1.0791444635417844e-05,0.0,0.0,0.0
1544,1.2738913548154024e-05,0.0,0.0,0.0
1545,1.2738913548154024e-05,0.0,0.0,0.0
1546,2.5068813036861163e-06,0.0,0.0,0.0
1547,2.5068813036861163e-06,0.0,0.0,0.0
1548,3.3986070775426924e-06,0.0,0.0,0.0
1549,3.3986070775426924e-06,0.0,0.0,0.0
1550,6.100335667724721e-06,0.0,0.0,0.0
1551,4.152866754988541e-06,0.0,0.0,0.0
1552,7.75842181610642e-06,0.0,0.0,0.0
1553,7.199009425156484e-06,0.0,0.0,0.0
1554,7.199009425156484e-06,0.0,0.0,0.0
1555,6.307283651299908e-06,0.0,0.0,0.0
1556,1.2552541582928306e-05,0.0,0.0,0.0
1557,9.850812992746277e-06,0.0,0.0,0.0
1558,1.0532861649283274e-05,0.0,0.0,0.0
1559,1.2084976203498496e-05,0.0,0.0,0.0
1560,1.7469259156704148e-05,0.0,0.0,0.0
1561,1.7469259156704148e-05,0.0,0.0,0.0
1562,1.7469259156704148e-05,0.0,0.0,0.0
1563,1.122400122507575e-05,0.0,0.0,0.0
1564,1.122400122507575e-05,0.0,0.0,0.0
1565,1.1553753211046569e-05,0.0,0.0,0.0
1566,6.396083595713467e-06,0.0,0.0,0.0
1567,2.3765952781624426e-06,0.0,0.0,0.0
1568,2.3765952781624426e-06,0.0,0.0,0.0
1569,2.3765952781624426e-06,0.0,0.0,0.0
1570,2.3765952781624426e-06,0.0,0.0,0.0
1571,3.179881540355771e-05,0.0,0.0,0.0
1572,3.07870147610499e-05,0.0,0.0,0.0
1573,3.07870147610499e-05,0.0,0.0,0.0
1574,2.942222012539527e-05,0.0,0.0,0.0
1575,2.942222012539527e-05,0.0,0.0,0.0
1576,3.0774261436558194e-05,0.0,0.0,0.0
1577,3.0774261436558194e-05,0.0,0.0,0.0
