ngram,shop,shp,shopp,shopp
1500,7.954276270538685e-06,0.0,0.0,0.0
1501,6.363421016430948e-06,0.0,0.0,0.0
1502,9.69562203560296e-06,0.0,0.0,0.0
1503,8.310533173373966e-06,0.0,0.0,0.0
1504,1.046170707143444e-05,0.0,0.0,0.0
1505,7.167697146672124e-06,0.0,0.0,0.0
1506,7.167697146672124e-06,0.0,0.0,0.0
1507,7.167697146672124e-06,0.0,0.0,0.0
1508,7.167697146672124e-06,0.0,0.0,0.0
1509,3.4024646993202623e-06,0.0,0.0,0.0
1510,3.4024646993202623e-06,0.0,0.0,0.0
1511,3.156638480764481e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,2.6563840427635502e-06,0.0,0.0,0.0
1518,2.6563840427635502e-06,0.0,0.0,0.0
1519,2.6563840427635502e-06,0.0,0.0,0.0
1520,3.848029596805905e-06,0.0,0.0,0.0
1521,3.848029596805905e-06,0.0,0.0,0.0
1522,7.021786456919342e-06,0.0,0.0,0.0
1523,7.021786456919342e-06,0.0,0.0,0.0
1524,4.365402414155792e-06,0.0,0.0,0.0
1525,4.365402414155792e-06,0.0,0.0,0.0
1526,4.365402414155792e-06,0.0,0.0,0.0
1527,3.1737568601134366e-06,0.0,0.0,0.0
1528,3.1737568601134366e-06,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,1.723454416995602e-05,0.0,0.0,0.0
1532,1.8136377353325122e-05,0.0,0.0,0.0
1533,1.8136377353325122e-05,0.0,0.0,0.0
1534,1.8136377353325122e-05,0.0,0.0,0.0
1535,1.888939647999775e-05,0.0,0.0,0.0
1536,1.888939647999775e-05,0.0,0.0,0.0
1537,1.888939647999775e-05,0.0,0.0,0.0
1538,1.1184167760802666e-05,0.0,0.0,0.0
1539,1.3602779160594633e-05,0.0,0.0,0.0
1540,1.3602779160594633e-05,0.0,0.0,0.0
1541,1.3602779160594633e-05,0.0,0.0,0.0
1542,2.9400869347487708e-05,0.0,0.0,0.0
1543,2.9400869347487708e-05,0.0,0.0,0.0
1544,2.995728904612146e-05,0.0,0.0,0.0
1545,2.8733496882133685e-05,0.0,0.0,0.0
1546,3.296511951183285e-05,0.0,0.0,0.0
1547,3.624226071354185e-05,0.0,0.0,0.0
1548,3.68367445844342e-05,0.0,0.0,0.0
1549,2.0285635270868496e-05,0.0,0.0,0.0
1550,2.082598098240851e-05,0.0,0.0,0.0
1551,2.0269561283774757e-05,0.0,0.0,0.0
1552,1.3406259995463188e-05,0.0,0.0,0.0
1553,5.8541927826029545e-06,0.0,0.0,0.0
1554,2.577051580893957e-06,0.0,0.0,0.0
1555,1.9825677100016037e-06,0.0,0.0,0.0
1556,1.9825677100016037e-06,0.0,0.0,0.0
1557,1.4422219984615886e-06,0.0,0.0,0.0
1558,1.4422219984615886e-06,0.0,0.0,0.0
1559,3.4384465834591538e-06,0.0,0.0,0.0
1560,5.233207567861038e-06,0.0,0.0,0.0
1561,5.233207567861038e-06,0.0,0.0,0.0
1562,5.233207567861038e-06,0.0,0.0,0.0
1563,5.687829278550842e-06,0.0,0.0,0.0
1564,5.687829278550842e-06,0.0,0.0,0.0
1565,5.687829278550842e-06,0.0,0.0,0.0
1566,4.153053201402404e-06,0.0,0.0,0.0
1567,5.087881488309774e-06,0.0,0.0,0.0
1568,5.087881488309774e-06,0.0,0.0,0.0
1569,8.801408122443327e-06,0.0,0.0,0.0
1570,8.346786411753523e-06,0.0,0.0,0.0
1571,1.0798638088869796e-05,0.0,0.0,0.0
1572,1.0798638088869796e-05,0.0,0.0,0.0
1573,8.89496758255908e-06,0.0,0.0,0.0
1574,6.1653783112498265e-06,0.0,0.0,0.0
1575,6.1653783112498265e-06,0.0,0.0,0.0
1576,1.371886329642231e-05,0.0,0.0,0.0
1577,1.371886329642231e-05,0.0,0.0,0.0
1578,1.2953403451579756e-05,0.0,0.0,0.0
1579,1.3600158256719754e-05,0.0,0.0,0.0
1580,1.3600158256719754e-05,0.0,0.0,0.0
1581,1.538008044527877e-05,0.0,0.0,0.0
1582,1.538008044527877e-05,0.0,0.0,0.0
1583,5.314625403635935e-06,2.403113025398592e-07,2.403113025398592e-07,2.403113025398592e-07
1584,5.314625403635935e-06,2.403113025398592e-07,2.403113025398592e-07,2.403113025398592e-07
1585,9.101058172486124e-06,2.403113025398592e-07,2.403113025398592e-07,2.403113025398592e-07
1586,1.4205454135662876e-05,2.403113025398592e-07,2.403113025398592e-07,2.403113025398592e-07
1587,1.489761325501604e-05,2.403113025398592e-07,2.403113025398592e-07,2.403113025398592e-07
1588,1.3787196881561872e-05,2.403113025398592e-07,2.403113025398592e-07,2.403113025398592e-07
1589,1.733499980868406e-05,2.403113025398592e-07,2.403113025398592e-07,2.403113025398592e-07
1590,1.925315089985296e-05,0.0,0.0,0.0
1591,2.138541861183642e-05,0.0,0.0,0.0
1592,1.770350939165967e-05,0.0,0.0,0.0
