ngram,glass,glas,glss,glass
1500,5.416545718617272e-06,0.0,0.0,5.416545718617272e-06
1501,4.333236574893817e-06,0.0,0.0,4.333236574893817e-06
1502,4.138163035349862e-06,0.0,0.0,4.138163035349862e-06
1503,3.546996887442739e-06,0.0,0.0,3.546996887442739e-06
1504,2.210386842956983e-06,0.0,0.0,2.210386842956983e-06
1505,2.345810993834415e-06,0.0,0.0,2.345810993834415e-06
1506,2.345810993834415e-06,0.0,0.0,2.345810993834415e-06
1507,2.345810993834415e-06,0.0,0.0,2.345810993834415e-06
1508,2.345810993834415e-06,0.0,0.0,2.345810993834415e-06
1509,1.8939830884586887e-06,0.0,0.0,1.8939830884586887e-06
1510,1.8939830884586887e-06,0.0,0.0,1.8939830884586887e-06
1511,1.8939830884586887e-06,0.0,0.0,1.8939830884586887e-06
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,8.569834660322937e-07,0.0,0.0,8.569834660322937e-07
1515,8.569834660322937e-07,0.0,0.0,8.569834660322937e-07
1516,8.569834660322937e-07,0.0,0.0,8.569834660322937e-07
1517,1.3882602485994409e-06,0.0,0.0,1.3882602485994409e-06
1518,1.3882602485994409e-06,0.0,0.0,1.3882602485994409e-06
1519,1.3882602485994409e-06,0.0,0.0,1.3882602485994409e-06
1520,9.431867770867289e-06,0.0,0.0,9.431867770867289e-06
1521,8.574884304834995e-06,0.0,0.0,8.574884304834995e-06
1522,4.031245342568062e-05,0.0,0.0,4.031245342568062e-05
1523,4.031245342568062e-05,0.0,0.0,4.031245342568062e-05
1524,3.978117664311347e-05,4.542291779736323e-05,0.0,3.978117664311347e-05
1525,3.978117664311347e-05,4.542291779736323e-05,0.0,3.978117664311347e-05
1526,5.0587217888927884e-05,4.542291779736323e-05,0.0,5.0587217888927884e-05
1527,4.2543610366660035e-05,4.542291779736323e-05,0.0,4.2543610366660035e-05
1528,4.2543610366660035e-05,4.542291779736323e-05,0.0,4.2543610366660035e-05
1529,1.0806041245814413e-05,4.542291779736323e-05,0.0,1.0806041245814413e-05
1530,1.0806041245814413e-05,4.542291779736323e-05,0.0,1.0806041245814413e-05
1531,1.6550889475703506e-05,0.0,0.0,1.6550889475703506e-05
1532,2.241280526504852e-05,0.0,0.0,2.241280526504852e-05
1533,1.1606764019234106e-05,0.0,0.0,1.1606764019234106e-05
1534,1.1606764019234106e-05,0.0,0.0,1.1606764019234106e-05
1535,2.1396013055761743e-05,0.0,0.0,2.1396013055761743e-05
1536,2.1396013055761743e-05,0.0,0.0,2.1396013055761743e-05
1537,2.1396013055761743e-05,0.0,0.0,2.1396013055761743e-05
1538,1.565116482587265e-05,0.0,0.0,1.565116482587265e-05
1539,2.1410805597302635e-05,0.0,0.0,2.1410805597302635e-05
1540,2.1410805597302635e-05,0.0,0.0,2.1410805597302635e-05
1541,2.1410805597302635e-05,0.0,0.0,2.1410805597302635e-05
1542,1.4630849234111207e-05,0.0,0.0,1.4630849234111207e-05
1543,1.4630849234111207e-05,3.4225476805918985e-05,0.0,1.4630849234111207e-05
1544,1.518726893274496e-05,3.4225476805918985e-05,0.0,1.518726893274496e-05
