ngram,confusion,confusin,confuson,confusion
1500,2.4114839334288263e-06,0.0,0.0,2.4114839334288263e-06
1501,1.929187146743061e-06,0.0,0.0,1.929187146743061e-06
1502,3.0133427723437003e-06,0.0,0.0,3.0133427723437003e-06
1503,2.5828652334374576e-06,0.0,0.0,2.5828652334374576e-06
1504,2.3155432375330875e-06,0.0,0.0,2.3155432375330875e-06
1505,1.5205382624117192e-06,0.0,0.0,1.5205382624117192e-06
1506,1.5205382624117192e-06,0.0,0.0,1.5205382624117192e-06
1507,1.5205382624117192e-06,0.0,0.0,1.5205382624117192e-06
1508,1.5205382624117192e-06,0.0,0.0,1.5205382624117192e-06
1509,3.156638480764481e-07,0.0,0.0,3.156638480764481e-07
1510,3.156638480764481e-07,0.0,0.0,3.156638480764481e-07
1511,3.156638480764481e-07,0.0,0.0,3.156638480764481e-07
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1515,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1516,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1517,1.6338758541678544e-06,0.0,0.0,1.6338758541678544e-06
1518,1.6338758541678544e-06,0.0,0.0,1.6338758541678544e-06
1519,1.6338758541678544e-06,0.0,0.0,1.6338758541678544e-06
1520,4.612989674309834e-06,0.0,0.0,4.612989674309834e-06
1521,4.041667385276274e-06,0.0,0.0,4.041667385276274e-06
1522,4.041667385276274e-06,0.0,0.0,4.041667385276274e-06
1523,5.273757389139584e-06,0.0,0.0,5.273757389139584e-06
1524,4.21120382400529e-06,0.0,0.0,4.21120382400529e-06
1525,4.21120382400529e-06,0.0,0.0,4.21120382400529e-06
1526,4.21120382400529e-06,0.0,0.0,4.21120382400529e-06
1527,1.2320900038633096e-06,0.0,0.0,1.2320900038633096e-06
1528,3.322554870724811e-06,0.0,0.0,3.322554870724811e-06
1529,3.322554870724811e-06,0.0,0.0,3.322554870724811e-06
1530,3.548361876580332e-06,0.0,0.0,3.548361876580332e-06
1531,3.548361876580332e-06,0.0,0.0,3.548361876580332e-06
1532,3.548361876580332e-06,0.0,0.0,3.548361876580332e-06
1533,3.548361876580332e-06,0.0,0.0,3.548361876580332e-06
1534,6.357303261341128e-06,0.0,0.0,6.357303261341128e-06
1535,4.643347957815942e-06,0.0,0.0,4.643347957815942e-06
1536,5.537876729379475e-06,0.0,0.0,5.537876729379475e-06
1537,4.079979719660644e-06,0.0,0.0,4.079979719660644e-06
1538,4.079979719660644e-06,0.0,0.0,4.079979719660644e-06
1539,4.910090865450911e-06,0.0,0.0,4.910090865450911e-06
1540,4.910090865450911e-06,0.0,0.0,4.910090865450911e-06
1541,2.1011494806901154e-06,0.0,0.0,2.1011494806901154e-06
1542,1.7246399173538002e-06,0.0,0.0,1.7246399173538002e-06
1543,8.301111457902672e-07,0.0,0.0,8.301111457902672e-07
1544,2.3602653007921096e-06,0.0,0.0,2.3602653007921096e-06
1545,5.307386475448896e-06,0.0,0.0,5.307386475448896e-06
1546,6.994631153897249e-06,0.0,0.0,6.994631153897249e-06
1547,6.994631153897249e-06,0.0,0.0,6.994631153897249e-06
1548,6.994631153897249e-06,0.0,0.0,6.994631153897249e-06
1549,1.1845262114158167e-05,0.0,0.0,1.1845262114158167e-05
1550,1.670837342057244e-05,0.0,0.0,1.670837342057244e-05
1551,1.7539416408648583e-05,0.0,0.0,1.7539416408648583e-05
1552,1.675562816672027e-05,0.0,0.0,1.675562816672027e-05
1553,1.423827234248165e-05,0.0,0.0,1.423827234248165e-05
1554,1.423827234248165e-05,0.0,0.0,1.423827234248165e-05
1555,1.423827234248165e-05,0.0,0.0,1.423827234248165e-05
1556,9.387641382220733e-06,0.0,0.0,9.387641382220733e-06
1557,4.524530075806459e-06,0.0,0.0,4.524530075806459e-06
1558,2.1633329327284756e-06,0.0,0.0,2.1633329327284756e-06
1559,1.7192232917295769e-06,0.0,0.0,1.7192232917295769e-06
1560,4.860055144360688e-06,0.0,0.0,4.860055144360688e-06
1561,4.860055144360688e-06,0.0,0.0,4.860055144360688e-06
1562,1.7304056850012523e-05,0.0,0.0,1.7304056850012523e-05
1563,1.7304056850012523e-05,0.0,0.0,1.7304056850012523e-05
1564,1.7304056850012523e-05,0.0,0.0,1.7304056850012523e-05
1565,1.8315857492520342e-05,0.0,0.0,1.8315857492520342e-05
1566,1.6596634200790765e-05,0.0,0.0,1.6596634200790765e-05
1567,1.55029943666055e-05,0.0,0.0,1.55029943666055e-05
1568,1.55029943666055e-05,0.0,0.0,1.55029943666055e-05
1569,1.4199573083065583e-05,0.0,0.0,1.4199573083065583e-05
1570,1.7221597642804098e-05,0.0,0.0,1.7221597642804098e-05
1571,1.7221597642804098e-05,0.0,0.0,1.7221597642804098e-05
1572,1.6209797000296282e-05,0.0,0.0,1.6209797000296282e-05
1573,1.6209797000296282e-05,0.0,0.0,1.6209797000296282e-05
1574,1.7975585901045372e-05,0.0,0.0,1.7975585901045372e-05
1575,1.7975585901045372e-05,0.0,0.0,1.7975585901045372e-05
1576,9.5390881012593e-06,0.0,0.0,9.5390881012593e-06
1577,9.068539449279861e-06,0.0,0.0,9.068539449279861e-06
1578,1.3404975366678887e-05,0.0,0.0,1.3404975366678887e-05
1579,1.4698484976958883e-05,0.0,0.0,1.4698484976958883e-05
1580,1.5688945820459465e-05,0.0,0.0,1.5688945820459465e-05
1581,1.721573146694157e-05,0.0,0.0,1.721573146694157e-05
1582,2.140554514491149e-05,0.0,0.0,2.140554514491149e-05
1583,2.110457567791205e-05,0.0,0.0,2.110457567791205e-05
1584,2.1250434461502925e-05,0.0,0.0,2.1250434461502925e-05
1585,2.0310924095870826e-05,0.0,0.0,2.0310924095870826e-05
1586,2.045520217767002e-05,0.0,0.0,2.045520217767002e-05
1587,2.154121869222893e-05,0.0,0.0,2.154121869222893e-05
1588,2.1557498647390666e-05,0.0,0.0,2.1557498647390666e-05
1589,1.9795129186864608e-05,0.0,0.0,1.9795129186864608e-05
1590,1.8691894313503455e-05,0.0,0.0,1.8691894313503455e-05
1591,1.91929611901287e-05,0.0,0.0,1.91929611901287e-05
1592,2.4750612802953193e-05,0.0,0.0,2.4750612802953193e-05
1593,2.599214583044938e-05,0.0,0.0,2.599214583044938e-05
1594,2.6933036938966586e-05,0.0,0.0,2.6933036938966586e-05
1595,2.5183367142744828e-05,0.0,0.0,2.5183367142744828e-05
1596,2.4860105181038046e-05,0.0,0.0,2.4860105181038046e-05
1597,2.6102530942547935e-05,0.0,0.0,2.6102530942547935e-05
1598,2.538122862461023e-05,0.0,0.0,2.538122862461023e-05
1599,1.9492341380100697e-05,0.0,0.0,1.9492341380100697e-05
1600,2.0860251814675784e-05,0.0,0.0,2.0860251814675784e-05
1601,2.096806513561335e-05,0.0,0.0,2.096806513561335e-05
1602,2.0806912029261832e-05,0.0,0.0,2.0806912029261832e-05
1603,2.2823830866920097e-05,0.0,0.0,2.2823830866920097e-05
1604,2.2835581538467003e-05,0.0,0.0,2.2835581538467003e-05
1605,2.2607220151777646e-05,0.0,0.0,2.2607220151777646e-05
1606,2.2904894649400376e-05,0.0,0.0,2.2904894649400376e-05
1607,2.3336645816535956e-05,0.0,0.0,2.3336645816535956e-05
1608,2.3605983057807733e-05,0.0,0.0,2.3605983057807733e-05
1609,2.1670151259708552e-05,0.0,0.0,2.1670151259708552e-05
1610,2.048036016536311e-05,0.0,0.0,2.048036016536311e-05
1611,1.9564901906830657e-05,0.0,0.0,1.9564901906830657e-05
1612,2.2965179076501435e-05,0.0,0.0,2.2965179076501435e-05
1613,2.5354991781309115e-05,0.0,0.0,2.5354991781309115e-05
1614,2.417210687001768e-05,0.0,0.0,2.417210687001768e-05
1615,2.3444190706608685e-05,0.0,0.0,2.3444190706608685e-05
1616,2.40973460157485e-05,0.0,0.0,2.40973460157485e-05
1617,2.783726800511691e-05,0.0,0.0,2.783726800511691e-05
1618,2.8660599907327977e-05,0.0,0.0,2.8660599907327977e-05
1619,2.5937481820749652e-05,0.0,0.0,2.5937481820749652e-05
1620,2.2400560867806363e-05,0.0,0.0,2.2400560867806363e-05
1621,2.5170675144181587e-05,0.0,0.0,2.5170675144181587e-05
1622,2.5458705359986717e-05,0.0,0.0,2.5458705359986717e-05
1623,2.652912865284764e-05,0.0,0.0,2.652912865284764e-05
1624,2.1351218622710023e-05,0.0,0.0,2.1351218622710023e-05
1625,1.9719937167142882e-05,0.0,0.0,1.9719937167142882e-05
1626,2.0238367337047487e-05,0.0,0.0,2.0238367337047487e-05
1627,1.977959586188912e-05,0.0,0.0,1.977959586188912e-05
1628,1.6792430674935792e-05,0.0,0.0,1.6792430674935792e-05
1629,1.6973912547005705e-05,0.0,0.0,1.6973912547005705e-05
1630,1.7449648956764057e-05,0.0,0.0,1.7449648956764057e-05
1631,1.83368865041952e-05,0.0,0.0,1.83368865041952e-05
1632,1.9705266822711565e-05,0.0,0.0,1.9705266822711565e-05
1633,1.722058927303546e-05,0.0,0.0,1.722058927303546e-05
1634,1.8425140426968157e-05,0.0,0.0,1.8425140426968157e-05
1635,2.0120637080773512e-05,0.0,0.0,2.0120637080773512e-05
1636,1.872141027498791e-05,0.0,0.0,1.872141027498791e-05
1637,1.786594839359168e-05,0.0,0.0,1.786594839359168e-05
1638,1.885214078356512e-05,0.0,0.0,1.885214078356512e-05
1639,1.859986930087741e-05,0.0,0.0,1.859986930087741e-05
1640,2.072446126736135e-05,0.0,0.0,2.072446126736135e-05
1641,2.5048520001291763e-05,0.0,0.0,2.5048520001291763e-05
1642,2.318862230562705e-05,0.0,0.0,2.318862230562705e-05
1643,2.3619472943080056e-05,0.0,0.0,2.3619472943080056e-05
1644,2.369939491992617e-05,0.0,0.0,2.369939491992617e-05
1645,2.77492843971621e-05,0.0,0.0,2.77492843971621e-05
1646,2.993280343486861e-05,0.0,0.0,2.993280343486861e-05
1647,2.955374631190872e-05,0.0,0.0,2.955374631190872e-05
1648,2.5110304445011673e-05,0.0,0.0,2.5110304445011673e-05
1649,2.5168314355791415e-05,0.0,0.0,2.5168314355791415e-05
1650,2.515266221182953e-05,0.0,0.0,2.515266221182953e-05
1651,2.4971500481894638e-05,0.0,0.0,2.4971500481894638e-05
1652,1.9893057729599866e-05,0.0,0.0,1.9893057729599866e-05
1653,1.840093526490299e-05,0.0,0.0,1.840093526490299e-05
1654,2.2457510307763835e-05,0.0,0.0,2.2457510307763835e-05
1655,2.4263101035363172e-05,0.0,0.0,2.4263101035363172e-05
1656,2.4643188226036727e-05,0.0,0.0,2.4643188226036727e-05
1657,2.6745179638965055e-05,0.0,0.0,2.6745179638965055e-05
1658,2.66203405772103e-05,0.0,0.0,2.66203405772103e-05
1659,2.9782730572540978e-05,0.0,0.0,2.9782730572540978e-05
1660,3.331803808188332e-05,0.0,0.0,3.331803808188332e-05
1661,2.870621171626096e-05,0.0,0.0,2.870621171626096e-05
1662,2.629096044464469e-05,0.0,0.0,2.629096044464469e-05
