ngram,family,fmily,famly,famliy
1500,9.034253480422194e-06,0.0,0.0,0.0
1501,7.227402784337756e-06,0.0,0.0,0.0
1502,1.2524137218861142e-05,0.0,0.0,0.0
1503,3.750897498580993e-05,0.0,0.0,0.0
1504,4.0061131845245e-05,0.0,0.0,0.0
1505,3.953697523684241e-05,0.0,0.0,0.0
1506,3.953697523684241e-05,0.0,0.0,0.0
1507,3.953697523684241e-05,0.0,0.0,0.0
1508,3.953697523684241e-05,0.0,0.0,0.0
1509,3.396443103805983e-05,0.0,0.0,0.0
1510,7.190430811273732e-06,0.0,0.0,0.0
1511,4.103629960029918e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222760407786e-06,0.0,0.0,0.0
1515,5.713222760407786e-06,0.0,0.0,0.0
1516,5.713222760407786e-06,0.0,0.0,0.0
1517,1.0494713933439925e-05,0.0,0.0,0.0
1518,1.0494713933439925e-05,0.0,0.0,0.0
1519,1.0494713933439925e-05,0.0,0.0,0.0
1520,4.535034687640811e-05,0.0,0.0,0.0
1521,3.963712411600032e-05,0.0,0.0,0.0
1522,5.550590867642313e-05,0.0,0.0,0.0
1523,7.953166329701032e-05,0.0,0.0,0.0
1524,7.887952831099807e-05,0.0,0.0,0.0
1525,7.887952831099807e-05,0.0,0.0,0.0
1526,7.951517779604598e-05,0.0,0.0,0.0
1527,4.46595448530778e-05,0.0,0.0,0.0
1528,4.67500097199393e-05,0.0,0.0,0.0
1529,3.088122515951649e-05,0.0,0.0,0.0
1530,8.313367548648135e-06,0.0,0.0,0.0
1531,2.716340428118461e-05,0.0,0.0,0.0
1532,2.761432087286916e-05,0.0,0.0,0.0
1533,2.6978671387821252e-05,0.0,0.0,0.0
1534,4.8045732683021924e-05,0.0,0.0,0.0
1535,5.00968730778238e-05,0.0,0.0,0.0
1536,5.00968730778238e-05,0.0,0.0,0.0
1537,4.8638976068104967e-05,0.0,0.0,0.0
1538,3.201246028895964e-05,0.0,0.0,0.0
1539,3.2391654843065355e-05,0.0,0.0,0.0
1540,3.2391654843065355e-05,0.0,0.0,0.0
1541,1.1324593547864684e-05,0.0,0.0,0.0
1542,3.577126933253437e-05,0.0,0.0,0.0
1543,3.577126933253437e-05,0.0,0.0,0.0
1544,4.731697819287157e-05,0.0,0.0,0.0
1545,4.36433019785909e-05,0.0,0.0,0.0
1546,4.7288489960400124e-05,0.0,0.0,0.0
1547,4.7288489960400124e-05,0.0,0.0,0.0
1548,5.0855393055826426e-05,0.0,0.0,0.0
1549,2.3479769749558598e-05,0.0,0.0,0.0
1550,2.7802535441878717e-05,0.0,0.0,0.0
1551,1.6256826581541516e-05,0.0,0.0,0.0
1552,6.0449839371098536e-05,0.0,0.0,0.0
1553,5.597454024349905e-05,0.0,0.0,0.0
1554,5.597454024349905e-05,0.0,0.0,0.0
1555,5.661453217596447e-05,0.0,0.0,0.0
1556,5.6442750714528044e-05,0.0,0.0,0.0
1557,5.2119985022207925e-05,0.0,0.0,0.0
1558,6.098661768711671e-05,0.0,0.0,0.0
1559,1.4114403971429315e-05,0.0,0.0,0.0
1560,4.372796099362729e-05,0.0,0.0,0.0
1561,4.372796099362729e-05,0.0,0.0,0.0
1562,3.9521065965735556e-05,0.0,0.0,0.0
1563,3.848018968710676e-05,0.0,0.0,0.0
1564,5.120348318346909e-05,0.0,0.0,0.0
1565,4.537225244608375e-05,0.0,0.0,0.0
1566,4.537225244608375e-05,0.0,0.0,0.0
1567,1.9853079460777474e-05,0.0,0.0,0.0
1568,2.2794160811047603e-05,0.0,0.0,0.0
1569,2.5764982118354446e-05,0.0,0.0,0.0
1570,2.5764982118354446e-05,0.0,0.0,0.0
1571,6.453057228230006e-05,0.0,0.0,0.0
1572,6.461493519184711e-05,0.0,0.0,0.0
1573,6.964857259715375e-05,0.0,0.0,0.0
1574,6.555418856026205e-05,0.0,0.0,0.0
1575,6.261310720999193e-05,0.0,0.0,0.0
1576,7.361338014431697e-05,0.0,0.0,0.0
1577,7.361338014431697e-05,0.0,0.0,0.0
1578,2.429271444270853e-05,0.0,0.0,0.0
1579,2.8934007267318e-05,0.0,0.0,0.0
1580,2.489083070551195e-05,0.0,0.0,0.0
1581,3.082390432090116e-05,0.0,0.0,0.0
1582,3.1661867069487926e-05,0.0,0.0,0.0
1583,3.907847933857868e-05,0.0,0.0,0.0
1584,4.267492568033049e-05,0.0,0.0,0.0
1585,4.1072862001913434e-05,0.0,0.0,0.0
1586,3.546848587835224e-05,0.0,0.0,0.0
1587,4.139961648823893e-05,0.0,0.0,0.0
1588,3.680555450305941e-05,0.0,0.0,0.0
1589,3.970212121982643e-05,0.0,0.0,0.0
1590,1.9354317308690433e-05,0.0,0.0,0.0
1591,1.922280593394784e-05,0.0,0.0,0.0
1592,1.985059524096349e-05,0.0,0.0,0.0
1593,2.0149957630824895e-05,0.0,0.0,0.0
1594,1.5575208375854084e-05,0.0,0.0,0.0
1595,1.7391776444648193e-05,0.0,0.0,0.0
1596,1.4919756332736661e-05,0.0,0.0,0.0
1597,3.216022949865354e-05,0.0,0.0,0.0
1598,3.121662770614161e-05,0.0,0.0,0.0
1599,3.226299590356315e-05,0.0,0.0,0.0
1600,4.194864595774561e-05,0.0,0.0,0.0
1601,4.272698554684341e-05,0.0,0.0,0.0
1602,4.2703427295366835e-05,0.0,0.0,0.0
1603,4.514990905590821e-05,0.0,0.0,0.0
1604,3.1977642720448785e-05,0.0,0.0,0.0
1605,3.305429007533738e-05,1.1243689154330891e-07,0.0,0.0
1606,3.778094781279963e-05,1.1243689154330891e-07,0.0,0.0
1607,4.2808686495326196e-05,1.1243689154330891e-07,0.0,0.0
1608,4.8069963668240234e-05,1.1243689154330891e-07,0.0,0.0
1609,5.1730205606353206e-05,1.1243689154330891e-07,0.0,0.0
1610,4.8403559276266606e-05,1.1243689154330891e-07,0.0,0.0
1611,5.271737943855571e-05,1.1243689154330891e-07,0.0,0.0
1612,5.3423410560883766e-05,0.0,0.0,0.0
1613,5.1730187124121585e-05,0.0,0.0,0.0
1614,3.686802272438529e-05,0.0,0.0,0.0
1615,3.19100529395655e-05,0.0,0.0,0.0
1616,3.2326280331419965e-05,0.0,0.0,0.0
1617,3.5773716912704655e-05,0.0,0.0,0.0
1618,3.186650688543783e-05,0.0,0.0,0.0
1619,3.0038254148426597e-05,0.0,0.0,0.0
1620,2.7887414294777306e-05,0.0,0.0,0.0
1621,3.0397431796050762e-05,0.0,0.0,0.0
1622,3.0838105106210734e-05,0.0,0.0,0.0
1623,3.0903797648664166e-05,0.0,0.0,0.0
1624,3.364463269203303e-05,0.0,0.0,0.0
1625,3.228314770759815e-05,0.0,0.0,0.0
1626,3.302209422275025e-05,0.0,0.0,0.0
1627,3.5491184982155187e-05,0.0,0.0,0.0
1628,3.303231772276506e-05,0.0,0.0,0.0
1629,3.6920913771609776e-05,0.0,0.0,0.0
1630,3.266544549010827e-05,0.0,0.0,0.0
1631,3.108266797166185e-05,0.0,0.0,0.0
1632,4.333051141916907e-05,0.0,0.0,0.0
1633,4.6284981830727444e-05,0.0,0.0,0.0
1634,5.180061972558698e-05,0.0,0.0,0.0
1635,5.5533860047164906e-05,0.0,0.0,0.0
1636,5.8805341073561325e-05,0.0,0.0,0.0
1637,6.171259623702749e-05,0.0,0.0,0.0
1638,6.743102858308703e-05,0.0,0.0,0.0
1639,5.9206324554647184e-05,0.0,0.0,0.0
1640,5.745789530919865e-05,0.0,0.0,0.0
1641,5.070997264868181e-05,0.0,0.0,0.0
1642,5.228275196194383e-05,0.0,0.0,0.0
1643,4.4053508255663996e-05,0.0,0.0,0.0
1644,4.619374729892505e-05,0.0,0.0,0.0
1645,4.4868791259692185e-05,0.0,0.0,0.0
1646,4.031900009847179e-05,0.0,0.0,0.0
1647,4.151671315152531e-05,0.0,0.0,0.0
1648,4.651024547846256e-05,0.0,0.0,0.0
1649,4.166200726883419e-05,0.0,0.0,0.0
1650,4.400066739305787e-05,0.0,0.0,0.0
1651,4.255647088159874e-05,0.0,0.0,0.0
1652,4.102482255672969e-05,0.0,0.0,0.0
1653,4.697096353213835e-05,0.0,0.0,0.0
1654,4.836316241250772e-05,0.0,0.0,0.0
1655,4.848071382314499e-05,0.0,0.0,0.0
1656,5.114670109053675e-05,0.0,0.0,0.0
1657,5.162454025204559e-05,0.0,0.0,0.0
1658,5.138278824493422e-05,0.0,0.0,0.0
1659,5.231476253746743e-05,0.0,0.0,0.0
1660,5.268371387501247e-05,0.0,0.0,0.0
1661,5.158537117365215e-05,0.0,0.0,0.0
1662,5.145254337029266e-05,0.0,0.0,0.0
1663,5.615307756150807e-05,0.0,0.0,0.0
1664,5.741460388110552e-05,0.0,0.0,0.0
1665,5.487031376105733e-05,0.0,0.0,0.0
1666,5.1681448115102414e-05,0.0,0.0,0.0
1667,4.436841066178333e-05,3.245231588217783e-08,0.0,0.0
1668,4.235013096019559e-05,3.245231588217783e-08,0.0,0.0
1669,3.597761782917327e-05,3.245231588217783e-08,0.0,0.0
1670,2.9041426647121886e-05,3.245231588217783e-08,0.0,0.0
1671,2.5018449377967045e-05,3.245231588217783e-08,0.0,0.0
1672,2.2953722041815388e-05,3.245231588217783e-08,0.0,0.0
