ngram,contact,contct,conact,contac
1500,3.014113758581516e-06,0.0,0.0,0.0
1501,2.4112910068652127e-06,0.0,0.0,0.0
1502,4.996493544240366e-06,0.0,0.0,0.0
1503,4.282708752206028e-06,0.0,0.0,0.0
1504,3.347081799022687e-06,0.0,0.0,0.0
1505,4.770005034515634e-06,0.0,0.0,0.0
1506,4.770005034515634e-06,0.0,0.0,0.0
1507,4.770005034515634e-06,0.0,0.0,0.0
1508,4.770005034515634e-06,0.0,0.0,0.0
1509,2.209647001499044e-06,0.0,0.0,0.0
1510,2.209647001499044e-06,0.0,0.0,0.0
1511,2.209647001499044e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,6.375321390805766e-06,0.0,0.0,0.0
1518,6.375321390805766e-06,0.0,0.0,0.0
1519,6.375321390805766e-06,0.0,0.0,0.0
1520,7.2690555888194856e-06,0.0,0.0,0.0
1521,7.2690555888194856e-06,0.0,0.0,0.0
1522,7.2690555888194856e-06,0.0,0.0,0.0
1523,1.589368574579047e-05,0.0,0.0,0.0
1524,9.518364354984702e-06,0.0,0.0,0.0
1525,9.518364354984702e-06,0.0,0.0,0.0
1526,1.3332261265272141e-05,0.0,0.0,0.0
1527,1.2438527067258423e-05,0.0,0.0,0.0
1528,1.3483759500689172e-05,0.0,0.0,0.0
1529,1.3483759500689172e-05,0.0,0.0,0.0
1530,4.859129343718191e-06,0.0,0.0,0.0
1531,4.859129343718191e-06,0.0,0.0,0.0
1532,1.252471136987359e-05,0.0,0.0,0.0
1533,8.71081445958615e-06,0.0,0.0,0.0
1534,8.71081445958615e-06,0.0,0.0,0.0
1535,7.665582026155399e-06,0.0,0.0,0.0
1536,7.665582026155399e-06,0.0,0.0,0.0
1537,7.665582026155399e-06,0.0,0.0,0.0
1538,7.665582026155399e-06,0.0,0.0,0.0
1539,1.8262445727097137e-05,0.0,0.0,0.0
1540,1.8262445727097137e-05,0.0,0.0,0.0
1541,1.8262445727097137e-05,0.0,0.0,0.0
1542,1.976709206376524e-05,0.0,0.0,0.0
1543,1.976709206376524e-05,0.0,0.0,0.0
1544,1.990619698842368e-05,0.0,0.0,0.0
1545,1.990619698842368e-05,0.0,0.0,0.0
1546,1.6437512613265426e-06,0.0,0.0,0.0
1547,1.6437512613265426e-06,0.0,0.0,0.0
1548,3.4272028090396944e-06,0.0,0.0,0.0
1549,1.92255647237159e-06,0.0,0.0,0.0
1550,1.056808785701183e-05,0.0,0.0,0.0
1551,1.0428982932353392e-05,0.0,0.0,0.0
1552,1.4034537993471271e-05,0.0,0.0,0.0
1553,1.4034537993471271e-05,0.0,0.0,0.0
1554,1.4034537993471271e-05,0.0,0.0,0.0
1555,1.225108644575812e-05,0.0,0.0,0.0
1556,1.9537220526087496e-05,0.0,0.0,0.0
1557,1.0891689141447256e-05,0.0,0.0,0.0
1558,1.7030127180208054e-05,0.0,0.0,0.0
1559,1.3424572119090175e-05,0.0,0.0,0.0
1560,1.3873262365190645e-05,0.0,0.0,0.0
1561,1.3873262365190645e-05,0.0,0.0,0.0
1562,1.3873262365190645e-05,0.0,0.0,0.0
1563,1.4770318817422126e-05,0.0,0.0,0.0
1564,1.4770318817422126e-05,0.0,0.0,0.0
1565,8.63188077866133e-06,0.0,0.0,0.0
1566,8.63188077866133e-06,0.0,0.0,0.0
1567,9.547985168215486e-06,0.0,0.0,0.0
1568,1.543014786875574e-05,0.0,0.0,0.0
1569,1.6915558522409162e-05,0.0,0.0,0.0
1570,8.732367989848302e-06,0.0,0.0,0.0
1571,8.732367989848302e-06,0.0,0.0,0.0
1572,8.732367989848302e-06,0.0,0.0,0.0
1573,8.732367989848302e-06,0.0,0.0,0.0
1574,7.367573354193675e-06,0.0,0.0,0.0
1575,1.4854106536534215e-06,0.0,0.0,0.0
1576,9.013608957632511e-07,0.0,0.0,0.0
1577,9.013608957632511e-07,0.0,0.0,0.0
1578,1.383187119634905e-06,0.0,0.0,0.0
1579,1.383187119634905e-06,0.0,0.0,0.0
1580,1.383187119634905e-06,0.0,0.0,0.0
1581,1.383187119634905e-06,0.0,0.0,0.0
1582,1.383187119634905e-06,0.0,0.0,0.0
1583,2.404316644190528e-06,0.0,0.0,0.0
1584,2.404316644190528e-06,0.0,0.0,0.0
1585,1.922490420318874e-06,0.0,0.0,0.0
1586,1.922490420318874e-06,0.0,0.0,0.0
1587,1.922490420318874e-06,0.0,0.0,0.0
1588,2.5919962354237214e-06,0.0,0.0,0.0
1589,2.7787227086914105e-06,0.0,0.0,0.0
1590,8.562322883725366e-07,0.0,0.0,0.0
1591,8.562322883725366e-07,0.0,0.0,0.0
1592,8.562322883725366e-07,0.0,0.0,0.0
1593,8.562322883725366e-07,0.0,0.0,0.0
1594,8.562322883725366e-07,0.0,0.0,0.0
1595,1.867264732676891e-07,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0
1597,2.4212418533612177e-07,0.0,0.0,0.0
1598,5.859831812163715e-06,0.0,0.0,0.0
1599,6.331476405258789e-06,0.0,0.0,0.0
1600,6.331476405258789e-06,0.0,0.0,0.0
1601,6.5268002669784305e-06,0.0,0.0,0.0
1602,6.9444031396415085e-06,0.0,0.0,0.0
1603,6.9444031396415085e-06,0.0,0.0,0.0
