ngram,breast,brest,brest,breast
1500,4.0493134179087065e-07,0.0,0.0,4.0493134179087065e-07
1501,3.239450734326965e-07,0.0,0.0,3.239450734326965e-07
1502,4.456650799511408e-07,0.0,0.0,4.456650799511408e-07
1503,3.819986399581207e-07,0.0,0.0,3.819986399581207e-07
1504,3.819986399581207e-07,0.0,0.0,3.819986399581207e-07
1505,1.506093017919089e-07,0.0,0.0,1.506093017919089e-07
1506,1.506093017919089e-07,1.5204847191593476e-05,1.5204847191593476e-05,1.506093017919089e-07
1507,1.506093017919089e-07,1.5204847191593476e-05,1.5204847191593476e-05,1.506093017919089e-07
1508,1.506093017919089e-07,1.5204847191593476e-05,1.5204847191593476e-05,1.506093017919089e-07
1509,0.0,1.5204847191593476e-05,1.5204847191593476e-05,0.0
1510,0.0,1.5204847191593476e-05,1.5204847191593476e-05,0.0
1511,0.0,1.5204847191593476e-05,1.5204847191593476e-05,0.0
1512,0.0,1.5204847191593476e-05,1.5204847191593476e-05,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1515,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1516,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1517,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1518,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1519,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1520,4.742081793145709e-06,0.0,0.0,4.742081793145709e-06
1521,4.170759504112149e-06,0.0,0.0,4.170759504112149e-06
1522,7.3445163642255854e-06,0.0,0.0,7.3445163642255854e-06
1523,7.3445163642255854e-06,0.0,0.0,7.3445163642255854e-06
1524,7.3445163642255854e-06,0.0,0.0,7.3445163642255854e-06
1525,7.3445163642255854e-06,0.0,0.0,7.3445163642255854e-06
1526,7.3445163642255854e-06,0.0,0.0,7.3445163642255854e-06
1527,3.1737568601134366e-06,0.0,0.0,3.1737568601134366e-06
1528,3.1737568601134366e-06,0.0,0.0,3.1737568601134366e-06
1529,0.0,0.0,0.0,0.0
1530,0.0,1.4578970097188306e-06,1.4578970097188306e-06,0.0
1531,0.0,1.4578970097188306e-06,1.4578970097188306e-06,0.0
1532,0.0,1.4578970097188306e-06,1.4578970097188306e-06,0.0
1533,0.0,1.4578970097188306e-06,1.4578970097188306e-06,0.0
1534,0.0,1.4578970097188306e-06,1.4578970097188306e-06,0.0
1535,3.7650956333631515e-07,1.4578970097188306e-06,1.4578970097188306e-06,3.7650956333631515e-07
1536,3.7650956333631515e-07,1.4578970097188306e-06,1.4578970097188306e-06,3.7650956333631515e-07
1537,3.7650956333631515e-07,0.0,0.0,3.7650956333631515e-07
1538,3.7650956333631515e-07,0.0,0.0,3.7650956333631515e-07
1539,3.7650956333631515e-07,0.0,0.0,3.7650956333631515e-07
1540,3.7650956333631515e-07,0.0,0.0,3.7650956333631515e-07
1541,3.7650956333631515e-07,0.0,0.0,3.7650956333631515e-07
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,8.346295154686751e-07,0.0,0.0,8.346295154686751e-07
1545,8.346295154686751e-07,5.358402047152464e-07,5.358402047152464e-07,8.346295154686751e-07
1546,1.6737481018935796e-06,1.374958791140151e-06,1.374958791140151e-06,1.6737481018935796e-06
1547,1.6737481018935796e-06,1.374958791140151e-06,1.374958791140151e-06,1.6737481018935796e-06
1548,1.6737481018935796e-06,1.374958791140151e-06,1.374958791140151e-06,1.6737481018935796e-06
1549,2.886405841958809e-06,2.58761653120538e-06,2.58761653120538e-06,2.886405841958809e-06
1550,2.886405841958809e-06,2.58761653120538e-06,2.58761653120538e-06,2.886405841958809e-06
1551,2.051776326490134e-06,2.58761653120538e-06,2.58761653120538e-06,2.051776326490134e-06
1552,4.215109259218609e-06,2.051776326490134e-06,2.051776326490134e-06,4.215109259218609e-06
1553,3.375990672793705e-06,1.2126577400652292e-06,1.2126577400652292e-06,3.375990672793705e-06
1554,3.375990672793705e-06,1.2126577400652292e-06,1.2126577400652292e-06,3.375990672793705e-06
1555,3.375990672793705e-06,1.2126577400652292e-06,1.2126577400652292e-06,3.375990672793705e-06
1556,2.1633329327284756e-06,0.0,0.0,2.1633329327284756e-06
